ci lkiseuent de	--⌫|-|-----|-|
sideiuent bien	-|------|---|
mettrelurcure	-----|--|---|
esbonsliuresee scrit z	-|---|-----||-⌫-----⌫|
eesessamples	|-|--------|
que liphilos op he tr ouerent	--|-|------⌫--⌫-|--⌫------|
ee scristrente remenbrerent	|-⌫---------||-----------|
pur moralitee scriuei ent	--|-------|-⌫-------⌫--|
lesp rouerbesqu il	--|-⌫-------|-|-|
kecil amenderpeussent	-|--|------|-------|
kilu rententei	-|--⌫|------||
bienme issent	---|--⌫-----|
ceo furen tlian cienp ere	--|-----⌫|-|--⌫---|-⌫--|
rom uluski fud emperere	---⌫---|-|--|-------|
fizesrist em anda	--|-----||-⌫---|
e paressamplel imustra	|--|-------|-⌫|-----|
cumse dust	--|-|---|
contreguait ier	-----------⌫--|
kelenne l peust r ienengi n ne r	-|--|-||----|-⌫--|----⌫-⌫--⌫|
isop es escrista sun	----⌫-|------||--|
kibien cunut luiesu nestre	-|---|----|--||--⌫|----|
unesfablesq u	---|-----|-⌫|
latin transl atees	----|------⌫----|
meruei lleen orent liplus ur	------⌫--|-|----|-|----⌫-|
kil mis tsun tens entel	|-|---⌫|--|---|-|--|
mes ni a dfablede folie	--|||-⌫|----|-|----|
niaitphilos ophie	||--|------⌫----|
es ess ampleski su nta pres	-|---⌫-----|-|--⌫-|-⌫---|
udes c unte s esttutlifes	|--|-⌫----⌫|--|--|-|--|
ameikima rimeendei fair e	|--|-|-|---|-|--|----⌫|
neuenistnient a	-|-----|----||
p lusur s par oleskisunt	-⌫-----⌫|---⌫---|-|---|
mes nepurh oeccilmesumunt	--|------⌫--|--|-|-----|
ki flurestde cheualerie	-|---|--|-|---------|
dens einnementd e	|---⌫--------|-⌫|
c urteisie	-⌫-------|
e quant telhoem m	|----|--|---||
adrequi se	-|-----⌫-|
neuoil laissier	-|---|-------|
kinimete trauail	-|||---|------|
ki ki metienge pur ui leine	-|-|-|-----|--|--⌫----|
mult d ei f air epur sa preiere	---|-⌫-|-⌫---⌫|--|-|------|
cicumencer ailapremi ere	-|--------⌫-|-|-----⌫--|
desfableske e sopese srist	--|-----|-|-⌫----|-⌫----|
esunmes tremand a edi s t	|--|---⌫--|----⌫||--⌫-⌫|
de l cocre cunte	--⌫|--|--⌫----|
su run femersi g ra ta	--⌫|-|----|-|-⌫--⌫-|
sulu ncn a ture purchacot	----⌫-|-⌫-⌫---|--------|
sauiandes i cum	-|-----|-⌫|--|
unech eregemmeitruua	--|--⌫--|----||----|
clerela uitsi lesg arda	----|-|--|-||---⌫---|
i eoquidaifaitil purch a c ier	-⌫-|-----|---|-|-----⌫-⌫-⌫--|
surcestfemer	--|---|----|
ore t aiicigemm etruuee	--||-|--|----⌫|-----|
meinersho nuree	--||--|--⌫----|
suns riches hoem c itetro uast	|--|-----|---|-⌫|-|---⌫---|
p ur ceoquit te	-⌫-|--|---|-|
si acreust	-|------|
b ien ta be aute	-⌫--|-|--⌫---|
kia dsigrantclarte	-|-⌫|-|----|-----|
q ua ntmauolente n	-⌫--⌫-|-|------||
i ameishonurnauras deme i	-⌫----|----||----|-|--⌫|
al tresi est demainteg ent	--⌫----|--|-|-----|-⌫--|
se tut neuaitalur	-|--|-|---||--|
cumfude l cocede	--|-|--⌫|--||-|
ueul auumdumee de maintefem me	--||---||--||-|-----|---⌫-|
bien n eh onur	---|-⌫|-⌫---|
l ep is pern en t lemelzdespisent	-⌫|-⌫-|----⌫--⌫|-|---|--------|
edel ai gnel	|-||--⌫---|
kibeueie nta unr ui ssel	-|------⌫-||-|-⌫--⌫---|
li l ousa las u rse	-|-⌫--||-|-⌫-⌫--|
el i aigne laualet ei t	|-⌫|-----⌫|---|--⌫--⌫|
ireementparla li lous	-------|----|-|---|
kimulte steitcuntralius	-|---|-⌫----|---------|
par maltalentparla odlui	--|--------|----|-|--|
tume faizilgr an t ennu i	-|-|---|-|--⌫--⌫|----⌫|
liaigne lsad	-|-----⌫-|-|
s iredequei	-⌫--|-|---|
ne l ueistu	-||---|-|
nempuisbeiurema saulee	|-|---|-----|-|-----|
enirraiceo	-|----|--|
cum ieouinccimurantde	--|--|---|-|-----|-|
li aig nelsdunclirespu nt	-|---⌫---|---|-|-----⌫-|
sireiabe uezuus amunt	---|-|--⌫--|--|----|
deuusmeuintceoqueai	-|--|-|---|--|--|-|
quefaitli lus	--|---|-|--|
cilli addit nen	--|-|-|--||-|
aiuol e i r	-|---⌫-⌫-⌫|
lilusrespontieoen saile ueir	-|--|------|--|-|--|-|---|
ce omeimes me f ist tis pere	--⌫|-----|-|-⌫--|--|---|
aceste sur se	|----|---⌫-|
lau od luiere	-||-|--|--|
oread sis meissi cum ieocrei	--|-|--|---|-|--|--|---|
queretezuus	--|----|--|
f et ilamei	-⌫-|-||--|
nefuipasnezsi	-|--|--|--|-|
cumieoqui t	--|--|---⌫|
equ epurceo	|--⌫|--|--|
iamasfaiz cuntraire	-||-|---|--------|
echosequenedeussez	|----|--|-|------|
dun c prist li	---⌫|----|-|
l u sl aignelp etit	-⌫-⌫||-----|-⌫---|
asdenzlestra nglasil ocist	-|---||-----⌫---|-||----|
ceof untliricherobeur	--|-⌫--|-|----|-----|
liuescun teli iugeur	-|------⌫-|-|-----|
unt e nluriu stise	--|-⌫|--|--⌫----|
fals a chaisuns par	---|-⌫-------|--|
cuue i tise	----⌫-⌫---|
t rouentassez pur elscunfund re	-⌫-----|----|--|--|-------⌫-|
suuentlesfuntap l ai	-----|--|---||-⌫-⌫-|
lac harlur tol entelapel	-|-⌫--|--|---⌫--||-|--|
s icum li lus fist	-⌫|--|-|--|---|
s uluncla lettr e desescriz	-⌫----|-|-----⌫|--|-----|
u usmust eraidu nesuriz	-⌫-|----⌫---||-⌫-|----|
quiparpurchazepare ngin	--|--|------||--|-⌫---|
aueitm a nage	----|-⌫-⌫---|
en unmulin	-|-|----|
paressamplecunter	--|-------|-----|
s asistsur	|----|--|
e sesgernunsaparailla	|--|------|--------|
edesespez lespe luca	|-|--|--|--|--⌫---|
deuantluipas saun ere ine	-----|--|---⌫-|--⌫|--⌫--|
sicu meauen ture	-|--⌫-|----⌫---|
d emandaluiensa raisun	-⌫-----|--|-|-|-----|
seleertdamedelameisun	|--|--|---|-|-|-----|
duntelesefeseit simaistr e	---|--|-|-----|-|------⌫|
silicuntat	-|-|-----|
tut sunestre	--|--|----|
la surizlire spuntami e	-|----|-|--⌫----|---⌫|
pie cak en	---⌫-||-|
oi la seinnuri e	-|-|--------⌫|
e nmasubiect iun	-⌫|-|-------⌫--|
quan tai pertu ztut e nuirun	----⌫|-|-----⌫|--|-⌫-----|
puisherberger eiurenuit	---|--------||--||---|
feremundeduit	---|--|-----|
or e remaneza nuitodme i	--⌫|------|-⌫---|-|--⌫|
ieo uusmerrai dodreie fei	--|--|-----|-|----|--|
surmamoeletut	--|-|----|--|
auere zrienque	-----⌫|---|--|
uusdes pleise	--|---⌫-----|
asez auerezfarineegrain s	---|-----|-----||-----⌫|
dece oq ueremain tas uilains	-|--⌫|-⌫-|------⌫|-|------|
l araineiue itp a rsapreiere	-⌫|----||--⌫-|-⌫-⌫|-|------|
anduis a seentsurlap iere	----||-⌫----|--|-|-⌫---|
mult itrouerent amange r	---||--------||-----⌫|
senzcuntr editesenz	---|-----⌫---||---|
lasurizpa r	-|----|--⌫|
amurdemande	---|------|
ala reinedesauiande	|-|----|-|-|-----|
queli sembl e uert elidie	--|-|-----⌫|----⌫|-|--|
nementirai fetel e mie	-|-------|--|--⌫|--|
multfust bienap arail lee	---|---|---|--⌫-----⌫--|
sien ewefust muil l ee	-|-|--|---|----⌫-⌫-|
enmicel preenunw ascel	---|--|--|-|-|-⌫----|
se rriu mandui pl usbe l	--⌫----⌫|----|--⌫-|--⌫|
meiemansiuns	---|-------|
b eleamie kari	-⌫--|---|--||
tantiauerezbe lded uit	---||-----|--⌫|---⌫--|
iamei snaureztalentceo quit	-----⌫||----|-----|--|---|
de repaireracest m ulin	-|-------||---|-⌫---|
ta ntlipramet parsunen gin	--⌫-|-|-----|--|--|--⌫--|
esi bland ist pars a par ole	|-|-----⌫--|--|-⌫|---⌫--|
quelelac reitefa itquefole	-|--|-|-⌫---||--⌫-|--|---|
ensembleod	-------|-|
luiestalee	--|--|---|
l i pr ezfusi	-⌫|--⌫-|-|-|
plai nderusee	----⌫|-|----|
ke tute stlasuriz muillee	-|--|-⌫-|-|----|------|
duncqu idabien estre nee	---|--⌫--|---|----|--|
ariereuoleitretu rner	-----|-----|----⌫---|
kar nepoeita uantaler	--|-|----|-⌫---|---|
r ein el adap elee	-⌫---⌫||-|--⌫---|
kiaf orcele n amene ́	-||-⌫---||-⌫||----⌫|
tantparamur tantpar	---|--|---|---|--|
tantkel euintala	---||--⌫|---||-|
duncnepoetlasur iz auant	---|-|---|-|---⌫-|----|
alareinedistem plurant	|-|----|---|-|------|
cinepuisieo nientpasser	-|-|---|--|----|-----|
soiunkesnoer	--|----|---|
prenfe tl areine ce st	---|--⌫|-⌫|----|--⌫-|
sillieferm atun	-||--|---||--|
eieol atac heraia lmien	|--||----⌫----|-⌫|---|
lariuerepasser u mbien	-|-----|------⌫-⌫|---|
lasu rizestdel fil	-|--⌫--|--|--|--|
alareine sest at achee	|-|----||--|--⌫----|
al gue semetten tsisen uun t	-|--|-|------⌫|-||-|---⌫|
mesquantuindrent alplus	--|----|-------|-|---|
si la uoltlareinenaier	-|-|---|-|----|----|
odlicu menc aaplung ier	-|-|--⌫----⌫||-----⌫--|
lasurizpipee nhaltsescrie	-|----|---|-⌫|---||-----|
k ar quid ad uncest reperie	-⌫-|----⌫|-⌫--|---⌫-|----|
unsescu flesiuintuolant	--|----⌫---||---|-----|
lasuriz uitenhaltpipant	-|----|--|-|---|-----|
sese lesc lotaua ldescent	--|-⌫--|-⌫--|---⌫|------|
r eine ense mblepre nt	-⌫---|----⌫---|---⌫-|
anduifurent alfilpendant	----|-----|-|--|------|
la reinef ucorsuee grant	-|----|-⌫|-----||----|
liescuflesparcuueit ise	-|-------|--|------⌫--|
l asuri zlestl a	-⌫|----⌫|---|-⌫|
reineadpr i se	----|-|--⌫-⌫-|
mang e elad e d euoree	----⌫-⌫||-||-⌫-----|
elasuriz esteschapee	|-|----|--|-------|
issiest desueziez feluns	---|--|--|-----|-----|
iana ur u ntsibonsc om pa ignuns	-||-⌫--⌫-⌫-|-|---|-⌫--⌫--⌫-----|
sirie nlur	-|---⌫|--|
deit custer del l ur	---|-----|--|-⌫-|
ta n tlur facentbien nehonur	--⌫-⌫|--|-----|---|-|----|
kidurement neseien t liez	-|-------|-|-----⌫|---|
ealsseient eng innez	---|-----|---⌫----|
r a uientasez suue nt	-⌫-⌫----|---|----⌫-|
quedemeimesle t urment	--|-|-----|-|-⌫-----|
quequ i dent asalt r espu rcacier	--|--⌫-⌫---|-|---⌫-⌫-|--⌫------|
a uient lur cor s ap erillier	-⌫----|--|---⌫||-⌫-------|
cicunte d un	-|----||-|
chienplaid ur	----|-----⌫-|
dema leswisches	-|--⌫--|------|
kune ber bi zenplaida	|--|---⌫--⌫|-------|
deua ntius tiseslamena	----⌫-|---⌫----|-|---|
adunpain dema ndé	-|-|---|----⌫---|
auei tceodit pre sté	----⌫|--|--|---⌫---|
li iugesalchien demanda	-|----|-|----|------|
siltesti moineena	|-|-----⌫----|-||
il lirespu ntkilen adous	-|-|-----⌫-||-|-||---|
ceoe stliescufleseli lus	--|-⌫-|-|-------||-|--|
ci lfurent auant mene ́	--⌫|-----|----|----⌫|
parserem entl unt afermé	--|-----⌫--||--|------|
que ceofu ueir sque	--|--|-|----⌫|--|
lichensdist	-|----|---|
sauez p urque i chescunslefist	----|-⌫-|---⌫|-------|-|---|
quilentendeient	-|-|----------|
aue ir partie	---⌫-|-----|
silabe r biz perdist	-|-|--⌫-⌫--|------|
li iuge s dun cdemanda	-|----⌫|---⌫|------|
ala berbizqu	|-|-----|-|
purq ueiot le	--|-⌫--|-|-|
pain reneie ́	---|------⌫|
kelichiens liaueitba illé	-|-|-----|-|----|--⌫----|
poi de pris	--|-|---|
o re li ren dist einzqu	-⌫-|-|---⌫---|---|-|
lacai tiuene	-|---⌫---|-|
lsotd untrendre	|--|-⌫--|-----|
duncli cu uintsalaineuendre	---|-|--⌫---|-|----|-----|
iuer futdefreitfumorte	---|--|-|----|-|----|
lich i ensi uintsa part enporte	-|--⌫-⌫--||---|-|---|-|----|
eliesc uf lesdel a ltre part	|-|---⌫--⌫--|-||-⌫---|---|
lilust roplisemble	-|--|-⌫--|-|-----|
quelacharfu std entrels	--|-|---|--⌫-||---|--|
kar deuian de	--|-|----⌫-|
oren tsuffreite	----⌫|--------|
