cilz quisceuent delalecture	---|--|------|-|-|------|
deuroien tbie nmettreleurcure	--------⌫|---⌫|-----|---|---|
es bo nsliures et ese scrips	-|--⌫-|-----|-|-|-⌫-----|
et esexemple s etesdiz	-|-|-------⌫|-|-|--|
quelesphilo sophestro uue rent	--|--|-----⌫-----|---⌫---⌫---|
etescripre n tet rem embrere nt	-|--------⌫-⌫|-|---⌫-------⌫-|
pa rm oralitezes cripsoient	--⌫|-⌫-------|--⌫---------|
lesbonsexemples	--|---|-------|
qu ilzooient	-|--|-----|
quecilam ender	--|--|--⌫----|
sepeussent	-|-------|
quileur entente	--|---|------|
cefiren tli ancien pere	-|-----⌫|-|-----|---|
rommulusquifuemperere	-------|--|-|-------|
asonfilzescriptetmanda	|--|---|------|-|----|
et pa re xempl eslimo nstra	-|--⌫|-⌫-----⌫-|-|--⌫----|
commei l se dustentregai tier	----|-⌫|-|---|--------⌫---|
nel epe ustengignier	-|-⌫|--⌫--|--------|
i sopes es cript	-⌫----|--⌫----|
a sonm aistre	|--|-⌫-----|
queb iencognutluiet	--|-⌫--|-----|--|-|
unefable s quil	--|-----⌫|-|-|
ot trouuees	-|-------|
degrece nlati ntranslate es	-|---|-⌫|----⌫|---------⌫-|
me ru eille e norentliplusour	--⌫--⌫----|-⌫|----|-|------|
quilmist sonsens en	-|-|---|--|---|-|
tel labour	--|-----|
ya fabledefolie	||----|-|----|
grantph ilo sophie	----|--⌫---⌫-----|
e s exe mple squ isontapres	-⌫|---⌫----⌫|--⌫|---|----|
ou desc ontez son ttou zles fes	-|--|-⌫----|---⌫|---⌫|--|--|
qui larimeen	--|-|---|-|
n auenistnea nt au retrai re	|------|---⌫-|-|------⌫-|
p l uso urs parol es qui	-⌫-⌫---⌫--|-----⌫-|--|
maisnepourquant cilm	---|----------|--||
qu i fleurestdecheualerie	--⌫|----|--|-|---------|
den seigne mentde	|--⌫------⌫---|-|
cou rtoys ie	---⌫-----⌫-|
et quant telx homsmenareq uise	-|----|---|---||-||---⌫---|
neuuei lla issieren nu lleg uise	-|----⌫|--⌫-----|-|--⌫--|-⌫---|
queie n emetrauei lleet peine	--|-|-⌫|-|------⌫--|-|----|
qui que men ti engnepour	--|--||-|--⌫----|---|
moul t doy faire poursaproiere	----⌫|--|----|---|-|------|
s ic o mmence rayla premiere	-⌫|-⌫-⌫------⌫--|-|-------|
ducoqracontequimonta	-|--|------|--|----|
ensunfumieret s i grata	--|-|-----|-|-⌫|----|
selonnaturepourchassoit	----|-----|-----------|
sauia nde sicomme il soit	-|---⌫--|-|----|-|---|
unechie reiammetro uua	--|----⌫-|----|---⌫--|
clere la uitsil esgarda	----|-|--|-||------|
iecuidayfaitil	-|-----|---|-|
pourchacier	----------|
mauiandesurcestf umier	-|-----|--|---|-⌫----|
ciiammetrouu ee	-|----|-----⌫-|
serasremuee	----|-----|
sunsriches h om s	|--|-----|-⌫--⌫|
ciuou str ouuast	-|---⌫|--⌫-----|
bien scayquedoruousaornast	---|---|--||-|---|------|
u ostrec larte	-⌫----|-⌫----|
par lorqu imoult	--||-|--⌫|----|
a grantbiaute	|----|-----|
quantma uoulente naydetoy	----|-|-------||-|-|--|
ianulle honneur n a urasparmoy	-|----|------||-⌫---|--|--|
autressi est de	-------|--|-|
moultde gens	----|-|---|
se tout neuaaleurs	-|---|-|-||----|
c omed ucoqet delaiamme	-⌫--|-⌫|--|-|-|-|----|
ueulauonsd	--||----||
ommeet de femme	---|-|-|----|
bienne honneurneantneprisen t	---|-|------|----|-|------⌫|
lepisp rennentle miexdespris ent	-|--|-⌫------|-|---|-------⌫--|
cydi tduleup etdelaig nel	-|--⌫|-|---|-|-||---⌫--|
qui buuoientau nruissel	--|-------||-⌫|------|
lil eupsalasoursebuuoit	-|-⌫---||-|-----|-----|
etli aignel aualestoit	-|-|-----|---|-----|
yreementp arla lileups	-------|-⌫---|-|----|
quimoultestoi tcontralieux	--|----|-----⌫|----------|
p armaltalentparla a lui	-⌫-|--------|----||--|
tu mefais faitil	-|-|---|---|-|
grantannuy	----|----|
l ya i gna uxliarespondu	-⌫|-⌫-⌫---⌫-|-||-------|
siredequoyenne uoiz	---|-|---|-|-|---|
tumas cycesteya uetroublee	-||-|-|----|--⌫-|-------|
nepuis boirem asaoul ee	-|---|----|-⌫|-----⌫-|
autress y m en	-------⌫||-|
irayiecroy	---|-|---|
comiey u eing enmorant desoy	--|-||-⌫---|-|-----|-|--|
lyaignaux adonc li respont	-|------|----|-|------|
sireiab uuezuousamont	---|-|-⌫---|---|----|
de uo usmeuientcequ	-|--⌫-|-|----|-|-|
quoy fait li	---|---|-|
cellia di t n e n	--|-||--⌫||-⌫|
ayuou loir	-|---⌫---|
le leupres pont i en	-|---|---⌫---||-|
scayleuoir	---|-|---|
cemeism e smefist	-|-----⌫-⌫|-|---|
etacestesourseou	-||----|-----|-|
zz mois sicomie croy	-|---|-|--|-|---|
qu eautret e lfist ilamoy	--⌫|------⌫-⌫|---|-||--|
n esuispas t el xsediexmaist	-⌫|---|--|-⌫--⌫|-|---||---|
et quoy pour celeupadit	-|---|---|-|---||--|
iam efa istuorecontra ire	-|-⌫|--⌫-|-|--|------⌫--|
etchosequetu	-|----|--|-|
nedoizfaire	-|---|----|
doncpri stli leupsl	---|---⌫-|-|----||
aig nelpetit	---⌫--|----|
auxdens l estranglesil	--|---||--------|-||
cefont lesrichesrob eours	-|---|--|-----|---⌫----|
l es uicontesl es	-⌫-|-------|-⌫-|
iuge o urs	----⌫-⌫--|
deceulx quilz	-|----|-|--|
ont enloursiustices	--|-|----|-------|
fausse achoisonpar conuoitises	-----|-------|--|----------|
t reuue nt assez poureul xconfondre	-⌫-----⌫-|----|---|---⌫|--------|
fontauxplaizsemondre	---|--|----|-------|
la charleurtolent etla	-|---|---|-----|-|-|
sicomleleu pfist	-|--|-|---⌫|---|
selonlale ttredese scripz	----|-|--⌫---|--|-⌫-----|
uousmonstrer a ydunesouriz	---|--------⌫-⌫||--|-----|
quipar pourchaz etp areng in	--|--|-------|-|-⌫-|---⌫-|
auo i tmes n ag een unmolin	---⌫-⌫|---⌫-⌫--⌫|-|-|----|
pa rexemp leconteruousu ueil	--⌫|-----⌫-|-----|---|-⌫---|
ioursassis t	---||-----⌫|
d e lezlesu eil	-⌫-⌫--|-|--⌫--|
sesgarni sonsappareill a	--|-----⌫---|---------⌫|
se spiezsespeluch a	--⌫|---||--------⌫|
de u ant lipassaunere ne	--⌫-⌫--|-|----|--|--⌫-|
sicommea uent ure lamene	-|----|-⌫----⌫--|-|---|
enquis liaensa	-----|-||-|-|
see lle ertdamede la	-|-⌫--|--|---|-|-|
d ont ellese faisoitsi	-⌫--|---|-|------|-|
acompte de sonest re	------|-|--|---⌫-|
li responta m ie	-|------|-⌫-⌫-|
piecaen aylaseign e urie	----|-|-|-|-----⌫-⌫---|
bienestenmasubie c tion	---|--|-|-|-----⌫-⌫---|
et en ayfaitte mansion	-|-|-|-----|------|
pour herbergiere tiouret nuit	---|---------|-⌫|---|-|---|
f airem ond e duit	-⌫---|-⌫-|-⌫-⌫---|
orremanezan nuitomoi	-|------|--⌫---||--|
ie uous m enraypard r oite foy	-|---|-⌫----|--|-⌫-⌫---|--|
surlamainmole	--|-|-------|
moultaays e	----||---⌫|
rie nny a rez quiuousdesplaise	---⌫|||-⌫--|--|---|--------|
assez a re zfari ne etgrain	----|-⌫--⌫|----⌫-|-|----|
d ublequi rema int a u u ilain	-⌫|--|--|----⌫--|-⌫|-⌫----|
laraineyuaparsa proiere	-|----||-|--|-|------|
end euxs assirent surlap iere	---⌫--||-------|--|-|-⌫---|
moult ytrouue rent a mengier	----||------⌫---||------|
sanzcontredit	---|--------|
etsanzdan gier	-|---|---⌫---|
la s ouriz par	-|-⌫----|--|
amo ur de mande	---⌫-|--⌫----|
a larain edesa	|-|----⌫|-|-|
quilensemble uerite lendie	-|-|-|-----|-----||-|--|
nen menti ray faitell e mie	|-|-----⌫--|---|---⌫|--|
e st bie n app areillié	-⌫-|---⌫|---⌫--------|
seneueeustes té	|-|--|---|--⌫--|
ens encestprelezun ruissel	--|-|---|--|--|-|------|
entr ela un ayetl ebouquel	----⌫|--⌫--⌫-|-|-⌫|------|
laestlamoi e	-|--|-|---⌫|
belle a mi ecar yalons	----|-⌫--⌫|--||----|
tantya urezioyee tdedui t	---||-⌫---|---|-⌫|-----⌫|
iamaisnaurez	-----||----|
talen t iecuit	-----⌫|-|---|
de repairier	-|--------|
tantlipro me tpa r sonen gi n	---|-|---⌫--⌫|--⌫|--|--⌫--⌫|
blandistparsa parole	-------|--|-|-----|
quellela c rutsi	-|---|-|-⌫--|-|
fist quef ole	---|--|-⌫--|
ensamble oluis enesta lee	-------||--||-|--|-⌫--|
lepre fupl ain de	-|--|-|--⌫--|-|
quetouteest lasourizmoui llie e	--|----|--|-|-----|----⌫----⌫|
donc cuid abien estre	---|----⌫|---|----|
arriereu oulo it	------|-⌫----⌫-|
carneuouloita uanta ler	--|-|------|-⌫---|-⌫--|
mais la raine laapp ellee	---|-|----|||---⌫----|
qui aforcelenamenee	--||----||-||----|
tantparamou rtantparp roiere	---|--|----⌫|---|--|-⌫-----|
quelle uinta	-|---|---||
la riuiere	-|------|
maisnepotaler	---|-|--|---|
plus auant	---|----|
alarai nedistenplourant	|-|---⌫-|---|-|-------|
ie orepasser	-|--|-----|
cariene sayonquesnoer	--|-|-|--|-----|---|
prenfis tla rainecefillet	---|---⌫|-|----|-|-----|
l el oyea t on gue rret	-⌫|-⌫--||-⌫-|---⌫---|
lattacherayau	|---------|-|
lariuierepasseron bien	-|------|-------|---|
lasouriz sestdu filloyee	-|-----||--|-|--|----|
a larain e	|-|----⌫|
sestatachiee	|--|-------|
e lgu e semettent sis	-⌫|--⌫|-|------|-||
quan tellesuindrentenparf ont	----⌫|----|-------|-|----⌫--|
laraineno ier	-|----|--⌫--|
oluise commenceaplungie r	|--|-|-------||-------⌫|
lasou riz pipebraitetcrie	-|---⌫--|---|----|-|---|
quic u idabienestret r ahie	--|-⌫-⌫--|---|----|-⌫-⌫---|
une escoufleuintla	--|-------|---|-|
uitl asourizquiua pipant	--|-⌫|-----|--|-|-----|
lesel lesclot aualdescent	--|--⌫--|---|---|------|
luietlarene ensemb leprent	--|-|-|---|------⌫-|----|
e nde uxfur entaufi lpendens	-⌫---⌫-|---⌫--|-|--⌫|------|
la rain efu	-|----⌫|-|
pesantetgrans	-----|-|----|
etle scou fleparconuoitise	-||-⌫----⌫--|--|---------|
l a s our iz	-⌫|-⌫---⌫-|
la it l a ra in e	--⌫-|-⌫|--⌫--⌫|
