ceusqu itropprise chou	---|--⌫|---|----|---|
qu ilneure	-|-|----|
etaprescoule	-|----|--|-|
deshouneure	----------|
il ne faitm i ece kildoit	-|-|---|-⌫-⌫|-||-|---|
ains sefa itensegnieraudoit	---|-|--⌫-|--------|-|---|
de lecoseame retprisier	-|-|---|---⌫|-|------|
eamenuisier	|---------|
ce mesa mblemoult	-|-|--⌫---|----|
lai decose	---⌫-|---|
kitouteiourportel e	-|----|---|----|-⌫|
etpu isle g e teenzz conpieng	-|--⌫-|-|-⌫-⌫-|-|-|-------|
saci ezk a	----⌫-|||
tropuilainletieng	---|-----|-|----|
po u rementlir e nt	--⌫-⌫-----|-|-⌫-⌫-|
sonseruice	--|------|
tiengl ommeatrop	----||---||---|
l egie reacointance	-⌫----⌫-|---------|
sansraison etsansconnoissance	---|-----|-|---|-----------|
me tsam our	--⌫||--⌫--|
en zzhommeest raig ne	-|-|----|---⌫----⌫-|
et ueu t sescuerski l	-|---⌫|--|----||-⌫|
serestraig ne	-|--------⌫-|
don nourersescarn eusam is	|--⌫-----|--|----⌫--|--⌫-|
p our lommeestrange	-⌫--||---|-------|
uil sestmis	|-||--|--|
etlaisttout	-|----|---|
pourceluia mer	---|----|-⌫--|
estnuski li pu ist blamer	--|--|-|-|--⌫--|-----|
iasaceilb ien queciexsoitt eus	-|---|-|-⌫--|--|---|---|-⌫--|
cunspreu d onseroit	|--|----⌫-⌫-|-----|
tou shonteus	---⌫|------|
deluiconpaig nier	-|--|-------⌫---|
silaime ciext an t	-||---|---|-⌫--⌫|
ke s u rtousl	-|-⌫-⌫|---||
onn euree t deporte	---⌫---|-⌫|------|
etsitres grantgrace	-|-|---|----|----|
kilsencun cie	|-||-|---⌫--|
etsedecoit	-|-|-----|
ca r en ce lu iri en sneparcoit	--⌫|-|--⌫--⌫|--⌫--⌫|-|------|
dont faire	---|----|
endoietelloenge	-|---|--|-----|
etraisonsm o ult b iensen reuenge	-|------|-⌫-⌫--|-⌫--||-|------|
carliamou rs faiteensursaut	--|-|----⌫-|----|-|------|
moul tl egierementaillourssaut	----⌫|-⌫---------|-------|---|
ne nipuetfaireloncdemour	-|||---|----|---|-----|
po int ce a	--⌫--|-||
sot emenancolie	---⌫|---------|
ca r quantpercoitsefolie	--⌫|----|------|-|----|
kilatr o pamé sans	||||--⌫-⌫|---|---|
adonkesquiert une	------|-----|--|
u ilaqui ertethonteetblame	|-|----⌫--|-|----|-|----|
carcelui despiteetdi ffame	--|----|------|-|--⌫----|
cui il ahauteamourmoustree	--|-||----|----|-------|
h onteuseamou rsfualentree	-⌫------|----⌫-|-|||-----|
et sel estplus audepa rtir	-|-||--|---|-|----⌫---|
carilfa itbiencelu i s en tir	--|-|--⌫-|---|----⌫|-⌫--⌫--|
kece f u uolente s	-|-|-⌫|-------⌫|
siaquie rtethonte etda mage	-|-----⌫-|-|----|-|--⌫---|
ilpiertle s ie n et sonami	-|----|-|-⌫--⌫|-|--|--|
ieleperco i m oultbie n a	-|-|-----⌫|-⌫---|---⌫||
kitoute iou rme porte roi t	-|----|---⌫|-|-----⌫---⌫|
ason col etme	|--|--|-|-|
auue sp reense nunelonga igne	-|--⌫--⌫-|--|-⌫|--|-----⌫---|
ienaroiemoultgrant en gaigne	|-|----|----|----|--⌫-----|
etuauroi ec eluigrant	-|------⌫|-⌫---|----|
ensi li hom	---|-|--|
q ua ntildesmo nte	-⌫--⌫-|-|-----⌫--|
celuika amédeshonnour	----|||---|-||------|
etlefaityy tans plus menour	-|-|---|-|---|---|-----|
kilnefist grant	|-|-|---|----|
aucommencier	-|---------|
sillen me sciet	|-||-|--⌫----|
cariebiencier	--|-|---|---|
cenestpoi nto e ure crest ien e	-||--|---⌫-|-⌫-⌫--|-----⌫---⌫|
pource aimiecosemoiene	---|-|--|-|---|-----|
ne trop pr isi erne trop amer	-|---|--⌫---⌫-|-|---|---|
netr ophairnetropblam er	-|--⌫-|---|-|---|----⌫-|
ensineseroitnusd ecus	---|-|-----|--|-⌫---|
dunecos emesuipercus	|--|---⌫|-|--|-----|
pourcoiio u aic editempris	---|--|--⌫|-|-⌫|--|-----|
nesai se n monterai	-|--||-⌫|-------|
entenra abricon	-|----||-----|
maisiel ai	---|-||-|
faitpo urlefaucon	---|--⌫-|-|-----|
oisiaxe tbiaus	-----|-⌫|----|
et moultamésdege ntix	-|----|----|-|--⌫---|
l i gentix	-⌫|-----|
ho ma cierloisel	--⌫||---||----|
q uantil leuoit	-⌫---|-|-|---|
etnob leetbel	-|---⌫-|-|--|
moultuolentierssenesbanie	----|---------||-|------|
souu entle	----⌫--|-|
ti enteta p lanie	--⌫--|-|-⌫-⌫----|
etmoulten aime l ed eduit	-|----|-|---|-⌫|-⌫----|
q uant a c h oulanourrietduit	-⌫---||-⌫-⌫-|||-----|-|---|
kelesautres	-|--|-----|
oisiaxdeueure	-----|------|
et lesocist	-|--|----|
etles keurtseure	-|--|----|----|
u l esprent par cuisse	|-⌫-|----|--|-----|
upa r teste	|--⌫|----|
lisires e na moultgrantfes te	-|----|-⌫||----|----|---⌫-|
a d ont estilsoutiex	-⌫-⌫--|--|-|------|
et pource kilestsi ge ntiex	-|---|-||-|--|-|--⌫----|
affiertilbiene nboin	------|-|---|-⌫|---|
pour c ec onk es mais	---|-⌫||---⌫-|---|
alef oi slaplanieette rce	|-|-⌫--⌫||------|-|--⌫--|
etpuisleremet	-|---|-|----|
etfa itgrantfeste desoisiax	-|--⌫-|----|----|--|-----|
kilapris detouslesplu s	|-||---|-|---|--|---⌫|
repaistso n fa uconetfaitg or ge	------|--⌫|--⌫---|-|---|-⌫--⌫-|
d onroitdupaind orge	-⌫-----|-|---||---|
decoiilrepais ts o n	-|--|-|------⌫|-⌫-⌫|
cest libiaxo isiaussans merci	|--|-|---|-⌫-----|---|----|
kideueure eto cistsonpr o isme	-|------|-|-⌫---|--|--⌫-⌫---|
sitos tkill ataint et aproisme	-|---⌫||-||-----|-|-------|
iende sprisemoultsenatu re	|-|--⌫-----|----|-|----⌫-|
cardecelui f aits epeuture	--|-|----|-⌫--|-⌫|------|
cui ildeustp ardroitrepaistre	--|-|----|-⌫-|----|--------|
quant il es tsur l e	----|-|--⌫|--|-⌫|
puingsonmaistre	----|--|------|
et illetient par lesgiesco urt	-|-|-|----|--|--|---|--⌫--|
sel isiresuoitenleco urt	-|-⌫|----|---|-|-|--⌫--|
cocnegelinenecapon	--|-|-----|-|----|
su n peuse sba td	|-⌫|--||-⌫---⌫||
ungran tbast on	-|----⌫|----⌫-|
lisi reslesencacera	-|--⌫--|--|-------|
cascu nsdesp o ulessenfu ira	-----⌫-|--|-⌫-⌫---||-|--⌫--|
e tirontlor	-⌫|----|--|
peu t u requerre	---⌫-⌫-⌫-|-----|
toutgratonnant a ual leterre	---|---------|-⌫--|-|----|
uensufuerreuens lepaille	|--||-----||--|-|-----|
et silfauta ufauconu itaille	-||-|---|-⌫|-----|-⌫------|
onrecour raluesau poulier	-|------⌫-|---|-|------|
siaporteonleceu alie r	-|-----|-|-|---⌫----⌫|
des espo ules tou tle	-|-⌫-|--⌫---|---⌫|-|
re paistson oisel	--⌫----|--|----|
moultest li faucon shonnourés	----|--|-|------⌫|---------|
et quant plus estasse urés	-|----|---|--|----⌫----|
ses iresacequemiexuaille	-|-⌫---||-|--|---|-----|
dontto u rne le col et	---|--⌫-⌫--|-|--|-|
sestau ssitost	|--|--⌫--|---|
morscunspouc ins	---||--|----⌫--|
lematineetoutd escins	-|------|---|-⌫-----|
lisiresenp ur sa	-|----|-|-⌫-|-|
leuaueoir pasn ereuele	-|-|----|--|-⌫|-----|
qu antille	--⌫--|-|-|
troeu e mo rtpendan t	-----⌫|--⌫-|------⌫|
sace al uit endant	---||-⌫-|-⌫-----|
par le syy pies etpu isl er ue	--|--⌫|-|---|-|--⌫-|-⌫|-⌫-|
parmaltalentenmilerue	--|--------|---|-|--|
hounere ́senest	-------⌫-|-|--|
li fumie rs	-|-----⌫-|
pou rciaxi uient	---⌫----||----|
uc iensua ucu neautrebeste	|-⌫---||-⌫---⌫-|----|----|
si fait de	-|---|-|
c elfaucon se	-⌫-|-----|-|
desront sonbe l plumage	------|--|--⌫|------|
uéscigran t h onteet	---|-|----⌫|-⌫---|-|
gr antdamag e	--⌫--|-----⌫|
quantciex ki tant l au oitam é	----|---|-|---||--⌫--|--⌫-|
enliu sidiffamé	-|--|-|-------|
quetousiours	--|---|----|
sursonpuing lauoit	--|--|----||----|
et or estoupe quantleuoit	-|-|------|----|-|---|
p ourl apuou r	-⌫--|-⌫|----⌫|
etnesetbouce	-|--|-|----|
nilnefaittantq uei l	|-|-|---|---|-⌫-|-⌫|
desonpietancoi ssendestourne	-|--|---|-----⌫||-|--------|
lik euskisonmengier a t our ne	-|-⌫--|-|--|------|-⌫-⌫---⌫-|
ne li apas	-|-||--|
s onfauc o nato urné	-⌫-|----⌫-⌫|---⌫----|
mais uiandeplus d elitable	---|-----|---|-⌫-------|
carqua ntlisire s sietatable	--|---⌫-|-|----⌫|---||----|
dun c aponenr ostestseruis	|-|-⌫---|-|-⌫--|--|-----|
pourlefauconfu asseruis	---|-|-----|-|-------|
orestaportéagrantfeste	-|--|------||----|----|
car lisiresdrece le teste	--|-|----|----|-|----|
metdeu ant luil	--|---⌫--|--||
aincmaisneuit	---|---|-|--|
nesiboinne si	-|-|---|-|-|
or e stli poules eureu s	-|-⌫-|-|-----|-----⌫|
qua n tilsert	---⌫-⌫|-|---|
aboucede conte	|----|-|----|
etlisiressipeuaconte	-|-|----|-|--|-----|
asonfaucon	|--|-----|
et molt harroit	-|---|------|
lui l a porteroit	--||-⌫--------|
poulet k ilmaneca	-----||-|-----|
pourlefaucon etdecacha	---|-|-----|-|------|
aime etliu ient a plais ance	---|-|-|-⌫---||-----⌫---|
ués cibele se ne fiance	---|-|---|--⌫--⌫-----|
