roi gouern erentl acite	--|------⌫----|-⌫|---|
to utauantromulusen	--⌫-|----|------|-|
premi ersroisci lesta bli yy	-----⌫--|---|--⌫|----⌫--|-|
co rzd esenatorsenchascune	--⌫-|-⌫|-------|-|-------|
co rten auoittroisdis	--⌫-|-|----|----|--|
foiztro is	---|---⌫-|
itantauoitde ces	----|----|-|--|
senat orsceestoientencien home	-----⌫--|-|-------|-----|---|
quiparlorsens aidoie n t	--|--|--|---|------⌫-⌫|
gou ernercomeli pere	---⌫----|---|-|---|
anfant etles	-----|-|--|
apeloit l e np ereses c rizca r	------|-⌫-⌫|-⌫---|--⌫-⌫--|--⌫|
quantromul us	----|-----⌫-|
les ot esleuz	--|-|-----|
il escrist lor n onsen unes	-|------|--|-⌫--|-|---|
tablesdorauantque il	-----||-|-------|-|
aum enupu ep le	-|-⌫--|--⌫--⌫-|
tarquiniusli orgueillex	---------|-|---------|
liderriei nsroisde	-|-------⌫-|---|-|
cilfuen uoiez	--|-|--⌫----|
en e ssil par	-|-⌫---|--|
sa cruautelorsfuabat uela	-|------|---|-|----⌫-|-|
dign etezdeuroiaumeetest ablir ent	----⌫---|--|------|-|---⌫-----⌫--|
queyyp r odome	--|-|-⌫-⌫----|
fus sentpar de sorles	---⌫---|--|--⌫--|--|
senatorsquiconseillassent	-------|--|-------------|
et fussentrem uéchascun e n	-|------|---⌫--|------|-⌫|
que li remuemenzlortosi st	--|-|--------|--|----⌫-|
achoisonde	-------|-|
malferee tde mon ter	--|---|-⌫|-|---⌫--|
enorgoil liuns sentremetoi t	-|-----|-|--||----------⌫|
deconseillier	-|----------|
la cited e	-|---|-⌫|
rome pardedenz	---|--|-----|
sentrem e t oit	|------⌫-⌫-⌫--|
deschoses foreinnes	--|-----|--------|
cheualeries orde ner	----------|----⌫--|
cist est oientapelé c onsele	---|---⌫----|-----|-⌫-----|
l apr emieredignetez	-⌫|--⌫-----|-------|
ap res les rois nus ne	--⌫--|--|---|--|-|
se mein te noi t enceledignetesi	-|----⌫--⌫---⌫|-|---|------|-|
loiaumentqe il	--------|-|-|
poist dem orer	----|---⌫---|
unan ensamb leme sau tierz an	-|-|------⌫-|--⌫|-|----|-|
ouquartlerepooitlen	-|----|-|------|--|
bieneslir ea	---|-----⌫||
celedign e t e	---|----⌫-⌫-⌫|
elquint an	-|----|-|
q ueta rquiniu s	-⌫-|--⌫-------⌫|
fuchaciezde rome	-|------|-|---|
establiren t l iroma inune	----------⌫|-⌫|----⌫-|--|
a u tre dig n etecarunsgendres	-⌫-⌫--|---⌫-⌫--|--|--|------|
tarquiniusauoitunegr antost	---------|----|--|--⌫--|--|
assamb leecomeporuangier la	------⌫--|---|--|------|-|
honte sonseigneu r porcele	----|--|-------⌫|--|---|
criemefucel edignetez	-----|-|---⌫|-------|
etporadrecierc equine	-|--|-------|-⌫|--|-|
p ooi te streadreci é	-⌫---⌫|-⌫---|------⌫-|
p arlesyy conseles	-⌫-|--|-|-------|
encel edigneteau oityy	-|---⌫|------|--⌫--|-|
pre udomes etl esapeloit lendist ato rs	---⌫-----|-|-⌫-|------|--|----⌫---⌫-|
carceq u e ildi soientest oit	--|-|-⌫-⌫|-|--⌫-----|---⌫--|
lid itde cels qui	-|-⌫-|-|---|--|
estoient comandeeuret mestre d eu	-------|---------|-|-----|-⌫-|
pueplec incanzduroitlor	-----|-⌫--|--|-----|--|
baillie et po r cee stoi entil	------|-|--⌫|-|-⌫----⌫--|-|
plushautq ue liconse le	---|---|-⌫-|-|-----⌫-|
quine duroientqueun an	--|-|-------|--|-|-|
liunsde ces	-|--|-|--|
tr oisd istators	--⌫--|-⌫-------|
porueoitala comunebesongnede	-------||-|-----|-------|-|
la cit e li duia lo ient	-|---⌫|-|--|-⌫--⌫---|
horsesbata il le sen diu er sescontrees	---|-|----⌫--⌫--⌫|-|---⌫--⌫--|-------|
cesdi gnetez estoientles gre ignors	--|--⌫-----|-------|--|---⌫-----|
a utres demeneurh aute ce	-⌫----|-|-----|-⌫----⌫-|
sic ometrib unquestor edile	-|-⌫--|----⌫-|------|----|
uesq uepretor	----⌫-|-----|
pat rice censorcyliar checenturiondecurion	---⌫---|-----|------⌫--|--------|-------|
tribun estoientcil	-----|-------|--|
d onoient aideet droitureau	-⌫------|---|-|-------|-|
puepleet as c he ualie rs celseslist	-----|-|-|-⌫--⌫-----⌫-|---|-----|
lipueplesde ro me un an	-|------|-|--⌫-|-|-|
apresle sdistatorsce fu eu	----|--⌫|--------|-|-|-|
s istean a p rescequ el iroi	-⌫---|-|-⌫-⌫--|-|--⌫|-⌫|--|
enf urentchacié cestrib uns	-|-⌫----|------|--|----⌫--|
ape l oi t len desfensorsporce	---⌫-⌫--⌫|--|---------|--|-|
queil ai doientle	--|-|--⌫-----|-|
menu pue p le	---|---⌫-⌫-|
a desfendrequantli senatorlor	|--------|----|-|------|--|
fesoi enttortquestorestoientli	-----⌫--|---|------|-------|-|
en qu e reeu rdesdroizetdes	--⌫--⌫-⌫----⌫|--|----|-|--|
torzetestoi en t	---|-|-----⌫--⌫|
as consels	-|------|
doneredileestoi entcilqu i	----|----|-----⌫--|--|--⌫|
ord enoientl esgeusetleschaces	---⌫------|-⌫-|---|-|--|-----|
etdiso ientleshoresetlesiors	-|----⌫---|--|----|-|--|---|
que len deu oitchacier ou	--|--|---⌫--|------|-|
ioeretas senoie ntles	---|-|--⌫------⌫-|--|
lend euoi t	--|-⌫----⌫|
lesgeusfere	--|---|---|
et fei soientrapar eillierlescoumunes	-|---⌫-----|-----⌫------|--|-------|
mesons sicomelecapitoile	-----|-|---|-|--------|
lestemples et lesthea itres	--|------|-|--|----⌫----|
uesqueestoientcilq ui	-----|-------|--|-⌫-|
p ri ncee t mest reest oien tdes	-⌫--⌫--|-⌫|----⌫-|---⌫----⌫|--|
sacreficesetdesprestres qui	---------|-|--|-------|--|
gardoientle s temples de	--------|--⌫|------|-|
pretoresto ientpreuoste t co nma nd eeur	-----|----⌫---|------|-⌫|--⌫---⌫--⌫---|
et garde des	-|----|--|
pleidoi t p atrice estoientcil	-------⌫|-⌫-----|-------|--|
lorpoo i r gardoient	--|---⌫-⌫|--------|
lepuepleconfetli	-|-----|--|--|-|
anfant censorestoient	-----|-----|-------|
cilquii ugem e nt	--|--|-⌫----⌫-⌫-|
dono ie nt	----⌫--⌫-|
despatremoinesetdes	--|----------|-|--|
mue b le s	---⌫-⌫--⌫|
cyliarcheestoi entc o nestabl edemilch eualierscent urion	--------|-----⌫--|-⌫-⌫-------⌫|-|--|--⌫-------|----⌫----|
decentde curionde dix	-|---|--⌫-----|-|--|
desor toutes ces bailli esuint	----|-----|--|------⌫-|---|
apreslinonsdeempereor	----|-|---|-|-------|
iuil les xmfuliprem ier s	----⌫--|-|-|-|----⌫---⌫|
quipartelnonse fistapele r	--|--|--|--|-|---|-----⌫|
sico nlentroueracia pre s	-|--⌫|--|------|-|-⌫---⌫|
ilauoi tes téemplusors de	-|----⌫|--⌫--|-|------|-|
cesbaillies auderrien	--|-------|-|------|
sefist c lamerem pereo r	-|---|-⌫----|--⌫-----⌫|
