deunedulceescrit orrez lasume	-|--|----|-----|----|-|---|
dirra i la uiedunseinthome	-----⌫|-|--||-|----|---|
ki puramur sun chere seignur	-|--|---|--|----|------|
outfeime freit e	--|---||----||
grantlabu r	----|----⌫|
ensur ketutodb estesmuez	-----⌫----|-|-⌫----|---|
uesquimeint a n	-----|----|-⌫|
erbes crue s	----|----⌫|
gentilz h om fud e g rantparage	------|-⌫-|-|-⌫|-⌫---|-----|
richedeterreed er itage	----|-|----|||--⌫----|
poi preisa	--|-----|
co m ustrat il	-|-⌫-----|-|
karpur estre po uree me ndis	--|--|----|--⌫--||--⌫---|
gerpi saterree sesami s	----|-|----||--|---⌫|
fuitdela contree	---|-|-|------|
couert ementeacelee	------⌫----|||----|
ke ne l soutami	-|-||---|--|
puissiuesquimu tse in tement	---|-|-----|--⌫|--⌫--⌫-----|
degrant relig i un	-|----|-----⌫-⌫-|
degrecefudgiles	-|----|--|----|
nefudpasde bas semain	-|--|--|-|---⌫-|---|
deua uassurnedeuilain	-|--⌫-----|-|-|-----|
nez fuddepr inces	--|--|-|--⌫----|
t uz seslignagesfudgr ege is	-⌫-|--|-------|--|--⌫---⌫-|
dede nz athenes lacite	----⌫-|------|-|---|
fudci stgires	--|--⌫-|----|
nurriet nee	----|-|--|
sesperesout nontheodor us	--|----|--|--|-------⌫-|
ric hesdeter r eedauerplus	---⌫--|-|---⌫-⌫|||---|---|
samer e out	-|---⌫|--|
nonpelagia	--|------|
entut france n e deca	-|--|-----|-⌫|---|
naueitf emme desamanere	|----|-⌫---|-|-|-----|
si chas te ne sia l moner	-|----⌫-|-|-|-⌫-⌫----|
enelsdous outbonassemblee	-|--|---|--|--|--------|
a lap arfin fudben	|-|-⌫----|--|--|
andui boneuiemenerent	----|---|--|-------|
d euser uir ente aurerent	-⌫-|---⌫---⌫--||-------|
p lu sd elur	-⌫--⌫|-⌫|--|
dedeu seruir ee noiteiur	-|--|------⌫||---||--|
deu l urdunatun petitfiz	--|-⌫-|----|-|----|--|
dunsuntdeioierepleniz	--|---|-|---|-------|
multenf u rent	---|-|-⌫-⌫---|
siparentlez	-|-----|--|
agrantio iefudb a p tiz ez	|----|--⌫-|--|-⌫-⌫-⌫---⌫-|
girelapelent decherte	---||------|-|-----|
p arlesparenz	-⌫-|--|-----|
fudcon fermé	--|---⌫-----|
quantui n ta	----|--⌫-⌫||
l hede se tanz	|-|-|--⌫|--|
multertcre u emul tfud granz	---|--|---⌫||---⌫|--|----|
alettr esl ad	|-----⌫-||-|
a ladiuinite sestpris	|-|-------||--|---|
