enhauteuoizseste scrié	-|----|---||--|-⌫-----|
endol t ut	-|--|-⌫-|
nauerezgarrant	|-----|------|
pur uost rede	--|----⌫-|-|
qu antil o tm ort le b on	--⌫--|-|-⌫|-⌫--|-|-⌫-|
ariere enchaca	-----|------|
auantsunest andart	----|--|---⌫-----|
bai ll e untuenard	---⌫--⌫|-|------|
ela batai ll e futmut	|-|-----⌫--⌫|--|--|
es lor puinnantgau tierdem aus	-|--|-------|---⌫---|-|-⌫--|
fize rn eis und uc franceis	--|-⌫--⌫--|-|-⌫-|-------|
e ui tgormund elpui	|--⌫|------|-|--|
s i llo res ne	|-⌫|--⌫--|-|
iostea lui	----||--|
duncse tendrapur r ec reant	---|-|-----|--|-⌫--⌫----|
de se spurunspointl auferant	--⌫|-⌫------|----||-------|
enfis traerlesanc	-|---⌫|---|-|---|
alrei xme nuint	-|--|-|-⌫|---|
fiertsursun	----|--|--|
esc udeuant	---⌫|-----|
quil lip ece iemaintenant	-|-|-|-⌫---⌫-|---------|
lehaub ercdesmael ee	-|----⌫--|-------⌫||
passé liad iostele flanc	-----|-|-|----|-|----|
nenabat nientde sanc	--|---|----|-|---|
nede suncors nelifistdam	-|-|--|---|-|-|---|--|
l ance undart trenc hant	-⌫---|-|---|-----⌫---|
parm ile co rs	----⌫|-|--⌫-|
tries licunsen tun a leman	----|-|------⌫|-|-⌫----|
queambesdo usle sabat	--|-------⌫-|--⌫|---|
limeudrer ei	-|-----|-⌫-|
el eplusfranc	|-⌫|---|----|
quiunquesfustel	--|-----|---|-|
mundeui uant	----|--⌫---|
se ilcreustdeule	-|-|-----|--|-|
s est es criéhautenoan t	|--|--⌫----|---|-|---⌫|
ces crestienssunt	--|--------|---|
nu ns auant	--⌫|-⌫----|
quideiust er	--|-|----⌫-|
meuonthastant	-|---|------|
neuoil queia unsul	-|---|--|-|-|--|
tuzserruntmort u	--|------|---||
re cre an t	--⌫---⌫--⌫|
quanti lot	----|-⌫|-|
morzlesb onsuassaus	---|--|-⌫--|------|
a rie reencha ca l escheuaus	-⌫---⌫-|-----⌫-|-⌫-|------|
puismist au a ntsun estandart	---|---|--⌫-⌫-|--|--------|
nemlibailleuntuenard	|-|-|-----|-|------|
desu sqaioualachapele	----⌫|----||-|------|
futlabataillefor tepesme	--|-|-------|---⌫||----|
fier teesboele	----⌫||------|
quicu ns ui t nellaiste n sel e	--|--⌫--⌫--⌫|-||----|-⌫|---⌫|
uestueade mortnuu ele	-----||-|---|---⌫--|
e islurtierri determes	-⌫-|--|-----|-|-----|
s urun cheual baid e chas t ele	-⌫-|-|-----|--|-⌫|----⌫-⌫--|
gesque sal	------⌫|-|
rei x mnareste	--|-⌫||-----|
f ie r t s ur latarge	-⌫--⌫-⌫|-⌫-|-|----|
frein te eschantele	-----⌫||---------|
sahanstebri se par a s teles	-|-----|---⌫-|--|-⌫-⌫----|
e xm ad lespeetr aite	|-|-||----|--⌫---|
siladfer u surlehea ume	-||-|---⌫|--|-|---⌫--|
latest e en fistuol eradestre	-|----⌫|-|---|---⌫-||-----|
tresdeuant	---|-----|
b e l herb e	-⌫-⌫|----⌫|
puisliadditune	---|-|-|--|--|
qu i asf ranc eisne futpasbele	--⌫|-|-⌫----⌫--|-|--|--|---|
leuostre deun est	-|-----|--||--|
tant h oneste	---|-⌫-----|
queiluu spusse	--|-|--⌫|----|
garantestre	-----|----|
quantil otmo rtle	----|-|-|--⌫-|-|
bonu assa l	--|-⌫----⌫|
ar ierecha ca lecheual	--⌫---|---⌫-|-|-----|
puismis t au antsunestandart	---|---⌫|--⌫--|--|--------|
bailleun t oe nart	-----|-|-⌫--⌫---|
desu s qaiouenla champaine	----⌫|----|-|-|--------|
fut labataillefortegrant	--|-|-------|---||----|
ei s uuspuinantliquensde	--⌫|--|------|-|----|-|
tuteslescéparmi	--|-------|----|
ouit xmcelui	|--|-|----|
d o r ient e	|-⌫-⌫----⌫|
sursun escu li	--|--|---|-|
d onagrande	-⌫--|-----|
dunoraut rel i fist	|-|-|---⌫-|-⌫|---|
lablanche broine descuncen dre	-|------|-----|---------⌫--|
mes nepo t m ieenlacarprendre	--|-|--⌫|-⌫-|-|-|--|------|
xmli l anca une tambre	-|-|-⌫---|--|-----|
parmile cor s	----|-|---⌫|
liuaitbruiant e	-|---|-------⌫|
dela utrepartfierten la	-||-⌫---|---|----|-|-|
licorscheti ussis en uait lal me	-|---|---|-⌫-|-||-|---||--⌫-|
edistxmc ist	|---|-|-⌫--|
ico stefole	---⌫--|---|
gentde f ran ce	---|-|-⌫---⌫-|
mut paruntil fol e esperance	--|--|--|-|---⌫|--------|
uers meidescent	---|--|------|
neu oilqueunsul se n	-|-⌫--|--|-|--||-⌫|
quant il otmortle bon u assal	----|-|-|---|-|--|-⌫----|
ariereen chacasuncheual	-----|--⌫----|--|-----|
untuen ar t	-|----⌫--⌫|
liesturfutmutfiermanei s	-|----|--|--|---|-----⌫|
eisl ur eodondecamp aneis	--|-⌫-|----|-|----⌫----|
celuiquitint c har t resebleis	----|--|---|-⌫---⌫-⌫--||----|
cha stelandonengatinei s	---⌫---|----|-|-------⌫|
esistsurundes trier	|---|--|-|---⌫----|
euai tfer ir xm lereis	|---⌫|---⌫-|-|-|---|
desunescutr e nchale	-|--|---|--⌫-⌫---|-|
des unblanchaub erc lesp leis	-|-⌫-|----|----⌫--|--|-⌫---|
mais nenpotmi eencha r aueir	---||-|--|--⌫|-|---⌫|----|
iltre st lebrantdecoleneis	-|---⌫-|-|----|-|-------|
sur sun hel mel en	--|--|---⌫-||-|
tutlenclinotencontresei	--||-------|-------|--|
ialeustmorticist	-||---|---|----|
lui lancaunireis	--|----|-|----|
ocists unbonm oreis	----|-⌫-|--|-⌫----|
adi s txmorestsurdeis	|--⌫-⌫|-|-|--|------|
uusfussiez miez	--|------|---|
enest ampeiz	-|---⌫-----|
perdu auezuostre more i s	----|---|-----|----⌫-⌫|
r e cour ezdes meis	-⌫-⌫----⌫-|--|---|
ciremeindrez ensembleodmei	-|---------|-------|-|--|
ostelpr endr ezalb riue r ei	----|--⌫----⌫-|-|-⌫----⌫-⌫-|
illilanca und art tutdreit	-|-|----|-|-⌫--|--|----|
deulad gua ri ace le feiz	--||-|---⌫-||--⌫-|---|
kuinipotmi e sun char	--|||--|--⌫|--|---|
e cil sen torne	|--||-|----|
li estur f ut	-|----|-⌫-|
ela b ataille	|-|-⌫------|
eislurlecontedepeitiers	--|--|-|----|-|-------|
surundestrier sorbauzan	--|-|-------|--|-----|
silorsne u ait a	-|---|-|-⌫--||
luiiust er	--|----⌫-|
du n csetendrapurafolé	--⌫-⌫|-|-----|--|-----|
cheualparlescostez	-----|--|--|-----|
fistlesancuoler	---|-|---|----|
axm est alé iust er	|-|--|---|----⌫-|
sil fi ertsur sunescube ndé	-||--⌫--|--|--|---|--⌫---|
l i adfreit	-⌫|-|----|
lehauberc rumpue	-|------|----||
de sa fré	--⌫--⌫---|
mesnenapassun corsdampné	--|--||--|--|---|------|
exm tretle br antletré	|-|---|-|--⌫--|-----|
ge squalbraell attutc opé	--⌫--|-|----||-|--|-⌫---|
lemeudr e rei eleplus	-|-----⌫|--||-|---|
quiunques fust	--|-----|---|
depaiensné	-|-----|--|
ahauteuoiz seste scr ié	|----|---||--|-⌫---⌫--|
uos estesen	--|----|-|
d eltut fine ́	-⌫-|--|----⌫|
n aurezgarantpu ru ostre de	|----|-----|--⌫|-⌫----|-|
quantotmor t le	----|-|---⌫|-|
bon u a ssal	--|-⌫-⌫---|
ariere enchacale cheual	-----|------|-|-----|
auant s unestandart	----|-⌫-|--------|
laliba ille un tuenart	-|-|--⌫---|-|------|
labataillefut es ba ldie	-|-------|--|--⌫--⌫---|
edolfe rire nmaneuie	|--|--⌫--|-⌫-------|
eis lur li	--|--|-|
quensdenorme ndie	----|-|-----⌫---|
celuiquide ruemfutsi re	----|--|-|---|--|--⌫-|
edefescampfistl abbeie	|-|------|---||-----|
aureixmespie	-|--|-|----|
iosteriuait sun corsmeimes	-----||---|--|---|-----|
pleines alancele	-----|-⌫|----|-|
ceodit la geste	--|--|-|----|
aseintdenise	|----|-----|
nefus tlahanste	-|---⌫|-|-----|
quelibr ise	--|-|--⌫--|
celui lustgetéd eu ie	----||--|----|-⌫|-⌫-|
xmli lance	-|-|----|
p armi lecors li	-⌫---|-|---|-|
est saill i e	--|-----⌫-⌫|
de lau tre pa rtsenesteissie	-||--⌫--|--⌫-||-|--|-----|
fiertundanzeldelum bardie	----|-|-----|-|---⌫-----|
kandousle sad ge t e ́ de	|-----|--⌫|-|--⌫-⌫-⌫|-|
lireisxmenhauts	-|---|-|-|---||
i cestegent folee sbaie	-⌫----|---|---|-⌫----|
mul tpar i firent	---⌫|--||-----|
grant folie	----|----|
qu ant iluers mei	--⌫--|-|---|--|
b at aillepristrent	-⌫--⌫----|--------|
neuoi lqu e iaunsuls en	-|---⌫|--⌫|-|-|--||-|
tutserrun t mortdemalmartire	--|------⌫|---|-|--|------|
quantilot mortles bonsu assaus	----|-|-|---|--|---|-⌫-----|
