sauoir doiuent	-----|------|
to utpecheeur	--⌫-|-------|
et l i petit etli meneur	-|-⌫|----|-|-|-----|
quedeu antceque ihesuscriz	--|---⌫--|-|--|-----|---|
uenistenterrepar	-----|-|----|--|
fistde sprophete sanu n cier	---|--⌫|--------⌫|---⌫-⌫---|
sa uenue ente r re	-|----|-|--⌫-⌫-|
que diexson	--|---|--|
filenuoieroit	--|---------|
et sou ffe r roit	-|---⌫---⌫-⌫---|
moutdetour menzmout ded oleu rs	---|-|----⌫---|---|-|-⌫----⌫-|
moutdefroiz et	---|-|----|-|
moutdesueu rs	---|-|----⌫-|
aicel te nsqueieuou sconte	|---|--⌫-|--|-|---⌫|----|
etprinceetducetconte	-|-----|-|--|-|----|
nostr espremie rsperesadam	-----⌫-|------⌫-|----|---|
eueno mereetabraham	--|-|---|-|------|
ys aac iac obyheremye s	--⌫--|---⌫-|--------⌫|
e t li prophetes ysayes	-⌫|-|--------|-----|
toutprophete toute	---|-------|----|
a utre ge nt	-⌫---|--⌫-|
boene tmauueis	---|-⌫|------|
co mmunement	--⌫--------|
cestsiecledep artoient	---|-----|---⌫-------|
tout dr oit enenfersen aloient	---|--⌫--|-|----||-|------|
quantlid eablesli	----|-|-⌫-----|-|
l es auoiten enferboutez	-⌫-|----|-|----|-----|
gaaigni ezauoirlesqu i doit	-------⌫-|----|--|--⌫-⌫---|
et encead e s mouts efioit	-|-|-|--⌫-⌫|---|-⌫|----|
lesboennes ge nzconfortauoient	--|------|--⌫-|------|------|
oufildieuque il atten d oient	-|--|---|--|-|-----⌫-⌫----|
lorssiplut a	---|-|---||
nostreseigneu r	-----|-------⌫|
quilnous fe isttrestouz honn eur	-|-|---|--⌫--|-------|----⌫--|
e tqu il enterr e	-⌫|-|-|-|----⌫|
descendist	---------|
et nost reh umeinnecharprei st	-|----⌫-|-⌫------|---|----⌫-|
deden zla uirg esaumbr a	-----⌫|-|----⌫||-----⌫|
tele co mla	---|--⌫|-|
uoustlafourma	----|-|-----|
simple doucemoutbienaprise	-----|----|---|---|-----|
fistasad euise	---||-|-⌫----|
pleinnef u detoute sbon tez	------|-⌫|-|-----⌫|---⌫--|
e nliassis ttoutes	-⌫|-|-----⌫|-----|
ele estf leiranzcommees gle ntiers	--|--|-⌫------|----|--⌫---⌫-----|
eleest ausi comlirosier s	--|--|---|--|-|------⌫|
quele portaladoucerose	-|--|----|-|----|---|
quifu dedenz	--|-|-----|
sonu e ntree ncl ose	--|-⌫-⌫---|-⌫---⌫--|
elefumarieapelee	--|-|----|-----|
d etous biens est enlu minee	-⌫|---|----|--|----⌫----|
marieestdit e	----|--|---⌫|
filledieu est s iests a mere	----|---|--|-⌫|--|-⌫|---|
et ioachins	-|-------|
sileng enra	-||---⌫---|
an nesamer elaporta	--⌫-|-|---⌫|-|----|
qui andu ia ncienestoi ent	--|----⌫|-⌫----|-----⌫--|
onques enfant	-----|-----|
e unauoient	-⌫||------|
mei s mou tenestoienti rie ́	---⌫|---⌫|-|-------|-⌫---⌫|
e t diexleureut tostpourchacié	-⌫|---|---|--|---|----------|
par son a ngl e	--|--|-⌫---⌫|
quil enuoia	-|-|-----|
aioac hymquantil ala	|----⌫--|----|-|--|
oudeserta ses past ouriaus	-|-----||--|----⌫------|
e tdemouraaueques a us	-⌫|------|------|-⌫-|
pourcequecourouciezestoit	---|-|--|---------|-----|
desoffran dequeliauo it	-||------⌫-|--|-|---⌫-|
l es ues queou templere fusee	|--⌫---⌫--|-|-----|--⌫----|
pource que nauoitengenree	---|-|--||----|-------|
n ule porteureensa fame	-⌫--|-------|-|-|---|
des ameiso nd ame	-|-⌫|-----⌫|-⌫--|
ce dist l an glesaioachyn	-|---||--⌫---||------|
uat ost sitemes t	-|-⌫--|-|-|---⌫|
a uc hemin	-⌫|-⌫----|
quediexle tapar mo imandé	--|---|-|||--|--⌫|-----|
etsemailmo ut	-|-|||-|--⌫-|
enseurquetoutque	------------|--|
t auole n teziert	-⌫|----⌫-⌫--|---|
unepuceleaurras	--|-----|-----|
e tmarielapeleras	-⌫|----||-------|
danneta fameiert engenree	|---|-|---|---|-------|
en sonuentresaintefiee	-|--|-----|---------|
nen sauiene pechera	|-|-|--|-|------|
toutsona ageque uiura	---|--|-⌫--|--|----|
de cenesoies e sperduz	-|-|-|----|-⌫------|
etqueien soiemieuz	-|--||-|---|----|
pa r iherusalem t eniras	--⌫|---------||-|---|
et alaporteenconterr as	-||-|----|---------⌫-|
tafamepui suous eni re z	-|---|---⌫|---|-|-⌫--⌫|
en uo me ison	-|-|--⌫---|
et siserez	-|-|----|
ensemblecomme	-------|----|
boennegent	-----|---|
ai nsiaue ndraur aiement	--⌫--|---⌫---|--⌫------|
lepueple que i lfei tauoit	-|-----|--|-⌫|---⌫|----|
etdadamcouuenoit	-||---|--------|
rai embree tgit erhorsdenfer	---⌫----|-⌫|---⌫-|---||----|
q ue tenoiten closl uci fer	-⌫-|-----|--⌫---|-⌫---⌫--|
pour le pechie dadamnopere	---|-|-----||---|-|---|
que lifistf eire euenomere	--|-|---|-⌫---|--|-|---|
par la pomme	--|-|----|
quele meni a	-|--|----⌫|
etquelesonmarid onna	-|-|--|--|---|-⌫---|
e ntendezenquantesm enniere s	-⌫------|-|------|-⌫-------⌫|
nousrac heta di ex nostrespere s	---|---⌫---|--⌫-|------|----⌫|
liperes la r aenconfist	-|----|-|-⌫-----|---|
