cefuapasque slafeste	-|-||------⌫|-|----|
ded enznerbone ful i qu ensaymeris	---⌫--|------|-|-⌫|--⌫--|------|
ueuzfu etfrail es	---|-|-|-----⌫-|
li ientixquens depris	-|-----|----|-|---|
de iosteluihe rmen ia rz	--⌫----|--|--⌫----⌫--⌫-|
qu i sifubla n checomel aflo rde	--⌫|-|-|---⌫-⌫--|---|-⌫|---⌫|-|
le corslich iet	-|---|-|--⌫--|
etlachi ere etleuis	-|-|---⌫--|-|-|--|
l acharlitre nblesozl epelicon gris	-⌫|---|-|---⌫---|--|-⌫|------|---|
damecontessed it li	---|-------|-⌫-|-|
quens aymeris	----|------|
lamer cideu quepucele	-|---⌫-|--|--|-----|
aiyya nztoz a conpliz	-|-|-⌫-|--|-⌫------|
sienauonsyyfilles	-|-|----|-|-----|
n eueuzenaiius q	-⌫----|-|-|---⌫|
parmaintesterresai	--|------|-----|-|
mesoirsdepartiz	--|---|-------|
a anseu necel es traniepai s	|-----⌫-|--|--⌫-----|---⌫|
estzzmiensf il z garins	--|-|----|-⌫--⌫|-----|
et aorenie guillaumeslimarchis	-||-----|---------|-|------|
et ene spaigne aymer sli	-|-|-⌫------|-----⌫|-|
eta brubant es t	-||------|--⌫|
berna r zli floriz	-----⌫-⌫|-|-----|
biaullandeher na uz lipoestis	---------|---⌫--⌫-|-|------|
naque g uibertremesen ces tp ais	||--|-⌫-----|----|-|---⌫|-⌫--|
quienl a croiz fudesarrazin smis	--|-|-⌫|----|-|-|--------⌫|--|
cestli pl usiu enessi estliplu s	|--|-|--⌫-|--⌫---|-|--|-|---⌫|
mine ueu sontp ar	-|--⌫--|---|-⌫-|
celautrepais	--|----|---|
ca rao renge	--⌫||-⌫----|
siestgir ar ze tguis	-|--|---⌫--⌫|-⌫|---|
gauti e rsdetermesso ef	-----⌫-⌫-|-|-----|--⌫-|
d elplanteis	-⌫-|-------|
a floiriuile	|---------|
liie ntils	-|--⌫----|
atera scon eest guiberzl i marchis	|----⌫----⌫|--|------|-⌫|------|
etgu i elins	-|--⌫-⌫----|
li preuzet li	-|----|-|-|
etfoquerez li	-|-------|-|
buensuassaxdepris	----|-----|-|---|
qui uer s tib a utlo	--|---⌫|---⌫-⌫-|-|
fortro i poestis	---|--⌫|------|
conqu istparfo rce lodestrierarra bi	-----⌫--|--|--⌫--|-|-------|----⌫-|
di conte ss eseignoris	-|-----⌫--⌫|--------|
quenesauonslesores nelesdis	--|-|-----|--|---|-|--|--|
conb i e nd e terme	----⌫-⌫-⌫|-⌫|----|
ensenble s eron s	-------|-⌫----⌫|
quilero nsnos	--|----⌫-|--|
a tenircestpais	|----|---|---|
