cicomenceli	-|------|-|
l in ouiaus	-⌫|-⌫-----|
e tcom e il forma eue	-⌫|---⌫|-|----|--|
et co meil l or ba illaparadisterre strea	-|--⌫-|-|-⌫-|--⌫---|------|-----⌫---||
etcome noezfist larche	-|---|---|---||----|
c omentil larriuasuslou mont	-⌫----|-||-----|--|--|---|
a presdeuisede ab rahanetde	-⌫---|-----|-|--⌫----|-|-|
si c om e abrahanzu ostocierreysaac	-|-⌫--⌫|-------|-⌫--|------|----|
comeiacoptolilabe n ei cons onfrereeseu	---|----|---|-|--⌫-⌫--⌫--|-⌫-|----|---|
ainsinconiose ff uue nduzet menez	-----|--|----⌫|-⌫|--⌫---|-|----|
en egipt e	-|-----⌫|
ain si tconiosef prist sesf reres eti lles	---⌫--⌫|--|----|----|--|-⌫----|-|-⌫|--|
uostpan dre	---|---⌫--|
ainsit conmoisesfugetez	-----|--|-----|-|----|
sicomedauidf ur o ys et	-|---|----|-⌫|-⌫-⌫-|-|
apressa l emons	----|--⌫-⌫----|
ainsicome nostre	----|---|-----|
da mefu nee	--⌫-|-|--|
des yymariezet de lorfil z	--|-|-----|-|-|--|---⌫|
sicom mel an gespall aanostredame	-|---⌫-||--⌫--|----⌫||-----|---|
sicommenostr e	-|----|-----⌫|
sires funez	----|-|--|
desapiencecestla paor	-|-------||--|-|---|
quifistetci eletterr eetfuaute mps	--|---|-|--⌫-|-|----⌫|-|-|-|--⌫--|
angesf ist et arca nges mont	----|-⌫--|-|----⌫---|---|
le smis tenbon leu	--⌫|---⌫|-|--|--|
no us trou on en esc rit	--⌫-|----⌫-|-|---⌫--|
en latinen ebreu	-|----|-|----|
partieentresbucha enunmol tmauuesleu	-----|-|--------|-|-|---⌫|-----|--|
quar il uo dr entrenertolirlo u reg n edieu	---|-|--⌫--⌫--|----|----|--⌫|---⌫-⌫|---|
laut repa rtie remest dorguilne	|---⌫-|--⌫---|-----||-----|-|
sot n e a nt	--|-⌫-⌫-⌫-|
celerem estoucielous ertdieu	---|---⌫--|-|---|-|-⌫--|---|
asomseruisefairesonttouz	|--|------|----|---|---|
io ursenpresent	--⌫--|-|------|
no ns lordona l i	--⌫-|--|---|-⌫|
sires par songran t	----|--|--|----⌫|
mica elgab rielraphaelsil entent	----⌫-|---⌫---|------|-||-----|
preuostfont demichi elsouzcielasemblement	------|---|-|-----⌫-|---|---|----------|
tui ts ont	---⌫|-⌫--|
obeissanta soncomendement	--------||--|----------|
quant furent	----|-----|
tresbuchiéen	----------|-|
anferli cheti f	----|-|-----⌫|
perdirentlacla rteettuit so ntennercif	--------|-|---⌫--|-|---|--⌫-|-------|
moltontma u ues osteln estpa s	---|--|--⌫-⌫--|----||--|--⌫|
biaus lordel iz	----|--|---⌫-|
apresfistnostres iress us terre	----|---|-----|-⌫---|-⌫-|----|
ar bresyaplant ez	--⌫---|||-----⌫-|
quimoltsontde ha utpris	--|---|---|-|--⌫-|---|
ad ont fo rma	--⌫--|--⌫--|
aden etladedanz lamis	---|-|-|-----|||--|
terre lo t fait	----||-⌫|---|
durement lesgarda	-------||------|
faitlota safigur egr antsani	---||-||-|-----⌫|--⌫--|--||
uostque ustcomp a ignie	---|-|-⌫--|----⌫-⌫----|
ade nz dormi moltbienq uepa sne s esuo illa	---⌫-|----|---|---|-⌫-|--⌫|-||----⌫---|
unecostedou corsda medie xliosta	--|----|--|---|--⌫-----⌫|-|---|
eteuem enforma	-|---|-|----|
dontsesuoillaadenz	---||-------|----|
quantasezotdo rmi	----|---|-|--⌫--|
et di exla re isonaetmolt bien	-|--⌫-||-⌫--⌫----|-|---|---|
adenoras conpaigne et siasgra ntdelit	---|-|-|--------|-|-|-|---⌫-|----|
tu ferasmon	-|----|--|
coments e nspointdecontred it	-----|-⌫-⌫-|----|-|-------⌫-|
uo l entierslimienssiresni	--⌫-⌫------|-|----|----|||
auraaco ndit	---|---⌫---|
adenouta conpaigneparadis garderas	---|-|-|--------|------|-------|
doufrui t de touzce sarbress	--|----⌫|-|---|--⌫|-----||
il teplestmangeras	-|-|----|-------|
forsque dec e	------|-|-⌫|
po mie rtunegous tera s	--⌫---⌫|-|-|----⌫----⌫|
megarde sgr antprofity	-|-----⌫|--⌫--|-----||
etse tuenma ni ue stantostmo rtreceuras	-|-|-|-|--⌫--⌫--⌫|------|--⌫-|-------|
a insile te	-⌫---|-|-|
comenssusl aioiequeas	-----|--|-⌫|---|--|-|
ei uenel a ntant miesinelou	--⌫-|-||-⌫----|--|-|-|--|
don t san uanostresiresn i	---⌫||-|-|-----|----|||
uostplus demorer	---|---|------|
son h autciel	--|-⌫--|---|
sesanglesuisete r	--|-----|------⌫|
li de ablesd	-|--⌫----||
anfe r nese uostoublier	----⌫|-|-|---|------|
demoltgrant felonie sepri sta	-|---|----|------|-|---⌫-||
porpe nse r	-----⌫---⌫|
l ae stfaiznosuoetdeseriter	-⌫|-⌫-|---|--|---|--------|
se puisa lui	-|---||--|
ueni rnela dedansentrer	----⌫|-|-|-----|-----|
decel fruitd eu eé l iferaiie	-|--|----|-⌫--⌫--|-⌫|----|-|
