chiconmenche	--|--------|
leu iedesainthylaire	-|-⌫-|-|----|------|
sainshylai resfu nés de tabat hedeune uilequi	----|-----⌫--|-|---|-|-----⌫-|-|--|---|--|
p res esta y y	-⌫--|--||-⌫|
du nechi ted e	|-⌫-|---⌫-|-⌫|
pales t inequigasees toit apelee ilauo it pereet	-----⌫-⌫--|--|---|--⌫---|-----|-|---⌫-|---|-|
m erequi sarrazi n estoie nt etqui l esid ele s	-⌫--|--|-------⌫|------⌫-|-|--|-⌫-|--⌫---⌫|
aoroientmais	-------|---|
lorloi n enetintlorcreance ains	--|--|-⌫|-|---|--|------|---|
fule ro se	-|-|--⌫-|
bele qu idoucheetso u ef ist	---|--⌫|-----|-|--⌫-⌫-|--|
delespinesespereset semere	-||-----|--|----|-|-|---|
lenuoierent	|---------|
enalixandrepo ur grama i re	-|--------|--⌫-|-----⌫-⌫-|
aprendre laapristil etf ude	-------|-|-----|-|-|-⌫|-|
engien s iconionesenfescar adont	-----|-⌫|--|----|----|--|----|
esto itilencoredemoltp etita aige	----⌫-|-|-----|-|---|-⌫---|-⌫---|
mol testoitsaiges de	---⌫|-----|-----|-|
p arl eretdetotes	-⌫---⌫-|-|-|----|
g ensa més e ns	-⌫--|-⌫---|-⌫||
enfance et	------|-|
s icreo it	-⌫|----⌫-|
ennostr es eign eurihesu cr istqui plus	-|-----⌫|-⌫----⌫--|----|--⌫--|--|---|
granscose es t oit	----|---|--⌫-⌫--|
queto utes l esautres	--|--⌫---|-⌫-|-----|
ilna uoitcu re deuanites ne dege us	-||-⌫---|--⌫-|-|------|-|-|--⌫-|
nedeluxuresque	-|-|------|--|
enfantdeme n oient	-----|----⌫-⌫----|
nenesi delitoit mie	-|-|||-------|--|
ains es toit sen tenteetseu olentes	---|--⌫---||--⌫----|-|-|-⌫------|
debienfairee t	-|---|----|-⌫|
d a le ras ain te eglis e	|-⌫--⌫||-⌫---⌫-|-----⌫|
adont en celte mpoi re oiciliouenciaus	----|-|--|--⌫----⌫-|-|--|---------|
parl erdecuilibonsren ons	----⌫-|-|--|-|---|---⌫--|
couroit parto utelecontre edegypte	------|--|--⌫--|-|------⌫||-----|
etmolt bonstalen s li	-|---|---|-----⌫|-|
pri std elui aler	---⌫-|-⌫|--|---|
ueireldesert	---|-|-----|
s ine fina	-⌫|-|---|
d aler enlerm i ta igesiuin ttantostqu	|---|-||---⌫-⌫--⌫--|-|---⌫|--------|
iluitsaint antho inemua	-|--|----|-----⌫--|--|
abitetdemorada preslu iyymoines	---|-|-----||-⌫---|--⌫|-|-----|
por esgarder le	--|-------|-|
manieredese	------|-|-|
uitc om lisains	--|-⌫-|-|----|
homestoitass iduelment	--|-----|---⌫--------|
enoriso nset	-|-----⌫-|-|
comi l iert humleset	--|-⌫|---|-----|-|
ase sfr erese tcom il lescastioit	|--⌫|--⌫---|-⌫|--|-|--|-------|
fussentso u sprisde mauuais	------|--⌫-⌫----|-|------|
etsi uitque nu leaspretede	-|-|--|--|--⌫-|------|-|
enfe rmeten	----⌫----||
auo ient brisiét	---⌫---|-------|
ne empirié tlesainthomes i l oa	-|--------⌫|-|----|---|-⌫|-⌫-|
m ol tdedens son cuer	-⌫--⌫|-----|--|---|
cestafa iremais	---|---⌫--|---|
cheque tantdegensuenoienta	--|--|---|-|---|-------||
luide d iuersesenfermetesentrepr i s	--|-|-⌫------|---------|-------⌫-⌫|
neloailmie carildis oi tque bone	-|--|-|--|--|-|---⌫--⌫|--|---|
n estoitmiedeso uffrir en l ermit aig e	|-----|--|-|--⌫-----|-||-----⌫---⌫|
lesgen s des cites asigran s	--|---⌫|--|----||-|----⌫|
tourbes et asi grant presse et sepo r	------|-||-|----|-----|-|-|--⌫|
