quibonscountesuoet entendre	--|---|------|---|-------|
sotil poetg rans biensaprendre	--|-|---|-⌫---|----|-------|
parescuterenuei s ures	--|------|-----⌫-⌫---|
estretrereles ature s	--|------|--|-----⌫|
keau ynd rentalancientens	-|--⌫---⌫---|||-----|---|
poet le no yrfoliee sens	---|--⌫|-⌫-|----||---|
orelessums	--|------|
lafol ieester	-|---⌫-|----|
ka rd esensfet mult bienpa rler	--⌫|-⌫|---|--|---|---|--⌫---|
n es t detutpoureki est sage	|--⌫|-|--|----|-|--|---|
mesl e sunssontd e	--|-⌫-⌫|--|---|-⌫|
tel corage	--|-----|
neuodrientpurnuleri en	-|-------|--|---|--⌫-|
kele nsust p ar eu s	-|--⌫|---|-⌫-|--⌫|
kisicouerte mentseti e nt	-|-|-------⌫---|-|--⌫-⌫-|
m est a uiskefousd euient	|--|-⌫--|-|---|-⌫-----|
karsungr antsensqeluiuaudra	--|--|--⌫--|---|-|--|-----|
k antde cest	-⌫--|-|---|
siec ledepa rti ra	----⌫-|----⌫---⌫-|
iade celiornertmes	-|-|--|--||--|--|
si purdeun	-|--|--||
adaucunbie nf et	-|----|---⌫|-⌫-|
cil sendeuientlen	--|--|------|--|
kar il ne autrena ueraia	--|-|-|----||-⌫---|-|
mo ult memeruail	--⌫--|-|------|
deces cle rs sages	-|--|---⌫-|----|
k yentendent	-⌫|--------|
plusurslangag es	------|------⌫-|
kilontlessé	|-|--|-----|
ces te est orie	---⌫-|---⌫---|
kemisen usneont	-|---|-⌫-|-|--|
nedipasqilbi enne	-|-|--||-|--⌫-|-|
cilqi enl a tin lad des crit	--|-|-|-⌫-⌫--||-|---⌫---|
mesp l usiadleiskel ettrez	--|-⌫-⌫-||-|---|-|-⌫-----|
silila tinnesttr anslatez	-|-|--⌫--||--|--⌫-------|
i erent ent enda nz	|----|---⌫----⌫-|
porceouoildireenroma nz	--|--|---|---|-|----⌫-|
aplusbr euement queieo saurai	|---|--⌫------|--|--|-----|
sientendruntclerc e	-|---------|----||
hu ederotel ande	--⌫|-|-----⌫---|
ky cestestorie	-|---|------|
nousdescrit	---|------|
k ydelatin	-⌫|-|----|
u eltromanz fere	-⌫--|-----|---|
dei tl3 emamal retrere	---⌫|--⌫-||--|------|
s il nepoe t	|-|-|---⌫|
tuzdes oelzgarder	--|--|---|-----|
tensfo rmer	---|--⌫---|
mespur hastiu erl amatire	--|--|------⌫-|-⌫|-----|
nosestoura	--|------|
par biaumotzdire	--|---|---|---|
fforsla uerrou r	----|-|------⌫|
dir aibrefuemen tceoqe	---⌫-|---------⌫|--|-|
ke granto ureuoet tra nslater	-|----|-⌫--|---|---⌫------|
l estuetourepas se r	|-----|---|---⌫--⌫|
ousi ceonoun t r o pse	-|-|--|---|-⌫-⌫-⌫|-|
ano ier o nt	---⌫---⌫-⌫-|
cilki deoir ta le nt	--|-|-|--|--⌫--⌫-|
ne uoiltutmon se n	-|---|--|--|--⌫|
ore meesco tez s iaiezpes	--|-|----⌫--|-⌫|---|--|
delcanger unreisanti fs	--------|-|---|----⌫-|
dedei nz c ecileiert sires iadis	-----⌫-|-⌫----|---|----|----|
chiualirme rueillousesteit	-------|--⌫--------|-----|
tuziorss on regneen p este neit	--|---|-⌫-|----|-|-⌫-|--⌫---|
ilnout ue isinennul eterre	-||--|--⌫---|-|---⌫|----|
ky uersluy osamou er gu e rr e	-|---|--|--|---⌫-|--⌫-⌫--⌫|
kariles teit d egra nts auer	--|-|--⌫---|-⌫|---⌫-|-⌫---|
ma nantde grant aue r	--⌫---|-|----|---⌫|
ky p ruze stepoetdon er	-|-⌫--|-⌫-||---|---⌫-|
d emeuz poet	-⌫|---|---|
terr egou erner	----⌫|---⌫----|
si te neit se ns	-|--⌫---|--⌫-|
purmeintenir l ai	--|--------|-⌫-|
kar certesparfols eignu r	--|-----|--|--|-⌫-----⌫|
niertbientenugranthon ur	|---|---|---|----|---⌫-|
cistnefus tpasf ousmusarz	---|-|---⌫|--|-⌫--|-----|
