Cycom me nc e	-|---⌫--⌫--⌫|
ungnobleet tresexcelle ntroma nt	--|----|-|-----------⌫-|----⌫-|
Enlhonne ur de	-||-----⌫-|-|
Dieunos trec reateuret redempteuretdesa	---|---⌫--|-⌫------|-|---------|-|-|-|
beno isteuiergemere puissio ns nous faire etdirec hos e en	----⌫---|-----|---|-------⌫-|---|----|-|---|-⌫---⌫|-|
cestuy transsi toir e mondeq uealuysoitplai sant e	-----|-------⌫----⌫|----|-⌫-||--|---|----⌫----⌫|
etanousprouffitab le	-||---|----------⌫-|
Ma ispour cequen ostre pouurefragili téest	--⌫-|---|-|--|-⌫----|-----|-------⌫--|--|
ta ntostlasseeetfati guee a lireo ues couterchoses	--⌫----|-----|-|----⌫---||---|-⌫|--⌫-----|-----|
s aluta ires et	-⌫-----⌫---|-|
qu ilzno usdoiuent conduire a	-|--|--⌫-|------|-------||
laeternellef elici té et remo nstrance	-|--------|-⌫-----⌫--|-|----⌫-------|
pechezetme ffaize tt antostfacillements	-----|-|--⌫----|-⌫|-⌫-----|----------||
enclineauices	------||----|
e tp ech eze tquegr an tma le sta uiourd uypo ur	-⌫|-⌫---⌫-|-⌫|--|--⌫--⌫|--⌫|-⌫-|-⌫-----|-|--⌫-|
ce quechascunentendde leg ierenr ailleriesdissolu eset	-|--|------|-----|-|---⌫--|-|-⌫--------|-------⌫-|-|
dif famation sdontgrans	---⌫--------⌫|---|----|
m a ulx enuiennentetp oureui teroy si uet é qui ests eur	-⌫-⌫--|-|-------|-|-⌫--|---⌫--|--⌫--⌫---⌫-|--|--|-⌫--|
d epechiéiay uou lu	-⌫|------||-|---⌫-|
icymectrepa r	--|-----|--⌫|
esc ript u ne h istoireioy euse qu e iay	---⌫---|-⌫-|-⌫------|---⌫---|--⌫||-|
tra nslat eed es paigno lenlanguefrançoise	---⌫-----⌫-||--⌫------⌫|-|-----|---------|
ce silyachosequi	-||-|||----|--|
commeilap partientm esoit pa rdonnécar ie	----|-|--⌫-------|-⌫|---|--⌫------|--|-|
faitpourse ulleme nt	---|---|--⌫------⌫-|
fairepasserle temp sauxlisans qu	----|-----|-|----⌫|--|-----|-|
ilzuouldrontprendrela peine	--|--------|------|-|----|
Com mentl e royd	---⌫---|-⌫|--||
Espaigne cegecta	-------|-|----|
auxpiez duroy de	--|---|-|--|-|
Francequi uenoitdelame sse auecqplus ieur sgrans	-----|--|-----|-|-|--⌫--|----|----⌫----⌫|----|
seigneur se t baronsde grantrenom	--------⌫|-⌫|-----|-|----|----|
Ilfu t iadise n	-|--⌫|----|-⌫|
Fran ce ungroy mou ltsage et	----⌫-|--|--|---⌫-|---|-|
uaillantlequel	-------|-----|
auoi t ung tresbeaufilzde l ea ge	----⌫|--|-------|---|-||--⌫-|
de t r oisansnomm é	-|-⌫-⌫--|--|----⌫-|
Iehanetplusn en	----|-|---||-|
royne safemme quimoultnota bleetsaigedam ee stoit	----|-|----|--|----|----⌫--|-|----|---⌫|-⌫----|
Sise tenoit alor s le roy en	-|-|-----|----⌫|-|--|-|
la cit éde	-|---⌫-|-|
Pari s auecqlapl usgrant partiede	----⌫|----|-|--⌫-|----|-----|-|
sabaronniedesonroyaulmeen	-|-------|-|--|-------|-|
grantd esduitetsoulascaralorsne stoitnullesno uuelles	----|-⌫-----|-|-----|--|----||-⌫----|-----|--⌫------|
deguerreen	-|-----|-|
Franceparquoyl e	-----|--|---|-⌫|
Royettousse s	--|-|---|--⌫|
suppotzeng ranstriumphes et rich esseshabu ndoient	------|-|-⌫---|--------|-|----⌫----|----⌫------|
Ung iourcommeleroyuenoitdelamesse	--|---|----|-|--|-----|-|-|----|
a compaig né desesba ronsetcheualiers et	-⌫-------⌫--|-|--|--⌫---|-|---------|-|
ainsiquil estoità lentr ee	----|-|-|-----|-||----⌫-|
palaixroyaletquec eluyi our e stoitune	-----|----|-|--|-⌫---|-⌫--|-⌫----|--|
so lempnefestea rriuadeuant luyleroy d	--⌫-----|----|-⌫----|-----|--|-|--||
Espa i gnequiengranspleur setgemissem enssegectaaux	----⌫-⌫--|--|-|----|-----⌫|-|--------⌫--|-|----|--|
pi ez duroy	--⌫-|-|--|
Et tantostleroyde	-|------|-|--|-|
Franc esebessapourle faire	-----⌫|-|----|---|-|----|
leuercar incontina nt illecongneu t mai sle	----|--|---------⌫-|-|-|-------⌫|---⌫|-|
Espa igneneseuou l utn ullement leuern eparlerne	----⌫---|-|-|---⌫-⌫-|-⌫-------|----|-⌫|-----|-|
pouuoit maisgranssouspirsfaisoitdontl e r o y	------|---|----|-------|------|---|-⌫|-⌫-⌫|
g rantcompassion enau oit	-⌫---|---------|-|--⌫--|
ettouslesbaronsd entour lu y	-|---|--|-----||-----|--⌫|
Etq uan d il uitque leuerneseuouloit	-|-⌫---⌫|-|--|--|----|-|-|------|
ill uydi ttelles	-|-⌫-|--⌫|-----|
Beau frered	---|----||
Espaigneieuous priequ e uous	-------|-|---|---|--⌫|---|
uousle uezet uostregri efcour rou x uu e illez ung pe u	---|--⌫--|-|-----|---⌫-|----⌫---⌫|--⌫-⌫----|--|--⌫|
refrenert ant	-------|-⌫--|
qu enoussa chons lacausecaren	--⌫|---|--⌫----|-|----|--|-|
bonnefoy uous promecton sque	----|--|---|---------⌫|--|
anost repouuoir ayderons ala	|----⌫-|------|-------||-|
mectre a finle mi eulxqu e noussera	-----||--|-|--⌫---|--⌫|---|---|
p o ssibl esi faire	-⌫-⌫-----⌫|-|----|
Si sebessade reche fetredress a l eroy	-|-|----|-|-----⌫|-|-------⌫|-⌫|--|
Espaig nelequel	------⌫-|-----|
uac ommanceradi reense desconf ortante t	-|-⌫-------||--⌫-|-|-|-------⌫-----|-⌫|
cria ntahaulteuoix	----⌫-||-----|---|
Tre scresti enhau ltetpuissa ntroy	---⌫-------⌫-|---⌫-|-|------⌫-|--|
ieuo usmercie	-|--⌫-|-----|
humblement delabell eoffrequedeuostre benigne	---------|-|-|----⌫|----|--|-|-----|------|
graceuousa ple umefaire	----|---||---⌫|-|----|
Etpour cequeuo us e tuoz pr edecesseursestescons e ruate ur s	-|---|-|--|--⌫-|-⌫|--|--⌫----------|----|----⌫-⌫-----⌫--⌫|
de toute royaulté	-|----|--------|
etnoblesse etiusticeiesuisuenu a	-|-------|-|------|-|---|---||
uouspou r uo usd iremon	---|---⌫|--⌫-|-⌫--|--|
inf ort unemeschief e t doloreusecompla in cte	---⌫---⌫--|-------|-⌫|--------|------⌫--⌫--|
Sache z sirequea grant to rt et	-----⌫|---|--||----|--⌫-|-|
sansrai s on	---|---⌫-⌫-|
couleurdungnouuel tribut q ueen monroyaulme	------||--|-----|-----|-⌫-|-|--|-------|
auoit este ́mis pour eu i ter ala da mpnab leentreprinsedu	----|----⌫|--|---|--⌫-⌫--||-|--⌫-----⌫-|----------|-|
Grenad einfidele	------⌫|-------|
anostre loyquila uoitfaictc ontre	|-----|--|-|-|-⌫---|----|-⌫----|
mon royaul meet la	--|------⌫-|-|-|
sainc te foycat holiquelesn ob lesdemon roya ulme	-----⌫-|--|---⌫------|--|-⌫--⌫--|-|--|----⌫---|
ont parl eu r	--|--|-⌫--⌫|
f aulxdonné	-⌫---|-----|
aentendrelepeupleseduita	|-------|-|-----|-----||
lencontredem oy quemont	|-------|-|-⌫-|--||--|
uoulufairemor i r	----|----|---⌫-⌫|
etm ena faillufouyr au	-||-||-----|----|-|
mi e ulxque i	--⌫-⌫--|--||
enlesta tque me p o ue zueoir	-||----⌫|--|-|-⌫-⌫--⌫|----|
Ettiennentlaroynemafemme et une petite	-|-------|-|----|-|----|-|--|-----|
fille mienneque na q ue	----|-----|--|||-⌫-|
troismoi sassigee enunedemesuillesappellee	----|---⌫|------|-|--|-|--|-----|-------|
Se guony eeto nt desliberél afa ire	--⌫-----⌫|-|-⌫-|---------|-⌫|--⌫--|
m orirpour	-⌫---|---|
mie ulx auoirler oyaulme a l euruou lenté	---⌫--|----|-|-⌫------||-⌫--|---⌫-----|
Etenracomptantcespar olleslecueurluyserra	-|-|---------|--|---⌫----|-|----|--|----|
pasmé au xpiezduroyde	-----|--⌫|---|-|--|-|
France lequellefi t i ncontina ntreleueret reuenir	-----|-----|-|--⌫|-⌫--------⌫-|------|-|------|
Et qu antilfuten sons ang	-|--⌫--|-|--|-|--|-⌫--|
pitié auoitdeluydit	-----|----|-|--|--|
ence stem aniere	-|--⌫--|-⌫-----|
Beaufrere d	---|----||
Espaigneneuueillezpluspartrist ess eetco urroux	-------|-|-------|---|--|-----⌫---⌫|-|--⌫-----|
uo stre cueur afflige rmais	--⌫---|----|-------⌫|---|
uueillezp rendr e	-------|-⌫-----⌫|
courageuertueulxcommeparcy	------|--------|----|--|-|
deua nta ue ztousi our sheucar ie uous prometz	----⌫-|-⌫--⌫|-----⌫---⌫|--|--|-|---|------|
et iuresurma foy quedem ainauplusmat in	-|---|--|-|--|--|---⌫--|-|---|---⌫-|
ienu oy raylectresen	|---⌫--⌫--|------|-|
Es paigneauxbaronset peu ple	--⌫-----|--|-----|-|---⌫--|
