asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
defra nc epar lagraced edi eu	-|---⌫--⌫|--|-|----|-⌫|--⌫-|
nauarre dec hampaigneetd ebriecontepalazin	------|-|-⌫--------|-|-⌫|---|----|------|
iehansire d eioinuille	----|---|-⌫|--------|
sonseneschal dechampaigne salutet amoure thonneur	--|--------|-|---------|----|-|----|-⌫|------|
s eruiseap pareillé.	-⌫-----|--⌫--------||
chiersireieuous foiza sauoirque	----|---|-|---|---||-----|--|
madam el aroyneuostr em erequ imoultmamoit	-|---⌫|-⌫|----|-----⌫|-⌫--|--⌫|----||----|
acu i dieubonnemerci face	|--⌫|---|----|----|---|
me pr i asi	-|--⌫-⌫|-|
a ce rtescomme ellep otque ie li feisse	|--⌫---|----|---|-⌫-|--|-|-|-----|
fa ir eu n liuredess a intes paroles et	--⌫--⌫|-⌫|----|--|-⌫-⌫----|------|-|
des bonsfaizn ostre saintroylooyset	--|---|---|-⌫----|----|--|----|-|
ielioiencouuenanteta	-|-|-|-|--------|-||
dieu leliureestassouui ende ux part ies.	---|-|----|--|------|-|--⌫-|----⌫--||
lapremi erepart iese de uis ecom mentil segouuernatout	-|-----⌫--|----⌫-|-|--⌫---⌫|---⌫---|-|-|-------|---|
sontens seloncdieu e tselonc	--|---|-----|---|-⌫|-----|
l egliseet	|-----|-|
a upro fitdesonr egne.	-⌫|---⌫--|-|--|-⌫---||
la secondepartie duliuresi parle	-|------|-----|-|----|-|----|
de s esgranz	-|-⌫-|----|
cheualeri eset	---------⌫-|-|
de ses granz faizdarmes.	-|--|----|---||----||
s irepourcequil	-⌫--|---|-|-|-|
estescriptfaipremie r	--|------|--|------⌫|
ilaf iert a	-|--⌫---||
d ieuetilteadresc eratou tes cesautres	-⌫--|-|-|-|------⌫--|---⌫--|--|-----|
besogne saiiefaitescrire ceq ui	-------⌫|-|-|---|------|-|-⌫-|
afiert aus troi z c h osesdesusdit esc esta sauoir	-----|--|----⌫|-⌫-⌫---|----|---⌫-||--||-----|
cequiaffiertauprofi tdesame s etde s	-|--|------|-|-----⌫|--|---⌫|-|--⌫|
quiaffierta ug ouuernem entd upeuple.	--|------|-⌫|-⌫--------⌫--|-⌫|-----||
etc esaut reschosesaii efai t e scrire	-|-⌫-|---⌫--|-----|-|-⌫|---⌫|-⌫-----|
aussialonneurdu uraicors	----|||-----|-|---|---|
sain tpourcequ e par	----⌫|---|-|--⌫|--|
cesc hoses desus	--|-⌫----|----|
ditesen pourraueoirt out	----|-|-----|----|-⌫--|
clerqueonques homme layde nost re	---|--|-----|----|--|-|----⌫-|
tempsneuesquisi sainte m ent de	----|-|-----|-|------⌫-⌫--|-|
toutsontempsdesle	---|--|----|--|-|
c ommencem entdeson	-⌫--------⌫--|-|--|
regneiusq uesa	----|----⌫--||
la findesau ieala	-|--|-|-|-⌫-||-|
f i ndesa uienefuzie miemaiz	-⌫-⌫|-|-|--|-|--|-|--|---|
lecontepierredalancon son	-|----|-----||------|--|
f ilzyfuquimoultm	-⌫--||-|--|----||
m ereco rda la	-⌫|----⌫--|-|
bellefi nqueil fist	----|--⌫|--|-|---|
queuous trouuer ez escr i pte enla	--|---|-------⌫-|----⌫-⌫--|-|-|
fin decestl iure	--|-|---|-⌫---|
mesemb le i l que	-|----⌫-|-⌫|--|
enne li fis tmieassezquan t en	-|-|-|---⌫|--|----|----⌫|-|
nelem istou nombredesmart irspour	-|-|-⌫--|-|-----|--|----⌫--|---|
les g ranspeinnesquei lsouffriou	--|-⌫---|------|--|-⌫|------|-|
pele rinagedela croizp ar les pace de	----⌫-----|-|-|----|-⌫-||--⌫---|-|
s isanz quei efu en	-⌫-|--|--|-⌫|-|-|
sa compaign ie.	-|--------⌫-||
mei smementque ilensuitnostresei gneur ou fai tdela	---⌫------|--|-|-----|-----|---⌫----|-|---⌫|-|-|
ca r s ediexmo rutenlacroizauss ifistil	--⌫|-⌫|---|--⌫--|-|-|----|----⌫|---|-|
carcro isiezesto itilquant	--|---⌫----|----⌫-|-|----|
il futathunes.	-|--||-----||
lesecontliureuous parlerade sesgra nz c h eua l erieset	-|-----|----|---|------|-|--|---⌫-|-⌫-⌫---⌫-⌫----|-|
g ranzhar de m e nslesquiezsonttiexque	-⌫---|---⌫--⌫-⌫-⌫-|--|----|---|---|--|
iel iuiquatre foiz mettresoncorpsen auanture	-|-⌫|-|-----|---|-----|--|----|-|-------|
demort aus sicommeuousorr ez	-|---|---⌫-|----|---|---⌫-|
