oreoeztuitcomm unement	--|--|---|----⌫------|
gardezqui n iaitp allement	-----|-||||--|-⌫-------|
d ieuentendez	-⌫--|-------|
commentilfupour	------|-|-|---|
d oit oirc reature	-⌫--|--|-⌫------|
n enaitdo l oriatant n iertdure	|-|--|--⌫-⌫-|-|---||---|---|
pourquoi il a i tent endement	---|---|-|-⌫-⌫|---⌫-------|
auroi delciel omni potent	-|--|--|---|----⌫-----|
lales treureuousaidite	-|---⌫-----|---|-|---|
queracon telesuangelist re	--|-----⌫-||-----------⌫-|
mesneseusmesqu em onta	--|-|------|--⌫|-⌫---|
sebienu ous plestsil orezia	-|---|-⌫--|----|-||---|-|
la fest ea us iu isaprismo t	-|----⌫|-⌫-|--⌫-|-------⌫|
ce dit liliures motamot	-|--|-|-----|--||--|
quipas quesesto itapel ee	--|---⌫---|----⌫-|----⌫-|
sustoute r iensestoi t gardee	--|----|-⌫---|-----⌫|-----|
li mestre p rincede	-|-----|-⌫----|-|
qui no n tcur e	--||-⌫-⌫|---⌫|
dedieu leroi	-|---|-|--|
etl i prouoireettuit li	-|-⌫|-------|-|---|-|
querentmoultdestre e tsene stre	------|----|-----|-⌫|----⌫---|
comm entpeus sent	----⌫--|----⌫---|
ihes umprendre	----⌫-|------|
et par b oidieenla cro izpendre	-|--|-⌫----|-|-|---⌫-|-----|
chies leue squ esontas semble ́	----||---⌫---⌫|---|--⌫------⌫|
qui ka ipha s iertapele ́	--|--⌫----⌫|---|-----⌫|
ilec quesfuc onseiltenu	----⌫---|-|-⌫-----|---|
laparolefu	-|-----|-|
comf aite ment letrairoient	--|-⌫----⌫---|-|---------|
pourle s torbes qu eil cremoi ent	---|--⌫|-----|--⌫|-|------⌫--|
cedien ttuit lessiezaler	-|----⌫|---|------|---|
pui s enporromm esmieuzparler	---⌫|-|-------⌫-|----|-----|
ceusquiuenu sontala fe ste	---|--|---|---||-|--⌫--|
porroit i ssirmole ste	------|-⌫---|----⌫--|
liuns adit bienest	-|--||--|---|--|
chascunsdesautres respondi	-------|--|-----|-------|
issi le poo ns	---|-|---⌫-|
b ien loer	-⌫--|---|
ettuitense mb lea creanter	-|---|----⌫--⌫-|-⌫-------|
dieusfulauenuz	----|-|-|----|
e t acelfestereceuz	-⌫||--|----|-----|
fu lipeu ples ente lesf r oi	-|-|---⌫---|-|--⌫|---⌫-⌫-|
par les meni stresdela loi	--|--|----⌫----|-|-|--|
quecil qui coni ouil auoien t	--|--|--|----⌫--||------⌫|
lesoirherberg ierneluoulo ient	-|---|-------⌫--|-||-----⌫---|
ai ns s en	--⌫-||-|
issi de lacite	---|-|-|---|
