pourlanoble ch eualerie	---|-|----|--⌫-------|
l i fiussainte m arie	-⌫|---|-----|-⌫---|
saut etgart etdoinstgran t	---|-|---|-|-----|----⌫|
encomencierla	----------|-|
des materesetmetre en ri me	--|------|-|----|-|--⌫-|
po urcou sene faclionime	--⌫-|--|-|-|--|------|
enpluisorsl iusnes tpas	-|-------|-⌫--||--⌫|--|
mie rueille	---⌫------|
carla mat e re s apareille	--|-|---⌫-⌫-||--------|
aueritepor	|-----|--|
arame stie r q u enemeteens	--|--⌫----⌫|-⌫-⌫|-|---|--|
menco ign e po r larime	-----⌫---⌫|--⌫|-|---|
uoirsestquibien uorroitenquerre	----|--|--|---|------|-------|
lauerite dont cheualier	-|-----|---|--------|
ui nrentauantalcom encier	--⌫----|----|-|---⌫-----|
sauoir poroitnobleorden ance	-----|-----|----|-----⌫---|
ia di sfudemostran ce	--⌫--⌫|-|---------⌫-|
desplusprois i ésdet otl e	--|---|-----⌫-⌫--|-|-⌫-|-⌫|
p o urcoi uol entesm esemo nt	-⌫-⌫-|--|---⌫----|-⌫|----⌫-|
die etfaceentendre	--|-|---|-------|
lesqueusi a dis on	--|----|-⌫-⌫--|-|
soloitpren dr e	-----|----⌫--⌫|
pourfairesifaitelab our	---|----|-|----|---⌫--|
ormentendésnostreancissour	-||--------|-----|--------|
quiiaorentloenge etpris	--|-|----|-----|-|---|
si comde uoirlauon sapri s	-|--|-|---||----⌫|----⌫|
faisoientrois duxetcontors	--------|---|--|-|------|
pr oisie ́s etdesmill ors	--⌫-----⌫-|-|--|----⌫--|
quifustent outel a	--|---|-|-⌫---|-⌫|
aucunefoisgrans re nomee	-----|---|----|--⌫----|
unhome quisauoit	-|---|--|-----|
soimaint eniretquiauoit	--|-----⌫---|-|--|----|
enluip roueceet ha rdem ent	-|--|-⌫-----|-|--⌫----⌫--|
celuifaisoientbouneme nt	----|--------|-------⌫-|
ia ustos aiusticier	--⌫-|--||--------|
celuiquiuorro itforu oiier	----|--|-----⌫-|----⌫----|
enfa usete etenmesdi t	-|--⌫----|-|-|-----⌫|
faisoien tildel toutsugit	--------⌫|-|--|---|----|
e tlemetoientens ieruage	-⌫|-|-------|-|-⌫------|
quantaucunslorf aisoit dama ge	----|-----|--|-⌫-----|----⌫-|
lorslemostroientlorsignor	---|-|---------|--|-----|
etcil ma intenantsanssei ou r	-|--|--⌫-------|---|---⌫--⌫|
deuantuistem ent	-----|------⌫--|
s il ertcam endement	|-|--||--⌫-------|
uosist cil	-----|--|
faire bon es toit	----|--|--⌫---|
use cou no nilli couroit	|-|--|--⌫|-|-|------|
seureotoutesamai snie	----||----|-|---⌫---|
maisainsq uenseign e	---|-----⌫|-------⌫|
lid e sploie	-|-⌫-⌫-----|
fust fai soie ntlorcheualiers	---|---⌫----⌫-|--|---------|
lo rsuis oi ent lesmieus	--⌫-|---⌫--⌫--|--|----|
silorcarcoientagarde r	-|--|--------||-----⌫|
lor home spo riausor dene r	--|----⌫|--⌫|---|--⌫----⌫|
en la bata illeetiaus	-|-|----⌫---|-|---|
poursauoir qui lpuis s entm ius	---|-----|-|-⌫|----⌫-⌫--|-⌫--|
l or au ierser eet	-⌫-|--⌫------⌫|-|
sineueil ore	-|-|---|--|
longesm etr e	-----|-⌫---⌫|
acou quens icor oientsus	|--|-|---⌫|---⌫----|--|
autr es liuaincus	----⌫-|-|------|
semet oit souen t	-|---⌫--|-----⌫|
etliuainquieres	-|-|----------|
prendo i t la me ndeetl e	------⌫-⌫||-⌫--⌫--|-|-⌫|
tan tq uilprendoit	---⌫|-⌫|-|-------|
le milorcor	-|----|--|
decelui a son ensient	-|----||--|------|
tantq u ensiauintlongem e nt	-----⌫|---|----|------⌫-⌫-|
a p resle bo n roialixandr e	-⌫-⌫--|-|--⌫|--|--------⌫|
anthiocus quifis te spandre	--------|--|---⌫|-⌫------|
la malesem ence	-|---|---⌫---|
sour lesaintpeu lequilaflite	---|-|----|---⌫-|-|-|-----|
fistpluisors foissi com	---|-------|---|-|--|
limacab e e t meten	-|-----⌫|-⌫|--|-|
comentm at atias lipr eus	-----|-⌫--⌫----|-|--⌫--|
semis t en co ntreetses feus	-|---⌫|--⌫--⌫---|-|--|---|
t antpar fuprodo m	-⌫--|--|-|-----⌫|
etcheualiersde sigrant non	-|---------|-|-|----|--|
q ue b iendeuomes pie	-⌫-|-⌫--|------|--|
alui d echoucai	|--|-⌫|---||-|
com enchié	---⌫------|
uoirsfu sicom	----|-|-|--|
conteli s toir e	----||-⌫-⌫----⌫|
bib l equi	---⌫-⌫|--|
siestuoi re	-|--|---⌫-|
com sainte egliseleti es mogne	--|-----|-----|-|--⌫--⌫----|
qu eiadisot n estpa smencoigne	--⌫|----|-||--|--⌫|--------|
engresceunmouttrespoiss antr oi	-|-----|-|---|---|-----⌫--|-⌫-|
plain demalliseetde	----|-|------|-|-|
anth iocusf uapielés	----⌫----|-⌫|-------|
demac h edoine fuchasés	-|---⌫-⌫-----|-|------|
apr ies sonp ereantiocun	---⌫--|--|-⌫--|-------|
ci ltint totela	--⌫|---|---|-|
q uephelipesauoit tenu	-⌫-|-------|----|---|
liperesau bonro iqui fu	-|----|-|--|--⌫|--|-|
alixandrele r enoumé	--------|-|-⌫------|
de celuit ermeaiiout roué	-|----|-⌫---|-|--|-⌫----|
c ombienilot iusca	-⌫-----|-|-|---||
c a ntiocus fu	|-⌫------|-|
desourlepeule	-----|-|----|
sietuins t roismainsicouaque l	---|---|-⌫---|----|---|----⌫|
desphelipon le premer a in	--|-------|-|------⌫-⌫-|
roi quie n	--|--|-⌫|
gresse meistm ain	-----|----|-⌫--|
duscacelui	---||----|
d ontciuousconte	-⌫--|-|---|----|
anthi ocusquimainte honte	-----⌫---|--|-----|----|
fist au bo n p eu ledont i ai	---|-|--⌫|-⌫--⌫-|---||-|
lauoitdoutout	|----|--|---|
q uemoutfugransd escouenue	-⌫-|---|-|----|-⌫--------|
aiceltan sfudontissue	|---|---⌫|-|---|----|
unes gensp laine	---|---|-⌫----|
de fel onie	-|---⌫---|
diniquiteetdeuoisdie	|-------|-|-|------|
israel se rent parti	-----||-⌫---|----|
cil dontuos conteore ci	--|---|--|----|--|-|
seuorr entfaireplus	-|----⌫--|----|---|
detosles autre sn estpasfa ble	-|--|--|-----⌫||--|--|--⌫--|
sidisentmoutsonso rcaitif	-|-----|---|---|-⌫|-----|
quisi so messierf eteschif	--|-|--⌫--|----|-|-----|
de tosau tresalonsnosent	-|--|--⌫---|----|--|--|
paiiensno testa m ent	------|-|-----⌫-⌫--|
fair eaueucaus	----⌫|----|--|
coues td oumeus	--|--⌫|-⌫-|---|
c arpuis que nouspartimesde u s	-⌫-|---|--|---|-------||-⌫-⌫|
ne nosauin t nebi enneioie	-|--|----⌫|-|--⌫-|-|---|
cilsemisent	--|-|-----|
dontal auoie	---||-⌫|---|
de teu s ieutquelor enfant	-|---⌫||--|--|--|-----|
lorfemequierentengrant	--|---|--|----|------|
faire laisie rentco is	----|------⌫---|--⌫-|
