san ioroie zraison	---⌫--|---⌫|-----|
glori oseet	-----⌫--|-|
saint isme	-----⌫---|
delcielen estlauoizde	--|---|-|--|-|---|-|
par adislauie	---⌫---|-|--|
deu sla tremi ste nterreporamende irnoz uies	---⌫|-|-----⌫-|-⌫|----|--|------⌫-|--|---|
kar tot sumest urneit a dol etamartyre	--|--|----|-⌫-----||--|-||------|
nosna uons cariteitla foiz senes t	--||-⌫---|-------|-|---||-|--⌫|
es te nciel	--⌫|-⌫|---|
totel a uon sguerpie	---||-⌫---⌫|------|
perdu eauonsla lo i	-----⌫|----|-|--⌫|
kedona t n o stres ir e	-|----⌫|-⌫-⌫---|-⌫--⌫|
nenos rame m bretmiedel	-|--|----⌫-⌫---|--|--|
grantiordeliuis e	----|--|--|----⌫|
conqueste izne	|-----|--⌫-|-|
neteizneniertiam ais portan tke	-|---|--|---|---⌫--|--|---⌫--|
seclesuiue	-----|---|
uns angles laportat de laterred egyptie	--|-----||------|-|-|----||------|
faitefuten egiptela	----|--|-|-----|-|
pa rlaboche dun	--⌫|-|----||-|
anglelafist	----|-|---|
endiset se t	-|--|-|--⌫|
anske unkes	--|-|----|
pa inneuit	--⌫-|-|--|
nenemaniat de c h aret	-|-|-----|-|-⌫-⌫-|-|
sine biutdeuin	-|-|---|-|--|
maisdelag loredeu	---|-|-|-⌫---|--|
fu toten sraempliz	-|-----⌫|-------|
or uosm ande lasainte uirgen e marie	-|--|-⌫---|-|-----|------⌫|----|
entende izcesteraisons aint isme	-------⌫-|----|-----|-⌫----⌫---|
coro ne en porterez deuantdeu al	----⌫-|-|-------|-----|--|-|
cico mencededeu	-|--⌫----|-|--|
t eil raisonsaue nir	-⌫--|------||--⌫--|
se uosbienlentendei zs enau re izpara dis	-|--|---||--------⌫||-|--⌫--⌫-|----⌫--|
corone en porterezde uant	-----|-|-------|--⌫---|
deual iuis	--|-|---|
etdeus leuos ot roitparla	-|---|-|--|--⌫---|--|-|
desormais uosdirai	--------|--|----|
del g rantior del iuis	--|-⌫---|--|--|---|
quantdeus re paireratet limunzier tfinis	----|---|--⌫-------|-|-|---|---⌫|----|
i l n iertdo rn edargentdecast eaz	-⌫||---||-⌫|-⌫||-----|-|----⌫--|
nozp echeorsquideunauronsseruiz	--|-⌫------|--|--||-----|-----|
cart uitrepa ireronsdeuantdeualiuis	--|-⌫--|----⌫------|-----|--|-|---|
teilz angoissenefutpuiskedeus loc iel	----|-------|-|--|-----|---|-|-⌫--|
cum se rat ice l iorke	--|--⌫--|---⌫|--|-|
t er reprendratfin	-⌫--⌫-|-------|--|
perdutauronsalorgul dolerosc auons	-----|-----|||----|------||----|
et l eslassesdefemes et	-|-⌫-|-----|-|----|-|
man cheset trai ns	---⌫---|-|----⌫-|
manches et garnimenzdonteles funtteilpr is	------|-|--------|---|---|---|---|--⌫-|
naurontanea zelzdoi z	|-----|----⌫|--|---⌫|
neharpons al colm is	-|------|-|--|-⌫-|
nebraza uant	-|---|-⌫---|
ieteit parorg ulhnepar p ris	-----|--|---⌫--|-|--|-⌫--|
paro r g ul	--|-⌫-⌫-⌫-|
perdit langle set d euet para dis	-----||-----⌫|-|-⌫-|-|----⌫--|
car si serun ttot	--|-|-----⌫|--|
cil qui enorgulser ont	--|--|-|----|---⌫--|
plus atfemedorgul si c umlaletre di s	---|-|---||----|-|-⌫-|-|----|--⌫|
nuzenterrequi demere soit	--|-|----|--|-|---|---|
tantemb rac entri c hecesdontelesfun ttelpris	---|---⌫---⌫--|--⌫-⌫----|---|---|---⌫|--|---|
lune lefait por l atr e	|--|-|---|--||---⌫|
parorgu letp arpris	--|----⌫|-|-⌫-|---|
cen estmie pordeune a m eir	-||--|--|--|--|-|-⌫-⌫--|
n ep orl es	-⌫|-⌫-|-⌫-|
lasses danrmes sorcu rre negar ir	-----||-----|-----⌫--|-|---⌫-|
maisporenfer c o nquerre embr acierettenir	---|--|----|-⌫-⌫------|----⌫----|-|----|
canzois i soient enzke lipuiz sot	|-----||-----|--|-|-|---|--|
etauoirgranz	-|----|----|
angoisses keuen iet liiu i s	--------|-|---⌫--|-|--⌫-⌫|
iert o bl ieequinosment enratsi	---|-⌫--⌫--|--|--|----⌫----|-|
puiskeeleu enrat iciz iorsguerpis	-----|--|-⌫----|---|---|------|
petiten por teronslas	----|-|---⌫-----|--|
nos tant al a fin	--|---||-⌫|--|
dole nt drapelie rt l i cors sepeliz	----⌫-|-----|--⌫-|-⌫|---|------|
buteizi ert en lat erreasn u z uerspouerins	-----|-⌫--|-|-|-⌫---|-|-⌫-⌫|---|-------|
kimanierontla char ettrencherunt parmi	-|--------|-|---|-|----------|----|
roruntle solzetlabocheetlo uis	-----|--⌫|--|-|-|----|-|-|--|
liorg uelzde	-|---⌫---|-|
cestse cle reuientapetitpris	---|--⌫--|------||----|---|
etc antlamorsp r entl	-|-⌫--|-|---|-⌫-⌫--||
corsuaitangoissan t	---|---|---------⌫|
l a lass e	-⌫|----⌫|
danrmeuait partotl oco rs fuia nt	|----|---|--|--|-⌫|--⌫-|----⌫-|
lidiable l	-|-----||
en chacentm ut	-|------|-⌫-|
ang oissose ment	---⌫-------⌫---|
fierement larequ iere ntetderrieret	--------|-|----⌫----⌫-|-|------|-|
sesdoleros pechiezl iuunt r e nouelan t	--|------|------|-⌫|---|-⌫-⌫-------⌫|
la sse de uiecat deme n e ie	--⌫--|-|--||-|----⌫-⌫-⌫-|
sor l opizli assi etala	--|-⌫|--|-|----⌫-||-|
boche deuant	----|-----|
za f orsen uenreiz uoscar	-|-⌫--|-|------|--|--|
hu iestuenuzl i iorskenireizen	--⌫|--|----|-⌫|---||-|----|-|
licors uos attraiecar	-|---|--|-|----|--|
unkesbie nnefist	----|---⌫|-|---|
nenotainc c ar iteitnede poureme rcit	--|-|---|-⌫--⌫----|-|-|----|--⌫---|
neaincn amatparole qui	-|---||---|-----|--|
de deupartuenist	-|--|---|-----|
enenferuosmoinr ailo	-|----|--|-----⌫-|-|
dolerospais	------|---|
nereuenreiz iamais	-|--------|-----|
p arlei rauozamis	-⌫-----⌫||--|---|
uozgranzdolor sconteir ke	--|----|-----⌫|------|-|
soferreztodis	-------|----|
l amors est angoissoseet	-⌫|---|--|---------|-|
lanrm eest emarie	|----⌫|--|-----|
eleuoitles	--|---|--|
diables quine satargent m ie	------|--|-||-------|-⌫-|
l anme huchet elc or sdamm esainte marie	|---|-----|-|-⌫--⌫|----⌫|-----|----|
carmoisorc o reizhui glorioseroi ne	--|--|----⌫-⌫---|--|-------|---⌫-|
l im ostrent sadole rose	-⌫|-⌫------|-|----⌫---|
ensamaintient	-|-|---|----|
la chartre keilenatescrite	-|------|-|-|-|-|------|
lasse porkoilapele sde	----|--|--||-----⌫|-|
sorcursnau ras	------||--⌫--|
t ant cum tu	-⌫--|--|-|
fus alsecledeu	--|-|----|--|
neuolsisseruir	-|-----|-----|
nelasai nteuirgineu d eussanc	-|-|---⌫--|------||-⌫--|---|
etch ar prist	-|--⌫-|----|
tei lchose asdeser uie q uigries t iert aso frir	---⌫|----|-|-----⌫--|-⌫-|----||---||--⌫---|
ne toifald r ontang oi ssesquenena iestodis	-|--|----⌫-⌫--|---⌫--⌫---|--||-|-⌫--|----|
tunefus osteliers	-|-|--|--------|
almones nefesis	------|-|----|
asseiz mani asalsecle et tonuentreremplis	-----|----⌫-|-|----|-|--|-----|------|
petite ndonas d eu orlotrueuesic i	----|-⌫|----|-⌫-|-|-|------|--⌫|
ne uer rasmais l aioiequiesten p aradis	-|---⌫--|---|-⌫|---|--|--|-|-⌫-----|
uosq uidasteslo mu nde e nbracier ett eni r	--|-⌫-------|-|--⌫--|-⌫-------|-|-⌫---⌫|
l amorsuosestm utpresneporezia	-⌫|---|--|--|-⌫-|---|-|----|-|
u l tresenest ale ietart estdel	-⌫-⌫--||-|--|---⌫-|---|--|--|
faldro n tangoiss eskenenaiez	------⌫-⌫|-------⌫-|-||-|---|
li auo irse s t remeis etasfilz et	-|---⌫--|-⌫-⌫|-----|-|-|---|-|
ilen uiurontalsecleu os	-|-|------|-|----|-⌫-|
en ireizchaitiue	-|----|-------|
ne uossorc urratmielauirg inemarie	-|--|----⌫----|--|-|----⌫--|----|
etsa inzmichiez l iangles ne	-|--⌫--|------|-⌫|-----|-|
uos conduira mie	--|-------|--|
ianeu osf a ldront	-|-|-⌫-|-⌫-⌫-----|
painesanultenske deu s uiue	-----||--|---|-|---⌫|---|
orpe n ra spenitanceconke steilnefesis	-|--⌫-⌫--⌫|--------||----⌫|---|-|----|
etpar to rmenzet par dol e ros	-|--|--⌫----|-|--|---⌫-⌫--|
le sg r anz fa insetles sois	--⌫|-⌫-⌫--|--⌫--|-|--|---|
uoscouenratsof rir	--|-------|---⌫--|
lanoif etlaieleie etlesdolenzg resis	-|---|-|-|-----|-|--|-----|-⌫----|
enrog e meirlagrant l apasser ezparmi	-|---⌫|---|-|----|-⌫|------⌫-|----|
n euosfaldrontangoissesanzuenratli	-⌫|--|-------|--------|--|-----|-|
c antdeus repairer atlo	-⌫--|---|--------⌫-|-|
io rsereiz maldi t	--⌫|-----|-----⌫|
en lach ar tred enf eirq uii ane pren drat fin	-|-|--⌫--⌫--||---⌫--|-⌫-|-⌫|-|----⌫---|--|
oroiezqued ist l anmede	-|---|--|-⌫--||---|-|
celcorsqueguerpist	--|---|--|-------|
corsm aldizsoiestu ensi	---|-⌫----|----|-|---|
cumdeustefist	--|---|-|---|
et to ioilettesmainset	-|--⌫|--|-|--|----|-|
tabocheet tes uis	-|----|-|--|--|
t oi piettamonument e de quantke estd et i	-⌫-|---|-|--------⌫|-|------|--|-⌫|-⌫|
cant ceas manou r eitet ceasdese ruit	---|-|-|-----⌫-⌫--|-|-|-|----⌫---|
ke n iraienenfer lo	|-⌫|---|-|----|-|
dolero sp a is	------⌫|-⌫-⌫-|
ienel auoiforfait beazdeusne	-|-||---|------|---|---|-|
maisciz lerres dec o rs qui	---|--|-----|-|-⌫-⌫-|--|
unkesbi en nef ist	----|--⌫-|-|-⌫--|
ainc n enotcariteit nede poure mercit	---|-⌫-|-|-------|-|-|----|-----|
nena matla	-||-⌫--|-|
parole quidedeupartueni st	-----|--|-|--|---|----⌫-|
uulletun onla	-----||-⌫-|-|
lass eillestuetfor s	----⌫|-||-----|---⌫|
licorsrema int	-|---|----⌫--|
e nte rrelanmeenuait	-⌫|--⌫--||---|-|---|
diablenemaniou entnepainnecharne	-----|-|------⌫--|-|---|-|---|-|
maisle san mes d escors kedammled eu si mist	---|--⌫|--⌫--|-⌫-|---|-|-------⌫--⌫||---|
celesa rtetdeuo retetdetrenchetparmi	----|-⌫-|-|----⌫--|-|---------|----|
l und i almainent rosc alseme di	-⌫---⌫|-|---|---⌫---|-|----⌫-|
end roitlec okcantant dontrepaire lispirs	---⌫---|-|-⌫-|------|---|------|-|----|
sorlatombesasiet lauli	--|-|----||----|-||-|
selicorsat	-|-|---|-|
bienfaitet	---|---|-|
ilest enbienpri s	-|--|-|---|---⌫|
deuetgras cesetmercis	--|-|----⌫--|-|-----|
co r sbenoi zsoies tubo n sanior aiseruit	--⌫-⌫|-----⌫|----|-|--⌫|-----|-|-----|
iai u euela ioie qu iesten	|-|-⌫--|-|---|--⌫|--|-|
c amp flori t	-⌫--|-----⌫|
uiem anraitoziorsauocl esdeu	--|-⌫----|--|---|---|-⌫-|--|
ie menira ibeazs iredeus so itgarde	-||-|---⌫|---|-⌫--|---|--⌫-|----|
alaioieentrai qu ies t enc ampflori	|-|---|-----|--⌫|--⌫|-|-⌫--|----|
laue nronttrest ui t cilquiontdeu	-|--⌫----|-----⌫--⌫|--|--|--|--|
se licorsat mal	-|-|---|-|--|
il esten malpris	-|--|-|--|---|
l anme reuie ntal	|---|-----⌫-|-|
corsdurementlomaldis t	---|-------|-|------⌫|
lerresquefaites	-----|--|-----|
giseizuosici t	-----|--|---⌫|
ia nepoeizt ro ueirneo steilneabit	-|-|----|-⌫--⌫---|-|-⌫----|-|---|
unkesneher b rii astesne pouren e mendit	----|-|---⌫-⌫---⌫----|-|----|-⌫|-----|
etdeusn elfe r at	-|---|-⌫||--⌫-⌫-|
uosel siensa int paradis	--|-|---|--⌫--|------|
kiuos feraitgaranzdeuant	-|--|-----|-----|-----|
i aitbenei zonuos isereizmaldis	|--|-----⌫--|--||-----|-----|
uee izlesgranzc ompaniesdes	---⌫-|--|----|-⌫-------|--|
diabl es ici	-----⌫-|--|
par milaroge meirmenc ac en ten	---⌫-|-|---|---||-|-⌫--⌫--⌫|-|
lassusde uerslo cie lius me laiss e ntcair	-----|--⌫---|-|---⌫|--|-|-----⌫-⌫-|---|
ueeizce sgrandes plaieskemo i	----|--⌫|------|-----|-|--⌫|
es tu ettenir	--⌫--⌫-|----|
iuaies pie zchaaines e telco lteillaz	-|-|-|---⌫|-------|-⌫|-|--⌫|---|--|
lerr esp lussun t	----⌫-|-⌫--|---⌫|
nest l a turzdauid	|--|-⌫|---|----|
l a t urzdebabiloinene	-⌫|-⌫--|-|--------|-|
poiset mie si	-----|--|-|
ettozt ensm oi creistrontkeia nep rendrontfin	-|--|-⌫--|-⌫-|---------|-|-|-|-⌫-------|--|
lan erir eizuo s	-|-⌫|---⌫--|--⌫|
maisdont u en istes ici	---|---|-⌫--⌫----|--|
n eiamaisne ue rre izne p arent	-⌫|-----|-|--⌫---⌫-|-|-⌫----|
cezd olerostormen zq ueuo s es tuetso frir	--|-⌫-----|------⌫|-⌫-|--⌫|--⌫---|--⌫---|
detrestotes cesanmes	-|--------|--|----|
ki cest secle	-|---|----|
on tguerpit	--⌫|------|
neseitne clers moines t antcanteirne tan tlire	-|---|-|----|-----|-⌫--|------|-|---⌫|---|
p uist onkes	-⌫---|----|
direucez anmesuertisent	---||--|----|--------|
neuprendentosteilne u soit	-||-------|-----|-||---|
li loruiures	-|--|-----|
uolentier sreu en roient por	---------⌫|---⌫--⌫-----|--|
lur angoissesdire	--|--------|---|
iane reuenrontmaisa nzue nr at	-|-|--------|---|-⌫-|--⌫--⌫-|
la uenr on t li	-|----⌫--⌫|-|
dolent quideunauron tserui	-----|--|--||-----⌫|----|
k inorentcaritei t	-⌫||----|-------⌫|
n edepouremerci	-⌫|-|----|----|
cilrelerontloi orkedeusde u r atuenir	--|-------|-|-⌫-|-|---|--⌫-⌫-⌫-|----|
dontmoster r atsesplaieskeilpor nos	---|------⌫-⌫-|--|-----|-|-|--|--|
commentkeli plaiz prendetilnauront iamerci	--------|-|----|------|-||-----|-|----|
lesmald irat quionkesnementit	--|----⌫---|--|----|-|-----|
enlachartr ed infer quii anepre dra	-|-|------⌫||----|--|-⌫|-|---⌫--|
ois anioret damesc o m laid eatent ea t ci	-|-⌫----|-|----|-⌫-⌫|----⌫|-----⌫|-⌫|-|
corsaueiztante t	---|----|---|-⌫|
gardeize t nurriz	------|-⌫|-----|
par lamor t a nc ois sosei passereiz par mi	--|-|---⌫|-⌫--⌫---⌫---||--------|---⌫-|
agra ntdol	|---⌫-|--|
reuenrontcist las cors	--------|---|--|---|
homnonesten	--|--|--|-|
ces tsecletan t amez etseruiz	---⌫|----|---⌫|---|-|-----|
ta nt aitorne	--⌫-|--|-|-|
arge ntnec asteaz ne pai s	----⌫-|-|-⌫-----|-|---⌫|
puiskel anmeenestfors	-----||---|-|--|---|
ke ilnesoit tozuiz	-|-|-|---|--|--|
netantl aimetnu zhom	-|---||----|--⌫|--|
quillouuletueir	-|-|-|----|---|
bienecou ieie a uerspuisqu il estenfoiz	---||---⌫---||---|-----|-|--|-----|
cizseclesno s	--|-----|--⌫|
traiz eta uo gleiz	----|-|-⌫--⌫----|
homnon est encest secle tant	--|--|--|-|---|----|---|
tantait orne argen t nechast eaz	---|--|-|-|-----⌫|-|-----⌫--|
n eci teiz	-⌫|--⌫---|
pelizonsuairsetgrismanteazengole iz	-------|----|-|---|------|------⌫-|
puisk el anmeenest	-----⌫||---|-|--|
forsquilne soit auileiz	---|-|-|-|---|------|
ohi d enoz lascorsque	--|-⌫|--|--|---|--|
nos paramons si	--|--|----|-|
d e boiure	-⌫|-----|
etde mangie r	-|-|------⌫|
de cac i er deue stir	-|---⌫-⌫-|-|--⌫---|
desd eliz de c estsec leli	--|-⌫---|-|-⌫--|---⌫-|-|
faisonsson plaisir	------|--|------|
cumpluslen grasseronset ferons	--|---||--⌫---------|-|-----|
son deli t	--|----⌫|
plusenrorun t liuercantuen rata	---|-|-----⌫|-|--|---|---⌫--||
tantuit lihom a lseclecum	---|--|-|--|-⌫|----|--|
deuuienta pl aisir	--|----||--⌫----|
m ors lipren tlic ors angoissesi	-⌫--|-|----⌫|-|-⌫--|-------|-|
kele sueines d elcuerli	-|--⌫|-----|-⌫-|---|-|
detrenche ntpa rm i	---------⌫-|--⌫--⌫|
gra nta ngoisseatli cuer s c a ntl	---⌫-|-⌫------|-|-|----⌫|-⌫-⌫-||
anrmee ndoitissir	----|-⌫|---|----|
do nc re maintliorgu ezetlidoleros	--⌫-|--⌫----|-|----⌫-|-|-|------|
etlalasse deuieke nosmain tenonsci	-|-|----|-|--|-|--|----⌫-----|-|
kant de usrep airerata l grant iordeliuis	---|--⌫-|---⌫------|-⌫|----|--|--|---|
il nosde m anderatcumn os	-|--|--⌫-⌫------|--|-⌫-|
ga rdons que nossoi on sp orpenseit	--⌫----|--|--|---⌫--⌫|-⌫--------|
aion sou reitkedeuuie nie aplaisir	----⌫|--⌫---|-|--|---⌫--||------|
etrespondrep uisonsdeuandeualiuis	-|--------|-⌫-----|----|--|-|---|
laneprend eratnuzneconseiln e respit	-|-|-----⌫---|--|-|------|-⌫|-----|
tuitlibona uoc lui irontenpar adi s	---|-|--|-⌫--|--|----|-|---⌫---⌫|
etlimal eni nfer u ia ne	-|-|--|-|-⌫---||-|-|
pren drontfi n	----⌫----|--⌫|
oideus linoz	-|---|-|--|
orguelzlo iorpariert	------|-|--|--|---|
ke n osn auronsuestitpelizonsuai rsnegris	-|-⌫-||-----|-----|-------|---⌫-|-|---|
las sesdefem es nemantealzne trains	---⌫--|-|---⌫-|-|-------|-|-----|
ianese ronsaplait se deu	-|-|--⌫---||----|-|--|
n au onsseruit	|--⌫--|-----|
des pech iezkauonsfaitparueut	--|----⌫--||----|---|------|
alcorspar lerat l an rme	-|---|---⌫----||--⌫--|
ali orde l gr antiu is	-|-⌫-|--⌫|--⌫--|--⌫-|
ohicorsdolerosporkoi t	--|---|------|--|--||
aitantseru it	-|---|----⌫-|
etdoneitamang ier et	-|-----||----⌫--|-|
culchiét enb onlit	--------|-|-⌫-|--|
sebieneussesfaitorl otrouassesci	-|---|-----|---|-|-⌫|--------|-|
or iraie ninfer	-|---|-⌫|----|
lodoleros pais	-|------|---|
l agr ant dolo rdinfer	-⌫|--⌫--|----⌫||----|
moicouenrat s offrir	--|-------|-⌫-----|
lat remble rontlimal loiorparteilair	-|-⌫------⌫---|-|--|-|--|--|---|--|
keparmiles gechiuesent rosk as sobreciz	-|----|--|-------|---⌫---|-|-------|
uenro nttrest o te nsemb ledangoisse deliuis	-----⌫-|-----⌫-⌫|-⌫-----⌫-||-------|--|---|
reproch i ers dedamledeu ser uir	-------⌫-⌫--|-|-------|---⌫--|
or oiezdecele anm e kideu	-|---|-|---|---⌫|-|--|
auratseruit	----|-----|
etquioutcariteitetde	-|--|--|-------|-|-|
pouremercit	----|-----|
bl ans uestimenzauratgloriosetfloriz	--⌫--|--------|----|------|-|-----|
ki plusrelu irontcleirke	-|---|----⌫----|----|-|
soloznesc la rcit	----||---⌫--⌫---|
ceiertsenefian ce k e leauratp aradi s	-|---|--------⌫-||-⌫-|----|-⌫-----⌫|
prendeiz gar d eas bons sa in zqu i soren t deu	-------|---⌫-⌫|-|---|--⌫--⌫|--⌫|-----⌫|--|
mund preecheren tet rec iurentmartyr	---|----------⌫|-|---⌫-----|-----|
aspoures besinospe nere nt deseru ir	-|-----|------|--⌫----⌫-|-|----⌫-|
n orent cure	|----|---|
d auoir encon tr e deutenir	|----|-----⌫--⌫|--|----|
r sun t r icheetmanantde	|---⌫|-⌫---|-|-----|-|
licorsensu nt seruit enmosti er	-|---|-|--⌫-|-----|-|-----⌫-|
teilio ieontdeuantdeu	---|--⌫-|--|-----|--|
clersn eseitdire	----|-⌫|---|---|
carsiaur onttuit	--|-|---⌫--|---|
c ilquifero ntsonseruise	-⌫-|--|----⌫-|--|------|
laseruntlibon	-|-----|-|--|
saintd e uant telpr is	----|-⌫-⌫---|--|--⌫-|
kiorentfainetsoitporlogran t de useruir	-|----|---|-|---|--|-|----⌫|--⌫|-----|
k ikisaitdecaciezdeusn	-⌫|-||--|-------|---||
