enla m arche de	-|-|-⌫----|-|
gaulee tde lapetitebret aigne	----|-⌫|-|-|-----|----⌫----|
au oitd eusroisencien ementquie st oient fre re g e rmainet au o ient	--⌫--|-⌫--|---|------⌫----|--|-⌫--⌫----|---⌫-|-⌫-⌫----|-|--⌫-⌫---|
deus serorsgermai nes afames.	---|-----|------⌫--||----||
l iu nsdes	-⌫|-⌫-|--|
d eusro is auoit nonliro is bansdebenoyc	-⌫--|--⌫-|----|--|-|--⌫-|---|-|-----|
et liautresrois auo itnon	-|-|-----|---|---⌫-|--|
li roisbohorz de	-|---|-----|-|
li rois bansestoituiauz	-|---|---|-----|----|
etsafameestoitiues ne et	-|-|---|-----|----⌫-|-|
b eletropet mo utparestoitboene dame	-⌫--|---|-|--⌫-|--|-----|----|---|
etamee d e	-|---|-⌫|
de l i nauoit euanfant	-|-⌫||----|-|-----|
queun totseul quiualle z	--|-|--|---|--|-----⌫|
estoitet auoitnon la n celozen	-----|-|----|--|--⌫-⌫----|-|
sorenonm ais i l auoi tnon anbaptais me	------|-⌫--|-⌫|----⌫|--|-|-------⌫-|
et ceparquoiil fu	-|-|--|---|-|-|
a pele zlancelozcedeuise ra bien li c on tes	-⌫----⌫|-------|-|------⌫-|---|-|-⌫--⌫--|
caauantcarlileus	-|----|--|-|---|
e storesmiesn ela	-⌫-|---|---|-⌫|-|
ancoistientlic o nt essa	-----|----|-|-⌫-⌫--⌫-|-|
droiteuoieet d itquel iro isban s	-----|---|-|-⌫-|--|-⌫|--⌫-|---⌫|
auoitunsienueisinq uimar chissoita	----|-|---|-----|-⌫-|---⌫-------||
luipardeue rs be rr iqui lors estoit ap elezterre de serte	--|--|----⌫-|--⌫--⌫|--|---|-----|--⌫---|----|--⌫----|
lisue nsueis ins auoitn onclauda ssi estoit	-|---⌫-|----⌫--|----|-⌫-|------⌫|-|-----|
sires de bohorgese tdo pa is	----|-|-------|-⌫|-|--⌫-|
totenuiron .	--|------||
ci l claudas es toitroissiestoit mout bons	--⌫|------|--⌫---|---|-|-----|---|---|
cheua l ie rset mout saig eset	-----⌫-⌫--⌫-|-|---|----⌫-|-|
mout traitresetestoithomloroi de gaule	---|-------|-|-----|--|-|--|-|----|
quiorestapele e	--|-|--|-----⌫|
later redo re gne	-|---⌫-|-|--⌫--|
c lada s e stoitapelédesertepor	-⌫----⌫|-⌫----|-----|------|--|
cequet ot ef u	-|--|-⌫--⌫|-⌫|
a desert iep aruterpandragon et	-⌫------⌫-|-⌫-|------------|-|
para ramontqui ac el	--|-⌫-----|--||-⌫-|
tenses toitsiresdebretai gnelamenor quel es genz	---|--⌫---|----|-|------⌫--|-|----|--|-⌫-|---|
apeloi enth oel ensor enon.	------⌫--|-⌫--|-|---⌫---||
cil aramon z auoit	--|------⌫|----|
desouzlui gaules et	-----|--|-----|-|
benoyc ettotelaterreiusq uea lamarche	-----|-|---|-|----|----⌫-||-|-----|
dauu erneetdegascoigneet d euoitauoi rdesouz lo	|---⌫---|-|-|--------|-|-⌫----|----⌫|-----|-|
re gnede bohorgesmaisclauda s neliconoissoit	--⌫--|-|-------|---|------⌫|-|-|---------|
mien eseru ise n eliuol oitrend reainz	--|-⌫|----⌫--|-⌫|-|---⌫--|----⌫-|---|
auoitfa i ts eig nordelroi	----|--⌫-⌫|-⌫---⌫--|--|--|
etacel tensestoit gauleso ugietea romee t	-||--|---|-----|----|--⌫-----||---|-⌫|
lir endoittreue tes toienttu itliroi par ele cti on	-|-⌫-----|---|-⌫|--⌫-----|--⌫-|-|--|--|---⌫---⌫-|
