or s enuet	-||-|--|
gal e hout entre lui et	---⌫-⌫---|----|--|-|
soncompaignon	--|---------|
lies etdolens	---|-|-----|
l ies decequeses compain ssen uet auec	-⌫--|-|-|--|--|-------⌫||-|--|---|
luietdolensde	--|-|-----|-|
es trem isde lamaisnee	--⌫|---⌫-|-|-|------|
le roi artu	-|--|---|
k arparcel ecuide il	-⌫-|--|-|-⌫|----|-|
auoirperdua tosiors	----|----||--|---|
eti lauoitmisson cu eren	-|-⌫|----|--|--|--⌫-|-|
luio utre ce qu e cuersdomepooitamerautre	--|-⌫---|-|--⌫|----||--|----|---|----|
h om ee st r angede loial	-⌫--⌫|-⌫--⌫-⌫---|-|----|
compaignie.	---------||
etde ceste chosen ecouie nt pas	-|-|----|----|-⌫|-----⌫-|--|
t esmoing auoircarbien iparu tenlaf in	-⌫------|----|--|---||----⌫|-|-|-⌫-|
quel adolorqu e il enotli	--|-⌫|----|--⌫|-|-|-|-|
tolitote i oietantquemorsen fu	---|---|-⌫--|---|--|---|-|-|
sicom licontes	-|--|-|-----|
me ismes le de uiseracaauant .	--⌫----|-|--⌫-----|-|----||
maisdesamortne fetpasa	---|-|-|---|-|--|--||
endroitkar morsa	------|--|---||
sipreudomecomga lehout esto itnefet	-|-------|--|--⌫-----|----⌫-|-|--|
pa saramenteu oirdeuantle	--⌫||--------⌫--|-----|-|
licontequi parolent de	-|----|--|-------|-|
l ui s acordenta	-⌫-||-------||
cequilestoi te n toteschoses	-|-|-|-----⌫|-⌫|----|-----|
lipl usuai l lansdet os l esh ausprinces enpre sle	-|--⌫-|---⌫-⌫---|-|-⌫-|-⌫-|-⌫--|------|-----⌫|-|
r oiartuacuilennedoitnuluiaparagierde	-⌫-|---||--|--|-|---|----|--------|-|
cel squ i uesquire nt aceltermine.	---⌫|--⌫|--------⌫-||--|------||
retesmoigneli liurestar damides deuer gials q ui	----------|-|-----|---⌫------|-|---⌫----|-⌫-|
plusparolede sproesces galeh outque nusdesaut res	---|-----|--⌫|-------|-----⌫--|--|--|--|---⌫--|
queneisli r ois artusnefu mie	--|---|-|-⌫--|----|-|-|--|
d egairesplusua illansk a rse galehou t p uist	-⌫|-----|---|--⌫-----|-⌫-⌫|-|-------⌫|-⌫---|
uiure sondr o itaagealpoi nt et	----|--|--⌫-⌫-|---|-|---⌫-|-|
alcoragequ	-|-----|-|
quantil comenca	----|-|------|
ague r roier	|---⌫-⌫----|
leroiartuilpassasttoscels	-|--|---|-|------|--|---|
q uiles aut res	-⌫-|--|---⌫--|
au oientpassé s.	--⌫----|------⌫||
etil meismesendescouri soncoragea	-|-|------|-|-------|--|-----||
lance lote tdist quealoreque	-----⌫--|-⌫|---|--|||--|--|
laguer re commencabaoitil a totlemon de	-|----⌫-|-------|----|-||--|-|---⌫-|
conquerre et	--------|-|
bieniparu tkarilfu auintcincan s	---||----⌫|--|-|-||---|---|--⌫|
che ualiersetpuisc onquis t ilyyroialmes	---⌫------|-|---|-⌫------⌫|-|-|-------|
etatrentenoef a ns	-||-----|---|-⌫-|
fu l a fin deson aage.	-|-⌫|--|-|--|---||
maisdet otes	---|-|-⌫---|
letraist lancelo s	-|-----|-------⌫|
ariereet illi	-----|-|-|-|
mostra bienlaouil	-----|---|-|-|-|
fistdes agr ant	---|-|-⌫|--⌫--|
granthonte quant ilestoit	----|----|----|-|-----|
au des us l eroi artuet il	-|---⌫-|-⌫|--|---|-|-|
li alamercicrier	-|--|----|----|
etapr esceg r ant tenslaouli dui	-|---⌫-|-|-⌫-⌫--|---|-|-|-|--|
homedeson lignageli	---|-|--|------|-|
pluspro chain quantil lesot fesroiscoronés	---|---⌫----|----|-|--|-|--|---|-------|
l ir eproc hierent ac onseil lahonteusepes queil	-⌫|-⌫-----⌫------||-⌫-----|-|-------|--|--|-|
au oitfe teporunsolhome .	--⌫--|--⌫-|--|-|--|---||
lor s respo ndiilq ue ilnauoit onque s	---⌫|-----⌫--|-|-⌫-|-||----|-----⌫|
ta ntgaaigniénet antd onorco nquis e	--⌫-|--------|-|-⌫--||---|--⌫-----⌫|
kari lnest pas	--|-⌫||--|--|
fetilrichecedet erre	--|-|------|-|-⌫---|
nedauoir maisdepreudomene lesterresne	-||----|---|-|-------|-|--|-----|-|
lespreudom esma islipreudom efont	--|-------⌫-|--⌫-|-|-------⌫|---|
le s terres et	--⌫|-----|-|
richeshomdoittos iorsbae era	-----|--|---|--|---|---⌫-||
ence ste maniere tornagalehout a sauoiretagaaing	-|--⌫--|------|----|-------||-----|-||-----|
ceq ueliautretornoient aperteeta	-|-⌫-|-|----|--------||----|-||
fol ienenus	---⌫-|-|--|
auoircu er	----|--⌫-|
de tant amer	-|---|---|
buens ch eualierscomil fais oit	----|--⌫-------|--|-|----⌫--|
ma isor lais seli contes a parler icie ndroitde	--⌫-|-|----⌫-|-|-----||-----|--|-⌫-----|-|
ses b ontes e	--|-⌫----||
