iadi sa saintpantelion	----⌫||----|--------|
cen osracontentl i	-|-⌫-|--------|-⌫|
so loient granzgen z asenbler	--⌫-----|----|---⌫|-------|
porlafesteausai nt honore r	--|-|----|-|---⌫-|------⌫|
le splusnoblesetles plus beles	--⌫|---|-----|-|--|---|----|
du paisdamese t p uceles	-|---|----|-⌫|-⌫-----|
quidontestoie ntel	--|---|------⌫-|-|
niau oitdamed enulpais	||--⌫--|---|-⌫|--|---|
qu ini uenistaicel ior	--⌫|||-----||---|--|
moltesto ientde ric hea tor	---|----⌫---|-|---⌫-|-⌫--|
chascunsm etoitson p o oir	-------|-⌫----|--|-⌫-⌫--|
enluiue stir	-|--|--⌫---|
laes toientt enu lip let	-|--⌫-----|-⌫--|-|-⌫--|
et laerent	-|-|----|
conte lifet	----|-|--|
desam orset desdr ueries	--|--⌫--|-|--|--⌫-----|
et desnoblescheualeries	-|--|-----|----------|
c eq ue nl anestoitauenu	-⌫|-⌫|-⌫||-|-----|----|
tot ertoietret enu	--|--|-|-|---⌫--|
lorauentureracontoie nt	--|-------|---------⌫-|
et liautre	-|-|----|
les e scoutoient	--|-⌫---------|
tote la me illorretenoient	---|-|--⌫----|---------|
e trecord oientetdisoient	-⌫|------⌫----|-|-------|
so uentertdite	--⌫---|--|---|
etracon t ee	-|-----⌫-⌫-|
tantquedetouz	---|--|-|---|
estoit loe ́	-----|---⌫|
laienfe soient ent reus	--|-|--⌫-----|---⌫|--|
cefulac o ustume d iceus	-|-|-|-⌫-⌫-----||----|
cilqui l auentu reestoit	--|--||------⌫-|-----|
sonnon meismesimetoit	--|--|------||-----|
apres luier tlil aisnom ez	----|--|--⌫|-|-⌫--|---⌫-|
sachoizce estla ueritez	------|-|--|-|------|
puisestoitli laismainte nuz	---|-----|-|---|------⌫--|
tant queparto utest oit	---|--|--|--⌫-|---⌫--|
carcilquisauoie ntdenote	--|--|--|------⌫-|-|---|
en uieleen herpe et	-|----|-|----|-|
fors delaterreleportoient	---|-|-|----|-|--------|
esroia um eso u	-|----⌫--⌫-|-⌫|
il aloient	-|------|
a laf estedontie uosdi	|-|-⌫---|---|-|--|-|
ou libreton	-|-|-----|
uenoient si	-------|-|
en grantmon t	-|----|---⌫|
fulasemble e	-||-------⌫|
porceq uemiex fustescoutee	--|-|-⌫-|---|---|-------|
molt iotc lersetcheualiers	---||-|-⌫---|-|---------|
etplusorsge nsd	-|------|--⌫-||
autresmest iers	-----|----⌫---|
ot nob les e tbeles	-|---⌫--|-⌫|----|
et meschineset damoise les	-|--------|-|-------⌫--|
most ier fu rentpart i	----⌫--|--⌫---|----⌫|
ilorentesta bli	-|----|----⌫--|
conmunementsontasse mbl é	----------|---|----⌫---⌫-|
ch as cunsason fetreconté	--⌫--⌫---||--|--|-------|
saue ntur e dis oitcha scuns	|---⌫----⌫|---⌫--|---⌫----|
a u a ntuenoie n t unsetuns	-⌫-⌫-⌫-|------⌫-⌫|--|-|--|
dont a loien tap areillant	---|-⌫-----⌫|--⌫--------|
lequelil metroientauant	-|---|-|--------|----|
lesdamessi strent d unepart	--|----|--⌫-----||--|---|
sidisoientde	-|-------|-|
lor esgar t	--|-----⌫|
sag eserentetensaingniés	---⌫-|----|-|-----------|
franches cortoisese tp roisiés	-------|--------|-⌫|-⌫-------|
cest oitde	|---⌫--|-|
bretaingnelaflors	---------|-|----|
et laproesceet laualors	-|-|------|-|-|-----|
lun e parl a premierement	|--⌫|----⌫|-----------|
etditmoltafichiement	-|--|---|----------|
damescarmedonnezconse il	----|--|-|-----|-----⌫-|
d une riendont	|--|---|---|
molt me merueill	---|-|-------|
molt oi cesc heualier s parler	---|-|--|-⌫--------⌫|-----|
detornoier et de ioster	-|-------|-|-|-----|
dauenturesdedruer ies	|--------|-|-----⌫--|
etderequerrelor a mie s	-|-|-------|--|-⌫---⌫|
d icelui netienentnul plet	|-----|-|------|--|---|
porquilig rantb iensonttuitfet	--|--|-|-⌫---|-⌫--|---|---|--|
s ontlibon	-⌫--|-|--|
cheu a lier	----⌫-⌫---|
porqoiainmentator noier	--|--|------||---⌫----|
p or quisatornen t li danzel	-⌫-|--||-------⌫|-|-----|
porquiseuestentdeno uel	--|--|-|------|-|--⌫--|
enuoientl oran eaus	-------|-⌫-|--⌫---|
lort re ceors e tlor	--|-⌫--⌫----|-⌫|--|
por quison tfrancet deb o nere	--|--|---⌫|----|-|---⌫-⌫---|
porqoi segardent demal	--|--|-|------|-|--|
po rqo iainmen tl e	--⌫|--⌫|------⌫|-⌫|
etlacoler et l embr acier	-||-----|-||----⌫----|
sauez inule	----||---|
fo rssolpor	--⌫-|--|--|
unechosen on	--|----|-⌫-|
ia nauranus tantdonoié	-||---|--|---|------|
ne biau parléne	-|---|-----|-|
biau p roié	---|-⌫----|
ainzquilsem	---|-|-||-|
p uisse d ep artir	-⌫----|-⌫--⌫----|
a c eneueillereuertir	|-⌫|-|-----|-------|
dice uienent les	|--|------|--|
granzdoucors	----|------|
porcoisontfetesl eshonors	--|--|---|----|-⌫-|-----|
main thonm e is ontsi amende ́	----⌫|----⌫||-⌫--|-|------⌫|
etmise m priset embonte	-|--|-⌫|---|-|-|----|
quineuausiss e nt bouton	--|-|-------⌫-⌫-|-----|
ente ntedu	----⌫--|-|
l amoiefoi	-⌫|---|--|
