puisquececi feniauons	------|---|---|----|
aleui tiqu e	|----⌫----⌫|
nous deuons	---|-----|
trayrepordescr iree t pormetre	-----|--|-----⌫--|-⌫|--|----|
en rimecequeditla letre	-|---|-|--|--|-|----|
cis liurestiersici comm ence	--|-----|----|--|----⌫---|
diexapela en sap re s ence	---|----|-|-|-⌫--⌫-⌫---|
moys e sso nseret li dist	----⌫-⌫|--⌫|--|-|-|---|
qu esesparolles retenist	--⌫|--|-------|-------|
poupleona udi en ce	-----|-|-⌫---⌫--⌫-|
enfeis t com mune semence	-|----⌫|---⌫---|------|
lorshabit oit	---|-----⌫--|
o utabernaclequonnomoi t	-⌫|---------|-|-|-----⌫|
tabernacledetesmoygnage	---------|-|----------|
ens sitlorent	---⌫--||----|
nome ́lisage	----⌫|-|---|
q uar l es choses	-⌫--|-⌫-|-----|
est a i n t	---⌫-⌫-⌫-⌫|
ditescertainete zp ortaint	----|----------⌫|-⌫------|
que diex i p a rlo i t	--|---||-⌫-⌫---⌫-⌫|
tesmo yg nage ualoit	-----⌫--⌫---|-----|
c isleusdonlauoizdieuoye	-⌫-|---|--|-|---|---|--|
estoit l iglisesenefie	-----||-----|------|
quar encetesonentli d it	---|-|---|-----|-|-⌫-|
uoizdou s ai n t espe rit	---|--|-⌫--⌫-⌫|----⌫--|
etc eson tl im ottotespres	-|-⌫|---⌫|-⌫|-⌫-|--|-----|
quediexenioint	--|---|------|
auiu is d irasde par moy	-|--⌫-|-⌫---|-|--|--|
qu etuit cilquison t del or	--⌫|---|--|--|---⌫|-|-⌫-|
queilfac entlorsacrifice	--|-|---⌫--|--|--------|
debouf doilleou de genice	-|---||----|-|-|-----|
me smaallesqu e	--⌫|------|--⌫|
lon deu ra	--|---⌫-|
sacrifierthaichen aur a	--------|------||---⌫|
etcil quisacrif ieront	-|--|--|------⌫-----|
cetuisa crefice fe ront	----|--⌫------|--⌫---|
al a portedoutaberna cle	|-⌫|----|--|-------⌫--|
ne uoi lquil	-|---⌫|-|-|
iai tnulobtacle	|--⌫|--|------|
ence l uitens estaint	-|--⌫-⌫-|---|------|
diuers sacreficesfe saint	-----|---------|--⌫----|
quar ilu olaintetfereetqu er r e	---|-|-⌫-----|-|---|-|--⌫--⌫-⌫|
sacrificeen	--------|-|
paizenguerre	---|-|-----|
sestien tli	|------⌫|-|
fetdechars	--|-|----|
do mil nestientpas eschars	--⌫|-||------|--|------|
autrede painenfesaint	----|-|---|-|------|
queiloffr end eape laint	--|-|----⌫---⌫|---⌫----|
le t iers duil le o udeuinfesain t	-|-⌫---||---⌫-|-⌫|-|--|------⌫|
queilli bacionnomaint	--|-|--⌫-----|------|
lipremers qu iertape lez	-|------|--⌫|--|---⌫--|
sacrificesestoitdonez	---------|-----|----|
sacrifiez of fers etmis	--------|--⌫---|-|--|
poru itoyredesanemis	--|-⌫-----|--|-----|
etseiluausist	-|-|-|------|
cens ma rs	---|--⌫-|
est ouoitilquil fus t tozars	---⌫----|-|-|-|---⌫|--|--|
e tqueporpezestoitdon é	-⌫|--|--|--|-----|---⌫-|
quioffrend e	--|-------⌫|
e stoitnomé	-⌫----|----|
la gr essesolleme ntardoint	-|--⌫---|-------⌫-|------|
etl er emenenttotmanioint	-|-⌫|-⌫------|--|-------|
