p uisloradist qu	-⌫--|--||---|-|
hon mefamemaudissera	---⌫-|---|-----|---|
aléssus terre si croisiés	----|--|----|-|--------|
etlaterresi rampliciés	-|-|----|-|----------|
adonqu esnoedemanda	------⌫-|--|------|
ad ieu quelsigne	|-⌫--|---|----|
que nereuaignep lus li aigue	--|-|-------|-⌫--|-|----|
n ostr esiresdistrapparo ille	-⌫----⌫|----|---|-------⌫---|
larcquiaperten	|--|--|----|-|
te nsplougeus	--⌫-|-------|
nes oiespas douteu s	-|-⌫---|--|------⌫|
finsdoumonde plusne	---|--|----|---|-|
tantco nci st ars siaparra	---|--⌫|--⌫-|--|-|-----|
ad aiguecoulour	||----|------|
et siadoufe ul a	-|-||--|--⌫|-⌫|
det erre noiret	-|-⌫---|---|-|
delairb lou	-||--|-⌫--|
parlaigue estsenefié	--||----|--|-------|
que dieu slemondea	--|----⌫|-|----||
anos se n efielifeu	|--|--⌫-⌫---|-|--|
par cefeniratrestout dieus	--|-|-----|-------|----|
puisa mandé dieus a noe	---||-----|----||--|
que chanscultiue etait s em é	--|----|------|-|--|-⌫--⌫-|
etlima nd equeil	-|-|--⌫--⌫|--|-|
con dieu s lema nd e n oele f ist	--|----⌫|-|--⌫--⌫|-⌫-|-|-⌫--|
ceste uignepo rtabonuim	----|----|--⌫--|--|--|
e nlanapres aaueni r	-⌫||-|----||-----⌫|
noblesliuinsnoblela uigne	-----|-|---|----|-|----|
carnoeenbustsifui ures	--|--|-|---|-|-|-⌫---|
l a forcedouuimnequenust	-⌫|----|--|--|-|------|
noe fuiurestantenbust	--|-|----|---|-|---|
camcela ntuacheoirs e laist	-------⌫-|-|-----|-⌫|----|
bel ou li fu	--|-|-|-|
deuantlui s des ontabernacle	-----||--⌫|-|-⌫-|---------|
p o urle uimf ortate rreflate	-⌫-⌫-|-|--|-⌫--||--⌫--|----|
descouuer sfuet sana ture	---------⌫|-|-|-|--⌫---|
li a paru st	-|-⌫----⌫-|
carusnecure	--|-|-|---|
de braiesnauiente ncornu lles	-|-----||-----|-⌫---|--⌫---|
ses filz cham leuoit etle moque	--|---|---|-|---|-|-|----|
pourcequeil	---|-|--|-|
leuoitsansroube	-|---|---|----|
puis ah uch ié sa n etiaphet	---||-⌫---⌫--|--⌫|-|-----|
uenésueoirson faitconpert	-----|----|--|---|--|---|
que m esp eressansroube	--|-⌫-|-⌫---|---|----|
cili uienent	--||------|
lor uis trestou rnent	--|--|-------⌫----|
lor pere ont granthonte	--|---|--|----|----|
lo rfrerequi lormontre	--⌫|----|--|--|-----|
carcilfust saichescouuert	--||-|---|------|------|
etliau tr ene	-|-|--⌫--⌫|-|
leussent seu	|------|--|
toutmain tenanti aph efetsen	---|----⌫-----|-⌫---⌫-|-|--|
uontnoelorp ere couurant	---|--|--|-⌫--|-------|
et lorfrere	-|--|----|
uontmu ltblasmant	---|--⌫-|-------|
noe s ene fie ihesu	--|-⌫---⌫--|----|
q ui p ournos toustousiures	-⌫-|-⌫--|--|---|---|----|
carqua nt li	--|---⌫-|-|
iuif e ncroisleuist	---|-⌫|----|-|---|
etescharnist	-|---------|
quepa r l emaischam s enefi	--|--⌫|-⌫|---|---|-⌫----|
sa me remariequantleuist	-|--⌫-|----|----|-|---|
toustdesnuésou de scouuri st	----|------||-|--⌫-------⌫-|
quepar seniaphef	--|--|--|-----|
quantnoedes iuréssefu	----|--|---⌫-----|-|-|
s e lidist onque	-⌫|-|---|-|--|
chams es fi ex	---|-⌫-|--⌫-|
m oquélauoitet	-⌫----||----|-|
quantdouuim fu	----|--|--|-|
sient reprins	-|---⌫------|
p ou r laquelchosenoema udist	-⌫--⌫|-|---|----|--|--⌫----|
chamde sesfreresser	---|-|--|-----|--|
maudisdemoimesfizcham	-----|-|--|--|--|---|
e tti frer esignorsortoi soient	-⌫|-|----⌫|-----|--|--|-----|
et tuiaphef etsenausis	-|-|-----|-|--|----|
de m oisoiésuosbenei	-|-⌫-|-----|--|----|
e tsoi és	-⌫|---⌫--|
sign ordeso rlei	----⌫-|----⌫|--|
ainsismaudi std ieus i uerie	-----|-----⌫-|-⌫---|-⌫----|
pourcequea soisedetrie	---|-|--||--|-|-----|
dereu en iret	-|---⌫--⌫-|-|
ne sewellent	-|-|------|
etlescr estien s	-|--|--⌫------⌫|
