Cy com enceun petit	-|---⌫---|-|----|
liure pourenseign erles enfan tzde leurentreparler	----|---|-------⌫-|--|-----⌫-|-|---|----------|
comunf r anç ois	----|-⌫-⌫----⌫--|
P our ce sça chez	-⌫--|-|----⌫---|
primiereme ntque	----------⌫-|--|
leanest diu is éendeu xcestassçauoirle	-|-|--|---⌫--⌫-|-|---⌫||--|---------|-|
yuer etla esté	---|-|-|----|
Leyuerasixmois	-|---||--|---|
etl a estéata ntque uallentdo use	-|-⌫|----|---⌫-|--|------|--⌫--|
Et cessont ces	-|--|---|--|
marchapril	----|----|
etmaysontleprim ier	-|--|---|-|----⌫--|
q uarterdelaniun i ulet et	-⌫-----|-||-|--|-⌫---|-|
a ous t sontleseconde quart ier s eptembre o ctobreetnouembresont	-⌫---⌫|---|-|------|-----⌫--|-⌫-------|-⌫-----|-|-------|---|
le tr oisiesme	-|--⌫-------|
dec embre ianu ere tfeurer sont	---⌫----|----⌫-|-⌫|-----|---|
lequatriesm e	-|---------⌫|
E t enchescunmois yl ya	-⌫|-|------|---|-|||
des b onne sfestes qaren march	--|-⌫----⌫|-----|--|-|----|
comenceuolentie rs le	------|--------⌫-|-|
Quar esmecomen çantpar	----⌫---|-----⌫----|--|
Quaresmepren nant	-------|----⌫---|
e stuolentiers l	-⌫-|---------||
Anunciaçound e	-----------|-⌫|
Pasquesfleu ri	------|----⌫-|
etdenapré s	-|--------⌫|
Etaprilest la festedemonseignur	-|----|--|-|----|-|--|------|
Ambroi s eeuesque et docte uret	------⌫-⌫|------|-|-----⌫-|-|
de monsei gn u r	-|--|---⌫--⌫-⌫|
George c hiualiere tmar tyret demon s eignur	-----|-⌫-------|-⌫|---⌫--|-|-|--|-⌫-----|
Ma rceuangelistre	--⌫-|-----------|
Enmay est lafestedesmesseignurssaint	-|--|--|-|----|--|--|-------|----|
Phelippeetsaint	-------|-|----|
Iaque apostrese tla	----|-------|-⌫|-|
Inue ncionde la	----⌫----|-|-|
Etuolen tersl	-|-----⌫---||
Ascen cionde	-----⌫---|-|
Pe ntecouste etla feste delabenoite	--⌫--------|-|-|----|-|-|------|
Eniune st la festede	-|--|-⌫-|-|----|-|
monseignur sain t	--|------|----⌫|
apostree t	------|-⌫|
de mo n seignu r	-|--⌫|------⌫|
Baptistreetdesmesseignurssaint	--------|-|--|--|-------|----|
P i erreet saint	-⌫-⌫---|-|----|
Pol a postres	--|-⌫------|
En iulete stla feste d e madame	-|----|-⌫-|-|----|-⌫|-|---|
Margar ete uierg e et	------⌫--|-----⌫|-|
m a rt ire etde madam e	-⌫-⌫--⌫--|-|-|-|---⌫|
Magdaleneetde mo n	--------|-|-|--⌫|
seig nursaint	----⌫--|----|
I aque apos tre et	-⌫---|----⌫--|-|
demadamesai nte	-|-|---|---⌫--|
A nnela mer ea	-⌫--|-|---⌫||
En aoustest lafestedemonsei gn ur	-|----|--|-|----|-|--|---⌫--⌫-|
Lorensmarti retdel	-----|-----⌫|-|-||
Assump cion	------⌫---|
demonseign ur s aint	-|--|-----⌫-|-⌫---|
Ba r tholomeuapostre	--⌫-⌫-------|------|
En septembreestla	-|--------|--|-|
natiuite ́de	--------⌫|-|
Exaltaciond ela	---------|-⌫|-|
Cro is etlafestedem onseignur	---⌫-|-|-|----|-|-⌫-|------|
Math ieu apost reeteua ngelistreetdemonseignursaint	----⌫--|-----⌫-|-|---⌫--------|-|-|--|------|----|
Miche larchangre	-----⌫|--------|
En oc tobreest lafestede	-|--⌫----|--|-|----|-|
monseignursaint	--|------|----|
Die niseetses compai gnons e t	---⌫---|-|--|------⌫----|-⌫|
de mon seignur saint	-|--|------|----|
Edw ardroyetc onfes souret	---⌫--|--|-|-⌫-----⌫---|-|
dem on seignursaint	-|-⌫-|------|----|
Luceuau nge li street demesseign urssaint	--|----⌫---⌫--⌫---|-|-|--|-----⌫--|----|
Simon etsaint	----|-|----|
Iud eap ostres	---⌫|--⌫-----|
En nouembre	-|-------|
e stla f este de	-⌫-|-|-⌫---|-|
S aintezet demonseig nurs aint	-⌫-----|-|-|--|----⌫--|-⌫---|
Leonardeabbé et d emonseig nursaint	-------|----|-|-⌫|--|----⌫--|----|
Martineuesqueetconfe ssouret	-----|------|-|-----⌫----|-|
de ma damesa in t e	-|-|---|--⌫--⌫-⌫|
Kater ine uiergeet ma rtire etdemon	-----⌫--|-----|-|--⌫----|-|-|--|
s eignurs aint	-⌫-----|-⌫---|
