alonordeu eta	||---|--|-||
diraiduneuirge lauie	----||--|----|-|--|
d unedamoiselesain time	|--|--------|----⌫---|
qui samorotuersdeu	--||---|-|---|--|
et s onpensesifermement	-|-⌫-|----|-|--------|
que por pa inene	--|--|--⌫--|-|
porto rment	--|--⌫----|
neuout onque ss oncuerr etraire	-|---|-----⌫|-⌫-|---|-⌫------|
de deuseruir ca r neldut f aire	-|--|-----|--⌫|-||--|-⌫---|
as sesfugenteet ass es bele	--⌫--|-|----|-|---⌫-|---|
m arger i teotnonla	-⌫-----⌫-⌫-|-|--|-|
cemest auisquepar	-||--|---|--|--|
du tele bien	--⌫|--|---|
quebi enresanblamarge rie	--|--⌫-|-------|-----⌫--|
desab iaute et de	-|-|-⌫----|-|-|
c on elfugeme	-⌫-|-|-|---|
precio use	------⌫--|
ancelede u fuetespouse	-----|--⌫|-|-|------|
u olentiers etbie nligarda	-⌫--------|-|---⌫|-|----|
sa casteeseli uoua	-|-----|-|-|---|
d egrantgent	-⌫|----|---|
fuenparentee	-|---------|
enanthiochedont f unee	-|--------|---|-⌫|--|
s esperesert biengentilshon	-⌫-|----|--|---|------|--|
theodosiusauoit non	---------|----|--|
prestreer tde l amahomerie	------|--⌫|-|-⌫|--------|
lesydlesa uoite n bai llie	--|----|-⌫---|-⌫|---⌫---|
patriarc hedilue c	--------⌫-||----⌫|
granthonoren la	----|----|-|-|
uile auoit	---|----|
maispa ien sert	---|--⌫---⌫|--|
care n celtans	--|-⌫|--|---|
nauoi t il gairescre stiens	|----⌫|-|-----|---⌫-----|
quelloique sespe r es tenist	---|--|--|--|--⌫-⌫-|-----|
n equequeili	-⌫|--|--|-||
delsaintesp ir	--|----|---⌫-|
fureple nie	-|-----⌫--|
ancelede u f ue tami e	-----|--⌫|-⌫|-⌫|---⌫|
presdanthioc efumenee	---||-------⌫|-|----|
a nori cefu conmande e	|----⌫-|-|--------⌫|
lanorice formentla ma	-|-----|------||-⌫-|
conme safillelon o ra	----|-|----||--⌫-⌫-|
encoreestoit ass es	-----|-----|---⌫-|
ioeuenepucel e margerite	------|-----⌫|--------|
merequileport a	---|--|-|----⌫|
chaien mal si deui a	---|-|--|-|----⌫|
tantfuele plus	---|-|--|---|
seruisable	---------|
et enuerssanorice estable	-|-----|-|-----|------|
crestieneestoit loial me nt	--------|-----|-----⌫--⌫-|
en deucreoitomnipotent	-|--|-----|---------|
en deu creoit	-|--|-----|
cuerse liprioit	---|-|-|-----|
theodosiusquant	---------|----|
deu cre oi t	--|---⌫--⌫|
m ultlenhai	-⌫--||----|
nelauout tenir ent orsoi	-|-|---|----|---⌫-|--|
qu antel neuouttenir salo i	--⌫--|-|-|---|----|-|--⌫|
por ce que relenquiau oit	--|-|--|-------|--⌫--|
l a loi quese spe restenoit	-⌫|--|--|--⌫|--⌫--|-----|
a insse fuprise	-⌫--|-|-|----|
peres lot en haie	----||-|--⌫---|
quedel sien ne	--|--|---|-|
nepotauoir	-|--|----|
c onmunite	-⌫-------|
maisnelip ot gaires	---|-|-|-⌫-|-----|
de lamorde s on	-||---|-|-⌫-|
pereauo ir	---|---⌫-|
quantlamordecelui ot bien	----||---|-|----|-|---|
quis ir es ertde toterien	--|-⌫--⌫-|--|-|---|---|
ele amadeuet	--|--|--|-|
trest otson cuer	-----⌫-|--|---|
et deuot chier	-|--|-|----|
illen rendi mult bo nloier	-||-|----|---|--⌫|----|
de quin ze a ns estoit lamescine	-|----⌫-|-⌫-|-----|-|------|
uerssanori c etoteacli ne	---|-|----⌫-⌫|---|----⌫-|
aceltansq ue nos uos lisons	|--|---|-⌫-|--|--|-----|
es toitgr anspersecus ions	--⌫---|--⌫--|--------⌫---|
