oeztrestuitunnouauc onte	--|-------|-|----|-⌫---|
qu e uns noueauxconterresconte	--⌫|--|------|--------|----|
mesn econta	--|-⌫|----|
messachez bienquensencontea	--|-----|---|-|-|--|----||
desa int marti nde	-|--⌫--|-----⌫|-|
letestem onie	-|------⌫---|
l iliuresqueli sainto ntfeit	-⌫|-----|--|-|----|-⌫-|---|
q uit out son di te t	-⌫-|-⌫--|--|--⌫|-⌫|
to uts onf eit	--⌫-|-⌫-|-⌫--|
iescristrentetdequel	|----------|-|-|---|
etcom mentparguerre	-|---⌫---|--|-----|
perdit ler egnede hongrie	-----|-|-⌫---|-|------|
quilase ignorie	--|-|--⌫------|
e nte noit tou z	-⌫|--⌫---|---⌫|
deirene ir et dequelaage	|--|-|-⌫-|-|-|---|---|
iles toitquant	-|--⌫---|----|
iluintenfrance	-|---|-|-----|
e t commentdex par	-⌫|------|--|--|
sac reanc e	-|-⌫-----⌫|
tantdem iracleslimonstr a	---|-|-⌫------|-|------⌫|
quaroncmaladenencontra	---|--|-----||-------|
quecil ne fu st gariz tantos	--|--|-|--⌫-|----|-----|
etdeuanttozdiretantos	-|-----|--|---|---|-|
quil solatoz	-|-|--||--|
autrespassez	-----|-----|
n es t nuls homqui	|--⌫|---|--|--|
nefustd oir	-|---||--|
tresto uzsesfeiz	------⌫-|--|---|
me s t rop m es eroi emesfeiz	--⌫|-⌫--|-⌫|-⌫----⌫|------|
cesachiezs e aucune chose	-|------|-⌫|-----|----|
n en d isoie se nulsm enchose	|-|-⌫----|-|---||------|
iedireique ioufisa force	-|----|--||-|--||----|
qarliloierstrop m	--|-|-----|---||
en efforce	-|------|
queiepr eschet oziorzdelui	--|-|--⌫----|-⌫-|---|-|--|
porce di rai	--|-|--⌫--|
desmiraclesquauantsamort	--|-------|-|----|-|---|
etempr esfi st	-|----⌫-|--⌫-|
mescem amort	--|-||----|
quetozaconternelessai	--|--|------|-|--|--|
desoreacommencierm	--|--||---------||
d emamatiretreire	-⌫|-|-----|-----|
ordoinst dex	-|-----|--|
queiebienl achief	--|-|---||-----|
auten squ edyocliciens	-|---⌫|--⌫|----------|
etherculesmaximiens	-|-------|--------|
tenoientlempiere dero mme	-------||------|-|--⌫--|
auinteinsiquemain thaut homme	----|----|--|----⌫|---|----|
delempi ere	-||----⌫--|
sere uelerent	-|--⌫-------|
enc ontreeus	---⌫----|--|
qu ipasle sa merent	--⌫|--|--⌫|-⌫-----|
porlordesloialfelo n nie	--|--|-------|----⌫-⌫--|
lirois deho ngrie	-|---|-|--⌫----|
seuira quiioennes h omere	-|---|--|------|-⌫-|--|
flo iresoutnon	---⌫---|--|--|
daume rsonpe re	|----⌫|--|--⌫-|
auoi t tantostlaterre eue	----⌫|------|-|----|--|
estoitetbien t enue	-----|-|---|-⌫---|
lauoittoz les iorz de sa	|----|--|--|---|-|-|
yyfreresenquimolt	-|-----|-|--|---|
outliroism es puis n eestoient	--|-|---|-⌫-|---|-⌫|-------|
a sgenzquiido ncquesu iuoient	-⌫|---|--|---⌫-----|-⌫------|
nes toien t pas	|--⌫-----⌫|--|
lo rnon celé	--⌫|--|----|
m artinset aum erap elé	-⌫-----|-|---⌫-|--⌫---|
e stoientpartote	-⌫------|--|---|
lirois quioutfeitfame quer re	-|---|--|--|---|---|----⌫-|
