molzpelerinsqu iuuntalmunt	---|-------|--⌫|---|-|---|
enquierentmoltegrantdr ei t	---------|---||----|--⌫--⌫|
c omm entligliese	-⌫---⌫--||------|
pre mierementet esto ree	---⌫--------|-|----⌫--|
cilqui lordient	--|--|--|----|
de l est oire	-||---⌫---|
quecildemand enten	--|--|------⌫--|-|
ne luntp asb ienainz uunt	-||--|-⌫-|-⌫--|---|---|
en plusorsleus e mespernant	-|------|---||---------|
porfaire laapertement	--|----|-|---------|
e nte ndreacelsquiescient	-⌫---⌫---||---|--|------|
n u ntde clerzielatorne e	|-⌫-|-|------|||-----⌫|
delatintote	-|----|---|
et ordenee	-|------|
parueir s romieusnou element	--|----⌫|------|---⌫------|
molt ensegreipo rso n	---|-|-----|--⌫|--⌫|
unsiouencel smoine es t delmunt	--|--------⌫|----|--⌫|--|---|
deusen son	---|-|--|
re ignepart	--⌫---|---|
gu illel meanonde	--⌫-----⌫-||--|-|
seint paier	----|----|
c enu ei esc riten	-⌫-|-⌫-|---⌫--|-|
ce s tquaier	--⌫-⌫|-----|
el tensrobeir t detorignie	-|---|------⌫|-|-------|
fut cil romanz faitet	--|--|-----|---|-|
liro m anzdit ape rtement	-|--⌫-⌫--|--|---⌫------|
d eliglieseletrouement	-⌫||------|-|--------|
e po isd elc lers	|--⌫-|-⌫-|-⌫---|
cum ilifu rent	--|-||--⌫---|
ed esmoinesquienco re durent	|-⌫-|-----|--|----⌫-|-----|
lesmirac lesr esuntesc rit	--|-----⌫--|-⌫----|---⌫--|
deio stecenqueieiai dit	----⌫--|--|--||-|-|--|
celzuersicio rfenir ai	---|---|--|-⌫|-----⌫-|
em on rom anzcommencerai	|-⌫-|---⌫--|----------|
q uant ch ildeberteirtreis defranc e	-⌫---|--⌫-------|---|---|-|-----⌫|
quimo lt aueit	--|--⌫-|----|
amplep oissance	----|-⌫-------|
eues queen normen die	----⌫--|-|------⌫--|
qu imoltesteit de sein te uie	--⌫|---|-----|-|----⌫-|--|
lies cr iz d itq uealberto u tnon	-|--⌫--⌫-|-⌫-|-⌫-|-----|-⌫-⌫|--|
si lidonnadexsig rant don	-|-|----|--|-|-⌫---|--|
q u e d aurenches uneci te	-⌫-⌫||--------|--|--⌫-|
d umilau eit ladignite	-⌫-|-|--⌫--|-|------|
abi enpro f le loncd e sa ui e	|--⌫-|---⌫|-|---|-⌫|-|--⌫|
bienconu eneita celseignor	---|----⌫----||--|------|
teldignitee telennor	--|------||--|----|
quer de sagrant relig ion	---|-|-|----|-----⌫--|
toteamenda ut la re gion	---|------⌫-|-|--⌫---|
ilfi stmeintfeitquia deu	-|--⌫-|----|---|--||--|
en trele s a utresunenout	--⌫--|--⌫|-⌫----|-|-|--|
quelenne deit miec eler	--|--|-|---|--|-⌫---|
ainzledeitlenmanifester	---|-|---|--|---------|
quer acont erestg lorious	---||----⌫-|--|-⌫------|
et aoirmolt meruell ous	-||--|---|-------⌫--|
desouzaurenches uersbretaigne	-----|--------|---|--------|
ten s futterre	---⌫|--|----|
eirt l af orest de quokelunde	---|-⌫|-⌫----|-|---------|
dongrantparoleeirt	--|----|-----|---|
par lemunde	--|-|----|
cen quior est meira reine	--|--|-|--|---|-⌫----|
e n icel tenseirtfore stpleine	-⌫|---|---|---|----⌫-|-----|
de meinte richeuen e is on	-|-----|----|---⌫-⌫--⌫-|
mes oreilnoet lipoisson	--|--|-|---|-|------|
dunc peustle ntre sbien aler	---|----|--⌫|---⌫|---|---|
niest eustiacrendre m eir	||---⌫---|-|------|-⌫--|
d aurenchesdr eitapoelet	|--------|--⌫--||-----|
ala citede rid a let	|-|---|-|---⌫-⌫--|
en l afo resta u eitunmont	-|-⌫|--⌫---|-⌫-⌫--|-|---|
en umplanistrealques ro unt	-|-|--------|-----|--⌫--|
dunccap eles	---|---⌫---|
aueitesle iz	----|-|--⌫-|
delmontfeitesb e lesass eiz	--|---|-----|-⌫-⌫--|---⌫--|
de seintestienurelune est eit	-|----|--------||--|---⌫--|
l ehautdel mont se ieit	-⌫|---|--|---|--⌫---|
aual el bas	---|-|--|
cen s eiien bien	--|-⌫-|--|---|
resteit laseint si mphoriein	------|-|----|--⌫--------|
enermitage illuecesteient	-|-------|-----|-------|
moigne plusorquid euseru eient	-----|-----|--|-⌫-|----⌫----|
le numbre dels ne t reu sen liure	-|-----||--|-|-⌫---⌫|-|----|
esch ars e m en t uiure	----⌫---⌫-⌫-⌫--⌫|----|
lafo rest e irtgrandeeto scure	-|--⌫---|-⌫--|-----|-|-⌫----|
lao u limoine	-|-⌫|-|----|
eurent encure	-----|-|---|
dedeuseruir eior eno it	-|--|-----||--||--⌫-|
enc en au eientlorde liet	-|-⌫-|--⌫----|--|--⌫---|
as e izmaneie ntloinz	--⌫-⌫-|------⌫-|----|
meseisais granzo rent	--------|----|-⌫---|
home nefame neui sitout	---|-|---|-|--⌫-----|
nemesunsprest resqui samout	-|--|--|-----⌫--|--||----|
du n euillee iertast reoutnon	|-⌫-⌫|----|-⌫---|---⌫-|--|--|
par un asn esanz nul guium	--|-|---⌫|---|--|----|
lorauoieaut quantil poie t	--|-------|----|-|----⌫|
dete l sustan ce	-|--⌫|------⌫-|
c umeaueiet	-⌫--|-----|
liasnesiert sien sei gniez	-|----|---|-|--⌫---⌫----|
quequan t tornoutd	--|----⌫|------||
astrechargiez	----|-------|
iaennul le u neseis t eust	-|-|--|--⌫|-||---⌫-⌫---|
neforu eierpasne pe ust	-|----⌫---|--|-|--⌫--|
desique a cel montueneit	------||--|---|-----|
ousesmeistre stramisl	-|--|-------⌫|-----||
e is iala euint	-⌫--⌫|--||---|
tant queauniorne	---|--||-|--|-|
seico mment	--|--⌫----|
unsl ousaloutparle ch emin	--|-⌫--|----|--|-|--⌫---|
quilacontra simist	--||------|-|---|
estr engle il apoi s le menia	----⌫-----⌫|||---⌫|-|----|
quant cenout faitsisentorna	----|--|--|---|-||-|----|
molt s e merueilleitliser f d eu	---|-⌫|----------|-|---⌫|-⌫-|
delorasne qu ant	-|--|---|--⌫--|
cu m soleit	--⌫|-----|
quanta tendul	----|-⌫----||
o rentlim oi ne	-⌫---|-|-⌫--⌫-|
mo lt longu ementneilneu int	--⌫-|-----⌫----|-|-|-|-⌫--|
neilnesourent quildeuint	-|-|-|------|-|-|-----|
u untaumostier	-⌫--|-|------|
pordeuprei er	--|--|----⌫-|
quiconseil l orseltenuei er	--|------|-⌫-|---|-----⌫-|
quesilipleitor le	--|-|-|----|-|-|
de lorasnequi tro pdemore	-|--|---|--|---⌫|-----|
aoreisons se irenttuitmis	|-------||-⌫----|---|--|
qua ntdeus lorale lout ramis	---⌫-|---|--||-|--|-⌫----|
quil orsommiermangiéaueit	--|-⌫-|------|------|----|
g rantsenbl ant faitdefairedre it	-⌫---|-----⌫--|---|-|----|---⌫-|
tantsumili ed olcement	---||-----⌫|-⌫-------|
q uebiensourent	-⌫-|---|------|
apertem e nt	-------⌫-⌫-|
quilo ut lorasnedeuoré	-|-|-⌫-|--|---|------|
u ntditecommandé	-⌫-|--||--------|
que me islesser u edel	--|--⌫-|--|---⌫-⌫|--|
asneserueit	---|------|
sicumditlunt eti l	-|--|--||--|-|-⌫|
longuement pois lesac porta	---------|---|-|--|----|
enlaueiese mist	-|-|---|-|---|
quiplusdrei tee i rt c hiesle proueire	--|---|----⌫-|-⌫-⌫-|-⌫---|-|-------|
po rtersorseilas omme	--⌫---|--|--|-|-⌫---|
quedesirrouen t	--|----------⌫|
lideuhomme	-|--|----|
lilous fu t forze	-|---|--⌫|---||
gran zegr os	----⌫||--⌫-|
lesacporta de sussondos	-|--|----|--⌫--|--|--|
uenuzenestalameison	----|-|--||-|-----|
d econnois anc e	-⌫|-------⌫---⌫|
o utachai son	-⌫-|-----⌫--|
li beusbuens	-|---|----|
p restres quantil l eu it	-⌫------|----|-|-⌫|-⌫-|
cr erepoiezmolt s	--⌫--|----|---||
mesp or lesacque outueu	--|-⌫-|-|--|--|--|--|
dos econ neu	--||---⌫--|
s outquededeu uer t u esteit	-⌫--|--|-|--|---⌫-⌫|-----|
quit el sommierlitrameteit	--|-⌫-|------|-|--------|
q ui lifaiseitdelasneeschange	-⌫-|-|------|-||---|-------|
part elebestequ	--|-⌫--|----|-|
ertestrang e	--|-------⌫|
re nueielencharg iéarriere	--⌫----||-|-----⌫--|------|
sanzcop deuergedont	---|--|-|----|---|
tantcumdeuploute	---|--|--|----||
leschans tant	--|----|---|
nep ar uilesqueil tr ouast	-|-⌫-|----|--|-|--⌫----|
homene fam e neenfant	---|-|---⌫|-|-----|
qui leh uastne poi negrant	--|-|-⌫---|-|--|-|----|
einz lapelout q ui que lueieit	---||------|-⌫-|--||-----|
quer cumun chienspriueis	---|--|-|-----|------|
contr ena tureceespeirbien	-----⌫|--⌫---|-|-----|---|
seioouentoului	-|------|-|--|
oelsiesei t ou	|--|-----⌫|-|
e lsalou t	-⌫-|----⌫|
maisiene sai silimaniout	---|-|-|--|-|-|------|
aprofquaifai tdecest	------|-|---⌫|-|---|
repai riermepleis t	-----⌫---|-|-----⌫|
a m i stoir e	||-⌫-----⌫|
e sid irrai deseintautbert	|-|-⌫----|-|----|------|
quantliangreslau i n t ouert	----|-|-----|-|-⌫-⌫-⌫|-|--|
aaurenchesert	|--------|--|
dormeit enz en sonliet	------|--|-|--|---|
iluecli u intangl es desc iel s	----|-|-⌫--|----⌫-|--|-⌫---⌫|
quilesueilla epoisli dist	--||-------||---|-|---|
que lendemeinaumont	--||-------|-|---|
que desuse def iast	--|----|-⌫---⌫---|
unechapelee	--|------||
commenchast	----------|
en lenon deueseint	-|-|--|--||----|
quipoestea grante l ciel	--|-----||----|-⌫|---|
estd e pareis	--|-⌫|-----|
ete st etertto zdis	-|-⌫-|-|--|--⌫|--|
quant sein t	----|----⌫|
aut bertout entendu	---⌫---|--|------|
b iencestmess a ge	-⌫--|---|----⌫-⌫-|
t re stotl emistennonchaleir	-⌫--⌫---|-⌫|---|-|--|------|
ta n tqueauintq u eaun seir	--⌫-⌫|--|----|-⌫-⌫||-|---|
seirtendormi d esommegrief	|---|------|-⌫|----|----|
quant l iuintl	----|-⌫|---||
a ngledere chief	-⌫---|----⌫----|
sonsonneescité	--|----|------|
epar sondreitn on apelé	|--|--|----|-⌫-|-----|
elir e commandeensement	|-|-⌫-⌫-------|-------|
