o ezseignurs pur deuuuspri	-⌫-|-------|--|--|--|--|
cumentlimunz ertpe ri	-----|-|---|--|--⌫-|
alagloriedunti lchai	|-|-----|---|-⌫|---|
p ariesucr i stre uerti	-⌫-|---|--⌫-⌫-|--⌫----|
quant adamparsun peche	----|---|--|--|----|
deparaises teit ieté	-|-----|--⌫---|----|
deus enotgrant pi te	---|-|-|----|--⌫-|
deceo q uilertis si damp n é	-|--|-⌫|-|--|--⌫-|----⌫-⌫-|
p urres tor erlan a ture	-⌫-|---⌫---⌫-|-|-⌫-⌫---|
qu efet efudasafi gure	--⌫|---⌫|--||-|--⌫---|
char rec ut en ettee	---|---⌫-||-⌫---||
cum n ust rou umen	--|-⌫-|-⌫---⌫-|-|
escrip tur e	------⌫---⌫|
kifudpu rnu sen	-|--|--⌫|--⌫|-|
cruiz penee	----|----|
ea mort atortliu eree	||---||---|---⌫---|
parcele gentdesmesure e	--|---|---|---------⌫|
aqui la le i fu dainzdune e	|--|-|--⌫|--⌫|---|----⌫|
ios eph qui	---⌫--|--|
f udarim a thie	-⌫||----⌫-⌫---|
mu ltladbel	--⌫-||-|--|
e ensepulcre ens euelie	|-|-------|---⌫-----|
du ntdeulei u e demor t	--⌫-|--|---⌫-⌫|-|---⌫|
lidiables qui tantert	-|------|--|---|--|
destruit est parcestem ort	-------|--|--|----|-⌫--|
karce oqu ilo tcunquis atort	--|--⌫|-|-|-⌫|------||---|
tutadperdusa n znulresort	--|-|----|--⌫-⌫|--|-----|
seignursissicumuuso ez	-------|---|--|--|-⌫-|
f udledamm ageresto rez	-⌫-|-|----⌫--|-----⌫--|
siz lig nez	--|---⌫--|
parlaprisede l frut uiez	--|-|----|--⌫|---|---|
p urceouus	-⌫-|--|--|
uo il io eu eirc unter	--⌫-|--⌫|-⌫--|-⌫----|
quid emorts euolt salueer	--|-⌫|---|-⌫|---|------|
cu ueie ntaler	--⌫----⌫-|---|
a lauperiller	-⌫-||-------|
cum lise i ntapostrefir ent	--|-|--⌫-⌫-|------|---⌫--|
ki dampnedeu en	-|--------|-|
char s eru i rent	---|-⌫---⌫-⌫---|
ahansdolurspurluisu ffr irent	----|-----|--|--|--⌫---⌫----|
e tutlemu ndpurlui guerpirent	|--|-|--⌫-|--|--|---------|
eles autresseinz	|--|-----|----|
cum martyrs econfessurs	--|------||---------|
seinzhe rmit es	----|--⌫----⌫-|
