uousau és deuantbienoit	---|--⌫--|-----|---|--|
comm ent karles aucuergo it	----⌫--|-----|-|---|--⌫-|
parlec onsel	--|-|-⌫----|
d e sesh aushom es	-⌫|--|-⌫--|---⌫-|
a rceuesquesueskespr eu domes	-⌫---------|-----|--⌫--⌫----|
abe s pr elas	---⌫|--⌫---|
e t ka rdenaus	-⌫|--⌫------|
contesdusprinces	-----|--|------|
b aron s castelains e ma rcis	-⌫----⌫|---------||--⌫---|
etde uauasors enf orcis	-|-|-------|---⌫----|
filcour onna	--|----⌫---|
a s o nuiuanteassena	|-⌫-⌫|-----||-----|
quantsespe resf useuelis	----|--|--⌫--|-⌫|------|
ass eurés fudelpais	---⌫-----|-|--|---|
etdel roiaumeetdelempire	-|--|------|-|-||-----|
grantioieens o spire	----|---|-|-⌫-⌫----|
sot coronn e dor	|-|------⌫||-|
sor sa tieste	--|-|-----|
gr antfies te	--⌫--|----⌫-|
et l espeeet le pumdor	-||----|-|-|--||-|
si q uempereresfaitencor	--⌫-⌫|--------|---|----|
de sontansesto it	-|--|---|----⌫-|
moul tsenés	----⌫|-----|
sifuaais dor cou ronn és	-|-||--||-|---⌫----⌫--|
etp uis aroumes en ala	-|-⌫--||----||-|--|
sotd elpape	|-|-⌫-|---|
beneisetsacrés	-----|-|------|
tiereasseuré s	----|--------⌫|
pu i su int e nf rance seiorner	--⌫-⌫|-⌫--|-⌫|-⌫----|-------|
et la sefistrecouronner	-|-|-|---|----------|
sotlemp ire etf u	|-||---⌫--|-|-⌫|
ro is defrance	--⌫-|-|-----|
etpristm oullier gen tile tfrance	-|----|-⌫------|---⌫--|-⌫|-----|
lafilleaimm e r iden ierbou ne	-|----|----⌫-⌫-⌫|-|-⌫------⌫-|
blanceflorsotnon	----------|-|--|
moultfubonne	----|-|----|
suerguilliaume le conte baut	---|---------|-|----|---|
qui pristor eng esso r t iebaut	--|----|--⌫---⌫-|--⌫|-⌫-----|
tolisafemeorable	---|-|---|-----|
couf u guibor slaconuenable	--|-⌫|------⌫|-|---------|
l a feme cestr oibla ncef lors	-⌫|---|---|-⌫-|---⌫----⌫---|
fubieleetplainne deualors	-|----|-|------|-|-----|
maisp ourlaiede sonpere	---|-⌫--||--|-|--|---|
et pourguillaume s onboinfrere	-|---|--------|-⌫-|---|----|
etd es autr es	-|-⌫-|----⌫-|
freres uall a n s	-----|----⌫-⌫-⌫|
ki preu furen tda r mes t ostans	-|---|-----⌫||-⌫-⌫--|-⌫-----|
lepristloeyscarancoi s	-|----|----|--|-----⌫|
le uoloient	-|-------|
gre uerfr ancois	---⌫--|--⌫-----|
yyisontacestui	-||---||-----|
parlestore ciertainsen sui	--||-----|--------|-|--|
satieretintbienetgarda	-|----|---|---|-|----|
conquesderie n nico u a rda	|-----|-|---⌫|||--⌫-⌫-⌫--|
etsimenasag ent hardie	-|-|---|-|-⌫--|-----|
soucorre barbastreetk andie	-------|--------|-|-⌫----|
et sideliuraencelan	-|-|------|-|--|-|
fouconetguicartetbiertran	-----|-|------|-|-------|
et sialasoucorreorenges	-|-|--|-------|------|
otmoultgres	-|----|---|
etmain tiour	-|----⌫|---|
lepena guillaumes	-|---|---------|
et f istporterescus et	-|-⌫--|-----|----|-|
etlicousta e t un e tel	-|-|-----|-⌫|-|-⌫|-|
legrantrain noart autinel	-|----|----⌫----|-|----|
o t nori ensaquissine	-⌫|---|-|-|-------|
lidoun aile n	-|----⌫|-|-⌫|
sas aisi ne	-|-⌫----⌫-|
acaté l otama rceans	-----||-||--⌫-----|
kilertiouenes etg ra ns	|-|--|------|-|-⌫--⌫-|
enpaie nimelorent pris	-|----⌫---||----|---|
sorlariuedemers o upris	--|-|---|-|--|-⌫-⌫----|
fre reguibort p ouruoir	---⌫-|------|-⌫--|---|
maisenc orp as ne	---|---⌫-|-⌫-|-|
lc onnisoit	|-⌫-------|
enaliscansason	-|-------||--|
letrouuerentpa iencr uel	-|---------|--⌫--|--⌫--|
loeysmo ult	----|--⌫--|
guillaumesouuent	--------|------|
et puisuinti len	-|---|---|-⌫|-|
franceariere	-----|-----|
etlifaisoit trestotsons e s	-|-|------|------|--|-⌫-⌫|
filles en otasses	-----|-|-|----|
dontio udiraia illor sq ueci	---|--⌫|----|-⌫-----⌫|-⌫-|-|
o t guillau mesmoultconquesté	-⌫|-------⌫--|----|---------|
sorpai ens ui l	--|---⌫--||-⌫|
afeb loiie ́sfu du rement	----⌫-----⌫-|-|--⌫-----|
