olinbriuselautr e	--------|||----⌫|
q uiolierentautorment	-⌫-||-|----|-|------|
quandilueientdelachartendre	----|-|-----|-|-|---|-----|
detotes pars lesanc espandre	-|----|---|-|---|-------|
l orsoilz e	-⌫--|---||
lors chie res coureen t	---|----⌫--|-------⌫|
queesguar der nelapoeent	--|------⌫--|-|-|-----|
l orsuintl i rois d eua nt	-⌫--|---|-⌫|---|-⌫---⌫-|
por q ueinemai mece q uedoi t	--|-⌫--|-||--⌫-|-|-⌫-|---⌫|
porquei n astumercidetei	--|---||-|-|----|-|--|
si mec rei	-|-|-⌫--|
nosd eu s aore bone men t	--|-⌫--⌫|---|----⌫---⌫|
ainsquemoires simalement	---|--|-----|-|-------|
se uols uiur e faimontalent	-|---|----⌫|--|--|-----|
celeresp ont	---|----⌫--|
ha rdiement	--⌫-------|
semo n corsfaiseittontal ent	-|--⌫|---|------|--|---⌫--|
marmeenir e ite n fuec	|---|-|--⌫-⌫-|-⌫|---|
ma c har uo ilque soit torme nt ee	-|-⌫--|--⌫-|--|---|-----⌫--⌫-|
quemarmes oit e l	--||---|-⌫--|-⌫|
cielsauuee	---|-----|
ungrieftormen t	-|----|------⌫|
c ha r e spes semen t	-⌫--⌫|-⌫----⌫-----⌫|
quelentreilleq ue i ertel cors	--||--------|-⌫-|-⌫--|-|---|
parles pla iesparen tdehors	--|--|---⌫--|-----⌫|-----|
tant fubatue lon gueme nt	---|-|----|---⌫-----⌫-|
queleco rs ot t restotsa nglent	--|-|--⌫-|-|-⌫-----|--⌫-----|
puisenf uenla cha rtremenee	---|-|-⌫|-|-|---⌫---|----|
tote solefuenfe rme e	---|---|-|----⌫---⌫|
doncfist signum crucissorsei	---|---|-----|-----|--|--|
ce estlisignes denostre lei	-|--|-|-----|-|-----|--|
donconmancacesteoreiso n	--|-------|----|------⌫|
deusqui neuoisrien	---|--|-|---|---|
uoirsiugierr euoirelumi ere	----|-------⌫|----|----⌫--|
oingmesplaiesoi mapriere	---|--|-----|-|-|-----|
i e naiseror ne	-⌫||-|----|-|
nen ulenfan t no t plus mamere	-|-⌫-|-----⌫||-⌫|---|-|---|
quime porta o rma guerpie	--|-|----|-⌫|||------|
mais tusire	---|-|---|
nemeguerpirmie	-|-|------|--|
lideablele uadoncsus	-|-----|--⌫-|---|--|
nemangoissierdistilplus	-||---------|---|-|---|
margueritela is	---------|--⌫-|
qu e ne meuoises	--⌫|-|-|-----|
plussiuant	---|-----|
quar ieteuoien orei son	---|-|-|--|-|----⌫--|
manab leenaflicion	-----⌫-|-|-------|
m onfrere t	-⌫-|----||
enueiairufu m	------|----⌫|
q uie nsamblanceertdedrag on	-⌫-|-⌫|--------|--|-|----⌫-|
te sorprist	-|-------|
mai s tu l a sparla c ruiz occist	---⌫|-||-⌫|--|-|-⌫---|-----|
to n ueniementas de luipris	--⌫|--------|-|-|--|---|
tepritantsole ment	-|--|---|----⌫---|
mocis ensem ent	|---|-----⌫--|
donc lauirgene ascheui aus pris	---|-|------|-|-----⌫--|---|
enco n tre te rrel	----⌫-⌫--|--⌫--||
aiu splaissé	|--⌫|-------|
esorlechiefli	|--|-|----|-|
m istle pie	-⌫--|-|--|
puis distdra gonor	---|---|---⌫--|-|
netentreme t t uiam a is	-||-------⌫|-⌫|---⌫-⌫-|
det olir mauirgi nete	-|-⌫---|-|-----⌫---|
iesui esposed eda mnede	-|--|-----|-⌫|--⌫----|
dedenzla chartre oeleestoit	-----|-|------||--|-----|
o ledr ago n	|-|--⌫---⌫|
quele teno it	-|--|----⌫-|
nen a uoitpasen co rtot	|-|-⌫---|--|--⌫--⌫|--|
quantlesolailresusiruit	----|-|-----|------|--|
l asus elc ieluitlacru izd ecrist	-⌫|--|-|-⌫--|--|-|---⌫-|-⌫|----|
osist lacol u mbequidist	|---|-|---⌫-⌫--|--|---|
ben eureeuirgene es tu	---⌫----|------|-|-|
marguer ite que	-------⌫--|--|
ledragonquecre uer fe is	-|-----|--|---⌫--|--⌫-|
e cistquesoz tespiez as	|---|--|--|--|---|-|
porce que tauirginite	--|-|--|-|--------|
asdoneea damnede	-|----||------|
etoztensasdeu	|--|---|-|--|
en memoire	-|------|
esttacorone p resteengloi re	--|-|-----|-⌫----|-|----⌫-|
enp aradis	-|-⌫-----|
nia negunenconbre ment	|||----|--------⌫---|
quant margueritece oi	----|---------|-|-|
adamnedegracesrendi	|------|-----|----|
aude ableseretorna	-|--⌫---|-|------|
hardiem entlidem anda	-------⌫--|-|---⌫---|
dieesesmest i ers	--||--|----⌫-⌫--|
cilrespont da meuolentiers	--|------|--⌫-|---------|
t edirai dameceq ueuodr as	-⌫|----|---|-|-⌫-|----⌫-|
pi equeso r mon chiefas	--⌫|--|--⌫|--|----|-|
faiunpetite t alas cher	--|-|------⌫|----⌫---|
que iepui sse	--|-|---⌫--|
unpo i alener	-|--⌫|-----|
lau i rg enecelqueil	-|-⌫-⌫--⌫--|--|--|-|
unpetitetsonpie al ascha	-|------|--|--|--⌫----|
belsabutdist ilaia no m	-------|---|-|-||--⌫|
semoic o n bat renon	-|--|-⌫-⌫-⌫---⌫-|--|
contrele shomesde cestmont	-----|--⌫|----|-|---|---|
dequelm estierqu il	-|---|-⌫-----|-|-|
on quessunt	--⌫---|---|
o nc m ais nepuises treuencuz	-⌫-|-⌫--|-|---|--⌫--|-----|
m ais tu mefroiss ez	-⌫--|-|-|------⌫-|
tuselemas tot auoglé	-|---||-|--|------|
e monfrereruf ontué	|--|----|---⌫-|---|
bienueiquecri st mai nt d edenstei	---|--|--|---⌫-|---⌫-|-⌫----|--|
t onpl aisir puez	-⌫-|--⌫----|---|
fairedeme i	----|-|--⌫|
cresti enefus	------⌫--|--|
edesquetucrestiente eus	|-----|-|---------|--|
la cel estia lconpaignie	-|---⌫-----⌫|---------|
glorieenselciel a sdeser uie	-----|--|-|---|-⌫|-----⌫--|
margu erite belee g ente	-----⌫----|---||-⌫---|
ad a mnede as mis tentent e	|-⌫-⌫----|-|--||------⌫|
signumcrucis entesdei sas	-----|-----|-|--|---⌫|-|
par que meuen quiselias	--|--|-|---⌫---||---|
iesuicilq uitoziorssanz fai lle	-|--|--|-⌫-|--|---|---|---⌫--|
ho mes faibataille	--⌫--|--|-------|
luroilz elu r senzfaizoscurer	--|---||--⌫|---|---|------|
elursaueirtot oblier	|--|-----|--|-----|
truisdormant esueil	----|------|-----|
pecher lordoi ngconseil	-----|--|---⌫-|------|
e quantie n	|----|-||
elspuisesuei llier	--|---|-----⌫----|
enlur dor ma ntles	-|--|---⌫--⌫-|--|
f aizpecher	-⌫--|-----|
etr e stuitciloieai part	|--⌫-⌫----|--||-|-|---|
mon seru ise e	--|----⌫--||
equim esertplusuolentie r s	|--|-⌫|---|---|--------⌫-⌫|
mes priuezconseill iers	--|-----|--------⌫---|
enceluifaii e mamaison	-|----|--|-⌫|-|-----|
cu iieaitol us	--⌫|-|-|---⌫||
ente ntion	----⌫----|
quantsaintegent e	----|-----|---||
fermes uei	-----|--|
s imen depa rtdameparfoi	-⌫||-|----⌫-|---|--|--|
m a rguerit etuma suencu	-⌫-⌫-------⌫|-||-⌫|----|
tap roiere ma confo ndu	-|-⌫-----|||-----⌫--|
hailaischa it ifmaleuré	--|---|---⌫--⌫-|-------|
