liuila insdist	-|----⌫--|---|
en repro ui er	-|-----⌫--⌫-|
q uelachos eapuisgran tme s ti er	-⌫-|-|----⌫||---|----⌫|--⌫-⌫--⌫-|
que ele estuiezetariezmise	--|--|--|---|-|----|---|
p orce par	-⌫-|-|--|
s ensetpardeuise	-⌫--|-|--|-----|
doitchas cunslous uen chiertenir	---|----⌫---|--|-⌫--|----|----|
q u ile npuetmout tostbiens	-⌫|-|-⌫|---|---|---|----|
ac hose quimestier aur oit	|-⌫---|--|------|---⌫--|
mains sontprisieesorendroi t	----|---|-------|--------⌫|
lesuiezuo iesqueles nouell es	--|---|--⌫--|--|--|------⌫-|
qu enlestien ta p lusbeles	-|-|--|----⌫||-⌫--|----|
etsisontmiaudr esparsanblan t	-|-|---|------⌫-|--|-------⌫|
mes ila u ient	--|-|-⌫-⌫---|
assezsouent	----|-----|
quelesuiezensont	--|--|---|-|---|
lesplusch ieres	--|---|--⌫----|
porcedis t paien sde maisie res	--|-|---⌫|-----⌫|-|------⌫--|
qu en sedoit	-|-|-|---|
tenirt otes	----|-⌫---|
plusas ui esq asnou eles	---|-|--⌫-||-|---⌫---|
ic ico nmenceuneauent ure	--⌫|--⌫-----|--|-----⌫--|
deladamoisele ala	-|-|--------||-|
cortauroiartuui nt	---|-|--|---|--⌫-|
de penteco s t e auint	-|-------⌫-⌫-⌫|----|
quelirois artuscort tenoit	--|-|---|----|---|-----|
aca rdoil sicon	|--⌫----|-|--|
et si otcheualiersassez	-|-|-|---------|----|
detotesterr es amassez	-|----|----⌫-|------|
cortuen u estoient	---|---⌫|-------|
aueclaroineres toient	---|-|----|---⌫-----|
etlesdam oiseles	-|--|---⌫------|
o tassez de be les	-⌫|----|-|--⌫--|
quialacort ere ntuenu e s	--||-|---|---⌫-|----⌫-⌫|
tantont lesp aroles	---|--|--|-⌫-----|
bar onapres	---⌫-|----|
furentaléesbano ier	-----|---|------⌫--|
parmila saleamontas estres	----|-|---|----|-|-----|
siregarden tpar	-|--------⌫|--|
lesfene st res	--|----⌫--⌫--|
tres pa rmi	---|--⌫--|
mes moutiorentpoueste ́	--|---||----|--|----⌫|
queiluirent	--|-|-----|
sorune mur e	--|--|---⌫|
uersloch astel	---|-|--⌫----|
grantaleure	----|-----|
ue nirune seule	--⌫--|--|----|
quimoute rtauenanzetbe le	--|---|-⌫-|------|-|--⌫-|
l a da mo isele iss iuenoit	-⌫|--⌫--⌫----|---⌫|-----|
que ensamulepo intn	--|-|-|---|--⌫--||
de frainnemesseullocheuestre	-|----|-|--|---|-|--------|
licheualierce que potestre	-|--------|-|--|--|----|
entraus du rem ents en	---|--|--⌫---⌫--||-|
meruel lent	------⌫---|
moutenparolen t et c onsellent	---|-|-------⌫|-|-⌫--------|
etdi en tquebienl ousau r o it	-|--⌫--⌫|--|---|-⌫-|---⌫-⌫-⌫-|
laro inesel ei estoit	-|--⌫--||--⌫||-----|
por quel besoing	--|---|------|
uien ten laterre	----⌫|-|-|----|
keusfai tgauuains	---|---⌫|-------|
roidites quil	--|----|-|-|
quenulessoignenodet iegne	--|--|-------|||---⌫----|
q ue anosne uiegne	-⌫-||--|-|-----|
li seneschaus senuatotdroit	-|---------||-|-|--|----|
sire fetkeusuenez amont	---|--|---|----|----|
ou uostreche u ali er	-|-----|---⌫-⌫---⌫-|
uos mandent	--|------|
etilmaintenant	-|-|---------|
lidemandent	-|--------|
sen e sc halq ue no suoillent il	---⌫-⌫--⌫--|-⌫-|--⌫|-------|-|
uenezenauecmoifet il	----|-|---|--|--|-|
et ieleuos	-|-|-|--|
ensa ignerai	----⌫------|
lauentureuosm ontrera i	|-------|--|-⌫-------⌫|
quenosa uontrestuitue ue	--|--|-⌫--|-------|--⌫-|
atantla puc eleestuenue	----|-|---⌫--|--|----|
et deuantla s ale	-|-----|-|-⌫--|
gauu a insue tencon t re courant	----⌫-⌫--|--⌫|-----⌫-⌫-|------|
etdesautr esmout	-|--|----⌫-|---|
en i corent	-||-----|
etm outlaseruent et	-|-⌫--|-|------|-|
mesbienparoitason	--|---|-----||--|
q uelnauo i td eioer	-⌫|-||---⌫-⌫|-⌫|---|
carmouta uo iteugrantp ainne	--|---|-⌫--⌫-|-|----|-⌫----|
liroislamande etlenlimoinne	-|---|-|----|-|--|-|-----|
tan tostconelefuuenue	---⌫---|--|--|-|----|
deuantlouroisilosalue	-----|--|--|-|-|----|
sirefetelebienueez	---|--|--|---|---|
quiriee ettri st esui assez	-|----|-|---⌫--⌫|--|----|
mesensi ser ai	--|---|---⌫-|
ior ioie naur ai	--|---||---⌫-|
tantquemesfrainsm e	------|--|-----|-⌫|
soitren duz	---|---⌫--|
quimauuaisement mest	--|-----------||--|
donperduai tote maioie	--|----|-|---|-|---|
ies aibi enquei e lou r a uroie	-|-⌫-|--⌫-|--|-⌫|--|-⌫-⌫----|
seca ienzauoit	-|--⌫---|----|
osa stafich ier	---⌫-|-----⌫--|
uousis t cesteuoie	------⌫|----|---|
e np rendre	-⌫--⌫-----|
etsei llo me uoloit rendre	-|-|-⌫|-|-|-----|-----|
qu e tre stote soesero ie	--⌫|---⌫----|--|----⌫-|
i emonfrainraur oie	-⌫|--|----|----⌫--|
sanzchalongeetsanzcontredit	---|-------|-|---|--------|
eti eore n droit sanzrespit	-|-⌫|---⌫-⌫----|---|-----|
porla soeamor tantferoie	--|-|--|---|---|-----|
quema mulelibailleroie	--|-|---|-|---------|
quilo u menraaunchastel	--|--⌫|----||-|------|
moutbien s ean tetfort	---|---|-⌫---⌫|-|---|
mes ilnel auramieen	--|-|-||---|--|-|
acestm otsestk eusauanttres	|---|-⌫-||--|-⌫--|----|---|
etdi t quil ira	-|--⌫|-|-|--|
lofrainquerre	-|----|-----|
ensies trange terre	-|-|--⌫-----|----|
mes ilui altqu ele lou	--|-|--⌫--|-|--|--|
pr imes ancoisquilialast	--⌫---|-------|-||----|
etb aisier lauost maintena nt	-|-⌫-----|-|---|--------⌫-|
ius qa tant	---⌫||---|
que lou fr einca iezlo	--|--|--⌫---|-⌫--|-|
neuosuoilie	-|--|---|-|
mieotr oier	--|---⌫---|
mesquant l i	--|----|-⌫|
frainsse ra	-----|--⌫-|
lorsuos iertli	---|--|---|-|
chas tiaus rend uz	----⌫----|----⌫-|
etlibaisiers et lautre chose	-|-|-------|-||----|----|
k eusplus angoissier nel en ose	-⌫--|---|---------|-||-|--|
celelireditet	---|-|----|-|
que lam uleonqu es ne desfende	--|-|-⌫--|----⌫-|-|-------|
q uelepartque leuo ille	-⌫---|---|-|-⌫-|--⌫---|
dedemor er	-|-----⌫-|
il uecoauspluslong uement	--⌫--||--|---|----⌫-----|
ala m ule senueterr ant	|-|-⌫--||-|--|---⌫--|
iliestmo nte zparl	-||--|--⌫---⌫|--||
il notcure doco nuo ier	-||-|---|-|--⌫---⌫--|
quantilu oientqueil se nua	----|-|-⌫----|--|-||-⌫|-|
que co npaign onnia	--|--⌫------⌫-||||
iaarme p ortee	||---|-⌫----|
fo rsque ta nt seul ementsespee	--⌫----|--⌫-|----⌫----||----|
remest pl o rant	-----|--⌫-⌫---|
porcequeb ienuoit et cr ean t	--|-|--|-⌫--|---|-|--⌫---⌫|
que desonfrai nc ne raura mie	--|-|--|----⌫-|-|----|--|
a cestefoiz	|----|---|
queque il die	-----|-|--|
quia laler	--|||---|
d esorlamure	-⌫---|-|---|
en u etcourant lanbleure	-|-⌫-|------||-------|
etl amulebien loconuoie	-|-⌫|---|---|-|------|
qui bienaaprisela	--|---||-----|-|
au oi tkeus	--⌫--⌫|---|
estesl ouosenforesté	----|-⌫|--|---------|
e nune forest hauteetgrant	-⌫|--|-----|----|-|----|
mesn otgairesaléauant	--||-|-----|---|----|
quantles bestesde laienzs ont	----|--|-----|-|-----||--|
trestotes a m asse essont	--------|-⌫-⌫----⌫-|---|
lions et tigreset	----|-|-----|-|
en u ie nent	-|-⌫--⌫---|
porkeuquii deu oita ler	--|--|--||---⌫--|-⌫--|
mesainz qu i l ipoist passer	--|----⌫-|-⌫||----|-----|
se sont tant l eshaste es	-|---|---|-⌫-|-----⌫-|
encontrelis o ntalees	-------|-|-⌫-⌫-|----|
enae u paor	-||-⌫|---|
conquesmes n ot	|-----|--||-|
graig no r	-----⌫--⌫|
e t dist quesiln eu st enprise	-⌫|---|--||-||--⌫-|------|
lauoiepornuledeuis e	-|---|--|---|-----⌫|
seustfaire desmoi s	----|----|--|---⌫|
nentrastil iamesence st bois	|------|-|----|-|--⌫-|---|
m es lesbestesparco noissance	-⌫-|--|-----|--|--⌫--------|
de ladameetparenorance	-|-|---|-|--|-------|
d e lamuleque elesuoient	-⌫|-|---|--|---|-----|
les deusg enouzate rreploient	--|---|-⌫----||--⌫--|------|
l anordela dame	|---|-|-|---|
sagen oi lloientdelaiame	|----⌫--⌫------|-|-|---|
et por ce a se ursetie nent	-|--|-||--⌫-|-|---⌫---|
q u enla forest	-⌫|-|-|-----|
g isent etuien ent	-⌫----|-|----⌫--|
nelapuent plus anorer	-|-|----|---|-----|
meskeusniuostplu s demorer	--|---|||---|---⌫|------|
plustostq uilpuetdiluecs	---|---|-⌫|-|---||----||
etlili on et lili ep a rt	-|-|--⌫-|-|-|--⌫--⌫-⌫-|
sen uet chascuns	|-|--|-------|
et keusenun sen ti er pet it	-|---|-|-|---⌫--⌫-|---⌫-|
mulesest enbatuz	---||--|------|
qui nestoit mietro p	--||-----|--|---⌫|
sentierbiensot	------|---|--|
quema i ntesf o izalé	--|--⌫-⌫---|-⌫-⌫-|---|
delaf o rest	-|-|-⌫-⌫---|
auoit eugrantpainne	----|-|----|-----|
e stes louosdesforeté	-⌫---|-|--|---------|
mes notgairesauantalé	--||-|-----|----|---|
quantiluint enune ualee	----|-|---|-|--|----|
quim outestoitpa rfon deetlee	--|-⌫--|-----|--⌫----⌫-|-|--|
etsies toit mout perillou se	-|-|--⌫---|---|--------⌫-|
moutcrueuset moutten ebrose	---|-----|-|---|---⌫-----|
qo sieclena	||-----|||
home sifort	---|-|---|
q uinieustpao r	-⌫-|||---|---⌫|
senl aual eetrespass a st	|-|-⌫|---⌫-|--------⌫-⌫-|
to tadesc ouientquilipast	--⌫|---|-⌫-----|-|-||---|
u oilleono nli estuet	-⌫----||--⌫|-|-----|
ilientre q u ant miaus ne puet	-||----|-⌫-⌫--|----|-|---|
aque lq uepoinne i est	|---⌫--⌫-|-----||--|
mesmoutiestes poentez	--|---||--|--⌫------|
ueoitelfo nsdede nz	----|-|--⌫-|----⌫-|
moutgranz col ueures	---|----|---⌫-----|
escorpionset autresbestes	---------|-|-----|-----|
qui f eu gitoien tparles testes	--|-⌫-|-------⌫|--|--|-----|
decoiilotmo utgrantpaor	-|--|-|-|--⌫-|----|---|
etpislifaisoit lapuor	-|--|-|------|-|---|
q u edescele o requilpotnestre	-⌫-⌫|--|---|-⌫-|-|-|--|-----|
nefu mese nsipua nt estre	-|-|--|-⌫|-|---⌫-|----|
etb ienseua quil ne stchauz	-|-⌫--|-|-|-|-||-⌫-|----|
n estdosen issuz	|--|-|--|----|
quilu ousist	-|-|-⌫-----|
es t reancois	--⌫-⌫-|-----|
aue cquesl e s lions obois	---⌫----|-⌫-⌫|----||---|
ouilau oitdeuantes té	-|-|--⌫--|-----|--⌫--|
ianefe ra si grant este	-|-|--⌫-|-|----|---|
n ede chaut si tresgrantardure	-⌫|-|----|-|---|----|-----|
quelaienz n	--|-----||
ait t o z iorzfroi dure	--|-⌫-⌫|---|----⌫---|
con oplu sme st re cuer d iuer	--||---⌫|--⌫--⌫-|---||---|
m auuestiede liuer	-⌫-------|-||---|
quilaie nz	--|----⌫-|
ettota des	-|--|-⌫--|
quila grantf roidu reiapent	--|-|----|-⌫-----⌫-||----|
sireuenten tliau treuent	-|--------⌫|-|--⌫--|---|
quila ded enzsontahurté	--|-|---⌫--|---|------|
quenend iroie la	--||-|-⌫----|-|
tant atot euoi e	---||---⌫|---⌫|
esploi tié	------⌫---|
qu i l estuen uziu squalissu e	-|-⌫|--|---⌫-|--⌫--|||----⌫|
atant un eplainnea ueu e	----|--⌫|------||---⌫|
s iestauquesaseurez	-⌫|--|-----|------|
tantfetq u ilenest	---|--|-⌫|-|-|--|
eschap e z	------⌫-⌫|
dela rd ure de la	-||-⌫--⌫--|-|-|
q uida ueoi r loior	-⌫---|----⌫|-|--|
quil fu s tde	-|-|--⌫-⌫|-|
c e leu issuz	-⌫|--|----|
enun ep l ainneest descenduz	-|--⌫|-⌫-⌫----|--|--------|
a samule alasel e ostee	|-|---||-|---⌫|----|
lors uoi tileue	---|---⌫|-|--|
en mila pree	--⌫-|-|---|
moutpresd iluec unefontaine	---|---||----|--|-------|
quimout estoit	--|---|-----|
etclereetsa inne	-|----|-|--⌫---|
etquimout bieni auenoit	-|--|---|---||------|
auironeeentor	-------|----|
d e f lors de	-⌫|-⌫---|-|
maintenant samule iaboiure	---------|-|---||------|
qu el e enauoitgrant mestier	-|--⌫|-|----|----|------|
il meismesp orre froidier	-|------|-⌫-|--⌫-------|
de la fo n tainneautre siboit	-|-|--⌫-⌫-----|-----⌫-|---|
puisaatorneesa mure	---||------|-|---|
rem ete nlan ble ure	---⌫-|-⌫||--⌫---⌫--|
cargranzli	--|----|-|
sanbleestrela uoie	-----|----|-|---|
quide me sq ue	----|--⌫|-⌫-|
c equeilal oit	-⌫|--|-|--⌫--|
po rchacant	--⌫-------|
tanta aléke usc heuauchant	---||---|--⌫-|-⌫---------|
qaunegranteue	||--|----|--|
mes decefu m outesperduz	--|-|-|-|-⌫--|-------|
queparf ond elauit etlarg e	--|----⌫---⌫|-|--|-|----⌫|
n itrueuenef	||-----|--|
ne nul eplanchenepassage	-|---⌫|------|-|------|
tantaaléparlou	---||---|--|--|
queparauenturea	--|--|-------||
uneplanch enegaire s	--|------⌫|-|-----⌫|
mesnequedantbi enloportast	--|--------|--⌫-|-|------|
se p ardesor alerosa st	-|-⌫-|----|---|---⌫-|
estoit de fertrestote	-----|-|--|-------|
auquesl oupass ageredote	-----|-⌫-|----⌫--|-----|
pu isqueissi noire lauo it	--⌫----|---|----|-|--⌫-|
bienquenul esploit	---|--|--|------|
nepo rroi t faire	-|--⌫----⌫|----|
encorliuientmi ausretorner	----|-|----|--⌫--|-------|
queils o itiluecperilliez	--|-|-⌫-⌫-|----|--------|
anc o is en iertmiaus	---⌫-⌫-|-|---|----|
conselliez	---------|
et dit bien que	-|--|---|--|
dahez ai ti l	----|--⌫|-⌫|
se i lse m et	-|-⌫|-|-⌫-|
entel peril	-|--|----|
p ortelnoient porteloiseuse	-⌫-|--|-----|--|--|------|
tr oplisanble estreperil leuse	--⌫-|-|-----|----|-----⌫----|
lauoieque u enuz	-|---|--|-⌫---|
mesli passage s lisanbloit	--|-|-------⌫|-|-------|
estre plusperilleusassez	----|---|--------|----|
ret o rnez	---⌫-⌫---|
