leue lichi etaual la	|--|-|---⌫-|---|-|
iluoitse smei nsquel ioi ntet	-|---|--⌫|---⌫-|-|-|---⌫-|-|
nuesan s ganz e tsanzorfrois	--|---⌫|---|-⌫|---|------|
qui plussuntbla nches quen est	--|---|---|---⌫----|--||--|
lach arbl anche	-|--⌫-|--⌫----|
susla chemise	--|-|------|
nulep itie	---|-⌫---|
nelenestp ris e	-||-|--|-⌫---⌫|
dieus sid urcuere tsi felon	----|-|-⌫-|---|-⌫|-|----|
souzcielna siriche	---|---|||-|----|
princeconte neroi sihaut	-----|----|-|--|-|---|
enpe rreor n e am ira ut	----⌫----|-⌫|--⌫---⌫-|
quilonguement s	--|---------||
iten ist mie	|---⌫--|--|
quineparlastparcompaign ie	--|-|------|--|--------⌫-|
de quantq uel e	-|----|-⌫|--⌫|
ditnailcur e	--|||-|---⌫|
torta d erien nes ase ure	---||-⌫|---|-||---⌫--|
e ncorauoit a dire asez	-⌫---|----||---|---|
quantnacisus s	----|------||
enesttorne z	-|--|-----⌫|
seul eremeintdeduel sepas m e	----⌫|------|-|---|-|---⌫-⌫|
q uant el reuientadontsebl asme	-⌫---|-|------|----|-|--⌫---|
lassedisteleo rsui ge	----|---|--|-⌫|--|-|
quantnu lerienne meconforte	----|--⌫-|---|-|-|-------|
lassed i elsidureuie	----|-⌫|-|-|---|--|
comsuimort e et	--|--|----⌫|-|
maubaillie	---------|
queiedie na uient	--|-|--||-⌫----|
totbienmefuit	--|---|-|---|
totmal me uient	--|--|-|----|
dameietedi soiebi en	---|-|-|--⌫---|--⌫-|
onque scroi renen uosisrien	-----⌫|----⌫-||-|----|---|
bienlecon nois	---|-|---⌫---|
etsi menpleing	-|-||-|-----|
etor metorne	-|-|-|----|
iaailescondite mo i	-||-|--------|--⌫|
gefillederoi	-|----|-|--|
f il azz fierhome	-⌫-||-|---|---|
c omciap esa nt so mm e	-⌫-|-||-⌫---⌫-|--⌫--⌫|
manuieasoutenir	|----||-------|
que porraiore	--|-----|--|
bel s imen pleutmeaus	--|-⌫||-|----|----|
cepoise moiqu ilestsibeaus	-|----|--|-|-|--|-|----|
uisable ment parlaamoi	-------⌫---|----||--|
quelidesplutn e saip arfo i	--|-|------|-⌫|--|-⌫-|--⌫|
queli pot dont	--|-|--|---|
ceq uilestbeletdeputeere	-|-⌫|-|--|--|-|-|---|--|
sui gentil	--|-----|
famesuipucele	---|--|-----|
il namer a	-||----⌫|
oansi be le	--|-|--⌫-|
q u eiaibeaus	-⌫-⌫||-|----|
piezetbelesmeins	---|-|----|----|
il niaplusilestui leins	-||||---|-|--|--⌫----|
mo l tma l afetiez	--⌫-⌫|--⌫|------|
lassefete luit	----|--|-⌫|--|
ilmespi ez	-|--|--⌫-|
quisun tsanglente tdepeciez	--|---⌫|-------|-⌫|-------|
sines estmie po rpensez	-|-||--|--|--⌫------|
fetelleque ieui	--|---|--|-|-|
ial e im getropetplusencore	-||-⌫-|-|---|-|---|-----|
uoirepardeu	----|--|--|
e tuoi la mer	-⌫|---⌫|-⌫--|
ie n en puispas moncue roster	-||-|---|--|--|---⌫|----|
estsamo rt ot e nouele	--||---⌫|-⌫--⌫|-----|
quesagrantbeautemerap ele	--|-|----|-----|-|---⌫--|
quant m endoipa rtirneme	----||-|--|--⌫---|-|-|
moine chautdequantquil	--|-|----|-|------|-|
seildece se repentoit	-|-|-|-|-|--------|
amenderue noit	------|--⌫---|
mes nasoingdesoufrirdro ture	--|||----|-|------|---⌫---|
quetro pestdemale	--|---⌫|--|-|---|
pu is auoir nen puis parti r	--⌫-|----||-|---|-----⌫|
