troueela pucele	-----|-|-----|
montpermain te	---|--|----⌫-|
tantace r kie ́tqueiluint	---||--⌫-⌫---⌫-|--|-|---|
toutdroitell ieueeldesto r	---|----|-|-⌫--||-|-----⌫|
oulespucelese nl a tour	-|--|------|-⌫|-⌫|---|
eblan ceflourse rente ncloses	|----⌫-------|-⌫---|-⌫------|
enunecorbel leder oses	-|--|------⌫-|-|-⌫---|
plainepordiu qu ifistlemon t	-----|--|--|--⌫|---|-|---⌫|
floiresportésamont	------|------|----|
q uantlasusfu lidamoissia us	-⌫---|-|--|-|-|---------⌫-|
enpi essa u tsus	-|--⌫-|--⌫-⌫|--|
comunsoissiau s	--|--|-------⌫|
equan tblanceflor sl aper coit	|----⌫|----------⌫||----⌫---|
entresesdousbras	----|--|---|---|
com mecortoise ebien	---⌫-|-------||---|
gra ntioieon tentraus dousmenee	---⌫-|---|--⌫|---|--|---|----|
ornos doi nstdius si demener	-|--|---⌫--|---|-|------|
e n osuiesadr oit mener	|-⌫-|---||--⌫--|----|
ainsque mo rthors	------|--⌫-|---|
de lmontnos	--⌫|---|--|
kes ciexsoion sla ouil	|-|---|-----⌫|-|-|-|
pa r dieuquifist	--⌫|---|--|---|
toute parole	----|-----|
lio nzime bran que	-|-⌫----|----⌫--|
eracontedeb l ancandin	|------|-|-⌫-⌫-------|
per maint uergie r	--|----|------⌫|
permaintga rdi n	--|----|--⌫---⌫|
permaintpaisperma i nteter e	--|----|---|--|--⌫-⌫--|---⌫|
alalesauent uresquere	--|--|-----⌫---|----|
mainte enifi stmainteen troua	-----|-||--⌫-|-----|-|----|
decascun esi se	-|------⌫|-|-|
con cilq ui se uautesproue r	--|--|-⌫-|-|---|-------⌫|
lipa ut riens reprouer	-|--⌫-|----|-------|
paroledo rg hille us e	-----||-⌫--⌫-----⌫--⌫|
damorsqui tant parfug ageus e	|----|--|---|--|-|-⌫-----⌫|
k el neu ausi stportot lauoir	|-|-|-⌫----⌫-|--|--||----|
elsiecl e sauoir	-|-----⌫|-----|
c un s ua sausl eustacolee	|--⌫|--⌫---||---|-----|
damor snefumiees kolee	|----⌫|-|-|--|--⌫----|
maisa morsquiles siens eskole	---|-⌫---|--|--|----|-----|
le menaaprendreal eskole	-|---|-------|||-----|
moutestliesquibo n encontra	---|--|---|--|--⌫|-------|
blancandinsun	----------|-|
ior encontr a	--|-------⌫|
orgilleuse d amor la	---------||---|-|
qui plusestblanceque fleursdente	--|---|--|-----|--|-----||---|
b aisierleuait enmi labouce	-⌫-----|-|---|---|-|----|
entrespasant epui s	-|---------||---⌫|
dese speronsle boinceual	--|-⌫------|-|---|----|
qui por tél au oit per maintual	--|---⌫--||--⌫--|--|----|--|
quantorg uilleuse damor uoit	----|---⌫-------||---|---|
comensib aissiel auoi t	--|---|-⌫-----||----⌫|
las sedolantes e stcl ame e	---⌫-|------||-⌫-|--⌫---⌫|
tro isfois	---⌫-|---|
aurel euercriaka itiue	-|---⌫---|---|--⌫----|
miexma mais e morte	---||-⌫----⌫|----|
sise prista de sconforter	-|-|----||--⌫---------|
quenusnele	--|--|-|-|
puet confo rter	---|-----⌫---|
n ism eis m es se ssen eskaus	-⌫-|-⌫---⌫-⌫-|--⌫|---⌫-----|
e le uausistcuns	-⌫-|------||--|
fus fustkaus	--|---|---|
sise lai ssast kairde dens	-|-|---⌫----|---|--⌫---|
souuin e ciet etpu is ad ens	------⌫|---|-|--⌫-||-⌫--|
moultlaidement s	----|--------||
estdeportee	--|-------|
ses se neskausl enaportee	--|--⌫------||-||-----|
entresesb ras ded ens satente	----|--|-⌫--|---⌫--|-|----|
enli confortermists en t ente	-|-|--------|---||--⌫-⌫---|
mai sco nforte rn elepeutpoint	---⌫|--⌫------⌫|-⌫|-|---|----|
a morss i de	-⌫---|-⌫|-|
s en dart la poin t	-⌫-|---|-|----⌫|
ains riens	---|----|
nefu sifo rtapoi nte	-|-|-|--⌫-|----⌫--|
conamorsl a de sen	--|----|||-|--|
dartpoint e	---|-----⌫|
droit eutcars ouent	----|--|--|-⌫----|
laide ngie	-----⌫---|
la u oit e	|-⌫-⌫--||
souentblastengie	-----|---------|
maisamorskele blastenga	---|----||--|--------|
delibel eme ntseuenga	-|-|---⌫---⌫-|-|----|
enbraseefudesen fu	-------|-|-|--|-|
car de lamorblancandin fu	--|-||---|---------|-|
siembra see e siesp risse	-|-----⌫--||-|---⌫----|
qu er iensfors blancandinne prisse	--⌫|-⌫---|---|---------|-|-----|
keledeu ant ta nt	|--|---⌫--|--⌫-|
de sprissa	--⌫------|
laamari pris	|||---|---|
ca r sa gesfue bie napris	--⌫|--⌫--|-||---⌫|----|
ornos doinst	-|--|-----|
dix sibienaprendr e	--|-|---|-------⌫|
nosuoell e repren dre	--|-----⌫|------⌫--|
auiugem entde nos pec ies	-|-----⌫--|-|--|---⌫--|
decoicascunsest	-|--|------|--|
en techiés	--⌫-------|
lidousi m e branque del l iure	-|-----⌫-⌫|------|--|-⌫---|
par o l e edemoustrea deliure	---⌫-⌫-⌫||--------||------|
de feni sse	-|----⌫--|
