o rfaitespaixpourDie	-⌫|-----|---|---|--|
I e uousdi r ay chanchonqu ioÿrleIe	-⌫|---|--⌫-⌫-|-------|--⌫|---|-|-|
croy quemeilleurnulz	---|--|-------|---|
homener C estdeleu ielleystoire	---|-|||--|-|-|-⌫----|------|
Dieux t ant	----|-⌫--|
amaC a rp eupl e scristïensencru t et	--|-⌫-⌫|-⌫----⌫-⌫|---------|-|---⌫|-|
ammenda Et leloyde	------|-|-|--|-|
Mah omhonnye etemp iraEnEspaigne etaill eursdecha	---⌫-|-----|-|---⌫--|-|-------|-|----⌫---|----|
meretdela.	--|-|----|
Bi enau ézoÿdire dAimery quiregna	--⌫-|--⌫--|--|---||-----|--|----|
u IIenfans q uesa	-⌫-|-----|-⌫-|-|
femm eporta.Guillaumeenfu l y	----⌫|-----|--------|-|-|-⌫|
ungsque Ihesutantama	---|--|----|---|--|
eubt septaultre ses pa r s puizchapuis	---|---|------⌫|--⌫--⌫-⌫|---|--|---|
l a.De tou s les sept	-⌫-|-|---⌫|--|---|
ungs eulnese	--|-⌫--|-|-|
lasq uaD essauchiernostre loyqu eI hesuord onna.C	----⌫-||---------|-----|--|--⌫|-⌫---|---⌫----||
es t raison	--⌫|-----|
queuousdye	--|---|--|
u ousdyraDontcesteys toireuint	-⌫--|---|---|----|--⌫----|---|
ypo urffita. De Garind e Monglennetout premier s	|--⌫-------|-|----|-⌫|--------|---|-------⌫|
Caril eubt quattre fi lz	--|-|---|------|--⌫-|
que Ih es ushonnouraQuil	--|--⌫--⌫-|-------|-|-|
otde Mabill e que	-|-|------⌫|--|
loyaument am a.Oru ousu our aycomptercommentile n	--------|--⌫-|-|-⌫--|-⌫---⌫-|------|------|-|-⌫|
all a Etco mment	---⌫|-|--⌫----|
GarindeMon gle nne con qu e staEtMabillette aussyqu amoullier	----|-|---⌫---⌫--|---⌫--⌫-⌫--|-|---------|----|-||-------|
es p ou sa . Cycommence	--⌫-⌫--⌫--⌫|-|-------|
chanchonou	-------|-|
mo ultbeaux moz aDeGarinde	--⌫--|----|--||-|----|-|
Monglenne.Seigneursorfaites paixpour Dieuqui nementy	---------|--------|-|-----|---|---|---|--|-|----|
orézchanchonai n s nulztelle no ÿCom ment	----|-------|--⌫-⌫|---|----||-⌫-|---⌫---|
li bers Garin	-|---|----|
Ch arle ma ineseruy Maisan chois uousd iray dequi	--⌫----⌫--⌫--|----|---|--⌫----|---|-⌫---|-|--|
Garins yssy.A ucuns	-----|----|-⌫----|
enont chantéets ensont aasty	-|--|------|-||-|---|----|
Maisaucommenchement	---|-|------------|
moul tfailly. Nul n e	----⌫|------|--|-⌫|
sceuentnommerce lle do nt	------|-----|--⌫--|--⌫-|
il y ssy Eti eleuous	-|-⌫--|-|-⌫|-|---|
quemeayéz	--|-|----|
oÿ.Gari n fudAcqu itaine ung	---|----⌫|-||----⌫-----|--|
païzmoult	----|----|
ioly . Ly duxenfusonpereconclamoit	----⌫|-|--|-|-|--|---||-|------|
SauarySame reotanom	-----|-|--⌫-|-||--|
Florefilled u roy Thiery[...]i Pauie	----|----|-⌫|--|-----|-----|----|
tenoitetlepaÿ zoussy.	-----|-|-|----⌫|-----|
Segneurce ducestoitcousingerm ainsHer uyLe	------|-|--|-----|-----|----⌫---|---⌫-|-|
d uc deLor aine	-⌫-|-|---⌫---|
p aÿzagensy. Q uantced ucpri nst sa femmequ	-⌫---|------|-⌫---|-|-⌫-|---⌫--|-|----|-|
ilama e chi eryLero y	-|--||---⌫--|-|--⌫|
PepindeFrancesemariaaussy	----|-|-----|-|----|----|
DeBerte s e moullie rque l e	-|----|-⌫|-------⌫|--|-⌫|
serue e ra ÿ.	----|-⌫--⌫--|
Maison cqueslaroÿnne tant	---|--⌫----|-|------|---|
n e se nty Commefistc el leFloure	-⌫|--⌫--|----|---|-⌫--⌫-|-----|
dont Ga rins yssy.Le bons	---|--⌫---|----|-|---|
ducd Acquitainequilecoeurothardy	--||---------|--|-|----|-|----|
Espousasam oulier o unoble corpziolyEn le	------|-|-⌫-----|-⌫|----|----|---|-|-|
ch itdA c quitainedont	--⌫-||-⌫-⌫-------|---|
encetempz ioÿEnmayque	-|-|----|---|-|--|--|
bos florissent quebossontrauerd y.	--|---------|--|--|---|------⌫-|
o t rich ebarnaig ede	-⌫|----⌫|-------⌫|-|
grant honne urgarniC ar	----|-----⌫-|----|-⌫-|
Thie rydePauyequile	----⌫-|-|----|--|-|
co eurothardy Lya uoit	--⌫--|-|----|-|-⌫---|
am enésafilleouc orpzio ly. De	--⌫---|-|----|-|-⌫---|--⌫--|-|
partie yfu rentlya mis Nob ley f ur ent	-----||--⌫---|-|-⌫--|---⌫-||-⌫--⌫--|
l ym ésdonti l	-⌫|-⌫--|---|-⌫|
furent seruy.	-----|-----|
Quantuienta l a uespreequeliiourfu	----|----||-⌫|------|--|-|---|-|
failliLy dux etsa	-----|-|--|-|-|
dontcyen droituous dyFurentpargra nt	---|-|--⌫----|---|-|-----|--|---⌫-|
amourenunglit agensy.Et	----|-|--|--|------|-|
e n celle nu ytiel iduxengenry	-⌫|----|--⌫---|-⌫|--|------|
Deu xen fan chons g entilz quimoul t	---⌫|--⌫---⌫----|-⌫-----|--|----⌫|
furenthardiz.L yung sotnom Garin	-----|------|-⌫|---⌫|-|--|----|
direoÿEtliaultres	---|--|-|-|------|
Anthiaumesapp ellézfuensy.FrerefurentGarin	---------|---⌫-----|-|----|----|-----|----|
que nasquipuisse dy	--|-----|------⌫-|
en tourm enten	-|-----⌫--|-|
p oureténoury. Ma ison	-⌫------|-----|--⌫-|-|
distets esturay	---|-||--|---|
lecroya u ss yQuenso uefnoreture dontaucuns sont	-|---|-⌫-⌫--⌫|-|-|--⌫--|-------|---|-----|---|
gi stbonne	--⌫-|----|
auenture.Segneur encelle	--------|------|-|----|
n uytengenraII	-⌫--|------|-|
en fa nsLibon	--⌫--⌫-|-|--|
ducd Acquitained ont ieuoussui	--||---------|-⌫--|-|---|--|
comptans.Ungmo is	--------|--|--⌫-|
durale court	---|-|----|
ceno usdistly romansPuisse nparty	-|--⌫-|---|-|-----|---||-⌫|----|
T hiery libonroy	-⌫----|-|--|--|
souf fisans Etle roy ̈ne	----⌫-----|-|-|---⌫--|
ssezappar tenansE tli duc demoura	---|-----⌫-----|-⌫|-|--|------|
qui moultestoitsaic ha ns. Segneursce duc auoi tolui	--|----|-----|----⌫--⌫--|-------|-|--|----⌫||--|
ne s o ngnan s	-|-⌫-⌫-----⌫|
duc Sauaryfais oittoussesc om mansE t c	--|-----|----⌫--|---|--|-⌫--⌫---|-⌫||
esto it le plu s	----⌫-|-|---⌫|
belle e tle pl usauenansEt	----|-⌫|-|--⌫-|------|-|
le mieulxadreschieetlemieulx	-|-----|--------|-|-|-----|
Qu ifusten ce spaÿze tl emieulxenparlans.	--⌫|---|-|--⌫|----|-⌫|-⌫|-----|---------|
Yde rne auoitanom	---⌫--|----||--|
moult fusescoeurs	----|-|--|-----|
d olansQue l iduxauoitmoullier dontie	-⌫----|--|-⌫|--|----|-------|---|-|
comptansEtoussy fu samere quiles ch eueu lxot	-------|-|----|-|-|---|--|--|--⌫----⌫-|-|
blans .Nauoit	-----⌫||----|
maleu ielle ouro ya umedesFransCar	---|-⌫----|-|--⌫--⌫--|--|----|--|
nestoitsorcheron en q uin	|-----|--------|-|-⌫-||
estoitcreansN e rbe	-----|-----||-⌫--|
bonnene maise	----|-|----|
fuconnissans Et to ut	-|---------|-|--⌫-|
aprinstungIuÿzA brehanx.S	------|--|----|-⌫-------||
en otmaintesprouue e cel le	-|-|----|--------⌫|---⌫-|
u ie lle ensontempz Safilleconf ortoitqui	-⌫--⌫--|-|--|----|-|----|----⌫-----|--|
moul t estoit	----⌫|-----|
Ca rellemenoitdeui lqueoncq ues	--⌫|---|-----|----⌫|--|----⌫--|
nefusygransCaron	-|-|-|----|--|-|
celluisyn estmye i oyans	-----|-||--|--|-⌫----|
Quantilpert	----|-|---|
saprouen de.	-|------⌫--|
La femmeau	-|----|-|
senneschalfuOstriss eclameeSafilleot no mYdern equi	---------|-|-------⌫|-----|-|----|-|--⌫|-----⌫|--|
desconfortee. Mais	------------|---|
Ne s oyézdestour be e Car	-|-⌫----|-------⌫--⌫|--|
tempremen tauray sybonne erbeattempr ee	---------⌫|----|-|----|---|-------⌫-|
Que se leduc na sagorge	--|-|-|--|||-|----|
trespassé Plus hairasa	---------|---|----|-|
moullierquar aigne enueni mee	-------|-|--⌫----|------⌫--|
Ettuse ra s	-|-|--⌫--⌫|
delui s y loyaulment	-|--|-⌫|---------|
ameeQuepou rl amou rde	---|--|---⌫||----⌫|-|
toysera sydesmenee	--|---|-|-------|
Que dele to ur seracachieet d esbouttee.Encements	--|-|-|--⌫-|---|-----|-|-⌫---------|-------||
estleuie lle	--|-|---⌫--|
dec e fa itauisee.ThieusSirez l econfonda qui	-|-⌫|--⌫-|------|-----|----|-⌫|-------|--|
f istchieletrou see	-⌫--|----|-|---⌫--|
fi stelleque tants estueritépr ouué	--⌫-|---|--|---||--|------|--⌫----|
Q ueleduc hois e f u	-⌫-|-|---⌫----⌫|-⌫|
de so n seigneurseuere e	-|--⌫|-------|------⌫|
Ench aintede	----⌫----|-|
Garinet laidement soulle eA in sy	----|-|--------|------⌫|-⌫--⌫-|
que uous et	--|---|-|
s iluous plaist	|-|---|-----|
et ag gree.Ladame	-|--⌫----|-|---|
estoitencha inte	-----|-----⌫---|
dontpuizfu deli ureeDed eu x	---|---|-|----⌫---|-|-⌫--⌫|
filz souffissansdontau ducmoult	---|----------|---|-|--|----|
aggreeEtqua nt ladame	-----|-|---⌫-|-|---|
d e so nfruit	-⌫|--⌫|----|
fu deli u reeEnchainte fu	-|----⌫-⌫--|--------|-|
t ant ostq uamesse fua llee. Maislidux	-⌫---⌫--|-⌫||----|-|-⌫----|---|-|--|
comme nc hauie	-----⌫--⌫-|--|
sidesguisee	-|--------|
erbes qu i lbut	----|-|-⌫|--|
couppe doree Quilne pouoit ueïr	-----|----|-|-|-|-----|----|
moullier espou se e .Et qua nt l iduxe stoit ensachambre	-------|-----⌫--⌫-⌫|-|---⌫-|-⌫|--|-⌫----|-|-|------|
femmedonnoit a t ortmaintep a mee.P a rmi ses	----|------||-⌫--|-----|-⌫-⌫---|-⌫-⌫--|--|
traï nee.ASirequeuousfault dist	-----⌫---||---|--|---|----|---|
la dameloueeQuanten	-|---|----|----|-|
nezungfourfaitne suideu ous	-----|-------|-|--|-|-⌫--|
trouueeOnc quesmais e nouuellenefu	------|---⌫---|----⌫|-------|-|-|
demoycompteeCa riameroyemie ulx	-|--|------|--⌫||------|---⌫--|
quefu ssethueeQu a hommenul	--|--⌫--|----|-||----|--|
