oi ezsei gnordex	--⌫-|---⌫---|--|
uo s croi ssebonte	--⌫|----⌫--|----|
liglo ri euslir oisde	-|---⌫--⌫--|-|-⌫--|-|
bonecha nconpl est uo saescouter	---|---⌫---|--⌫--|--⌫||-------|
delmeillor homequiainzcreus tende	--|------|---|--|---|-----⌫|-|-|
c est de xm l e	|--|-|-|-⌫|
marchisau cort	------|-|---|
commeil prist nym esparlecharroi mont é	----|-|----|---⌫-|--|-|------|----⌫-|
apres conquistorengelacite	----|-------|-----|-|---|
etfistgui borbaptizier et leuer	-|---|---⌫--|--------|-|----|
queil toliler oitiebautles cler	--|-|---|-|-⌫-|------||--⌫---|
p ui sl espousaa moill ereaper	-⌫--⌫||------||-----⌫-|||--|
etdes ozrom e ocistcorsolt	-|---⌫-|---⌫|----|------|
molt essaucasainte crestien tez	---|------|-----|--------⌫--|
t ant fi sten terreques ciex estcoronez	-⌫--|--⌫-|-|----|-|-|---|--|------|
tens deste	---||---|
fueill issent gautreuer dissent lipre	------⌫-----|---|-----⌫------|-|--|
ci lo iselchantentbeleme ntesoe	--⌫|-⌫---|-------|------⌫-||--|
licuensxm repe roitdeberser	-|----|-|----⌫---|-|-----|
du neforest ouotgrant piece esté	|-⌫-|-----|-|-|----|----|----|
pris otyy cers	---|-|-|---|
dep r imeg resseassez	-|-⌫-⌫--|-⌫----|----|
yym ulsdespaigneetchargiez	-|-⌫--||-------|-|-------|
ettr ossez	-|--⌫----|
yy saietesotli	-|------|-|-|
bersaucoste	---|-|----|
son arcda ub o r rapor toi tdebe rser	--|--||-⌫--⌫-⌫|-----⌫---⌫|-|--⌫---|
ensacompaigneyybac h eler	-|-|--------|-|---⌫-⌫---|
filzsonta contes et aprinceschasez	---|---||-----|-||------|-----|
cheu alierfu r e ntde	----⌫----|--⌫-⌫-⌫-|-|
no ue ladou bé	--⌫--⌫|----⌫--|
tienento iseausporlor cors	------|-⌫-----|--|--|---|
muetesdechie ns	-----|-|----⌫-|
font auecelsmener	---|---|--|----|
parpetit p ontsontenpar i sentré	--|----|-⌫--|---|-|---⌫-⌫|-----|
gentix etber	-----|-|--|
sauenoison fistalost el	-|-------|---|||---⌫-|
e nmi sauoieab ertra nencon tré	-⌫--|-|---||-⌫-----⌫|-----⌫---|
si lideman desi re	-|-|-----⌫-|--⌫-|
nies don tuenez	---|---⌫|----|
et dist bertransiaorroiz	-|---|-------|-|-----|
de ce lpalesou	-|--⌫|----|-|
grantpi eceaiesté	----|--⌫--|-|----|
aioietesc outé	-|-|-|---⌫----|
no st reempere resasesbarons fieuez	--⌫--⌫-|------⌫--||--|-----|-----|
t errecel chastel cel citez	-⌫---|--|------|--|----|
uilese loncce que	---|--⌫---|-|--|
moi etuoso ncle iso mes o ublie ́	--|-|--|-⌫---||--⌫--|-⌫-----⌫|
