etuosseruoi eparchans	-|--|------⌫|--|----|
maldaheait cuionq ue smiex en fu	------|--|--|---⌫--⌫|---|-|-|
cloenote nsonescu	--|-|-|-⌫|--|---|
sedautr uil a nce	-||----⌫-|-⌫-⌫--|
nefuparmal feru	-|-|--|--|---|
plus de y y yyai	---|-|-⌫|-|-|
faus t urs	---|-⌫--|
mespar ce luiquimain telciella sus	--|--|--⌫--|--|----⌫|-|---|-|--|
g e torneraileue rmeildelescu	-⌫|-------|-|--⌫----|-||---|
fere porroiz	---|------|
quen e reme s uodruz	--||-⌫-|--⌫|-|---|
xm quissisdeuirgente	-|-|----|-|-------|
p o rquaioc istantebeleiou ente	-⌫-⌫|-|-|--⌫-|----|---|---⌫---|
ne porq u ai fa ittanteme re	-|--|-⌫|-|--⌫-|----|--⌫-|
dontl ipe chiemesont remeseluentre	---|-⌫|--⌫---|-|---|----|-|-----|
tantais eruicest mauues	---|-|-⌫---|---|-----|
roide franc e	--|-|-----⌫|
niaico n quisua illa n tzzfer delance	||-|--⌫-⌫---|--⌫----⌫-⌫|-|--|-|----|
sirexm ditro is	---|-|--|--⌫-|
loysli be r	---|-|--⌫|
por c elapostrequen quiert en noir on	--|-⌫-|------|-|-|-----|-|----⌫-|
encora igeyy de noz	----|-⌫|-|-|-|--|
ac uige nainepro misne	|-⌫-|-||-|-|---⌫--|-|
roiuos imentez	--|--||-----|
iln esontm ie e nlacresti e nte	-|-⌫|---|-⌫-|-⌫|-|------⌫-⌫--|
ni afor suos quiestescoronez	|||---⌫|--|--|----|------|
par de susuos nemenquieria	--|--⌫--|--|-||-|----|-|
or p renez celsqueuos	-|-⌫----|---|--|--|
aue z no mmez	---⌫|--⌫---|
t otzzazzle	-⌫-|-||-|-|
s uslescheuaus	-⌫-|--|------|
garnizet conrae z	-----|-|------⌫|
se tante t plus	-|---|-⌫|---|
neu osaideuiez	-|-⌫-|-|-----|
iamaraurai riens	-|--|----|----|
e t uos me is m es se	-⌫|--|--⌫--⌫-⌫-|-|
aler iuolez	---||----|
otleliroissetuerslui	-|-|-|---||-|---|--|
aure drecierl enaarens oné	-|--⌫------||-||-----⌫---|
sirexm ditroisloy sli frans	---|-|--|---|---⌫|-|----|
oruoig ebienplainses de maltalan t	-|--|-⌫|---|-----|-|-|--------⌫|
uoir dit xms ifurentmipar en t	---|--|-|-⌫|-----|-|---⌫--⌫|
einsiuetdome	----|--||--|
quiserta ma legent	--|---||--⌫-|---|
quantil plus fetni	----|-|---|--|||
gaaign en eant	------⌫|-⌫---|
eincoise n ue t tot	------|-⌫|--⌫|--|
adesenpirant	---|-------|
sirex mdit	---|-⌫|--|
or uoigebienmaltalent auez m ol t	-|--|-|---|--------|---|-⌫--⌫|
ore nt miancessor	---⌫-|-|-------|
einsiuet domequ isertmaues seign or	----|--||--|--⌫|---|----|-----⌫-|
quantplus la lieuesiigaaignepo u	----|---||-⌫----|-||------|--⌫|
sirexmro isloyslire sp ont	---|-|--⌫-|---|-|--⌫--⌫--|
aue z et seruipora mor	---⌫|-|----|--|-⌫--|
plus quenus ho mqu i soit	---|--|--|--⌫|--⌫|---|
dedenzmacort	-----|-|---|
uenez a uantgeuosdorraibiau don	----|-⌫---|-|--|-----|---|--|
pren ezlaterreaupr eu	----⌫-|-|----|-|--⌫-|
c ontefa uco n	-⌫---|--⌫---⌫|
s eruiront t oi yycompa ignon	-⌫-------|-⌫-|-|-----⌫----|
n onfer aisire x m lir espo nt	-⌫-|---⌫-|---|-⌫|-|-⌫----⌫-|
del gentilcontey yenfanzre messont	--|-----|----|-⌫|-----|--⌫--|---|
la t erremainte n iren porr ont	-|-⌫---|------⌫-⌫-|-|----⌫--|
autremedon equedecestui n	----|-|---⌫|--|-|-----||
sirexmdit lir ois	---|-|--|-|-⌫--|
quantces teterre ne uol ezr eteni r	----|---⌫-|----|-|---⌫-|-⌫-----⌫|
neasenfanznela uolez tolir	-|-|-----|-|-|----|----|
prenezlaterre	-----|-|----|
a u boriois auber i	-⌫|------|-----⌫|
etsam arrest re	-|-|-⌫------⌫-|
herm ensautdetori	----⌫-----|-|---|
famequio nc	---|--|-⌫-|
beustde uin	----|-|--|
ser ui ronttoiyyyy feruesti	---⌫--⌫---|--|-|-|-------|
nonfer aisi rexm respondi	--|---⌫-|--⌫-|-|-------|
d el gentilcontesi estre meszzfil	-⌫-|-----|----|-|--|--⌫--|-|--|
robersanom mes moltpar estpetiz	-----||--|--|---|--|--|----|
encor ne sestnech aucier n e	----|-|---|-|--⌫-----|-⌫|
s e dexce donequils o it gra nz	-⌫|--|-|---|-|-|-⌫-⌫-|---⌫-|
totelat e rre porrabien	---|-|-⌫-⌫--|----|---|
sirexm dit roi s loy sle fier	---|-|--|---⌫|---⌫|-|---|
enfant neueusd esheriter	-----|-|---|-⌫--------|
pren tdon tlate r reaumarchis	----⌫|---⌫|-|--⌫-⌫-|-|------|
licuenssiprenez	-|----|-|-----|
sa moillier	-|-------|
seruiron ttoiyyyy	--------⌫|--|-|-|
acleresarme s et a	|-----|----⌫|-||
coranzdestriers	-----|--------|
deltuennaurontualissan t	--|---||-----|--------⌫|
o tlex mlese nscuide ch ang i e r	-⌫|-|-⌫|-|--⌫-|----|--⌫---⌫-⌫-⌫|
a sauois clerecomme ncaahu chier	|-|---|----|-----⌫--||--⌫----|
entendez moi nobil e	-------|--|-----⌫|
deroisloysmo n sei gnordroiturier	-|---|---|--⌫|---⌫---|---------|
