frereestoient	----|-------|
molts ed urentamer	---|-⌫|-⌫----|---|
se ignoirse stoien tde	--⌫------|-⌫------⌫|-|
labonecite	-|---|---|
iusquau marchienesesontarresté	----|-|------|-|-|---|-------|
yy p aiensont	-|-⌫----|--|
aueuc a usmené	----|-⌫-|----|
seignoro ez	------|-⌫-|
qued exuousbeno iie	--|-⌫-|---|----⌫--|
lig lorieuslifiz sa in temarie	-|-⌫------|-|--|--⌫--⌫-|----|
ceste chanc onsqueuous ai commencie	----|-----⌫--|--|---|-|--------|
ellenest pa sdor g ol lne defolie	---||--|--⌫||--⌫-⌫--⌫|-|-|----|
n e d emancongeestraite neanquise	-⌫|-⌫|-------|-------|-|------|
maisdepreudom es qu iespaig ne	---|-|-------⌫-|--⌫|------⌫-|
ontconquise	--|-------|
d e pa rihesuont	-⌫|--⌫|----|--|
cestecit ez	----|---⌫-|
li garn ie	-|----⌫-|
esten la terredemo nsei gnorsaintgile	--|-|-|----|-|--⌫|---⌫---|----|---|
partdesestresd e l auile	---|--|-----|-⌫|-⌫|---|
maisa cele	---||---|
ore n eniau oitilmi e	--||-||--⌫--|-|--⌫|
ainziertla loi de	---|---|-|--|-|
la gentpaienie	-|---|------|
l aouprientmahomquine	-⌫|-|-----|----|--|-|
uaut z zalie	---|-⌫|---|
et teru argant	-|----⌫-----|
q uilorfust enaie	-⌫-|--|---|-|--|
et si tenoie nt lorpl ait et	-|||------⌫-|--|--⌫--|-|
lorconcile	--|------|
xmuien ttoutdro itenmi l a	-|----⌫|---|---⌫-|---|-⌫|
p ar ro niotentailliéde uert	-⌫--⌫--⌫||-|---------|-|---|
ladescen dixmfier e brace	-|------⌫-|-|----⌫-⌫----|
etpristsaborse sesdeniersa n	-|----|-|----|--|------|-⌫|
agranzpoignies ses	|----|-------|--|
b onsdeniersensaic he	-⌫--|------|-|----⌫-|
celuidemandequi	----|------|--|
prentleguionaige	----|-|--------|
porriensqueil nul mal	--|----|--|-|--|--|
dient paien iamaliaurez	----|----|-|--||----|
i a homesi riche	||---|-|----|
suosdis oitne	|--|---⌫--|-|
an pandistp arlagou le	-|------|-⌫-|-|---⌫-|
a zz arbre	|-|----|
en dem e nt iersqu iluontens i	--⌫---⌫-⌫--⌫-----|-|---|---⌫|
atantezuo seterpinetotrant	----|-|--⌫|-|----|-|-----|
o u il demande ntle prisié	-⌫|-|-------⌫-|-|------|
dientpaienqui l e u ont esgardent	----|----|--|-⌫|-⌫--|--------|
ueezl euous	---|-⌫|---|
la celpro udom e auena nt	-|--|---⌫----⌫|-----⌫-|
a celcapela	|--|----||
celeb arbegra nt	---|-⌫---|---⌫-|
qui aces autresuait son bon	--||--|-----|---|--|--|
commendant	---------|
liroisot ranzlen apela a uant	-|---|--⌫---||-|----|-⌫---|
dont estesu os beaus	---|----|-⌫-|----|
amismarc heant	---|----⌫----|
sirenou ssumesdingleterr e lagrant	---|---⌫|----||---------⌫|-|----|
decantorbier esune	-|----------⌫-|--|
cit eu ail la n t	---⌫|-⌫---⌫--⌫-⌫|
auezuosfemmebeau samis mar cheanz	---|--|----|----⌫|---|---⌫-----|
oilmolt g ente etyy anfanz	--|---|-⌫---|-|-|-----|
t u its ontpetitnann i	-⌫-⌫-|-⌫--|----||-|||
haque y ygranz	-|--|-⌫|----|
lizzanombeguesetliautres sora nt	-|-||--|-----|-|-|-----|----⌫-|
uossornemestescreant	--||-|-||----|-----|
and ouslormos t reg u ielinet	---⌫--|--|---⌫-⌫-|-⌫-⌫----|-|
di ent p aien	--⌫--|-⌫---|
mo ltau e z beaus	--⌫-|--⌫-⌫|----|
siseseussent	||-|-------|
uestira uenam ment	-----|-⌫-----⌫---|
liroi sotra nz lesapelaerrant	-|---⌫|----⌫-|--|----|-----|
com auez nombeausamismarc heant	--|---|--|----|---|----⌫----|
biau tresdouzsireti acr euoirement	---|---|---|---|--⌫---⌫|--------|
dist li paiencest noms dep utegent	---|-|----||--|---|-|-⌫--|---|
tiac refrerequelauoi ruasmenant	----⌫-|----|---|----⌫|--|-----|
siglaton ssirecendal	--------⌫|---|-----|
etb oq u erant	-|-⌫--⌫-⌫----|
etescarlateetuertetpers	-|--------|-|---|-|---|
