seign eorpreudonor	-----⌫--|------|-|
e scoutés	-⌫-------|
quilesb onesc hanconsamés	--|--|-⌫---|-⌫------|----|
d une tantboneoi r	|--|---|---|--⌫|
ia demei lle or	-|-|---⌫---⌫-|
dire norrés	---||-----|
des gransmerueilles	--|----|---------|
que sontf aites	--|---|-⌫----|
etdelatinenromanz traites	-|-|----|-|-----|------|
apresun iorqui iad isfu	----|-|--|--|---⌫-|-|
ot apar isu n roi	-||---⌫-|-⌫|--|
qui dago nbersfua pelé s	--|----⌫----|-|-⌫-----⌫|
plusfi er sdelui	---|--⌫--⌫|-|--|
nemiex seustter r etenir	-|---|----|---⌫-⌫|----|
ne sesanemisestormir	-|--|-----|-------|
fammepr istde g rantrenon	----|--⌫--|-|-⌫---|----|
gentedecorsetd e facon	----|-|---|-|-⌫|----|
unpereauoit	-|---|----|
def iercorage	-|-⌫--|-----|
c a rmoltestoitdehaut	-⌫-⌫|---|-----|-|---|
moltdu rementestoitpreudo n	---|--⌫-----|-----|------⌫|
loteires funomés par non	-------|-|-----|--|--|
dagonbersd ontmoiésconter	--------|-⌫--||----|-----|
fistsain denisfairefo nder	---|---|----|----|--⌫---|
moltama d iex	---|--|-⌫--|
omnipo tent	------⌫---|
etcrustendie x molt	-|----|-|---⌫|---|
fer mement	---⌫-----|
lote ir es fudegran taa ge	----⌫--⌫-|-|-|----⌫|--⌫-|
e t seche ien grant mala ge	-⌫|-|---⌫|-|----|----⌫-|
fammeuo ta fil	----|--⌫||--|
et roi aume coro ner	-|---⌫---|----⌫--|
apari sfu uniorli rois	|----⌫|-|-|--|-|---|
lote ires qu ifu	----⌫---|--⌫|-|
mol tcorto i s	---⌫|-----⌫-⌫|
lettresfistf aire etsa iller	------|---|-⌫---|-|--⌫----|
etsesho mmespartout	-|--|--⌫---|------|
enno rmandieeten	-|--⌫------|-|-|
etenbo rgoinne et	-|-|--⌫------|-|
en a lemaingneet enr oissie	-|-⌫--------|-|-|-⌫-----|
et enlaterredehongrie	-|-|-|----|-|------|
neremestnus u e nus nisoit	-|-----|--|-⌫-⌫--|||---|
porloteiresqu	--|-------|-|
essommonoit	-|--------|
iuinta moltric he	|---||---|---⌫-|
conp ain gn e	----⌫---⌫--⌫|
tantiotgentnesoinombrer	---||-|---|-|--|------|
delala mer	-|-|-|--|
quenesoila	--|-|--|-|
ue rite dire	--⌫---|---|
moltiamai ne	---||----⌫-|
grant em pire	----|--⌫---|
deforspari sdedenschampaus	-----|----⌫|-----|-------|
oulip res sees t oitlors	-|-|-⌫---⌫-|--⌫-⌫--|---|
mo lt beaus	--⌫-|----|
arbresiot u erset floris	-----||-|-⌫--|-|-----|
la fuli grans assemblei s	-|-|-|----|---------⌫|
derois dedus	-|---|-|--|
decha stelains	-|---⌫-------|
dec heua li ers	-|-⌫----⌫--⌫--|
etdeuilains	-|-|------|
c efu un iorde pentecouste	-⌫|-|-|--|-|----------|
c estunefestequi	|--|--|----|--|
m ol tcous te	-⌫--⌫|----⌫-|
quetoutela	--|----|-|
g ent fu uenu e	-⌫--|-|----⌫|
onques n iot si	-----|||-|-|
poure r ue	----|-⌫-|
o uli os teausne	-⌫|-|--⌫----|-|
feu s sent pris	---⌫-⌫---|---|
d e r oisdedu s et demar chis	-⌫|-⌫--|-|--⌫|-|-|---⌫---|
tr oi si ors	--⌫--⌫|-⌫--|
