s eignoursoez chancon	-⌫-------|--|------|
uersu ntbienfait	--|--⌫-|---|---|
cest desba ronsde france des miauz	|--|--|--⌫---|-|-----|--|----|
et desbiaus	-|--|----|
dugo nlouba rruieretd	|---⌫|--|--⌫-----|-||
ors o ndebiauu aiz	---⌫-⌫|-|-----⌫--|
hu guesfudeberridou chatia uldecaleais	--⌫---|-|-|----|--|------⌫-|-|------|
ettint qui tebeo rges	-|---|---⌫-|---⌫---|
et uirso n etcontais	-|-----⌫|-|------|
eto ursfu n ez	-|-⌫--|-|-⌫-|
defr anc eclermont	-|--⌫---⌫|-------|
tien t etbau u a iz	----⌫|-|---⌫-⌫-⌫-|
seigno rso ezlesuersd unebonechancon	------⌫-|-⌫-|--|---||--|---|------|
d ugonlebarruier etdou bond u courson	|---|-|-------|-|--|--|-⌫-⌫|-----|
an tre hugonet	--⌫--|----|-|
orsondeuindre nt compaig no n	----|--------⌫-|-------⌫--⌫|
lorfo izsantr edonnerent par teldeuision	--|--⌫-||----⌫---------|--|--|-------|
unsne faud roitla utrepor n ulerien dou	--|-|----⌫---||-⌫---|--|-⌫--|---|--|
cheualier san l asalechalon	---------⌫|-|-⌫|---|-----|
lidusourspritmolier	-|--|---|---|-----|
de mol t iantefacon	-|---⌫|----|----|
acelinela iant e ot la puceleano n	------|-|----⌫|-|-|-----||--⌫|
niece fu giboinfilleauconte	----|-|-----|----|-|----|
lonctans latint	---|---|-|---|
celuileu ade f onshugues au	----|---⌫|-|-⌫--|-----|-|
m ou t a mala duchececoemanta	-⌫--⌫|-⌫-|-|------|------||
huimais orezl a	------|---|-⌫|
foi que il portao rson	--|--|-|----|-⌫---|
lefrancduc debonarelenobilebaron	-|----|--|-------|-|-----|----|
p ou ramourladuchecea laiantefacon	-⌫--⌫|----|-|------||-|----|----|
que plusamoitlif ausque nule	--|---|----|-|-⌫--|--|---|
ri ens d oumont	--⌫--|-⌫-|---|
an trai tpuis cil hugue ssonl eaulco npaignon	-|----⌫|---|--|-----⌫|--|-⌫---|--⌫-------|
et uandipour auoiragra nt	-|----|---|----||---⌫-|
destr ucion	-----⌫----|
cefuoumo is demaiparune	-|-|-|--⌫-|-|--|--|--|
qu e lidusorsiside	--⌫|-|--|--|--|-|
bau uaizsac o ntree	---⌫---|-|-⌫-⌫----|
ethugezc es	-|----|-⌫-|
conperesquifoili out	-------|--|--|-|--|
c ea nt auspalefr o i schacunsc eint e	-⌫--⌫-|--|------⌫-⌫-⌫|------|-⌫----⌫|
premerain s parlahugeslitraiteslile res	---------⌫|----|----|-|------|-|--⌫--|
quiou ta la d uchece tote samourdonnee	--|--⌫||-|-⌫-----|---||----|-----|
moutauez bele	---|---|---|
famefaitilsire c onperes	---|---|-|---|-⌫------|
c arpleutore ad e iqueiause autr etele	-⌫-|----|--||-⌫-⌫|--||---|----⌫----|
etliduslirespontparmou t	-|-|--|-|------|--|---⌫|
bone pansee	---|-----|
conpans fan eauroiz uossepuetestre tr ou ee	------|---⌫|-----|--|-|---|----|--⌫--⌫-|
ain sime trai d oumienbi enquaranteliureez	---⌫||--⌫---|-⌫-|---|--⌫-|-------|------|
que uosnaiezte lf ame q uiserahonoree	--|--||---|--⌫|-⌫--|-⌫-|---|------|
etliglousl ir es pont	-|-|----|-⌫|-⌫--⌫---|
coema nta celee	-----⌫-||----|
i a inau r ai	-⌫-⌫||--⌫-⌫-|
forslauotrecuiieaitan tamee	---|-|----|--|-|-|---⌫|---|
iaiancoisneuerroisla quinzainepa ssee	--|-----|-|------|-|--------|--⌫---|
touralechiefau trancha ntdelespe e	----|-|----|-|-------⌫-|-||----⌫|
nemiles me sfilaus	-|----|--⌫|-----|
naur alongeduree	|---⌫|----|----|
ia neuerraunan ne lifis ne	-|-|----|-|-|-|-|--|-|
etpr andraila ducheceque	-|--⌫-----|-|------|--|
tan taidesiree	---⌫|-|------|
kalema rteildonraitantd auoira celee	---|--⌫----|-----|---||----||----|
que ieaura ila dameamo ulier	--|-|----⌫|-|---||--⌫----|
siirai abauuaizconelle	-|---||------|--|---|
miert dounee	|---|-----|
hugesetli dusourssontanbauuaizan tré	----|-|-|--|---|---|-|------|--⌫---|
or escoutés dugon lo utraitorproué	-|--------||---|--⌫|------|-----|
parcon fatemeniere anuersorsonerré	--|--|---|------|-----|----|----|
tan tqu il outsamolier et tote	---⌫--|-|--|-|-----|-|---|
ourses tdegrantparage cil l auoi t afolé	---|--⌫|-|----|-----|--||----⌫|-----|
usesoitqu eilseroitchi erem ant conparé	|-|---|--⌫|-|-----|---⌫----⌫--|-------|
i la espl oitiée t ouure ́	-⌫||----⌫-----|-⌫|-----⌫|
dedansla chambre	-----|-|------|
ors ona soncors esconsei	---⌫-||--|---|-------|
par desus la cortine	--|----|-|------|
a sonchief couuetei	|--|----|-------|
illec se tint	----|-|---|
liglousqu e ilnamot s o unei	-|----|--⌫|-|||--|-⌫-⌫---|
eto rss eua	-|-⌫-|-⌫|-|
couchi er quant	------⌫-|----|
illiuint angrei	-|-|---|-|---|
deios telacontesseaugent cors honoré	-----⌫-|-|-------|-|---|---|------|
lez leducs endormil a	--|-|--||------|-⌫|
dameaucorsm alé	---|-|---|-⌫---|
etli dusorsui l laquemout auoi tpancei	-|-|--|--|--⌫-⌫-|--|---|----⌫|-----|
conilpeusthugonsonc onp aig mariei	--|-|----|----|--|-⌫---⌫--|-----|
lidusorsle uoudroitsi auoir asenei	-|--|--|-|-------|-|----|-----|
queh autemantlaust	--|-⌫-------||---|
e ssauciéetmontei	-⌫-------|-|-----|
ezuous hug ondrecié coemant etsoue	-|---|---⌫-|------|------|-|---|
sarasonditeetcoeman tparler	-|----|---|-|------⌫|-----|
dorstu ors de	---|-|--|-|
b auuaizou tantaitdebontei	-⌫-----|-|---|--|-|-----|
notresireste mante	----|----|-|----|
l iroi s demai es tei	-⌫|---⌫|-|---⌫--⌫--|
parmoi quisu icesa n gres lou	--|--|--|--⌫|--|-⌫-⌫---|--|
