orescotezpor	-|------|--|
unbonp eccheor	-|--|-⌫------|
delaterrefud aquitaine	-|-|----|-||--------|
sipec he fur ent molt estrange	-|---⌫-|---⌫--|---|-------|
mutestgr anzpa orsaretrare	--|--|--⌫--|--⌫--||------|
maisneporquantsi	---|---------|-|
ldeit hom faire	|---|--|----|
a sau tr e spech eorse ntend re	-⌫|--⌫--⌫-⌫|----⌫---|-⌫-----⌫-|
queremenbrance ipuissentp rendre	--|----------||-------|-⌫-----|
ici stpechezdontparl eruu eil	---⌫-|-----|---|----⌫-|--⌫--|
nefa ita dir epar	-|--⌫-||---⌫|--|
mai sporeissampled autregent	---⌫|--|--------||----|---|
queil prendentchastiement	--|-|-------|----------|
sainte escriturenosco mande	-----|--------|--|--⌫----|
quantlacolpeest onc	----|-|----|--|--|
p lusgrande	-⌫--|-----|
tantl ade it	---|-⌫|--⌫-|
h omplusreconter	-⌫-|---|-------|
p orlautrepeupl echastier	-⌫-||----|-----⌫|-------|
u nemanieresunt	-⌫-|------|---|
q uim escreie ntmo ltmalement	-⌫-|-⌫-------⌫-|--⌫-|-------|
mais sil tantuolent demo rer	---||-|---|-----|----⌫--|
quecests ermonpuissefiner	--|---|-⌫----|-----|----|
seignordo ntge uueildire	------|--⌫-|-|----|---|
ilmeismepo rron tbien	-|-----|--⌫----⌫|---|
queueirem ent par	--|------⌫--|--|
neg ligence	---⌫------|
fruitde penite n ce	----|-|------⌫-⌫-|
cil quineseuen tafia nce	--|--|-|-----⌫||---⌫--|
c hose est	-⌫---|--|
me screan ce	--⌫------⌫-|
ie lur aconteraim oltbien	-|--|--------|-⌫--|---|
sertes ses ontcilcrest ien	-----|-|-⌫--|--|-----⌫--|
quitant cuide nt estremesfait	--|---|-----⌫-|----|------|
quepuisne puissentpar nulplait	--|---|-|-------|--|--|----|
delorpecheme rc i	-|--|----|--⌫--⌫|
da m ender	|-⌫-⌫----|
or escoutéspor	-|--------|--|
la uiede cestpecheor	-|--|-|---|------|
edela gra ntm ise ricorde	|-|-|---⌫-|-⌫---⌫------|
queilressutdelreidegloire	--|-|-----|--|--|-|-----|
quesianul desesper e ́	--||||--|--------⌫-⌫|
quesachebiende ueri te	--|----|---|-|----⌫-|
e autrecirec eurade lui	|------|---⌫---|-|--|
cilserepentcomfis t ces tui	|-|-|-----|--|---⌫|---⌫--|
g ransfulacolpe del cr estien	-⌫---|-|-|----|--|--⌫-----|
mais celiauintmoltb ie n	---|-|-|----|---|-⌫--⌫|
quenechieten	--|-|----|-|
desespera nc e	---------⌫--⌫|
ainssame n deparpenitence	---||---⌫-⌫-|--|--------|
cique pui sfusainsapostoiles	----|---⌫|-|----|---------|
sires saint gregoires	----|----|--------|
dontieuosuuei lla uie dire	---|-|--|----⌫|-|--|---|
tant fumesfaitic i stb onssire	---|-|------|--⌫-⌫-|-⌫--|---|
queunsuen suncles l	--|-|----⌫|-----||
ante le porta	---|-|----|
enco refist lienemis	----⌫-|---|-|-----|
icels aintome fai repis	---|-⌫---|--|---⌫-|--|
quars eror ges deuint	---|-⌫----⌫--|-----|
e marisf u	|----|-⌫|
sa chieremere	-|-----|---|
molt les otene mislaciés	---|--|-|---⌫--|------|
parqueitrabucher les	--|---|--------|--|
e nenfer quns	-⌫|----||--|
recorc ist	------⌫--|
nefust ci mer ciables	-|---|-|---⌫------|
quepuis l e s	--|---|-⌫-⌫|
rescosasdiables	-----|-|------|
huimaisoréscomescripture	------|----|--|---------|
comfa itementcestauenture	--|--⌫------|---|-------|
auint ac estui gregoire	----||-⌫----|-------|
dontieuos uueil con terle stoir e	---|-|--|----|---⌫--||-⌫-----⌫|
seinteesc ripturenos	-----|---⌫------|--|
an t isesteit unconte	--⌫-⌫-|-----|-|----|
en aq uitaine	-|--⌫------|
lencontree	|--------|
filde cesposee	--|-||------|
eunef ille qui er t t antbele	|--|-⌫---|--|--⌫|-⌫--|---|
quemolta leitloinglanouele	--|---|-⌫---|----|-|-----|
ma issagrant bia ute maru it	--⌫-|-|----|---⌫--|--|-⌫-|
quara grant duel li reuertit	---||----|---|-|-------|
d ecesen fa nsmor utlamere	-⌫|--|--⌫--⌫-|---⌫-|-|---|
e enprespris tla mors	|-----|----⌫|-|---|
sesenti acouchiés	-|----|---------|
e de lamo rt moltapr oc hi és	|-|-|--⌫-|---|---⌫--⌫--⌫--|
sonchierfis de ua ntseiapele	--|----|--|--⌫--⌫-|--|----|
es afille qui molt iertb ele	|-⌫|----|--|---|---|-⌫--|
e s es baronsfis t	|-⌫-|-----|---⌫|
t osue nir	-⌫-|--⌫--|
q uesaraison	-⌫-|-|-----|
pu is sentoir	--⌫--⌫---|--|
amisbiau sfisced istlicuens	---|----⌫|--|-|-⌫--|-|----|
pordeuuos prique	--|--|--|--|--|
soi esbuens	---⌫-|----|
ie memoraiproche ine m ent	-|-|----|------⌫---⌫-⌫--|
ne uiura i maist r esbienlesent	-|-----⌫|---|-⌫-⌫-|---|-|---|
ma ismol ts en uaitm armedolente	--⌫-|---⌫||-|---||---|------|
portaserorqui	--|-|----|--|
est tant gente	--|---|----|
quee n mon uiuant nelai	--|-⌫|--|-----|-||-|
osabiau te	|-|----⌫-|
fus t b ienacise	---⌫|-⌫--|----|
seiel eusse	-|-||----|
deriennefu st marmegreuee	-|---|-|--⌫-||---|-----|
mai sortrespasdec este	---⌫|-|------|-|-⌫---|
