en un iorgedepresseizde	-|-|--|-|---------|-|
mu lt g ran desnoises d esalquan zseculeir sazqueizenl u r	--⌫-|-⌫---⌫--|-----|-⌫-|------⌫|--------⌫|-|----|-|-⌫-⌫|
negosces ala foizsumes	-------||-|---|----|
de straints olr em eismesce kecerte ch ose estn os	--⌫------|-⌫---⌫|-⌫-----|-|-|----|--⌫--|--|-⌫-|
nie ntdeuoirge	---⌫-|-----|-|
requ is un	----⌫-|-|
secreitl iuk iestamisa dolo r	------|-⌫-|-⌫|--|---||----⌫|
utotcek ela moieoccupation des plaisoit	|--|-|-⌫|-|---|---------|---⌫-------|
amoiaouertem entsoid emosterro itet	|--|--------⌫--|--|-⌫---------⌫-|-|
tot esleschoseski sol oientenmo i	---⌫-|--|-----|-|---⌫----|-|--⌫|
mettre lo dolor assemb le iesloisablementuenr oientdeuantmesoe z.	-----|-|----|------⌫--⌫--|-----------|----⌫----|-----|--|--⌫||
gierescant gemult	-----|---|-|---|
affli zet longe menttauz	-----⌫|-|-----⌫---|---|
s eoi ilokesdunkes fut a uo cmoim estres	-⌫--|-----|-----|--|-⌫--⌫|--|-⌫-|---|
p i ereslidiakeneski desla promiere flo r	-⌫-⌫---|-|-------|-|--|-|-------|---⌫|
deiuuentea mo iest	-|------||--⌫|--|
ast rainze namist ieze tme sc om painsaenq uerre	---⌫----|-⌫|-----⌫--|-⌫|--⌫|-⌫--⌫----||---⌫----|
lasainteparole .	-|-----|-----||
liqueizmo iesga rdanzestredequ itde	-|----|--⌫|----⌫----|----|----⌫-|-|
grief dolor delc uerdistaui nt	----|----|--|-⌫--|---|---⌫-|
d unke s at oi a lc unechosede chose	-⌫----⌫||-⌫-|-⌫--⌫--|----|-|----|
nou ele kedolorstoitientplus ke	---⌫--|-|-----|--|----|---|-|
acui g e disli dolo rspierrescui	|--|-⌫|--|-|----⌫-|------|--|
ie soffre cascunior et	-|-----|-----|--|-|
toz tens par u sag eesta moiu iezet	--|---|--|-⌫---⌫|--||--|-⌫--|-|
t ozt ensparaoisementn oueaz .	-⌫-|-⌫--|--|--------|-⌫----||
q u armesmaleurous corages	-⌫-⌫-|--|--------|------|
hurtei zpar laplaie	------⌫|--|-|----|
de sa occupation ramenbret queiz i lfut	-|-|---------|--------|----|-⌫|--|
iadisel m onstier	----|-|-⌫------|
coment astoi ent dessozluito teschose sloueri anz	-----|-----⌫--|-----|--|--⌫--|-----⌫|------⌫--|
encombienilapparoitdessouretoteschoseski soi	-|------|-|-------|-------|----|-----|-|--|
keil au oita constumeitnulechosepens eir	-|-|--⌫--|-⌫---------|---|----|----⌫--|
secelestien es	-|---------⌫-|
k e il encor retenuz encor siameismeslesenclostres	-⌫|-|----|------|-|---⌫|-|------|--|---------|
chartrespassoitp arcontemplation	---|----------|-⌫-|------------|
kei l alsim entlamort ki	-|-⌫|-----⌫--|-|---|-|
a naises atrestozestpoine	-⌫-----||------|--|----|
ameuetalsicom ent reiedeuieetl owi erde son	-----|---|--|---⌫---|-|--|-|-⌫---⌫-|-|--|
tr au ailh .	--⌫--⌫---||
ma isor porl	--⌫-|-|--||
oc casion dela	--⌫-----|-|-|
cur epast oralesoff re t illes n egosc es deshomm es	---⌫|----⌫----|----⌫--⌫|-|--|-⌫-----⌫-|--|----⌫-|
secul eirsetapress i be leformedeson	-----⌫---|-|----|-⌫|--⌫-|----|-|--|
repos p ar lapurrieredelter rienfait estillaidoiez	----|-⌫-|-|-------|--|---⌫---|---|--|-|-------|
et quan til soiporlocondesc en dementdespluisors	-|----⌫|-|--|--|-|-------⌫--⌫-----|--|-------|
azdeforiene s chose sespart meismescantil	-|---------⌫|-----⌫|-----|------|---|-|
desiretlesdeue ntrie nesa	------|--|----⌫-----⌫--||
i cele ssenzdotance re pairetilmenre s .	-⌫----⌫|---|------|--⌫-----|-|-----⌫||
g ieresge parzoic e	-⌫----|-|-----|-⌫|
keiesoffr e ge	-|-|-----⌫|-|
parzoicekeiea iperdut.	-----|-|-|-|-⌫|-----||
et quantie esgarde celechosec uige	-|----|-|------|---|----|-⌫-|-|
aiperdueside uient ce steplus greualz c uiieport e	-|-----|-|--⌫----|--⌫--|---|------|-⌫-|-|----⌫|
e lleuoz certes orsuihorteiz d es f luezde	-⌫-----|-----|-|--|------|-⌫-|-⌫---|-|
lagrande meirete n lane if de ma pense	-|-----|---|-|-⌫|-|--⌫-|-|-|----|
parles turbi lhons duneforte t empest e	--|--|-----⌫----||--|----|-⌫------⌫|
suideboteiz .	--|-------||
etq u antmoisou ien tdemapromiere	-|-⌫-⌫--|--|---⌫---⌫|-|-|-------|
u ie alsicommeneiz	-⌫-|---|--|-----|
mesoez derri ere mo n do s ue ue la	--|--|-----⌫--|--⌫|--⌫|--⌫-|-|
riuesospire	---|------|
et keencor plusg r ieschoseestquantge	-|-|----|---|-⌫-⌫--|----|--|----|-|
turbleizdesgranzfluez	-------|--|----|----|
suiporteizauisonkes pois g e iaueo irloport	--|------|--------|---|-⌫|-|---⌫-|-|---|
aila i ssiét	-|--⌫-⌫-----|
caret ensison tles auent u resde la pe nse	--|-|---|---⌫|--|-----⌫-⌫--|-|-|--⌫--|
kele cer tesanzo isperdet la	|--|---⌫--|----⌫-|-----|-|
bone chose cui eletientneke dentsisouientsoi auoir	---|----|--|--|----|----⌫---|-|------|--|----|
etq uantp l usl onzsene st ale ie	-|-⌫---|-⌫-⌫-|-⌫--||-|-⌫-|---⌫-|
sio blietenc ordel meismebien	-|-⌫----|---⌫-|--|-----|---|
cuieleat p e r dut	--|--|-|-⌫-⌫-⌫--|
etauie ntchosekelenesparramenbrance	-|----⌫-|----||--|--|--|----------|
uoit enapres cek ele	---|-|----|-||--|
tenoitanzoispar fait.	-----|-----|--|---||
