Horauosdic uera raizun	---|--|--|---|-----|
Christipassïun	------|-------|
los sos affanzuolrem embra r perquecest mu nd	--|--|-----|--|---⌫-----⌫|--|--|---|--⌫-|
totasa luad	--||--⌫---|
Tre nta tres anz	---⌫--|---|--|
etal ques plusdesque carn pres in t errafu	-|--⌫---|---|--|--|---|---|-|-⌫---|-|
P erto tobredqueuerus	-⌫-|--⌫|----|--|----|
Deusper totsostegq ue h omca rnels	---|--|--|-----|-⌫-|-⌫-|--⌫----|
Pecca dnegununque	-----⌫|----|----|
non fizpereps	--|--|--|--|
losnostresfuaucis	--|------|-|----|
La s uamorz uid anosrend s a	-|-⌫-|---|---⌫|--|---|-⌫|
passï unstoznos	------⌫--|--|--|
Cumaproisme d s a	--|--------⌫|-⌫|
passïunschofunos traredemptïonsaproi smeruo la	--------|--|-|---⌫--|-----------|-----⌫---|--⌫||
la ciutat afanzpernos	-|-----|----|--|--|
sustegmultgran z	-----|---|----⌫|
Cum elperuein g a	--|-|-------⌫||
Betfageuiles	------|--|-|
Oliuetauantdel s	-----|----|---⌫|
e nueiedun	-⌫-----|-|
as nead ducere seroued	--⌫-|--⌫-----|-|----|
Cumcelasnezfu amenazdelorma ntelz	--|--|----|-|-----|-|--|--⌫----|
b enlant paraddelor m antelzdeloruestit	-⌫-||--|----|-|--|-⌫-----|-|--|-----|
benlia pr es tunt o·ssassis	--|-|-⌫--⌫--⌫---||--|----|
P ersuagran dhu m il itad	-⌫-|--|----⌫|--⌫-⌫--⌫---|
Ie súsrexma gnes s us montedsicumpro p hetesanzmulz	--⌫---|--|--⌫---|-⌫-|-----|-|--|---⌫-⌫----|--|---|
di scantedaueien de	--⌫|-----|-----|-|
An z pe tiz	--⌫|--⌫--|
chofusfait	--|--|---|
Lazersusci tat	----|-----⌫--|
chi quatredis enmonimentiaguda ueietozpude nz	--|-----|--|-|-------|----|-⌫---|--|----⌫-|
Cu mco audid totalagent que	--⌫|-|----|---|-|---|--|
I es úsue	-⌫--⌫--|-|
lo reis podenzc hiepslomorz	-|---|-----|-⌫-|--|-|---|
faisereuiuereagran dhonor encontra	--|-|-------||----⌫|----|-------|
Alquantdelspalmes	------|---|-----|
prendentrame sd elsoliuer s alquantlas branches encontral	-------|----⌫|-⌫--|------⌫|------|--|-------|------|-|
reiquifezlocelissidlo	--|--|--|-|--|----|-|
dilepople s	-|-|-----⌫|
Cantenlig ranelipetit	-----|-|-⌫--||-|----|
Daui ́t fili	----⌫-|---|
P ali s ue stitpalis mantenls	-⌫---⌫|--⌫---|----|-------|
dauantexte nde n ta· sso spe z	-----|----⌫---⌫-⌫||-⌫---⌫|--⌫|
Gra nf ol cs aredregrandau angranepet it	---⌫|-⌫--⌫-|-----|---|---⌫-|---||---⌫-|
Deu uanlauda nt	--|--|-----⌫-|
Ensobretot petizenfa nosa nna semp er	------|--|----|----⌫|---⌫--|----⌫-|
uanclamantAla ciptadcumapr oi smetetel la	--|------||-|-----|--|---⌫--⌫---|-|-|-|
uide·llasgarded deson	--||---|------|-|--|
piu co rgr eu su spiretde ·ssoss anz ol z	--|--⌫|--⌫-|--⌫-----|-|----|-⌫--|--⌫|
fo rt lagr imez	--⌫-|----⌫---|
Hi erussalem	--⌫--------|
Hieru ssalemgai	-----⌫-----|--|
tediselpertosp echet	-|--|-|--|--|-⌫----|
Pensarnonpozpensar	-----|--|--|-----|
no·luol snont	-|-|---⌫|--||
ope rmetto sgranzorgol z	|--⌫---|--⌫|----|-----⌫|
uenr antlianu enrantli diq ue ·ttasaldran	----⌫--|-|-|-⌫-----|-|-|-⌫-|--|-------|
toi in im i ciltotento rntarberiara n eta	--|--⌫--⌫-⌫|-|--|----⌫-||---------⌫|-||
terra cr ebantaran	----|--⌫--------|
Lostos enfanz	--|--|-----|
qui intesuntamalespenas	--|-|-|---||----|----|
auc idront entosbel zm u rsen ta smaisonspedra·ssubr	---⌫-----|-|--|---⌫|-⌫-⌫-|-|--⌫|------|----|-----|
altreno nlaisero nt	----|--⌫|-------⌫-|
Li toicaitiupertotasgenz	-|--|-----|--|----|---|
me nadenerena	--⌫--|-|---||
to rmenzquareut e f iznu · m cognogui stsalu ar	--⌫----|---|-|-⌫|-⌫-|-|-⌫|--------⌫-|----⌫-|
teu ingnu·mreceubis t	-|-⌫--|-|-|--------⌫|
C umchoagditetpercoidaten	-⌫-|--|-|--|-|--------|-|
Deu s emper intret	--|-⌫----|-----|
Losmarcheda ntquae	--|--------⌫-|---|
in·trobed agranddestre itforslosgitez	-|------||----|------⌫-|---|--|----|
Los sostalantt afortmonstred quegrant pauor spres	--|--|-----|-⌫|---|-------|--|----|-----⌫|---|
I udeusdedobplacorda ·lz	-⌫----|-|-----|----|--|
uai firend	--|-----|
totlormarcheduaidesfazen d	--|--|------|--|--------⌫|
ilcho u idrenenz en lor corsgrandane nuie	-|--|-⌫----|--|-|--|---|----|-|-⌫---|
conselzuandemandann ostresenn ior	------|--|-------|-⌫----|----⌫--|
cum t rad iss ant	--|-⌫---⌫---⌫--|
Escarïothals	---------|--|
Iudeusuengra enrebost	-----|-----|-|-----|
Quem endareze ·luos tradrai	--||-|----||-|--|------|
uostrestalenz ade mplirai	------|-----|---⌫------|
Tr enta denersdunc lie npromisdrent	--⌫---|-----|---|-|-⌫|----------|
s o nbo nsenn ior quelo	-⌫-⌫|--⌫|----⌫--|--|-|
S ichera merzuen	-⌫|----|---|--|
Hancnon fudhom quimagisl audis	---|--|--|--|--|----||----|
Etacel diq uedizen	-||--|-|-⌫-|----|
Pas ch es cum	---⌫--⌫-|--|
Iesú so cfaitaelsus	-----⌫|-⌫|----|-|--|
leueddelp iu	----|--|-⌫-|
mani era·ssos fede lslaue dl isped	----⌫-||----|----⌫-|----⌫|-⌫-|--|
Et per lopan	-|--|-|--|
etper lo u infort	-|--|-|-⌫-|---|
saccrament lo rcomma ndezperr emembrar sapassiün	---------|--⌫|-----⌫---|--|-⌫-------|-|-------|
que fairerouaatrestot	--|----|---||------|
Depan e t uinsan cti ficattotso sfidels	-|--|-⌫|--|---⌫---⌫----|--|--⌫|-----|
isac ïetmaisqu e	|---⌫---|---|--⌫|
Escharï oh c ui unasopaenfletlo c or	--------⌫-|-⌫-|--|---|-----|-|-⌫-|
Iu d ascum	--⌫-⌫-|--|
