quipetitseme petitq uialt	--|----|---|----|-⌫----|
etquiau ques	-|--|--⌫---|
recoilli ruia lt	--------⌫|---⌫-|
s a semance	-⌫|------|
qu ef ruit	--⌫|-⌫---|
acent dobl esli	|---|----⌫-|-|
caranterrequirienneuaut	--|-|----|--|---|-|---|
bonesem a nce i	---|---⌫-⌫--||
secheetfa ut	----|-|--⌫-|
cres tienssemeetfetsemance	----⌫----|---|-|--|------|
d unromansqu eil ancom ance	|-|-----|--⌫|-|-----⌫---|
semean sibonl eu	---|-|-|--|-⌫-|
quil nepuetestresanzgrant preu	-|-|-|---|----|---|----|---|
porle plusprodome	--|-|---|------|
qui soitanlempire	--|---|-||-----|
cuensphel i pesdeflandre s	----|----⌫-⌫--|-|-------⌫|
q uimialxualtne fista lixandres	-⌫-|----|---|-|---|-⌫--------|
cilquelandit	--|--|--|--|
mes iep rouera iquelicuens	--|-|-⌫------⌫|--|-|----|
ualtmialzque cistnefis ta s ez	---|----|--|---|-|---⌫|-⌫-⌫-|
uices e ttozles max	----|-⌫|--|--|--|
dontlicue ns	---|-|---⌫-|
est mondes etsax	--|-----|-|--|
licuensesttexque iln escote	-|----|--|--|--|-||-----|
uilain gapnepar ole est ote	-----|--|-|---⌫--|---⌫--|
ets ilotm al dired	-||-|-|-⌫-|---||
qui queil soit ce	---⌫--|-|---|-|
licuens ai nmedroit eiustise	-|----|--⌫--|-----⌫|------|
etleauteet	-|-----|-|
sainteiglise	-----|-----|
et tote u ile niehet	-|---|-⌫---⌫--|--|
p lus la rgesquelanne	-⌫--|--⌫---|--|--|-|
quildoneselonc l euangile	-|-|---|-----||-------|
sanz ypocris ye	---|-------⌫-|
etsanzguile	-|---|----|
quiditnesaiche ta s enestre	--|--|-|-----|-|-⌫------|
le bien quant lefer al a de stre	-|---|----|-|---⌫|-⌫|--⌫---|
cil lesaichequi	--|-|-----|--|
etdexquitoz	-|--|--|--|
le s se grezuoit	--⌫|--⌫---|---|
t otes l es repo stailles	-⌫---|-⌫-|----⌫-------|
q uisontescuersetesantrailles	-⌫-|---|-|----|-|-|---------|
leuagilepor	|------|--|
coidi tele	--|--⌫|--|
tes biensatasenestre cele	--|----||-|-------|---|
las en estreseloncl estoire	-|-⌫--⌫----|-----||------|
senefiela uainnegloir e	------|-|-----|-----⌫|
quiuientd e fau se ypocri sie	--|----|-⌫|---⌫-|------⌫--|
etlad es trequesenefie	-|-|-⌫--⌫--|--|------|
charitequi desa boneoeure	------|--|-|-|---|----|
pas neseuan teencoisla coeure	--|-|-|---⌫-|-----|-|-----|
lese tse cilnon	-|--⌫|-|--|--|
q uidexet ch aritean on	-⌫-|--|-|--⌫----||-⌫-|
dexestcharitezetquiui t	--|--|-------|-|--|--⌫|
anchariteselon cles crit	-|------|-----⌫||--⌫---|
s ainzposloditetiele	-⌫---|--|-|--|-|-|-|
ilmaint andeuetd ex	-|----|-|--|-|-⌫-|
doncs ac hoizbiendeuerite	---|-⌫--⌫---|---|-|-----|
que lidons ontde cha rite	--|-|--|-⌫--|-|---⌫---|
q uelibonscuensf elipes done	-⌫-|-|---|----|-⌫-----|---|
c onques nel ui	|-----|---⌫-|
nanareisone	|-|-------|
fors sonfranccuerledebon er e	---|--|----|---|-|-----⌫--⌫|
quililoe lebienafere	--|-|--|-|---||---|
ne u alt mialzcilqueneualut	-|-⌫--|----|--|--|-|----|
alixandres cui n e chalut	---------|--|-⌫|-----|
decharitene	-|------|-|
de nulbien	-|--|---|
oi l nandotezia derie n	--⌫||-|----|-|-|---⌫|
d oncaura bien	-⌫--|---|---|
sauuesapeinne	----|-|-----|
crestiens qui a ntante tpeinne	--------|--|-⌫----|-⌫|-----|
arimoierle	|------|-|
meillor conte	------|----|
parle c omandement	--|-|-⌫---------|
quisoitcon tez an cortreal	--|---|---⌫--|-|---|---|
ceestlicontesdel	-|--|-|-----|--|
donlic uens	--|-|-⌫---|
li bailleleliure	-|-----|-|----|
comantils a nde l i ure	-----|-||-⌫|--⌫-⌫-⌫--|
cefuau ta nsquarbre fl o ri sse nt	-|-|-|--⌫-|-|----|--⌫-⌫--⌫---⌫-|
feuillentb os chaigep re	--------|-⌫--⌫-----|-⌫-|
u erdis se nt	-⌫-----⌫--⌫-|
etciloisela nlorlatin	-|--|----|-⌫|--|----|
dolcemantchantentaum atin	--------|-------|-|-⌫---|
e t to te riens d e	-⌫|--⌫-|----|-⌫|
ioieanfl ame	---|----⌫--|
quel ifi lza	--|-⌫|--⌫-||
la u euedame	-|-⌫--|---|
dela gaste for estso utainne	-|-|----|---⌫--|--⌫------|
etneli fu painne	-|-|-|-|-----|
que ilsasele nemeist	--|-|-|---|-|----|
so rsonchaceor etpreist	--⌫|--|------|-|-----|
yy iauelozet tot	-|------|-|--|
forsdelmanoirsamereis s i	---|--|-----|-|---|--⌫-⌫|
etpansa que	-|----|--|
ueoiriroit	----|----|
herche or squesamer eauoit	------⌫--⌫|--|-|---⌫|----|
qui ses aueinne sli	--|--|-------⌫|-|
h erchoie nt	-⌫-------⌫-|
buesyyetsishierchesauoient	---|-|-|--|-------|------|
ens ian la	---⌫|-|-|
forests an ant re	-----||-|---⌫-|
et mai ntenant licuers	-|---⌫------|-|----|
delua ntre	--|--⌫---|
porledolztans	--|-|---|---|
etporlechantqueiloi	-|--|-|----|--|-|-|
desoi si ax quiioi efe isoient	--|--⌫--⌫-|--|---⌫|--⌫------|
totesces chosesli ple iso ient	----|--|-----|-|---⌫---⌫---|
porlado lcordeltans serain	--|-|--⌫---|--|---|-----|
osta auchac eorsonfrain	---|-|----⌫--|--|----|
sileleissa alerpeiss ant	-|-|-----|---|-----⌫--|
par l erbe	--||---|
fres cheuerdeant	----⌫--|-------|
etcil quibien la n cier	-|--|--|---|--⌫-⌫---|
desi auelozqueil	--|-⌫-----|--|-|
a loitanuiron lui lancant	-⌫---|------|--|------|
uneo rearriereetaltre auant	--|-⌫-|------|-|----|----|
une oreanb asetaltreanha u t	--|--|-|-⌫-|-|----|-|--⌫-⌫|
tant q uilo i parmile	----⌫-⌫|-|-⌫|----|-|
ueniryyc heualiers	----|-|-⌫--------|
d etotes arme s	-⌫|----|----⌫|
etmoutg rantnoisedemenoi e n t	-|---|-⌫---|----|-------⌫-⌫-⌫|
les armesa ces qui uenoient	--|----||--|--|-------|
car sou ant hurtoientas arme s	--|---⌫--|--------|-|----⌫|
lirain des chasneset descharmes	-|---|--|------|-|--|------|
hauberc fremissoient	------|-----------|
les lancesasesc uz hurtoient	--|-----|-|---⌫-|--------|
s onoitli f uzsonoitli	-⌫----|-|-⌫-|-----|-|
etdes escuz et deshaube rs	-|--|----|-|--|-----⌫-|
li uaslez otetn e	-|-----|-|-|-⌫|
c esqui u ienent plu sque le pas	-⌫-|--|-⌫-----|---⌫|--|-|--|
si s anmeruoilleetditpar	-||-|--------|-|--|--|
uoirmedistm a mere	---|-|---|-⌫|---|
quimedistque dea ble	--|-|---|--|---⌫--|
plusesfre e ́querien delmont	---|-----⌫-⌫|--|---|--|---|
etsidis tp orm oi	-|-|---⌫|-⌫-|-⌫-|
anseignier	---------|
quepora u s doit anseign ier	--|--|-⌫-⌫|---|-|-----⌫--|
mes c estanseing d esdaignerai	--|-⌫--|------|-⌫----------|
q ue iauoir ne m	-⌫-|-|---|-||
anseignerai	-|--------|
einz ferra i sitotle	---|-----⌫|-|--|-|
de s iauelozque ie p ort	--⌫|------|--|-|-⌫--|
quei an a pr ocheront d emoi	--|-⌫||-⌫--⌫-------|-⌫|--|
n usde s altressi co mie croi	-⌫-|--⌫|-----|-|--⌫|-|---|
ensinsaluimeismes dist	-----||--|------|---|
liuaslez e inz quillesue ist	-|-----|-⌫---⌫-|-|--|--⌫--|
etquantillesuiten apert	-|----|-|--|--|-|----|
quedel boisfurentdescouert	--|--|---|-----|--------|
etuitles ha ubers	-|--|--|--⌫----|
etleshiaumescle rs etluisanz	-|--|------|---⌫-|-|------|
etuit leuertet	-|--|-|---|-|
le u er moil	-|-⌫--⌫---|
reluirecontrele	------|-----|-|
l a zur etlarge nt	|-⌫--|-||----⌫-|
fumoutetbel et gent	-|---|-|--|-|---|
lorsdist hasirede x m erci	---|---|-|---|--⌫|-⌫---|
cesontangequeieuo ici	-|---|---|--|-|--⌫|-|
heuoiro raig emoutpechié	-|---|-⌫|-|-⌫|---|------|
ge mo u tmalesploitié	-|--⌫-⌫|--|---------|
quidisquecestoientd ea ble	--|--|--||-------|-⌫--⌫--|
quimedistque li ange estoient	--|-|---|--|-|---|-------|
lesplu s b eleschosesquisoient	--|---⌫|-⌫---|-----|--|-----|
forsdeuqui	---|--|--|
es tplu sbiax quetuit	--⌫|---⌫|---|--|---|
ciuoige damedeuce cuit	-|--|-|------|-|---|
carun si belan iesgart	--|-|-|--|-||-----|
queliautre se	--|-|----|-|
de x m egart	--⌫|-⌫|---|
nontmiedebia ute	|--|--|-|---⌫--|
etsi d istmameremeisme	-|-|-⌫--|-|---|-----|
deucroi r eetaorer	--|----⌫-⌫|-|----|
etso ploieretenorer	-|--⌫-----|-|-----|
etieaoreraicest ui	-|-|------|----⌫-|
altres auoeclui	-----|----|--|
mainte nantuers terre	------⌫---|---|----|
t r est ote s a cre a nc e	-⌫-⌫---⌫--|-⌫|---⌫-⌫--⌫|
et ori sonsque	-|---⌫---|--|
