q uiparoleauroipescheor	-⌫-|-----|-|--|-------|
m ais molt se ti en t apecheor	-⌫--|---|-|--⌫--⌫||------|
quan tdu graal nep uet sauoir	----⌫|-|----|-|-⌫--|-----|
lau erite maisparsauoir	-|-⌫----|---|--|-----|
demandeal roimolt dolcemen t	------|-|--|---|--------⌫|
siliprie has tieueme nt	-|-|---|---⌫-------⌫-|
del graalque il po rteruoit	--|----|--|-|--⌫---|---|
ou uane quion	-|-|-|--|-|
enseru oit	-|----⌫--|
etde lalanc ep orcoisaine	-|-|-|----⌫|-⌫-|--|----|
lidieet sinel is oitpaine	-|--|-|-|-|-⌫|-⌫--|----|
l iroi s li r espont	-⌫|---⌫|-|-⌫-----|
sanzda ngier	---|--⌫----|
amisfaitila pres mengie r	---|---|-|-⌫---|------⌫|
p orrezuo ustelnoue leoir	-⌫----|--⌫-|--|----⌫-|--|
quim oltuous f e raresioi r	--|-⌫--|---|-⌫-⌫-|------⌫|
m a isdugraalne	-⌫-⌫-|-|----|-|
dii epoint	-|-⌫|----|
nede lalance qu ences t	-|-|-|----|-|-|---⌫|
endoie zsauoirlesecre	-|----⌫|-----|-|----|
nauez pasbi en	|---|--|--⌫-|
s er ui agre	-⌫--⌫-||--|
celuipa r cui uousl e sarois	----|--⌫|--|---|-⌫|-----|
dusq ueache que ta ntfaitarois	----⌫-||--|--|--⌫-|---|----|
que lios quedecest eespee	--|-|--⌫--|-|----⌫|----|
q uisam ble es tr eacysel colpee	-⌫-|---⌫--|--⌫--⌫||----|-----|
soi t par uo s mains soldeeetiointe	---⌫|--|--⌫|----|-----|-|-----|
et sachieztantuous en	-|------|---|---|-|
que iene saiencestm ont	--|-|-|--|-|---|-⌫--|
quiiaenpuist	--|-|-|----|
sauoir lasome	-----|-|---|
seuousnonmais	-|---|--|---|
bien uousgardez	---|---|-----|
que parpe chieneleperdez	--|--|--⌫---|-|-|-----|
etseuousmanez	-|-|---|----|
en pe chie	-|--⌫---|
por coiai ez dieu	--|--|--⌫-|---|
c o rre chi é	-⌫-⌫---⌫---⌫-|
confes sezu ouset	------⌫--|-⌫--|-|
etdepech ieuo us d epa rtez	-|-|----⌫-|--⌫-|-⌫---⌫---|
etfaites ur aie	-|-----|--⌫--|
pen i ta nce	---⌫-⌫--⌫--|
etsachiezbiento tsanzdoutance	-|------|---|--⌫|---|-------|
qu ese cha po e z re uenir	--⌫|-|--|--⌫-⌫|--⌫----|
asse z t ost porroit a uenir	----⌫|-⌫--|------|-⌫----|
q uel osqueporri eza salder	-⌫-||----|-----⌫-|-⌫-----|
e tlor s si	-⌫|---⌫|-|
porr ie zdemander	----⌫--⌫|-------|
et delgraaletde lalanc e	-|--|----|-|-|-|----⌫|
etsac hie z bien toutaffi ance	-|---⌫---⌫|---|---|----⌫---|
qua d ontsaurezla	-|-⌫-⌫--|-----|-|
l essecrez etl oeuredeuine	-⌫-|-----|-||----|-----|
perch euaussozpire	-----⌫----|------|
ets apense	-||-----|
p arquel pechiepar	-⌫-|---|-----|--|
quel desfen se	---|------⌫-|
queilne se t dugraalloeure	--|-|-|--⌫|-|----||----|
m aisliro isplusnel	-⌫--|-|--⌫-|---|-||
ende sco eure	-|--⌫---⌫---|
fors quetan tque	---|--|---⌫|--|
i l biensauoi t	-⌫|---|-----⌫|
quelipechiesmolt	--|-|------|---|
desa merequichaimor te	-|-|---|--|---|---⌫-|
alpie delp o nt deuant saporte	-|--|--|-⌫-⌫-|-----|-|----|
quantilde lise	----|-|-|-|-|
etdistdeu ant ce qu	-|---|---⌫--|-|-|
celp echieetautreamendé	--|-⌫----|-|----|------|
serontt otli secre	-----|-⌫-|-|----|
delgraal dite tdescouert	--|----|--|-⌫|--------|
lorsontquatreserianto uert	---|--|-----|------|-⌫---|
l uisdun echambr e s i po rter ent	|--||--⌫|------⌫|-⌫|--⌫----⌫--|
l eroicouchier liautreoste rent	-⌫|--|-------|-|----|----⌫---|
le tableet chequ	-|----|-|--|-|
aos te rfu	|--⌫--⌫|-|
f ait dalez lefu	-⌫--|----|-|-|
moltrichemolt	---|----|---|
bel etmoltgent	--|-|---|---|
de sorun chaalit d	--⌫--|-|------||
mol tsontl i dra pet	---⌫|---|-⌫|---⌫|-|
ri cheetchier	--⌫--|-|----|
percheuausestalezcouchier	---------|--|---|-------|
quant couchiez	----|-------|
fucilsontespars	-|--|---|-----|
quicolch ie ́sontenpluisor spar s	--|-----⌫--⌫|---|-|-------⌫|---⌫|
quassez iotsaleset	-|----||-|----|-|
amienuitu nesorloges	|------|-⌫--|------|
s onentsi cleretsitres	-⌫----|-|---|-|-|---|
queperch e uaustozen	--|-----⌫-⌫---|--|-|
poi estoit e ndormis	--|-----|-⌫------|
s i uit une si grantclarte	-⌫|--|--|-|----|-----|
quen tot leplu sb eliord	-|-|--|-|---⌫|-⌫-|--||
nefait mie	-|---|--|
sicler asch ans	-|---|-|--⌫--|
l or saoi uns si	-⌫--⌫||-|--|-|
l isam ble glo irefine	-⌫|---⌫--|---⌫--|---|
moltlipoiseque sito st fi ne	---|-|----|--|-|--⌫-|--⌫-|
l i ch ansqui tantf upressc ieu s	-⌫|--⌫--|--|---|-⌫|------⌫---⌫|
e tbiauset	-⌫|----|-|
dolsetglorieu s	---|-|-------⌫|
sameredouce	-|---|----|
percheuau siusson chiefrecolce	---------⌫|--|--|----|------|
sia entendueune	-||-------|--|
qui lidiste nhautpartr ois fois	--|-|---|-⌫|---|--|--⌫--|---|
p ercheu ausa toisui tr amis	-⌫------⌫--||--|--|--⌫---|
uaten tdemainbiaus	-||--⌫|-----|----|
le manoir querreoutufu s nez	-|-----|-----|-|-|--⌫|--|
etuostre ser o ra ssene z	-|-----|---⌫-⌫|-⌫-----⌫|
quiest enmaind e s trang egen t	--|--|-|---||-⌫-⌫-----⌫|---⌫|
adieute comantieme nu ais	|---|-|-----|-||-⌫|-⌫--|
a t antsedepartilauois	|-⌫--|-|------|-|---|
etperc heuau spensieus	-|----⌫-----⌫|-------|
qui encorea u r atrauail maint	--|-----|-⌫-⌫-⌫|------|----|
ainz que legra al ma i sreuoie	---|--|-|---⌫-|--⌫-⌫|-----|
tartl ies tquesoitmisauoie	---|-⌫|--⌫|--|---|--||---|
curede l ui	---|-|-⌫-|
ta nt quedu graalpuist ataindre	--⌫-|--|-|----|----|-------|
l auenturedech ie fen c hief	|-------|-|--⌫--⌫|-|-⌫---|
atantrecol che iu slechief	|---|-----⌫--|--⌫|-|----|
end o rmis estal ch ief depose	---⌫-⌫---|--|-|--⌫--|-|---|
de s i al iord ort e t repose	--⌫-⌫|-|--|-⌫--|-⌫|-----|
fuiors si ses uei lla	-|---|-||--⌫---⌫--|
mai sdu remen t sem eruei lla	---⌫|--⌫-----⌫|-|-⌫-----⌫--|
qu il ne uoi t sale	-|-|-|---⌫|---|
mai s desozun flori buisson	---⌫|----|-|----|------|
se trou e e nun desp l u s biauspres	-|----⌫|-⌫|-|--|-⌫-⌫-⌫|----|---|
nestnushomtant desen s	|--|--|--|---|-|---⌫|
t e mprés	-⌫-⌫-----|
quileb iaute uousde uisast	--|-|-⌫----|---|--⌫-----|
delp re i atant nelauisa st	--|-⌫-|-⌫|---|-||-----⌫-|
uneriui erec ortparmi	--|----⌫--|-⌫--|----|
mais onquesparla medemi	---|-----|--||-⌫-|-|-|
noimesparlerdausi	|----|-----||---|
pe r cheuaus s onfrai netsasele	--⌫-⌫------|-⌫-|----⌫|-|-|---|
uoitmiseforment senmerueille	---|---|------||-|--------|
ilm eismes	-|-⌫-----|
t a ntse traueil le	-⌫-⌫-|-|-------⌫-|
arme zet pu i smo nta	----⌫|-|--⌫-⌫|--⌫--|
asoi mei smesraconta	|--|---⌫---|------|
coment faitilcequepuet estre	-----|---|-|-|--|---|----|
ains maisanulhom eterrestre	---|---||--|---⌫|--------|
n au int cecr oi ce	|--⌫--|-|--⌫-|-|
quilm auint	-|-||----|
ie fui e rsoirbienmen	-|--|-⌫----|---||-|
hebergie zparlesa lueor	--------⌫|--|-|--⌫----|
chie sleriche	----⌫|-|----|
roip escheor	--|-⌫------|
etuilegraale tla	-|-|-|----|-⌫|-|
quionques d esain ier	--|-----|-⌫|----⌫--|
n ia uainn e ne i oin te	|||-----⌫|-|-⌫---⌫-|
queiai aiointe	--||-|------|
forsl osque qui est a saude r	---||----|--|--||-----⌫|
de tant iaa	-|---||||
ormesui trouez	-|-|--|-----|
toz seuschi	--|---|--|
bia ussiredieus paruo	---⌫-|---|----|--|-|
car m asenez a	--||-----||
droit euoie	-----⌫|---|
oulemanoir mamere uoie	-|-|-----|-|---|---|
percheuaus faisantsa proiere	---------|------|-|------|
uaitcheualcha nt parle riuiere	---|---------⌫-|--|-|------|
p armileprequitant ert biaus	-⌫---|-|--|--|---|--|----|
murfaitac restiaus	--|---||-⌫-------|
uitdeua ntlu im olt semer ueil le	--|----⌫-|--⌫|-⌫--|-|---⌫----⌫-|
la colordelmurfu uerm eille	-|----|--|--|-|----⌫----|
lunemo itiezet	|--|--⌫----|-|
l au trebl anche	|--⌫--|--⌫----|
quantp ercheuausuitlasa mbla n che	----|-⌫--------|--|-|--⌫----⌫-⌫--|
del mur qui estoitmipa rtis	--|--|--|-----|-|--⌫---|
biendista insquil s en	---|---|-⌫--|-|-||-|
soitparti s	---|-----⌫|
s arasilpuetquelsge ns il	-⌫--||-|---|----|--⌫-|-|
tan tentour al a	---⌫|-----|--⌫|
que ilat r o uéunepor te	--|-||-⌫-⌫-⌫--|--|---⌫-|
percheualreconfort e	--------|---------⌫|
qu ilcuide bien	-|-|----|---|
entrerlaiens	-----|-----|
maisdel entrere s tilnoiens	---|-||-----|-⌫-⌫|-|-----|
car laporteatroue e	--|-|----||-----⌫|
lorshurte et distconli des ferme	---|----|-|---||-|-|---⌫----|
laport em a i snusne	-|----⌫|-⌫-⌫-⌫|--|-|
et n eporquantlad eden sot	-|-⌫--------|-|-⌫----⌫|-|
unemoltgr an de i oiemener	--|---|--⌫--⌫-|-⌫--|----|
mainteestiueioi s oner	-----|-----||-|-⌫---|
org ueneset	---⌫----|-|
harpe s etuieles	-----⌫|-|-----|
tantsont lesmelo d ies	---|---|--|----⌫-⌫--|
et tantdol cesque	-|---|---⌫--|--|
perc heuaus	----⌫-----|
a oublié tre stoz lesmaus	|------|---⌫---|--|---|
quiloteuspuisq ue fu nés	-|-|-|--|---|-⌫-|-|---|
at antrehuce cha ue nez	--⌫--|-----|--|--⌫--|
portelais siezmoi	----|----⌫---|--|
laiensueoir uostre esbanoi	-----|----|-----|------|
mai snusneli respont	---⌫|--|-|-|------|
pa rf oi fai tiloru oi iebie n	--⌫|-⌫-|---⌫|-|-|-⌫-|-|---⌫|
quemonhuchier on tendepit	--|--|------|--⌫|-|----|
mainten antsanspointderespit	-------⌫--|---|----|-|-----|
tr aitleb r ant d	--⌫--|-|-⌫-⌫--||
acier quei lporte	----|--|-⌫|----|
de l pomel	--⌫|----|
f erialaporte	-⌫--||-|----|
mai s altier ccop que il	---⌫|-|----⌫|--|--|-|
sidurem entesclistreettone	-|-----⌫--|--------|-|---|
qu ilsamble	-|-|-----|
quelisieclesfine	--|-|------|---|
lespee quif udac ier	|----|--|-⌫||--⌫--|
l ibriseendeusp iecesp armi	-⌫|----|-|---|-⌫----|-⌫---|
p ercheuau s f or ment se grami	-⌫--------⌫|-⌫--⌫---|-|----|
qu antuoits	--⌫--|---||
espee en deu sbrisiee	----|-|---⌫|------|
estoitbone et	-----|---|-|
gisoit une piece	-----|--|----|
esuou salc h iefdepiece	-|---⌫|-|-⌫-⌫--|-|----|
ho meuen u	--⌫-|---⌫|
blanccomenoif	----|---|---|
et totquenu	-|--|----|
le guichetau n	-|------||-⌫|
percheual uitdefer	--------|--|-|--|
silidistuassal queuolés	-|-|---|-----|--|-----|
qu isi huchi ezetapelez	--⌫|-|-----⌫-|-|-----|
e tanoporte auezhu rté	-⌫||-|----|---|--⌫---|
g ran spechiezuousa eno rté	-⌫---⌫|------|---||---⌫---|
quianoporteauezhuchié	--||-|----|---|------|
ma inta nuiuousaporchac hié	--⌫--|-⌫--|---||-------⌫---|
anemisquiceuousfist fair e	-----|--|-|---|---|----⌫|
uosb ransa	--|-⌫---||
mestierd ere f ai re	------|-⌫|--⌫-⌫--⌫-|
cari e le uoi brisiép arm i	--|-⌫|-|--|------|-⌫---⌫|
set ansen t irs	--|--|--⌫-⌫--|
en auezalongiéuopaine	-|---|-------|-|----|
de ueoi rla lance	-|----⌫|-|----|
graa lsachiezde uoir	----⌫|------|-|---|
n ep orrez	-⌫|-⌫----|
less ecrezsauoir	--|-⌫----|-----|
deua ntque	----⌫-|--|
tant aue rez fait	---|---⌫--|---|
quetout pechieettotm es fait	--|---|-----|-|--|-⌫--⌫---|
u ousest eront t outpard oné	-⌫--|---⌫----|-⌫--|----⌫---|
et pa r confessionlaué	-|--⌫|---------|----|
auec labonerepe ntanche	---|-|---|----⌫------|
etauecf airepenitanche	-|---|-⌫---|---------|
d ontserez quites	-⌫--|----|-----|
de to zmau s	-|--⌫|---⌫|
sirefait per c heuau s	---|---|---⌫-⌫-----⌫|
ou rez uostre	--⌫--|-----|
guichetarriere	------|------|
ieuoiunesigrant	-|--|--|-|----|
laiensluire dedenscel	-----|----|-----|--|
i faitglorieus estre	|---|-------|----|
car chascu nuoi	--|------⌫|--|
de ioierire	-|---|---|
lipreudomli resp ont	-|------|-|----⌫--|
uassalf a it i lplusnenuerrez	-----|-⌫-⌫-|-⌫|---||-|-----|
deuantche qu e	-----|--|--⌫|
cha reuenrez	--|-------|
