quipetit semepetitquielt	--|----|---|----|-----|
aukesreco il liruielt	----|----⌫--⌫--|----|
entielliusa semen ceespand e	-|---|--|-|-----⌫-|------⌫|
cen tdobl elirende	---⌫|----⌫|-|----|
c aren te rre que rienneuaut	-⌫-|-|--⌫--|--|---|-|---|
boneseme nces echee faut	---|----⌫--|-⌫---||---|
christiensse me efait semence	---------|--⌫-||---|------|
du n rom a nzq ui l com ence	|-⌫|---⌫-⌫-|-⌫|-⌫|---⌫---|
esile semeen si bon	|-|-|---|-|-|--|
quil nepute stresanz	-|-|-|--|-⌫---|---|
gra n tpreu	---⌫-⌫|---|
qu i les t f aitzp ourleplusprodhom e	-|-⌫|--⌫|-⌫---|-⌫--|-|---|-------⌫|
quiseit en lempire	--|---|-||-----|
ceo estli quens p he lipes deflandr e s	--|--|-|----|-⌫--⌫----|-|------⌫-⌫|
quiuautmiel zne	--|---|----⌫|-|
f ist alixandre s	-⌫--|---------⌫|
cilq ui lemditquetantfubons	--|-⌫-|--|--|--|---|-|---|
maisieo pr oueraique	---|--|--⌫-----|--|
uautmie l z	---|---⌫-⌫|
que cil nefistassez	--|--|-|---|----|
que cil ou t enliam a ssez	--|--|--⌫|-|-|--⌫-⌫---|
uice s e tuzlesm als	----⌫||--|--|-⌫--|
do nt li quiensest	--⌫-|-|-----|--|
li quie n ses ttielsqu il nescoute	-|----⌫-⌫|--⌫|----|-|-||------|
u ilaingab	-⌫----|--|
esilot diremaldautri	||-|-|---|--||----|
soitceo peiseli	---|--|----|-|
li quien saimedreiteiustise	-|-----⌫|---|-----|------|
elealteeseinte egl ise	|-----||-----|---⌫--|
uil ainiehiet	---⌫----|---|
siestpl uslargesqu ehom ne s ie t	-|--|--⌫-|-----|--⌫|--|-|-⌫--⌫|
cildonesolomleuangile	--|---|----||-------|
sanz ypo crisie e	---|---⌫-----||
sa nz gile	--⌫-|---|
quiditne sa che ta sene st re	--|--|-|--⌫--|-|----⌫--⌫-|
lebienquantlefe rata	-|---|----|-|--⌫-|-|
ci lle sa c h e	--⌫|-|--⌫-⌫-⌫|
ceoest deusquituz	--|--|---|--|--|
le ssecrezueit	--⌫|-----|---|
e s iettotes lesrespostailles	|-⌫--|----|--|------------|
qui sonte lqueo r ees	--|---|-⌫|----⌫||-|
entra illes	-----⌫----|
lasenestre solom lesto ire	-|-------|----||----⌫--|
sig nif iel a	---⌫---⌫-|-⌫|
ue inegloire	--⌫--|-----|
quiuientde fause ypocris i e	--|----|-|----|-------⌫-⌫|
e ladestreques ignifie	|-|-----|--|-⌫------|
chari tequidesa boneo e ue re	-----⌫-|--|-|-|---|-⌫-⌫--⌫-|
pasne sauant ee ncoi slacouer e	--|-||-----⌫|-⌫----⌫|-|-----⌫|
s i quenuls ne l siet	-⌫|--|---|-||---|
quideusecharitez	--|---||-------|
deusest ch aritez equiuit	---|--|--⌫-----||--|--|
en cha rites olom les crit	-|---⌫---|-⌫---||--⌫---|
