seimme peti t queut	-----|----⌫|----|
e q ui auques	|-⌫-|-----|
r ecoillir ueut	-⌫-------|---|
entel leusa	-|--|--|-|
s emenceespa nde	-⌫-----|----⌫--|
ay ydobles	|-⌫|-----|
carenterrequi rienne uaut	--|-|----|--|---|-|---|
boene semencesoicheetfaut	----|------|-----|-|---|
cretiensseimeetfetsemence	-------|----|-|--|------|
dunr o ma nzq u eilencomence	|-|-⌫-⌫--⌫-|-⌫-⌫|-|--------|
e t ille seimeensiboenleu	-⌫|-|-|----|-|-|---|--|
qu i lne puetestresanz gran t	-|-⌫|-|---|----|---|----⌫|
qu ille fet porl em eillor	-|-|-|--|--|-⌫|-⌫-----|
q uil so itenlem pirederome	-⌫--|--⌫-|-||--⌫---|-|---|
cestlicuens	|--|-|----|
felipesdefla ndres	------|-|---⌫----|
q i melzuautnefi talixandre s	-⌫|---|---|-|--⌫|---------⌫|
cilqendi tqu i tant	--||-|--⌫|--⌫|---|
maisiep roueraiquelecuens	---|-|-⌫------|--|-|----|
uautmiauzquecilne	---|----|--|--|-|
queil ot enluiamassez	--|-|-|-|--|------|
to zlesuicesettozlesmax	--⌫|--|----|-|--|--|--|
dontlicuens e stmondesetsax	---|-|----|-⌫-|-----|-|--|
licuenses t	-|----|--⌫|
texqu eil n	--|--⌫|-||
licuensaime droi teiostise	-|----|---|----⌫-|------|
etleautezet sainteyglise	-|------|-|-----|-----|
et tot euilenie	-|---⌫|------|
sestplusla rg es	|--|---|--⌫--⌫-|
queenneset	--|-|-|--|
qu ildone selon c	-|-|---|-----⌫|
l e u a ngile	|-⌫-⌫-⌫----|
s anzypocri sie	-⌫--|------⌫--|
etsan zguile	-|---⌫|----|
sac heta sene str e	---⌫-|-|----⌫---⌫|
lebienq an t le fe rata destre	-|---|-⌫--⌫|-|--⌫-|-|-----|
cillosacheq ui lo	--|-|----|-⌫-|-|
quit o z l es segre z uoit	--|-⌫-⌫|-⌫-|-----⌫|---|
et settotesl es repostailles	-|--|----|-⌫-|-----------|
qu isont escuers etesent rai lles	--⌫|---|-|----|-|-|---⌫---⌫---|
leuangileporqoi	|-------|--|--|
les b ien s	--|-⌫---⌫|
ata sen estrecele	|-|---⌫----|---|
lasene streselonc lestoir e	-|----⌫---|-----||------⌫|
senefiela ueine	------|-|----|
qui uientde	--|----|-|
fause ypo cri sie	----|---⌫---⌫--|
etla destrequesenefi e	-|-|-----|--|------⌫|
charitezquides ebo ene	-------|--|-|-⌫|--⌫--|
pas neseuanteainzcois se cue ur e	--|-|-|----|-------|-|---⌫--⌫|
maisnulsneloset	---|---|-|-|--|
quidex etc har it ezanon	--|--|-|-⌫---⌫--⌫-||--|
dexetc haritez et quiuit	--|-|-⌫------|-|--|--|
encha rites elo ncl escrit	-|---⌫---|-⌫---⌫-||-----|
