quipetitseme petitq u eult	--|----|---|----|-⌫-⌫---|
et q ui auques recue illiruelt	-|-⌫-|-----|-----⌫----|---|
ente l l ieusasemence	-|--⌫|-⌫--|-|------|
quefruit ayydoublesliren de	--|----||-|------|-|---⌫-|
quarenterre q uiriensne	---|-|----|-⌫-|----|-|
bonesemence	---|------|
secheetf aut	----|-|-⌫--|
crest ienssemeet fets eme nce	-----⌫---|---|-|--|-⌫---⌫--|
dunroumanzq ueci enco m mence	|-|------|-⌫-|-|----⌫-⌫----|
etsi lesem een si bonlieu	-|-|-|---⌫|-|-|--|---|
ne pue testr esanzgrantpreu	-|---⌫|----⌫|---|----|---|
qu ille fetpou r le	-|-|-|--|---⌫|-|
plus preu dome	---|----⌫---|
quisoiten lempirede	--|---|-||-----|-|
cestliquensfelippesdeflandres	|--|-|----|-------|-|-------|
quiuaut mielzne fist ali xandr es	--|---|----|-|---|---⌫-----⌫-|
ci ldonte nd itquitantfubon s	--⌫|---|-⌫|-⌫-|--|---|-|---⌫|
mesgeprouu er e queli q uens	--|-|-----⌫--⌫|--|-|-⌫---|
uaultm ielzqu ecil	----|-⌫---|--⌫|--|
nefis tassez	-|---⌫|----|
carcilotenlu iamassez	--|--|-|-|--⌫|------|
tous lesuicesettozl e smaux	---|--|----|-|--|-⌫-⌫|---|
quens estmondesetsaux	----|--|-----|-|---|
liquenses ttiexque ilnedoute	-|----|--⌫|---|--|-|-|----|
neparole estoute	-|-----|------|
et silot mesdire dautrui	-||-|-|------||-----|
soitcepoiselui	---|-|----|--|
liqu ensainmedroiteiostise	-|--⌫--|----|-----|------|
etloiaute etsainteyglise	-|------|-|-----|-----|
ettoute uileinn ie he t	-|----|-------⌫-|--⌫|
sestplusl arges q uelen ne s et	|--|---|-⌫----|-⌫-|--|-|-⌫-|
d onn eselon cleuangil e	-⌫---⌫|-----⌫||-------⌫|
san zyp ocrisie etsanzguile	---⌫|--⌫------|-|---|----|
nesac he tase nes tre	-|---⌫-|-|--⌫---⌫--|
quantlefer a t a destre	----|-|---⌫|-⌫|-----|
le sachequi l erecoit	-|----|--|-⌫|-----|
etqui tou zlessegrezuoit	-|--|---⌫|--|-----|---|
et toutesl e srepostaill e s	-|-----|-⌫-⌫|----------⌫-⌫|
cueret esentrailles	---|-|-|---------|
lpo ur ceditele	|--⌫-|-|--|--|
tonbienat asen estrec ele	--|---||-⌫|---⌫----|-⌫--|
lasenestreselonc l	-|-------|-----||
lauainnegl oir e	-|-----|--⌫---⌫|
quidefausseypocr isie	--|-|-----|-----⌫---|
charite quidesabo neoeure	------|--|-|-|--⌫-|----|
einc oi s la cueure	----⌫--⌫|-|-----|
siquenusne lsoitsecil n on	-|--|--|-||---|-|--|-⌫-|
quietc h aritez anon	--|-|-⌫-⌫-----||--|
dexestchari teze tqu i	--|--|-----⌫--|-⌫|--⌫|
ens elonc lescrit	-|-⌫----||-----|
seintpol ouge leui et lui	----|--|-|-|-|-|-|--|
ilendie u et dieuenlui	-|-|---⌫|-|---|-|--|
doncs achiezbien paruerite	---|-⌫-----|---|--|-----|
qui liso nt decha rite	--|-|--⌫-|-|---⌫---|
quelibo nsquensfelippes	--|-|--⌫-|----|-------|
conquesnu luinen aresone	|-----|--⌫--||-|------|
f orssonfranccue rledebo nere	-⌫--|--|----|---⌫|-|----⌫---|
quili lebiena fere	--|-|-|---||---|
neuautcistmiex	-|---|---|---|
q u eneualut	-⌫-⌫|-|----|
alixandres cui	---------|--|
decharitene de nul	-|------|-|-|--|
oilned o ut ez iaderien	--|-|-⌫-⌫--⌫-|-|-|---|
doncaurabien sauuesap ainne	---|---|---|----|-|-⌫----|
c res tien squi	-⌫---⌫----⌫|--|
en tentet painne	--⌫---|-|-----|
arimo ierloureetlor conte	|----⌫--||---|-|--|----|
parlec omma ndeme nt du	--|-|-⌫----⌫-----⌫-|-|
quisoitcontée n	--|---|-----|-⌫|
c ortroial	-⌫--|----|
ceest licontesdu graal	-|--|-|-----|-|----|
do nclique nslibaillaleliure	--⌫-|-|---⌫-|-|-----|-|----|
oie z c om ment	---⌫|-⌫--⌫---|
il s e ndeliure	-||-⌫|------|
au tensquarbesflo rissent	-|---|-|----|---⌫------|
fue illissentboiset prezu erdissent	---⌫--------|---|-|---|-⌫--------|
etc il oise l	-|-⌫-|----⌫|
en leurlatin	-|---|----|
doucementchantentpar matin	--------|-------|--|----|
ettote riens	-|---|----|
qu elifil z al a ueuedam e	--⌫|-|---⌫||-⌫|---|---⌫|
dela gas teforestsouda ine	-|-|---⌫-|-----|-----⌫--|
se le ua etn elifu paine	-|--⌫-|-|-⌫|-|-|----|
que ilsasele ne meist	--|-|-|---|-|----|
s e ursonc haceeuret p reist	-⌫-⌫-|--|-⌫------|-|-⌫----|
trois i aueloz ett out	----|-⌫-----|-|-⌫--|
forsdelostel l amereoi ssi	---|-||----|-⌫|---|--⌫--|
etpensaque	-|----|--|
ueoiriroit	----|----|
hercee ursquesamereauo it	------⌫--|--|-|---|---⌫-|
quisesa ueinneslihercoient	--|--|-⌫------|-|--------|
bues yy et yyhe rces auoient	---|-|-|-|--⌫---|------|
einsienlaforestsen	----|-|-|-----||-|
etmaintenantle	-|---------|-|
cue rd u uen tre	---⌫|-⌫|---⌫--|
pourl edouz t en sli esioi	---|-⌫|---|-⌫--⌫|-|----|
etpourlechantq ue iloi	-|---|-|----|-⌫-|-|-|
des o isiauxque i oi efes oie nt	--|-⌫-----|--|-⌫--⌫|---⌫---⌫-|
tote s c eschosesli plesoi ent	----⌫|-⌫-|-----|-|------⌫--|
porla douceurdu tensser ain	--|-|------|-|---|---⌫--|
ost aauc hac eeu rlefr ein	---⌫|-|-⌫---⌫---⌫|-|--⌫--|
silelessa aler pensant	-|-|----|---|------|
erbefresch euerdoian t	---|------⌫|--------⌫|
et i lquibien la nc ier sauoit	-|-⌫|--|---|--⌫--⌫--|-----|
d esiauelozque il portoit	-⌫-|------|--|-|------|
aloitdenuiron	----||------|
luilancant	--|------|
unehoreari ereautreauant	--|---|---⌫--|----|----|
bas et autrehaut	--|-|----|---|
tantqu iloipa rmil e gaut	-----|-|-|--⌫--|-⌫|---|
cheualiers armez	---------|----|
detote s armesaces mez	-|----⌫|----|----⌫--|
etmoutgrantnoisedemeno ient	-|---|----|----|------⌫---|
lesa rmesdec eusqu iuenoient	--|-⌫---|-|-⌫--|--⌫|-------|
quiso uant hurtoientasarmes	--|--⌫---|--------|-|----|
li raindes chesnes	-|---|--|------|
e tt u itlih auberc fremissoient	-⌫|-⌫-⌫-|-|-⌫-----|-----------|
les lances ausescuzhurtoient	--|-----|--|----|--------|
s on el ifuzsone li fe rs	-⌫--⌫|-⌫|--|---|-|--⌫-|
etdes escuzet des	-|--|----|-|--|
l iuallezot etneu oitpas	-⌫|-----|-|-|-|-⌫--|--|
ceusquimoue nt plusquelepas	---|--|----⌫-|---|--|-|--|
si semerueille etdit parm	-|-|--------|-|--|--||
uoi r medistma meremadame	---⌫|-|---|-|---|-|---|
qui medist	--|-|---|
q ued eables sont	-⌫-|-⌫-----|---|
p lusesf raéque	-⌫--|---⌫---|--|
riens dumont	----|-|---|
etsidistpour moienseingnier	-|-|---|---|--|----------|
que porelsse	--|--|--|-|
doit enseingn ier	---|-|------⌫--|
