quitoutesestoient dargent	--|-----|-------||-----|
dellitnulefablenefaz	--|--|---|----|-|--|
qara chas cunde s entrelaz	--||----⌫--|--⌫|-------|
unqanpenele pendu e	-|--------|-----⌫|
desorlelit ot est en due	----|-|--|-|---⌫--⌫--|
un egrant co uste de samit	--⌫|----|--⌫---|-|----|
a chascundespecousdellit	|------|--|-----|--|--|
ot.i. escha rbouclef erme2	-|--|-----⌫------|-⌫----|
qui re nd oient	--|--⌫--⌫----|
comme.iiii.cierges es pri s	----|-----|------|--⌫---⌫|
liliz fusorqoc hezasis	-|--|-|--|---⌫--|---|
quitmoltrechi gnoi en t lorio ues	---|---|-----⌫----⌫--⌫|--|--⌫--|
etliqochez sus.iiiroues	-|-|-----|--|---|----|
si i snellesets imouuanz	-|-⌫------|-|-⌫|------|
qu.i .s oldoitpartot	-|--⌫|-⌫-|---|--|--|
delunchief i u sqa lautrealast	-||-|----|-⌫-⌫-|||----|----|
li lizqui . i.poi lebout ast	-|--|--|-⌫-|--|-|----⌫--|
tiexfulilizquiconte	---|-|-|--|--|----|
fezneniert iames	--|-||---|----|
e t futouzcouerzli	-⌫|-|---|-----|-|
depoillesqueuosmen	-|------|--|--|--|
trestouzourez d oret desoi e	-------|----||-|-|-|---⌫|
f urent lesmesieres	-⌫----|--|-------|
elchiefdesus	-|----|----|
auoituerrieres	----|--------|
siriches quigard e i p re ist	-|-----|--|----⌫||-⌫--⌫--|
quepa rm ileuoireueist	--|--⌫--⌫|-|----|----|
q uiparmi laportepassoi e nt	-⌫-|----|-|----|------⌫-⌫-|
liuoi resfupainz a	-|---⌫--|-|----||
d esplusrichesetdes meillors	-⌫-|---|-----|-|--|-------|
deuisernef aire	------|-|-⌫---|
mes neuoilo rmie	--|-|---|-⌫|--|
ne deuise r	-|------⌫|
totesl e s choses	----|-⌫-⌫|-----|
elpalesotfenestrescloses	-|----|-|--------|-----|
et su s etiuse t ca etla	-|--⌫|-|--|-⌫|-|-|-|
qan tilo t partot	---⌫|-|-⌫|--|--|
e sga r de 2	-⌫---⌫-⌫--⌫|
sa lenotoni erapele2	||-|------⌫-|-----|
etditbiauz	-|--|----|
ostes ieneuoi	----|-|-|--|
ceienz nulec ho se porqoi	-----|---|-⌫--⌫-|--|--|
lipalesfacearedout er	-|----|---||------⌫-|
n i doiebienentrer	||---|---|-----|
etdites qoi	-|----|--|
i entend i stes	|------⌫-⌫---|
qants i fortl e medesfen distes	---|-⌫|---|-⌫|-|------⌫-----|
luenisse uo oi r	|------|--⌫--⌫|
e n cellit	-⌫|--|--|
m euoilieseoir	-⌫|---|-|----|
etreposer.i.s o l	-|------|--|-⌫-⌫|
q ai nzmesneuisiriche	|--⌫-|--|-|-|-|----|
habiausire dex uos engart	-|---|---|--|--|-|---|
qarseuosi a prou chiez	--|-|--||-⌫----⌫----|
del a poiormort morriez	-|-⌫|----|---|------|
quenuscheualier s moris tonques	--|--|---------⌫|-----⌫|-----|
ostesetqe ferai	----|-|-|----|
iedon qe s	-|---⌫--⌫|
ceuos d iraigi e	-|--|-⌫---|--⌫|
qantsiuosuoi e ncorag ie2	---|-|--|--|-⌫------⌫--|
deuostreuiedegerpir	-|-----|--|-------|
qantuos deuste sci uenir	---|--|------⌫|-|----|
uosdem ande amonostel	--|---⌫---||--|----|
.i. don mesneseustesquel	--|--|--|-|------|---|
or uosuoil	-|--|---|
ie le donreqerre	-|-|--|------|
queuosrail liezenuostreterre	--|--|----⌫---|-|-----|----|
sicontereza uozamis	-|-------||--|---|
e taugenzdeu ostr e	-⌫|-|---|-|-⌫----⌫|
quntelpalesueuauez515	|-|--|----|--|------|
que nulsiric he	--|--|-|---⌫-|
neuosneautrene leset	-|--|-|----|-|-|--|
dontd iraiie qe	---|-⌫---|-|-|
dexme het 513	--|-|---⌫--|
et queiesuihoniz	-|--|-|--|----|
oste il m esemble	---|-|-⌫|-----|
queuosledites por monb	--|--|-|----|--|--||
fene s t re quisontci	----⌫-⌫-⌫-|--|---|-|
mielzfair e	----|----⌫|
ueroiz nule	-----|---|
pu cellesdont uos	--⌫-----|---|--|
ausit uosenralez	----|--|-|----|
iestes515uenuz eien s	--------|----|----⌫|
estil noien z	--|-|-----⌫|
u ostreoe spor nul erien	-⌫----|--⌫|--|---⌫|---|
uoien t516or endroitb ien	-----⌫---|--⌫------|-⌫--|
f enestresuerrines	-⌫-------|-------|
pucellese tles	-------|-⌫|--|
me schine s	--⌫------⌫|
dame sse deumegart	----⌫|-|--|-|---|
c han br esdautrep art	-⌫---⌫--⌫-||----|-⌫--|
etmi ss ire.G.	-|--⌫|-⌫--|--|
m eserre ie aumains	-⌫|----|-|-|----|
les+pucelles	---|-------|
fai z es tredeust	---⌫|--⌫--|----|
cenonquili geust	-|--|--|-|----|
homeouha utedame	---|-|--⌫--|---|
serraiiaparm	-----|-|--||
men doieauenir	|-|---|-----|
qui lne lep uet	-|-⌫|-|-|-⌫--|
lapa role ester	-|--⌫---|----|
miearester	--|------|
tantque illeuoi e	---|--|-|-|---⌫|
isthorsettie ntsauo ie	--|---|-|---⌫-|-|--⌫-|
si re deuostremort	--⌫-|-|-----|---|
ui eet poi semolt fort	--⌫|-|---⌫-|---|---|
cheualiernesisis t	--------|-|-|---⌫|
litqu il im oresist	--|-|-||-⌫------|
estl ilizdela merue ille	--|-⌫|--|-|-|-----⌫---|
ne dortne ne someill e	-|---|-|-|-------⌫|
repo s e nenes iet	----⌫-⌫|-|-|-⌫--|
qan t par amorne p ar ten con	---⌫|--|---|-|-⌫-|---⌫--|
ne uosen p uismener deci	-|--|-|-⌫--|----|-|-|
dex aitd euostreame merci	--|--|-⌫|-----|--|----|
carmisc uersneporroitsoufr i r	--|--|-⌫---|-|------|-----⌫-⌫|
uos u eisse	--|-⌫----|
ta ntdu fortpaless enist	--⌫-|-|---|----||-|--|
etmissire.G.sasist	-|--|---|--||----|
si otasonco l	-|-||--|--⌫|
las eoirqeil fet	|--⌫---|-|-|--|
