etmo utgrantnoise demen oient	-|--⌫-|----|----|-----⌫----|
lesarmes ac eus quiue noien t	--|----||-⌫--|--|--⌫-----⌫|
fuisonnoi tli	--|------⌫|-|
etd esescuzetdesh aubers	-|-⌫-|----|-|--|-⌫-----|
liuallezoitetneuoitpas	-|-----|--|-|-|---|--|
uiennentplus q ue l epa s	-------|---|-⌫-|-⌫|--⌫|
si sen merueill e etdistpa rma me	-||-|--------⌫|-|---|--⌫||-⌫-|
uoirmedistma merem a dame	---|-|---|-|---|-⌫|---|
quime distque deables sont	--|-|---|--|------|---|
les pluseffreezrie ns	--|---|------|---⌫-|
etsidistpourmoi enseignier	-|-|---|---|--|---------|
quepoureuls	--|---|---|
se doi tlen sei gnier	-|---⌫|--|---⌫----|
mescestensa ing nedaignerai	--|---|----⌫--|-|--------|
queia uoirne m en sei g nera i	--|-|---|-||-|---⌫-⌫----⌫|
ainz fe rrai sitostlop lusfort	---|--⌫---|-|---|-|-⌫--|---|
dund esiauelozq uegepo rt	|-|-⌫-|------|-⌫-|-|--⌫-|
napr oche rauersmoi	|---⌫----⌫-|---|--|
nulsdes autressicomie	---|--|-----|-|--|-|
t outce alui me is mes dist	-⌫--|-||--|--⌫--⌫--|---|
liuallez ainzqu	-|-----|-----|
mesquant il les	--|----|-|--|
uiten aper t	--|-|----⌫|
furentdescouuert	-----|---------|
siuitlesha ub ersfre mianz	-|--|--|--⌫--⌫--|---⌫----|
lan cesroide s	---⌫--|-----⌫|
trench a nz	------⌫-⌫-|
et les hia umes	-|--|---⌫---|
etles escuz	-|--|----|
queonquesm esnau oi tueuz	--|-----|-⌫-||--⌫--⌫|---|
siui tl euer t etleuermei ll	-|--⌫|-⌫|---⌫|-|-|------⌫-|
re l uire contre le	--⌫-⌫---|-----|-|
etloretlazuret	-||-|-||---|-|
etbel et gent	-|--|-|---|
etdistsire	-|---|---|
die xmerci	---⌫|----|
c esont angelesque geu oi	-⌫|---|------|--|-|-⌫-|
or aigemoutmal e sploitié	-|-|-|---|--|-⌫--------|
quid is quecestoientdea bles	--|-⌫-|--||-------|---⌫---|
mamereneme	-|---|-|-|
d ist p a sfables	-⌫--|-⌫-⌫|-----|
quimedist qu e li	--|-|---|--⌫|-|
angel e es toien t	-----⌫|--⌫-----⌫|
l esplusbeles choses qui soient	-⌫-|---|----|-----|--|-----|
forsdieuqui est	---|---|--|--|
pl usbelque tuit	--⌫-|--|--|---|
geihesuc e cu it	-|----|-⌫|--⌫-|
etsi d istpourai	-|-|-⌫--|---|-|
o ienseignier	-⌫|---------|
doit len seignier	---|--|-------|
etdoi tlen die ucroire et	-|---⌫|--|---⌫|-----|-|
etsouploier et	-|--------|-|
honno urer	-----⌫---|
etgeaourerai	-|-|-------|
ettouz les	-|---|--|
autres auueclui	-----|----|--|
mai ntenantu ersterre se lance	---⌫------|-⌫--|----|-|----|
sea dit toutes acre a nce	-||--|----|-⌫|---⌫-⌫--|
etouroi sonsque ils auo it	-|-----⌫---|--|-|-⌫---⌫-|
que s a m ereapris liauo it	--|-⌫|-⌫--|----|-|---⌫-|
etlemestredes cheualiers	-|-|-----|--|---------|
le uoit lorsdist	-|---|---|---|
quat erreestdepaor	-||-⌫---|--|-|---|
ci suallezqui nous aueus	--⌫|-----|--|---||---|
senousal ionstouz	-|---|--⌫---|---|
uerslu iil	---|--⌫|-|
sigrantpaourqueil	-|----|----|--|-|
ne resp ondreneno usporroit	-|----⌫----|-|--⌫-|------|
arie nsque	|---⌫-|--|
ge lide mandai sse	-|-|--⌫------⌫--|
arrestentetc ils en passe	--------|-|-⌫-||-|----|
uers le ualletg rant aleure	---|-|-----|-⌫---|-----|
salu e etl	----⌫|-||
etdis tuallet n aiezpaour	-|---⌫|-----||---|----|
n onaigep ar lesauue oour	-⌫-|-|-|-⌫-|-|-----⌫---|
uallete ncuigecroi	-----|-⌫|--|-|---|
n estesuous diex nenil parf oi	|----|---|---|----|--|-⌫-|
quieste suous	--|----⌫|---|
onc mescheualierne	--|--|--------|-|
fetlegalo isnenulnenui	--|-|----⌫-|-|--||-|-|
n onques m esparler	|-----|-⌫-|-----|
mesuousestesplusbiaxque	--|---|----|---|---|--|
quarfussegeo re itex	---|----|-|-⌫-|---|
aussil u isanteta ussi f et	----|-⌫-⌫----|-|-⌫---|-⌫-|
a cemot pre s	|-|--|---⌫|
lecheual ie r	-|------⌫--⌫|
silidema nde	-|-|----⌫--|
ueistesuou sen	------|---⌫|-|
ceste lande	----|----|
yycheualiersettrois puc el es	-|---------|-|----|---⌫--⌫-|
