kipetitsemmepetitque lt	-|----|----|----|---⌫-|
etq uiauquesrequ eilliru e l t	-|-⌫-|-----|----⌫-----|-⌫-⌫-⌫|
entelliu sasemen ce	-|--|--|-|-----⌫-|
ac ent d oublesli	|-⌫--|-⌫-----|-|
carent errequ iriens ne ual t	--|-|-⌫---|--⌫|----|-|---⌫|
bo nesemence seche ifaut	--⌫-|------|----||---|
crestiens semmeetfait semenc e	--------|----|-|---|------⌫|
d unro mansqueil encomen ce	|-|--⌫---|--|-|-------⌫-|
semeensibonle u	---|-|-|--|--⌫|
puetsa nzgrantpr e u	---|--⌫-|----|--⌫-⌫|
qui l le faitporlep lus	-|-⌫|-|---|--|-|-⌫--|
quisoitenlempire	--|---|-||-----|
li quen sphelipe sdefla ndre s	-|----⌫|-------⌫|-|---⌫----⌫|
mix nefistalixan dres	--|-|---|------⌫---|
cilquelen d ist	--|--|--|-⌫--|
quifusibuens	--|-|-|----|
maisie proueraiqu eliq uen s	---|-|-------|--⌫|-|-⌫---⌫|
ualtmi xquei ln efistasse z	---|--⌫|--|-⌫|-⌫|---|----⌫|
carcilo tenl u iamassez	--|--|-⌫|-|-⌫-⌫|------|
tozles uisces	--|--|-----|
dontliquens	---|-|----|
est mondesets aus	--|-----|-|-⌫--|
liquensestteus	-|----|--|---|
queiln escoute	--|-||------|
uilainneparole estoute	-----|-|-----|------|
ets ilotm es di r e dautrui	-||-|-|-⌫--⌫--⌫-⌫||-----|
quelsqueilsoitcepo iselu i	----|--|-|---|-|--⌫--|--⌫|
liquensaimedro i teiustise	-|----|---|---⌫-⌫-|------|
etloiaute etsainte eg lise	-|------|-|-----|--⌫---|
uilon niehet	-----⌫--|--|
largesquelensi neset	-----|--|--|-|-|--|
qu ildoneseloncleuan gille	-|-|---|-----||----⌫----|
sanz ypocr isie et s a nz	---|-----⌫---|-|-⌫-⌫-|
qu eldistne sa cheta	-|-|---|-|--⌫--|-|
lesbiens quant lesta destre	--|----|----|--|-|-----|
cillesachequi lesrecoit	--|-|----|--|--|-----|
etdiexqui toz les secrez	-|---|--|--|--|-----|
etsetto teslesre postail les	-|--|--⌫--|--|--⌫-------⌫--|
qu ison te s	--⌫|---⌫|-⌫|
c uerse t es ent railles	-⌫---|-⌫|-|---⌫------|
leuangilleporc hedistele	|--------|--|-⌫-|---|--|
les biensatase nest re	--|----||-|--⌫----⌫-|
l e senestreseloncl e stoire	-⌫|-------|-----||-⌫-----|
senefiela uaine	------|-|----|
q ui uien td e	-⌫-|----⌫|-⌫|
uai neyp o crisie	---⌫-|--⌫-⌫-----|
e tl adestreq ue senefie	-⌫|-⌫|-----|-⌫-|------|
caritequiuientdeboneoeure	-----|--|----|-|---|----|
pasne seu antean coiss e	--|-|-|-⌫---|--⌫---|-⌫|
si que neleset	-|--|-|-|--|
quidiex et car itezanon	--|---|-|---⌫---||--|
diexestcaritezetqui	---|--|------|-|--|
cetesmoigneselonc l escrit	-|--------|-----||-----|
sai nzpols etdist sicomi e	---⌫-|---|-|---|-|--|-⌫|
ilmai nten dieu	-|---⌫-|-|---|
etdiexen li	-|---|-|-|
dontsa chiezbien	---|--⌫----|---|
que lid on sont de carite	--|-|-⌫-|---|-|-----|
quepl usa libo ns	--|--⌫-||-|--⌫-|
cuersplusdone	----|---|---|
onq uesnuluiniaraisonn e	---⌫--|----|||--------⌫|
forsso nbon	---|--⌫|--|
cu erledebonaire	--⌫-|-|--------|
qui li loelebi en a	--|-|--|-|--⌫-||
ne ualt cilm ixquene	-|---|--|-⌫-|--|-|
alixandres cuine	---------|--|-|
de carite n ede	-|-----|-⌫|-|
oil nen doutezi a	--||-|-----|-⌫|
dontaurabien saluesapaine	---|---|---|----|-|----|
crest iensquiatantde paine	-----⌫---|--||---|-|----|
p arlec omandeme ntle conte	-⌫-|-|-⌫--------⌫-|-|----|
arimoierl e meillor conte	|------|-⌫|------|----|
qui soitco ntezacortroial	--|---|--⌫---||---|----|
cees tlicontesdelgraa l	-|--⌫|-|-----|--|----⌫|
dont li q uensli b ail lale liure	---|-|-⌫---|-|-⌫---⌫-|-|----|
oe z comentils	--⌫|-----|-||
en deliure	-|------|
cefuaut ans qu arbre foil l issent	-|-|-|-⌫--|-|----|----⌫-⌫-----|
que glaietboiset preuerdissent	--|---|-|---|-|--|---------|
etciloisel	-|--|----|
en lorlatin	-|--|----|
ca ntentdoucem ent aumatin	--⌫----|------⌫--|-|----|
ettoteriens de io ie af lam me	-|---|----|-|--⌫-|--⌫---⌫-|
que l ifixa	--|-⌫|--||
laueue fa me	-|---|--⌫-|
de lagaste	-|-|----|
fo restso utaine	--⌫---|--⌫-----|
s eleuaet neli fu	-⌫|---|-|-|-|-|
que ilsa s elen e meis t	--|-|-|-⌫--|-⌫|----⌫|
chach eoretpreist	-----⌫--|-|-----|
troisgauelos ettout is si	----|------|-|---|--⌫-|
f orsde l manoirsa m ereissi	-⌫--|--⌫|-----|-|-⌫--|---|
ilpensaqueueoir	-|----|--|----|
herceors q u e sa mereauoit	-------|-⌫-⌫|-|---|----|
quisesauaines lisemoient	--|--|------|-|-------|
etsisherces auoient	-|--|-----|------|
en s ienla for es tsenentre	--⌫-⌫|-|-|---⌫--⌫||-|----|
etmaintenantlicuers del	-|---------|-|----|--|
porle dolctanslir esioi	--|-|---|---|-|-⌫----|
et porle chant	-|--|-|----|
des oisiax quiioiefaisoient	--|-----|--|---|--------|
toutesces choses li	-----|--|-----|-|
plaisoient	---------|
porla doucordeltans	--|-|-----|--|---|
os taauchaceorlefrain	--⌫-|-|------|-|----|
sil elaissaalerpa issant	-|-⌫|-----|---|--⌫-----|
parl erbe fr esche	--||---|--⌫----|
ue rdoia n t	--⌫-----⌫-⌫|
etc il q uibi en	-|-⌫-|-⌫-|--⌫-|
la nciersa uoit	--⌫----|--⌫---|
desgau el osque ilauoit	--|---⌫--⌫-|--|-|----|
al oit enuironluil anchant	--⌫--|------|--|-⌫------|
uneeurelautreauant	--|---||----|----|
un e eu reba set au trehaut	--⌫|--⌫-|--⌫|-|--⌫--|---|
tantquil oi	-----|-|-|
parmileg a ut	----|-|-⌫-⌫-|
ue nir cinccheuali ers ar mez	--⌫--|---|-------⌫--|--⌫--|
de tote sarme sadoubez	-|----⌫|----⌫|------|
et mo ltgran tnoised emenoient	-|--⌫-|----⌫|----|-⌫--------|
les arme sdeciax qu iuenoie nt	--|----⌫|-|---|--⌫|------⌫-|
qu isouenthurtelentas arbres	--⌫|-----|--------|-|-----|
deschaines etde sc a rne s	--|------|-|--⌫|-⌫-⌫---⌫|
et to utliarbref res teloient	-|--⌫-|-|----|-⌫---⌫-------|
lesl ancesasescush urto ient	--|-⌫----|-|----|-⌫----⌫---|
sonent lifus t	-----|-|---⌫|
so neli fers	--⌫-|-|---|
e tde sescuset deshaubers	-⌫|--⌫|----|-|--|------|
liuallesoit etneu o it	-|-----|--|-|-|-⌫-⌫-|
ciaxqu iue rs luiuienen tle pas	---|--⌫|--⌫-|--|------⌫|-|--|
moltse merueille etdist p ar	---|-|--------|-|---|-⌫-|
uo ir sedis t ma	--⌫-|-|---⌫|-|
merema dame	---|-|---|
quimedi st que deable sont	--|-|--⌫-|--|-----|---|
lespluslaides choses	--|---|-----|-----|
etsidist pormoi enseingnier	-|-|---|--|--|----------|
que poraus	--|--|--|
mais cestensaing desdaignerai	---|---|------|-----------|
queia uoirnemenseigne rai	--|-|---|-||-|------⌫--|
a in sferra is i totle plusfort	-⌫--⌫|-----⌫|-⌫|--|-|---|---|
desga uelosque	--|--⌫----|--|
que ianaproc hera uersmoi	--|-||-----⌫---|---|--|
autressi c omie	-----|-|-⌫-|-|
ein s iasoimei smedist	---⌫-⌫||--|---⌫--|---|
liuallesainsqu	-|-----|-----|
il lesueist	-|--|----|
illesuite n apert	-|--|--|-⌫|----|
quedu boisf urentdesc ouert	--|-|---|-⌫----|----⌫----|
ha ubers fremians	--⌫----|-------|
etleselme s	-|--|----⌫|
cl erset luisans	--⌫--|-|------|
blancet leu ermeil	----|-|-|-⌫-----|
reluire contrele	------|-----|-|
or et la zur et largent	-|-||-⌫--|-||-----|
si lifumoltbeletmo lt gent	-|-|-|---|--|-|--⌫-|---|
et dist hasiredie xmerchi	-|---|-|---|---⌫|-----|
ce s o nt angle	-|-⌫-⌫-|----|
queieuoi chi	--|-|--|--|
etuo i roraii emol tpechié	-|--⌫-⌫|-|-|-⌫|---⌫|------|
ie m olt mal esploitié	-|-⌫--|--|---------|
quidis queces toient deable	--|--|--||--⌫-----|-----|
ne med ist pas mame refable	-|-|-⌫--|--|-|--⌫-|----|
qui medist queli angleestoie nt	--|-|---|--|-|----|------⌫-|
lesplusbeleschosesquisoient	--|---|----|-----|--|-----|
f orsd iexquiestplus biaxq ue t uit	-⌫--|-⌫--|--|--|---|---|-⌫-|-⌫--|
chiuoi i e damedi eu c equit	--|--|-⌫|------⌫-|-⌫|---|
qu e liautre	--⌫|-|----|
sedie x m e ga rt	-|---⌫|-⌫|--⌫-|
nontmiedebiaute ladisme	|--|--|-|-----|-|----|
cemedistma mere meisme	-|-|---|-|---|-----|
qu en doi tdie u sor toz aorer	-|-|---⌫|---⌫|--|--|----|
etsuppliier et honor er	-|--------|-|-----⌫-|
et ieces tui	-|-|---⌫--|
ettoz lesang les	-|--|--|---⌫--|
m aintenan t ue rsterre se lance	-⌫--------⌫|--⌫-|----|-|----|
etdisttrestoutesacreance	-|---|--------|-|------|
etoroi son s	-|----⌫---⌫|
queilsauoit	--|-|-----|
qu e samere apris liauoit	--⌫|-|---|----|-|----|
e t limaistr esdes cheualiers	-⌫|-|------⌫-|--|---------|
le uoitet d iste stezarriers	-|---|-|-⌫--|-⌫---|------|
depaor cheus	-|---|----|
unsual lesqui n os a ueus	--|---⌫--|--|-⌫-||---|
se nos alionstuitensamble	-|--|-----|---|-------|
uersluiilaro itcemesamble	---|--|-|---⌫-|-|-|-----|
sigrant paorqueil mo rr oit	-|----|---|--|-|--⌫--⌫--|
ne resp o ndrenemeporroit	-|----⌫-⌫---|-|-|------|
arienque ieli demand aisse	|---|--|-|-|------⌫----|
ci ls arestentetilsen passe	--⌫||-------|-|-||-|----|
uersleuallet	---|-|-----|
grantaleure	----|-----|
et asseure	-|------|
e tdistuallet n	-⌫|---|-----||
nonai iepar	--|-|-|--|
lesa lueor	-|--⌫----|
fait li ual lesencuiie croi	---|-|---⌫--|-|--|-|---|
n ie ste s	|--⌫---⌫|
uos di exn aie pa rfoi	--|--⌫-|-⌫--|--⌫|--|
qui est esdontcheualierssui	--|---⌫-|---|---------|--|
aincmaisc heu alierne	---|---|-⌫---⌫----|-|
uallesn enul	-----|-⌫|--|
n onques m aisp ar ler nenoi	|-----|-⌫--|-⌫--⌫--||-|-|
maisuosestesp lusbia xque	---|--|----|-⌫--|---⌫|--|
corfuisseieore	--|-----|-|--|
