Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
E tla batailleor ibl eeuAl isca ns	-⌫|-|-------|--⌫---⌫|-|--⌫----⌫-|
Li qu ens Guillaum es	-|--⌫--|--------⌫-|
isoufr igransahans.	|-----⌫|----|-----|
f eril iPa l asins	-⌫--|-⌫|--⌫-⌫----|
G audins liBrun setGui charsliai daus	-⌫-----|-|----⌫|-|---⌫----|-|--⌫---|
Et Guiëlin set lipreus Gui u emans	-|--------⌫|-|-|----|---⌫-⌫----|
Girars de Blai u esGau tiersliTol osans	-----|-|----⌫-⌫-|---⌫----|-|---⌫----|
H unaus deSaiutes etHuës	-⌫----|-|------|-|----|
d eMelans .	-⌫|------⌫|
Sor tos les	--|--|--|
autr es siaid auiuians	----⌫-|||---⌫|------|
Eu.xxx.leus	-|----|---|
furousse siaserans	-|---|--⌫|-------|
Sones cufretetsesheaumes	--|--⌫-|---|-|--|------|
Eucon tre terrelifu aualp endaus.	-----⌫--|----|-|-||--|-⌫------|
.uii.plaies otpar miande usl es fia us	----|-----|-|--|-|----⌫-|-⌫-|---⌫-|
De la m enorfustm ors uns	-|-|-⌫---|---|-⌫--|--|
Mol taochisde Turset dePersan s	---⌫||----|-|---|-|-|------⌫|
Me s ne l imontele pris de	--⌫|-|-⌫|----|-|---|-|
.ii. besans	---|-----|
Ca r tanten	--⌫|---|-|
istdes nes etdescha llans	--|--|--|-|--|---⌫----|
Etd es dromous	-|-⌫-|------|
escoisc orans	-----|-⌫----|
Ainc tautnen uitnu s	---|---||-|--|--⌫|
h om ki soituiuans.	-⌫-|-|---|------|
Descusetdarmes	|----|-||----|
estcouersliArchans.	--|-----|-|-------|
Grausfula noisedes	----|-|-|----|--|
cuue rs so du i ans	----⌫-|--⌫--⌫-⌫--|
Licaples fie rs	-|-----|---⌫-|
et lie s torspesans	-|-|-⌫-⌫---|-----|
Deso rlaterrecoroit a ruili	----⌫|-|----|-----||--|-|
LiquensGuillaumes	-|----|---------|
uaitpoiguautparl	---|-------|--||
Sesbransestta insde s anc	--|----|--|--⌫--|-|-⌫--|
etde suour.	-|-|-----|
En mi sauoi e encontreuuaumachour	-|-|-|---⌫|-------|-|--------|
Tel lidou napar misonelme	--|-|---⌫-|--|-|--|---|
D e cielpis	-⌫|-|-|--|
mi stlebrancde	--⌫-|-|----|-|
A pr és rocistPinel lefil Cadour.	-⌫--⌫--|-----|----|-|--|------|
forc eeta uigor	----⌫|-||----|
Maistan tiotde lageut	---|---⌫||-|-|-|---|
Sous c ieln	---|-⌫--||
a homeki u eneüstpa our.	|---|-||-|----|--⌫---|
At anteuosDesramél eursig nour	|-⌫--||--|-------|-⌫--|---⌫---|
Sorlabrahaguekicortdegran tuigor.	--|-|-------|-|---|-|----⌫|-----|
Cilsont ol ui d1n d e	--|---||-⌫-||--⌫-⌫|
Etd ePalerne et	-|-⌫|------|-|
li Estraneor	-|--------|
Ce st une g eu tki uersd ie unaamo r	|-⌫-|--|-⌫--⌫|-|---|-⌫--⌫|||---⌫|
Un esp ielportent parmolt ruistefieror.	-|---⌫--|------|--|---|-----|------|
mai ntgeuti l uauasor	---⌫-|-----⌫|------|
Et aGu illaumelefildesaseror.	-||--⌫------|-|--|-|-|-----|
Eu la g rau t	-|-|-⌫---⌫|
pr esseafetsouen tsontor	--⌫---||--|-----⌫|--|--|
Auois s es crieToutmor rés	|---||--⌫---|---|---⌫---|
Eucui perdraGuil laumessaualor.	----|-----|----⌫-----|-|-----|
Ia de seshom es n	-|-|--|---⌫-||
decest ior.	-|---|---|
Liquens l oïmo lteu ot	-|----||--|--⌫-|-|-|
grantten ror.	----|---⌫---|
Iluoi t moltbienki l	-|---⌫|---|---||-⌫|
eualepior.	-||-|----|
SouentreclaimeIhesulecreator .	-----|-------|----|-|-------⌫|
Li que nsGu illaumesuoitseshomesmorir	-|---⌫-|--⌫-------|---|--|----|----|
Formen t lipoisequ an tnespotg arandir.	------⌫|-|----|--⌫--⌫|--|--|-⌫-------|
uiui e ̈ nkiert	----⌫-⌫-⌫|----|
maisuelepuet ueïr	---|-|-|---|----|
Quan t iluel trueuele	----⌫|-|--|-----|-|
sensq uidemarir.	---|-⌫---|-----|
Parmau talent uaun	--|---⌫-----|-|-|
pa ienf erir	--⌫--|-⌫---|
Iusqu e se spauleslifist le	----|-⌫|-⌫------|-|---|-|
brantsentir .	----|------⌫|
Adontcommen c entSarrasin auenir	----|------⌫-⌫--|-------||----|
ToutAlisc anseu ue ïsçiés cou rir	---|-----⌫--|-|--⌫--------|---⌫--|
Telnoise m ainentlaterrefont fr emir.	--|----|-⌫-----|-|----|---|--⌫----|
Ha r d iëmentuo nt les nosenuaïr.	--⌫-⌫-⌫------|--⌫-|--|--|-------|
Laueïsi ésfier estore sbau di r	-|------⌫--|---|----|-⌫----⌫--⌫|
Ta nthanstefr aindree t	--⌫-|-----|--⌫-----|-⌫|
ta nt escu crossir	--⌫-|---|------|
Ettanthaubercderompreet	-|---|------|-------|-|
Tantpiéta ntp oingtantetestetolir	---|---|--⌫-|-⌫---|----|----|----|
L unmor tsorl	|-|---⌫|--||
autre tre bucieretcha ïr.	----|---⌫-----|-|---⌫---|
Plu s de .xx.m. eu uei ̈siésgesir.	---⌫|-|-----|-|---⌫-----|-----|
Lecripuetoude .ii.lieueso ïr.	-|--|---|-|-|---|-----|-⌫---|
Et ui uiëns se co nbatparpïr	-|--⌫-----|-|--⌫---|--|---|
Deuers lArchantmais p res est	-----||------|---|-⌫--|--|
Parmisesplaies uoit se sboiaus is sir.	--|-|--|-----|---|--⌫|-----|--⌫---|
uiuiënsestenmilieu del Archan t	-------|--|-|-----|-||------⌫|
Etsaboelel i uait delcors	-|-|----|-⌫|---|--|---|
Ases.ii .main s	|--|---⌫|----⌫|
leuaite n s r ebotaut.	-|---|-⌫-⌫|-⌫-------|
Il pristl ens egnede soues pi l t rencant	-|----||---⌫---|-|--|--⌫--⌫|-⌫------|
Parmi les fiauss euua it	--|-|--|----||-|--⌫-|
bienestraignant	---|----------|
Puisserafice	---|-|-----|
dese ursonau fer rant	----⌫-|--|--⌫---⌫---|
Entre paie nsseuaitademetant	----|----⌫-|-|---|--------|
A ubra nc da cier lesuaitmoltdam agaut	-⌫|---⌫-||-⌫---|--|---|---|---⌫----|
Li plus hardisuadeuant	-|---|-----|-|-----|
Droit uerslamerl esenmaineferant.	----|---|-|--|-⌫-|-|----|------|
D un ualli sortlamaisnie Gorhant	|-|--|-|---|-|------|------|
Cest unege nt demolt diuerssamblant	|--|--|--⌫-|-|---|-----|-------|
Totsoutcoruuetder ireetde uaut	--|---|----|-|---⌫--|-|--⌫---|
C hascuns por toit unemachepes ant	-⌫------|---⌫---|--|----|---⌫--|
Totede plo ncetdefer	---|-|---⌫-|-|-|--|
e l tenan t	-⌫|-----⌫|
Detesplonm ee suontl eur	-|--|-----⌫--⌫|---|-⌫--|
bestescachaut.	-----|-------|
.x.m.sontli	----|---|-|
cuuertmescreant.	-----|---------|
Si durem entuont en tr aus glatisant	-|-----⌫--|---|--⌫-|--|--------|
Kel am arine enua toute touuaut .	-|-⌫|-⌫----|-|-|----|-------⌫|
Quantui uiëusu o i t lagentTerua gaut	----|--⌫-----|-⌫-⌫-⌫|-|---|-----⌫---|
De telfac honetde si lait samblant	-|--|---⌫--|-|-|-|---|-------|
noisekeiluoutdemenaut	----|-|-|---|-------|
Si lse nesmaiene men	|-⌫||-⌫|-----|-||-|
uoism er ui llant	---|-⌫--⌫--⌫----|
Ari reto rnelecief	---⌫-|--⌫--|-|---|
delauferrant.	-||---------|
fuïune lanceten an t	---|--|----|---⌫--⌫|
Quant deuantl uiuit un e	----|-----|-⌫-|--|--⌫|
aigecoran t	---|-----⌫|
Dontsot i lbien pas s é ot	---|--|-⌫|---|---⌫-⌫-|-|
conuen ant.	------⌫---|
Ligentix quens sarestut maintenant	-|-----|----||------|---------|
u ers damedieuuaitsacolpecla mant	-⌫--|-------|---|-|----|---⌫---|
Dist uiuiënsPensésdeuousgari r	---|-------|------|-|---|----⌫|
uesdepaienstoteterrecouri r	--|-|-----|---|----|-----⌫|
Sachas cuuco penfaisiés .c. morir	||----⌫--|--⌫|-|-------|--|----|
Ain éoisuerriésun moistota complir.	---⌫----|-------|-|---|--|-⌫-------|
Quilfuss ent mo rt dex	-|-|----⌫--|--⌫-|--|
le s puistm aleïr	--⌫|----|-⌫-----|
Laske u e uoi mo n	--|-|-⌫|--|--⌫|
chie roncl e uenir	----⌫|----⌫|----|
LaFiereBrace quediexp u i stbe n eïr	-|----|----|--|---|-⌫-⌫-⌫-|--⌫-⌫---|
K eSarr asinne p eure ntoncchir ir .	-⌫|----⌫---|-|-⌫----⌫-|--|----⌫--⌫|
Seilestmors tosnosconuientmorir	-|-|--|---|--|--|-------|----|
Carnestnusho mkiuo spuist	--||--|--|--⌫|-|--⌫|----|
F orsdam ediex ki touta a	-⌫--|---⌫----|-|---|||
B ertransl ententsigetauuso u spir	-⌫------||-----|-|---|-|--⌫-⌫---|
Depitiépleure ne sepot	-|-----|-----|-|-|--|
u iu iënssire cedistliquensBertr ans	-⌫--⌫----|---|-|---|-|----|-----⌫--|
Seieuous laiset i e	-|-|---|---|-|-⌫|
me nuoisfuiaus	|-⌫|---|-----|
Honte enaura i etr eprouier	----|-|----⌫|-|-⌫-------|
Nouauré s	--|-----⌫|
sire distui uiënslifrans.	---|---|--⌫-----|-|-----|
Querésmononc l elains en	------|--|---⌫-⌫|-|--|-|
Alisc an s	-----⌫--⌫|
Elgran testoruiles tcomb ata ns	-|----⌫|----||-|--⌫|----⌫---⌫-|
P ordieuliditeskil meso i t	-⌫-|---|-|----||-|-|--⌫-⌫|
secoran s.	-------⌫-|
Nonfe raisire	--|--⌫--|---|
d itliquensBe rtrans.	-⌫-|-|----|--⌫------|
Ne uo sf a udraita nt consoicuiuans.	-|--⌫|-⌫-⌫----|--⌫-|--|---|------|
puist elp oingdurerl ibrans	----|-|-⌫---|----|-⌫|----|
uoss eraiiou se d euplest	--|-⌫---|--|-|-⌫-|----|
bon sgara n s.	---⌫|----⌫-⌫-|
L o rsuont	-⌫-⌫-|---|
fer irand oiesmescreaus	---⌫-|---⌫-|-|--------|
Il leur detr encentles cos teset	-|---|----⌫-----|--|---⌫--|-|
Testes et bras fontuoler	-----|-|---|---|----|
parceschans	--|--|----|
Pai eus uel uoit ne soit es peontans .	---⌫--|--|---|-|---|--⌫--------⌫|
Euos . u.c ontesaesperons brocans	|--|-⌫-|-⌫----||-------|------|
Leurcous infure ntde laterredes Fr an s.	---|----⌫-|----⌫-|-|-|----|--|--⌫--⌫-|
LunsfuG u ic hars	|--|-|-⌫-⌫--⌫---|
etliuail1ans	-|-|-------|
EtGuiëlins qui	-|--------|--|
lescheueusot	--|------|-|
