XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
enkenbelésE tles seriansloie ́setencombrésLes esc rins	----------|-⌫|--|------|----⌫-|-|---------|--|---⌫---|
etles arceson tdeffr e més Les liure set lesdras	-|--|----|--⌫|-----⌫-⌫---|--|-----⌫|-|--|---|
iet ésEtdesorMarch egai t re stous torsé s.Aiols	---⌫--|-|----|-----⌫---|-⌫--⌫----|------⌫-|----|
ca mbre dau t re pa rt	--⌫---||--⌫-⌫-|--⌫-|
sedorm oitlienfesqui	-|----⌫--|-|----|--|
set.Celuinontli	---|----||--|-|
laronmie tro uéSigno rn	----|--|---⌫--|-----⌫||
men çoi n gec	---⌫----⌫-⌫-||
estueritéCil	--|------|--|
cuiD iexueutaidierilest	--|-⌫--|---|-----|-|--|
troué s.Aiolses t esuelliésuit	------⌫-|----|--⌫|---------|--|
leclartéCarli lar on	-|------|--|-|---⌫-|
auoie ntfu aluméLes serg ansont lo i és et	-----⌫-|-|-----|--|----⌫--|--|--⌫-⌫--|-|
enc ombré[s] Si	---⌫--------|-|
aueulesm oines	|--|--|-⌫----|
enkenbelés Les escrins et	----------|--|------|-|
lesarces ui t	--|----|--⌫|
deffreme ́sSie n a	--------⌫-|-|-⌫||
so nceua l ueumenerOr ned emandés mie	--⌫|----⌫|--|----|-|-|-⌫-------|--|
s ilfut irésDameldieureclamademai estéDamesainte	|-|--|----|--------|------|-|---⌫----|---|-----|
Ma rieorsecouré s Semonceuale nmainentmalai esré.	--⌫--|-|--------⌫|-|--|----|-⌫-------|--|-|-----|
dou cheFranchenequirentrerNen e	---⌫--|------|-|---|-----|-|-⌫|
rendrai mo n	------|--⌫|
p eresesiretés.Ilsaillifors del	-⌫--|--|-------|-|-----|---|--|
litsiestleués	--|-|--|-----|
Prèsestoi t d esesarmes	----|-----⌫|-⌫|--|----|
si sestarmésIl	-||--|-----|-|
a lauber c	||-----⌫|
ue stulel mefremé	--⌫--||--⌫-|-----|
Et açaintel espeea soncosté L	-||------||----||--|-----||
escu parles	---|--|--|
enarmesalpisse ré.I lsaut forsd ela	------|-|--|--⌫---|-⌫|---|---|-⌫|-|
cambrealeclarté	-----||-|------|
quilot hauteloracriéSi	-|-|-|----|--||----|-|
lo rsdis t	--⌫-|---⌫|
fierementS ignor	--------|-⌫----|
estésPorqu auésuos ces moines	-----|--|-|----|--|--|-----|
e[n]kenbelésE tcesserians loiés	------------|-⌫|--|------|-----|
etencombrés Cel	-|---------|--|
ce ualsil u os	--⌫--||-|-⌫-|
plaist merenderésuosni aués	-----|-|--------|--|||----|
ca r Dexl e	--⌫|--|-⌫|
set Mesperesleno riquilm	--|--|----|-|--⌫-|---||
auerai s oufraite	-----|-⌫-------|
tolé s.Etrespon di li maistresA uant	-----⌫-|-|------⌫-|-|-------|-⌫---|
uen és Siserésor endroitt ondu set rés	---⌫--|-|-----|-|-|----|-⌫----⌫|-|---|
f er onscoro nealdeseu rerEnsambleauoecce smoines	-⌫--⌫--|----⌫-|-|-----⌫--|-------|----|--⌫|-----|
demo[re]résMatineset com plie	-----------|------|-|---⌫---|
[ si] canterés. Qu antl	-⌫--|---------|--⌫--||
en tendiAiol[s ] mo ltfuirés.Quant	--⌫----|------⌫|--⌫-|-|-----|----|
il ot quemerc hine pot	-|-|--|----⌫-|-|--|
Dieu lesdesfiap argrantfier té Puis a	---|--|-----|-⌫-|----|----⌫--|---||
traite le speequiertasonlés. Si	-----||-⌫---|-|---||--|----|-|
uaitferirlemaist re	---|----|-|-----⌫-|
qu ilotparlerA montp armi le	-|-|-|-----|-⌫---|-⌫-|-|-|
ciefl a encontré Que	---|||--------|--|
l atested elbulifait	-⌫|----|-⌫-|-|-|---|
uolerPuisr eua ferirl	----|---|-⌫--|----||
acoupéEt escrie Monti o iepargrant	|-----|-|-----|-----⌫-⌫-|--|----|
fierté.Fie x a	-------|---⌫||
putainlaronsni du[re ]rés. ChouestAiol sl i enfes	-----|-----|||-----⌫-----|---|--|----⌫|-⌫|----|
aué s t roué Quifun or isel bosq ui	----⌫|-⌫----|--|-|-⌫--⌫-|-|--|-⌫-|
riennesetM ais	---|-|--|-⌫--|
iluauraapr endretout	-|----|---⌫----|---|
chest(i) estéCo mment cheualiers autre	-------|----|--⌫----|---------|----|
doi t encontrerEten ruistebataille armesport er.	---⌫|--------|-|-|-----|-------|----|----⌫--|
estesmor t et pris sem	----|---⌫|-|---|-||
atende ́sIa d euantcheste esp ee ne	------⌫-|-|-⌫----|-----|---⌫-|-|
garir ésA ins	-----⌫--|-⌫--|
