me laisié sporl	-|-------⌫|--||
ameuostre pereSimenir aiar iereen	--|-----|---|-||-|--⌫-|--⌫---|-|
lamoiecontree	-|---|------|
Demain ainseure nonequices trer ecouree.-Par mon	-----|---|---|---|---|--⌫--|-⌫-------||--|--|
ciefdistAiols n	---|---|----||
enirésmieateleOmoiuenrés	-|----|--||---||--|------|
Fra ncheenlate r e	---⌫---|-|-|--⌫-⌫|
honoreeSiserésbaptisieetens ains	------|-|-----|-------|-|-|-⌫---|
fonsleueePuis uous	---|----|---|---|
prendrai afemesi ser és m	-------||---|-|---⌫--||
espous ee.	------⌫--|
Qu an tM irabiauslentent porpoi que n estderuee	--⌫--⌫|-⌫-------||-----|--|--|--||--|-----|
respontlapucel eN ensui p as	------|-|-----⌫||-|--|-⌫-|
porpensee. De ssia molt	---------|--⌫--||---|
gr ant piecheniseraiato rneeIa la	--⌫--|-----|||----|---⌫---|-|-|
loi Maho met nertpa r	--|----⌫--||--|--⌫|
moi uerg ondee Moltam eroiemiexque	--|----⌫----|---|--⌫----|---|--|
iefuisetueeA	-|----|---||
keuesdeceual des truiteettraineeCXXXuIII	----|-|----|---⌫-----|-|------|-------|
enuaAiol[s]sen	-|-|------||-|
maine l ameski neTout e	----|-⌫|-----⌫-|----⌫|
ceuauch ierent queil onque snefinentDe s sica	-------⌫-----|--|-|-----⌫|-|-----|--⌫-⌫-|||
lendem ai n	|-----⌫--⌫|
quelaubeestesclairie.Lafill e Mibr ien	--||---|--|---------|-|----⌫|----⌫--|
fu a uques	-|-⌫----|
rebaud ieEle	------⌫-|--|
uin ta Aio lse	---⌫||---⌫|-|
li c ommench ead ire	-|-⌫-------⌫||-⌫--|
estesuosuasal caforchema ués priseAinc	----|--|----|||-----||-⌫---|----|---|
richeeskiec deu osiex neueistesCar	----|-----|-|-⌫-|--|-|------|--|
fillesuide roi e t	----|--|-|--|-⌫|
mamereestroi ne.-	-|---|--|---⌫--||
Beleche di s tAiol sneuos	---|--|--⌫-⌫|----⌫|-|--|
mie Ieuosendirai tantse Dieusme	--|-|--|-|----|---|-|----|-|
b eneieAinc	-⌫----|---|
maisnel d i a	---|--|-⌫||
femen e a homequiuiue.	---|-⌫||---|--|----|
uo iro nm apeleAio l	--⌫-|-⌫||----|---⌫|
m esperesestEl i e Niés	-⌫-|----|--|--⌫-⌫|----|
sui l en pereorqu iFra nchea en	--||--⌫-----|--⌫|---⌫---||-|
baillieIesuis fieus sa s eror	------|-|---|----|-|-⌫---|
lagentildameAuisse	-|-----|---|-----|
Maiscach ie(s )	---|----⌫----⌫|
