enl enornostre	-||---|-----|
seign or qui est	-----⌫-|--|--|
p ere filzetsainz	-⌫--|---|-|----|
esper iz qui	-----⌫-|--|
e stuns dese nt res	-⌫-|--|--|-⌫|-⌫--|
persones e eu	-------||-|
nomlagl orio semere	--|-|--⌫----⌫-|---|
aamarie uoilcomencierles t oiresi	-|----|---|--------||--⌫-⌫---|-|
cumlibonsenpereire	--|-|---|--------|
karlemainesenala en	----------|-|--|-|
espagni epor	-------⌫|--|
terraconquerrasorsarrazin s	----|--------|--|--------⌫|
mai ntesgens enontoico nte re	---⌫---|---|-|--|-|--⌫---⌫||
chantermes nestsi	------|--||--|-|
qui l endient	-|-⌫|-|----|
e chantent	|-------|
ciliogleor necilconteor	--|------|-|--|------|
nuscon t esrimésnes tue rais	--|---⌫-⌫-|-----||--⌫|--⌫---|
totestmenssongie	--|--|---------|
coquil endie ntquar i ln on	-|-|-|-|---⌫-|---|-⌫|-⌫-|
seu ient rienfor s par oirdire	---⌫---|---|---⌫|--|--|---|
libonsbaudo ins licuensdechainau	-|---|-----⌫--|-|----|-|------|
moltkarlmainenene uocunques	---|--------|-|-|--|-----|
le n cha ntast	--⌫|---⌫----|
ce rcher lesb ones	--⌫----|--|-⌫---|
abaies def rancee	-----|-|-⌫----||
g arder par	-⌫----|--|
toz lesarma ires porsauoir	--|--|----⌫---|--|-----|
silomitroueroitlaueraie	-|--||--------|-|-----|
onquestro u er	-----|---⌫-⌫-|
nelipo rentlicler c	-|||--⌫---|-|----⌫|
tantauint que	---|----|--|
unssiscleirzalae nborgo gnia	--|--|-----|--|-⌫|-----⌫---|
par lest oire	--||---⌫---|
quereeisi c umde	----|---|-⌫-|-|
silat rou a	-|-|-⌫---⌫|
a sanzenbo rguonie	|---|-|--⌫------|
iceleestoir e domeiname nt queturp ins	----|------⌫|---------⌫-|--|----⌫--|
li bonsarceuesquesd e	-|---|----------|-⌫|
esc ritenesp aigne q uia uo clebon	---⌫--|-|---⌫----|-⌫-|-⌫--⌫|-|--|
enp ereor fue pariore	---⌫----|-||--|--||
e queilso tqueu ers fu	|--|-|--⌫|--|-⌫--|-|
conques ttozle smiraclessi com	-------⌫|--|--⌫|-------|-|--|
ilau enoient leiortoteissiles	-|--⌫------|-|--|--|----|--|
es cr iuoit pa rnuit	--⌫--⌫----|--⌫|---|
epariorquant	|--|--|----|
ile n auoi t lei sirdonten	-|-⌫|----⌫|---⌫--|---|-|
cil mielzacr oirequihi fu	--|----|---⌫---|--|-|-|
e quile uit que nef ontcil qui	|--|-|--|--|-|-⌫--|--|--|
riennenseuentforsparoir	---||-|-----|---|--|--|
clersouboncompte b oudoin	----|-|--|-----|-⌫-----|
contreescritlesto iree a	-----------||----⌫--|||
seignor l aportaqui moltlentincen	------||-----|--|---||-|---|-|
grantchertetantcumil uesqui	----|-----|---|--|-|-----|
equant ildut murirsienueiale	|----|-|--|----|-|-----|-|
li ureasase rorlabon eiolen t	--⌫--||-|--⌫--|-|---⌫|-----⌫|
lacontessade saintpoe s i mandaque	-|-------|-|----|-||-⌫|----|--|
paramorde lu ig ard astleliu re	--|---|-|--⌫|-⌫---⌫--|-|---⌫-|
tant c umela uiureit	---|-⌫-|--|------|
labonacontessa	-|---|-------|
ha gar dé leli ur ei usqua ore	-|---⌫--|-|--⌫--⌫|-⌫----|--|
orme proieque	-|-|----|--|
ielem et a	-|-|-⌫--⌫|
latin e nroman zpor co	----|-⌫|-----⌫|--|-|
teusset deletraquidelatin	---|--|-|----|--|-|----|
ne seustesl ire epor	-|----|---⌫--||--|
serailmiel z	---|-|----⌫|
li bonsarceuesqu es	-|---|---------⌫-|
en reconte	-|------|
t urpinsparla g raicedede	-⌫-----|--|-|-⌫----|-|-|
arceuesques der eins	----------|-|-⌫---|
co npaings	--⌫------|
legrant karle en	-|----|----|-|
espaigneemolt	-------||---|
ententisason seru icesisa lua	-------||--|----⌫--|-|--⌫--|
leo brantlediendai s lachapel ae si	---⌫----|-|---||--⌫|-|------⌫||-|
lidis tamis uosme	-|---⌫|---|--|-|
mandast es nouel am en tauiene laior	-------⌫-|-----⌫--⌫--⌫||----|--|-|
ie es toiemal ade sp or l a	-|--⌫---|---⌫---⌫|-⌫-|-⌫|
forceneure demes pla i esqueuos	---------|-|--|---⌫-⌫-|--|--|
encres sissecoment	------⌫----|-----|
nostr es enpereir e s	-----⌫-|--------⌫-⌫|
l itre s renomezkar lmaines de liura	-⌫|---⌫|------|---⌫------|--⌫----|
es paign e ee ngualice dela	--⌫-----⌫||-⌫-------|-|-|
poeteaussarra z insuosen conterai	----|--|-----⌫-⌫--|--|-|-------|
merueliesdeses faizqueilfitsor	--------|-|--|---|--|-|--|--|
sarrazinscoqueieai	--------|-|--|-|-|
ueu paryy a nz quenosalames	--|--|-|-⌫-|--|--|-----|
paresp agniee parengualicea uecluie	--|---⌫----||--|--------|-⌫--|--||
obsesozeien	-|--|-||-||
n en uo s endiaassezque	|-|--⌫|-|--|----|--|
il fit e nespaignee sc roniques	-|--|-⌫|-------|-⌫|-⌫-------|
quisuntamo n	--|---||--⌫|
seignorsaintdeni s	------|----|----⌫|
n enariens d e coqu e	|-||----|-⌫|-|--⌫|
d ira iorhi	-⌫---⌫|-|-|
