apr esde ceque sainz	---⌫-|-|-|--|----|
ias ques quipremi erspraachaengalicefust	---⌫---|--|-----⌫--|------|-|-----|---|
raportezp er	-------|-⌫-|
lamerdesiher us alemouherodeslocit	-|--|--|----⌫--⌫---|-|------||---|
peracunsde s a s di sciplesen galic eperl espechiez	--|----|-|-⌫-⌫|--⌫------|-|-----⌫|--|-⌫-|------|
deacunsfus tencelleuarrier mise la	-|----|---⌫|-|--|--|-----|---|-|
foizet furentma screan ti usquea	---|-|-----|--⌫------⌫|-⌫----||
tempsde charlelegrantempar aorder omequian ch acai	----|-|-----|-|----|-----⌫--|-|-⌫--|--|--⌫--⌫---|
for slessarraz insetle s mescreanz.	---⌫|--|------⌫--|-|--⌫|--------||
cilch arlespuisqu	--|--⌫----|-----|
i lotaquisagranz labor sma insraiau mesc	-⌫|-|----||----|-----⌫|--⌫--|-----⌫--||
sa uo i rangle t erregallesalemaignebaioireloroine borgoignelu m bardie	--⌫--⌫-⌫|-----⌫-⌫---|-----|--------|------|------|--------|--⌫-⌫-----|
britaigneetautresregionse tcitezsan nu mbre	--------|-|-----|------|-⌫|----|--|--⌫---|
mer iusquea	--|-----||
il les t oll ias sarrazinset	-|--|-⌫---⌫|-|--------|-|
le ssoumis t a crestieinse totprop osde	--⌫|------⌫||---------|-⌫|-|----⌫-|-|
reposere t	------|-⌫|
qu i ln alast plus e nbat aille.	-|-⌫||----|---|-⌫|---⌫----||
ilregard adeuerle cielet uitun euo ied	-|------⌫|----|-|---|-|--|--⌫|--⌫-||
es toilesencomencantdeslame r de	--⌫-----|----------|--|-|--⌫|-|
frisetendant entre a lema igneet lumbardieen tre	----|------|----|-⌫----⌫---|-|--------|--⌫--|
g alles etaq uitanie etdro it tres passantper	-⌫----|-|--⌫------|-|---⌫-|----⌫------|--|
gascoignebe scle	--------|--⌫---|
etnauarreetaspaigneiusqueagal ice	-|------|-|-------|-----||---⌫--|
ou estoit adonquesasconduz lico rs	-|-----|-------|-------|-|--⌫-|
des aintiasquelap ostre e t comecharlespanse st	-|-⌫---|-----||--⌫----|-⌫|---|------|-----⌫-|
ence schoses pern uit uns	-|--⌫|-----|--|-⌫--|--|
hons p l ei ns de	---|-⌫-⌫--⌫-|-|
tresgrant beaute apparutalu ietl idit	---|----|-----|------||--⌫|-|-⌫|--|
b eausfiz q uef aiz tu	-⌫---|--|-⌫-|-⌫--|-|
respon diquiestusire	------⌫-|--|-|-|---|
etsaintiasquesliditiesuisaint iasq ueapostres	-|----|------|-|--|-|--|----|----⌫-|-------|
i hesucrit fizzebedeefre res	-⌫---|---|--|------|---⌫--|
sainiehameuangeli stecuinostresireseslitporpraachiersus	---|----|--------⌫--|--|-----|----|----|--|--------|--|
lamerdegalileecu iherodesoccitdeglaiue	-|--|-|------|--⌫|------|----|-|-----|
cu ilicors	--⌫|-|---|
