alaueillede	|-|-----|-|
l apentecost e	-⌫|---------⌫|
quantli compaignond elatablereonde furent uenu	----|-|---------|-⌫|-|----|-----|-----|---|
a kamaalotetilorentoileseruise etlen	|-------|-|-|----|-|-|------|-|--|
uoulo itmetreles	-----⌫-|----|--|
tables ahor edenonelors en traen lasale	-----||---⌫|-|---|---|--⌫--|-|-|---|
acheualunemolt	|-----|--|---|
beledamoisele	---|--------|
etfu ue nue	-|-|--⌫--|
sig rant oi rreq u ebien lep ooit lenueoir	-|-⌫---|--⌫--|-⌫-⌫|---|-|-⌫---|--|----|
car sescheuausenfuenco re toz	--|--|------|-|-|----⌫-|--|
et eledescent et	-|--|------|-|
uientde uantle	----|--⌫---|-|
si lesalue	-|-|----|
e tilditquedie x	-⌫|-|--|--|---⌫|
labe nei e.	-|--⌫---⌫||
sire f et ele pordieu	---|-⌫-|--|--|---|
selanc elot	-|----⌫---|
oiluoirf etli ro i sueezlela.	--|---|-⌫-|-|--⌫-⌫|---|-|-||
silimostre.	-|-|-----||
eteleu amaintenantlaouil	-|--|-⌫|---------|-|-|-|
li dit lancelotie uosdidepar	-|--|-------|-|--|-|-|--|
le roipellesqueuosa uecmoiuenez	-|--|-----|--|--|-⌫--|--|----|
iusquenc eleforest .	----|-|-⌫--|-----||
et illi demand eaqui	-|-|-|------⌫||--|
iesui f ai t	-|--|-⌫--⌫|
elea celui dont ie uosparol .	--||----|---|-|--|----||
etquelbesoignfetil	-|---|------|--|-|
au ezuos dem oi	--⌫-|--|-|-⌫-|
ceuerroizuos bienfet ele.	-|------|--|---|--|--||
de pardieu fet il	-|--|---|--|-|
et ieiraiuole ntier s .	-|-|---|----⌫-----⌫||
lors dis t a unescu ier quilmet e	---|---⌫||-|----⌫--|-|-|---⌫|
sonch e ualetli	--|--⌫-⌫--|-|-|
aport ses a rmes .	----|--|-⌫---||
e tcilsife ttoutmai ntena nt.	-⌫|--|-|--⌫|---|---⌫-----⌫-||
etq uantlirois	-|-⌫---|-|---|
et liautrequioupalesestoient	-|-|----|--|-|----|-------|
uoientce si lor	-----|-|-|--|
et ne porqu a ntquan t	-|--⌫-----⌫-⌫-|----⌫|
il uo ientqu	-|--⌫---|-|
ilneremaind roi t illen lessent	-|-|-------⌫---⌫|-||-|------|
e t la reinel idi t que	-⌫|-|----|-⌫|--⌫|--|
lan celotnoslair ez	---⌫----|--|----⌫-|
uos acest i orquis iest hauz	--||---|-⌫-|--|-⌫|--|---|
da mefet ladamoiselesac hi ez	--⌫-|--|-|--------|---⌫--⌫-|
rauroizde m ainceenzainzh or ededisner	------|--⌫-⌫--|----|---|-⌫--⌫|-|-----|
ori uoistdonc fet ele	-||----|---|--|--|
car seildemainnedeu st	--|-|-|-----|-|---⌫-|
reueniril niala st	------|-|||---⌫-|
huiparmauolente.	--|--|-|------||
etilmo nte et ladamoi sele	-|-|--⌫--|-|-|-----⌫---|
si separtentdelaienzsanzautre congieet	-|-|------|-|-----|---|----|-----|-|
san zpl us decom pai gniefor ss eulement	---⌫|--⌫-|-|---⌫---⌫---|---⌫|-⌫-------|
escuier quiauec	------|--|---|
ladamoisele esto ituen u z.	-|--------|----⌫-|---⌫-⌫||
etquantilsont issu de kamaalotsi	-|----|-|---|---|-|-------|-|
cheuauc hentt ant quilsontenl a	-------⌫---|-⌫---⌫-|-|---|-|-⌫|
forestuenu .	-----|---||
sisemetentougrantcheminferréet	-|-|-----|-|----|-----|-----|-|
err entb i en lamoitieduneliue	---⌫--|-⌫-⌫-|-|-----||--|---|
et tant qui l	-|----⌫-|-⌫|
uindrentenuneual ee .	-------|-|--|---⌫-||
etlorsuoientdeua nte lsentrauersdouche min	-|---|-----|----⌫-|-⌫-|-|------|--|---⌫--|
une ab eiede no n ai ns .	--|--⌫--|-|--⌫-⌫--⌫-||
etladamoisele torne	-|-|--------|----|
celepartsitost com e	---|---|-|---|---⌫|
ilsont pres.	-|---|---||
etquanti l	-|----|-⌫|
uind r enta laporte si	----⌫-⌫--||-|----|-|
apeleli e scuiers	----|-|-⌫------|
etlenliu eureet	-|--|-|-⌫---|-|
ildescendentete ntrentenz.	-|---------|-|-⌫-----|--||
etq uantcilde laienz	-|-⌫---|--|-|-----|
l ancelot estoituenuzs i	-⌫------|-----|----|-⌫|
liuonttuita	-|---|---||
l encontreetlifontmolt	|-------|-|-|---|---|
grantioi e.	----|---⌫||
etquantillore ntmené enune	-|----|-||---⌫-|----|-|--|
chambre etilf udesa rmezsi uoit iesir s es	------|-|-|-⌫|----⌫---|-|---|----|-⌫-|
deusc ousinsboort et l yo nelendeusliz .	---|-⌫-----|----|-|-⌫--⌫--|-|---|--||
et lorsesta merueillesliez.	-|---|--||---------|---||
et q uantilleuoien t silaco lentetbesen t	-|-⌫---|-|-|-----⌫|-||---⌫---|-|-----⌫|
et lorscomence la ioie queli	-|---|------|-|---|--|-|
cousinfirentliunsde l autre	-----|-----|-|--|-||----|
bi ax sire fet	--⌫-|---|--|
boor sala ncelotq ueleauentu re	----⌫||--⌫-----|-⌫---|------⌫-|
iauo s cuidionsnos	-|--⌫|-------|--|
trouerakamaalot .	-----||-------||
etil lorconte comentuned amois elelalaienz	-|-|--|----|-----|--|-⌫-----⌫--|||-----|
amene ́ mes	-----⌫|--|
ilnese t onques porquoi.	-|-|--⌫|-----|--|---||
e t endem entiersquilparlo ie nteinsisientreren tlaienztroinonains	-⌫|-----⌫--------|-|-----⌫--⌫-|----|-|--------⌫|-----|---|------|
q uia menoient	-⌫-|-⌫-------|
deuan tel esgalaa d	-----⌫|--⌫-|-----⌫|
sibelenfantet si	-|--|-----|-|-|
bientaill i e ́d etozmembre s que	---|-----⌫-⌫-⌫|-⌫|--|------⌫|--|
apeinestrouast	|-----|------|
lensonpareilou monde.	--|--|-----|-|----||
etc elequiestoit	-|-⌫--|--|-----|
laplusd amelemenoi tparlamainet pl oroit	-|---|-⌫--|-|-----⌫|--|-|---|-|--⌫----|
moutt e n drement.	---|-⌫-⌫-⌫------||
etquantele	-|----|--|
uintdeuant	---|-----|
lancelot s ilidis tsire	-------|-⌫|-|---⌫|---|
ie uo sameign nos trenorricon ita nt d ei o iecom	-|--⌫|-----|---⌫--|-------|---⌫-|-⌫|-⌫-⌫-|--|
nosauon s nostreconf ort etno streespoir queuos	--|----⌫|-----|----⌫--|-|--⌫---|-----|--|--|
e n fac oiz	-⌫|---⌫--|
cheualier.	--------||
car denu lpluspreudomed eu o s neporr oit	--|-|--⌫|---|-------|-⌫|-⌫-⌫|-|----⌫--|
il a nostrecuidierreceuoir lordrede	-||-----|------|-------||----|-|
cheualerie.	---------||
ilregar dele nfant	-|-----⌫-||-⌫----|
sileuoitgarni de toutesbiautez	-|-|---|----|-|-----|------|
si mer ueilleusement qu	-|---⌫------------|-|
il necuidemiequil	-|-|----|--|-|-|
ueistonques mes d e	----|-----|--|-⌫|
soneagesibeleformedome .	--|---|-|---|----||--||
etpar la simplece	-|--|-|-------|
qu ili uo it	-|-||--⌫-|
iespo ireiltantde bien	|----⌫--|-|---|-|---|
qu ill iplestmolt	-|-|-⌫|----|---|
quil le face cheualier .	-|-|-|---|--------||
si respont as damesq ue	-|------|-|----|-⌫-|
d ecestere qu estene lor faud ra ilia e tque	-⌫|----|--⌫--⌫---|-|--|----⌫-|-|-|-⌫|--|
u olentie rs lefer acheualierpuisquee les	-⌫-------⌫-|-|---⌫|--------|------|-⌫--|
leuu elent.	-|--⌫----||
sire fetcele quil e menoi t	---|--|---|--|-⌫|-----⌫|
nosuolonsqueceso it	--|-----|--|-|--⌫-|
anuitou demai n.	----|-|-----⌫||
depardi e u f etil	-|--|--⌫-⌫|-⌫-|-|
einsicomuo sle u oule z	----|--|--⌫|-|-⌫----⌫|
celenuitdemo ralaienzlan cel ot et	---|---|----⌫-|-----|---⌫---⌫-|-|
fisttoutela nuit ueillierle uasletau	---|----|-|---|-------|-|-----|-|
mostie ret a l endema in	------⌫|-|||------⌫-|
dep rimelefistcheualieretlich auca	-|-⌫---|-|---|--------|-|-|--⌫---|
l un des eses perons e tbo o rz lautre	|-|-|-⌫-|--⌫-----|-⌫|--⌫-⌫-||----|
apre s l i ceint lan celot	----⌫|-⌫|----|---⌫----|
lespeeetlid onalaco l ee et	|----|-|-|-⌫--|-|--⌫-⌫-|-|
lidist quediexle feistpreudomeca rab iaute	-|---|--|---|-|----|-------|--⌫||-⌫----|
nauo itilmie	|---⌫-|-|--|
etquantill iotfettoutce que	-|----|-|-⌫|-|--|---|-|--|
anouelcheualier apartenoit silidistbiauxsire	|----|--------|---------|-|-|---|----|---|
uendrez uosauec	------|--|---|
moial acortmon seigneurleroi artuz	--||-⌫|---|--|-------|-|--|----|
sirefai t il	---|---⌫|-|
nani la uecuosn	----⌫|-⌫--|--||
iraiiepas.	---|-|--||
distlanc elot	---|----⌫---|
al abeesse	||------|
dame s offrezque	---|-⌫-----|--|
no stre nouiaus cheuali e rs uieg neauecnosala	--⌫---|------|-------⌫-⌫-|----⌫-|---|--||-|
seignor leroi.	------|-|--||
c aril a mendera as sezplus d	-⌫-|-|-⌫------|--⌫--|---||
estrelaq ue decidemorerauecuos.	----|-|-⌫-|-|-|------|---|--||
sire fetele iln irapas ore	---|--|--|-||--|--|--|
tostcomnoscuid eronsquilen soit	---|--|--|----⌫----|-|-|-|---|
me stie rsn os lien uoierons	--⌫----⌫-|-⌫-|||--⌫-------|
e tlors separtlancelot	-⌫|---|-|---|-------|
de laienzentrel uietses compai gnon s	-|-----|----|-⌫-|-|--|------⌫----⌫|
et cheuauchentensemblet antqu il sontuenu	-|----------|-------|-⌫----|-|---|---|
akamaalotah oredetierce	|-------||-⌫--|-|-----|
et liroise rtalezau	-|-|---|-⌫-|---|-|
