e nhaute scrieou	-⌫|---|-⌫----|-|
sontmiescuier	---|-|------|
p l us deyyensontsaillisenpie s	-⌫-⌫-|-|-|-|---|------|-|---⌫|
d es lich eorsq ui enfurentmoltlies	-⌫-|----⌫---|-⌫-|-|-----|---|---|
damesi cuida	---|-|----|
pasme e chietpardesorlepl ainchier	-----⌫|----|--|----|-|--⌫-------|
aunetabl e s e huertadesonchief	|--|----⌫|-⌫|-----|-|--|----|
si quelesanci us glacieren	-|--|-|---|-⌫-|------|-|
sainglantenotsonherminedelgiet	--------|-|-|--|------|------|
ets onmen t el a fin orentaillie ́t	-|-⌫-|---⌫-⌫-||--|-|---------⌫-|
etlaroin e	-|-|----⌫|
forsd unnechambr e	---||---|------⌫|
a ha ute uois co mmencha ahuch ier	|--⌫--|---|--⌫------||----⌫--|
por quoilefa is maluais	--|---|-|--⌫-|------|
roisl osai ng ier	---|-⌫----⌫--⌫--|
ne plac eadieu quitotaabail le r	-|----⌫||---|--|--|||----⌫--⌫|
q uecestan pas tnes oies	-⌫-|---|-|---⌫|-|-⌫---|
ma ruoié s	--⌫------⌫|
etsit e uaigneissigr ant	-|-|-⌫|-----|---|--⌫--|
de storbier	--⌫-------|
tuitti amiiaientauaing i e r	---|-|--||----||-----⌫-⌫-⌫|
l ir oissenr i tent rece sch eualliers	-⌫|-⌫--||-|-⌫-⌫|---⌫-|--⌫|--⌫--------|
roine nesi uautatargier	----|-|||---|-------|
d edens sa chanbremai nne la dam earier	-⌫----|-|------|---⌫--|-|---⌫|----|
sire sgarda la p l aiedes on	-|--⌫-----|-|-⌫-⌫--|-|-⌫-|
faitmestre azz	---|-----||-|
maistreguarnier	------|-------|
q uilagaritqueniote nconbrie r	-⌫-|-|----|--|||-|-⌫--------⌫|
u uelci de lad ame	-⌫--|-|-|-|-⌫--|
si u os di raidelbonuassalbernier	-|-⌫-|--⌫--|--|--|-----|------|
qui des amie	--|-||---|
neseset conci llier	-|-|--|-----⌫----|
a sain t quentin	|----⌫|------|
fuliprexbernecon	-|-|---|-------|
m ornesettint lechiefenbronc	-⌫----|-|---|-|----|------|
to utpou rs	--⌫-|---⌫||
amieal aclerefacon	---||-⌫|----|----|
queloeystenoitensaproison	--|----|-----|-|-|------|
deuantluigar desachoisi t	-----|--|---⌫-|||------⌫|
quifunorischiesgu e rri leb aron	--|-|----|----|--⌫-⌫--|-|-⌫---|
bernierleuoitsi la mis a	------|-|---|-|||--||
ami sdi til	---⌫|--⌫|-|
oiésqueuous diron	----|--|---|----|
dro itaparism	---⌫-||----||
eniroisauper ron	-|----|-|---⌫--|
sicoie mentquene l sac he	-|----⌫---|--|-||---⌫-|
entapignaige monteras eldoni on	-|---------|-------|-|----⌫-|
ce uoismamieco ntelita raison	-|---||---|--⌫--|-|-|-----|
paro leali coiementalarron	----⌫-||-|-------||-----|
etsi li d isquenoussalu o n	-|-|-|-⌫-|--|---|----⌫-⌫|
sire d istil a die ubeneicon	---|-⌫--|-||---⌫|-------|
a t antdepart	-⌫-⌫--|-----|
san snulle ares tison	---⌫|----|----⌫----|
li messa nt orn enesiu aut at argier	-|--||-⌫|-⌫---⌫|-|||-⌫--|--⌫-----|
de sainquentin	-|---|------|
separtsens delaier	-|---|---|------|
puisestentre ́s en son	---|--|-----⌫-|-|--|
chem in pla ingnier	----⌫-|---⌫------|
dec esiorne esneuoussaipl uspl aidier	-|-⌫-|-----⌫-|-|---|--|--⌫-|--⌫-----|
tant atenut lech emindr oiturie r	---||----|-|--⌫---|--⌫-------⌫|
qu apar is uint zz soir a	-||---⌫-|---|-|---||
lan u it ier	|--⌫-⌫--⌫--|
e n lacite	-⌫|-|---|
cest alésherb igier	|--|----|----⌫----|
du s quau matinq ue ilfuescl airié	--⌫-⌫-|-|----|-⌫-|-|-|----⌫-----|
queli u all esceresta parillié s	--|-|-⌫---⌫-|-|---|-⌫---------⌫|
si est m ontés elgrantpalaispla ingni er	-|--|-⌫-----|-|----|-----|---⌫-----⌫-|
alafenestreuoitladam e	|-|-------|---|-|---⌫|
ellele uoit ce lrecognutmolt	---|-|---|-||-------|---|
dontuiensa mis p ar le cor ssaint richi el	---|----|-⌫--|-⌫-|-|---⌫|----|-----⌫-|
damed istil	---|-⌫--|-|
quen tin le sie	----⌫--|-|--|
sal utuousma nde liuosamis ber n ier	---⌫-|---|--⌫--|-|--|---|---⌫-⌫--|
pucel ledontue nésuou s amis	-----⌫-|---|--⌫---|---⌫|---|
damedistil ieuainsdesainquenti n	---|---|-|-|----|-|---|------⌫|
salusuo us	----|--⌫-|
mandexm li har dis	----|-|-|---⌫--|
quiporuousestet do lense tmarris	--|--|---|--|-|--⌫---|-⌫|-----|
dex distladamepar	--|---|-|---|--|
la toiemercit	-|---|-----|
leporrai ia a ntremes bras	-|-----|-|-⌫---|--|---|
oilma dame li uallesresp o ndi	--|-|---|-|-----|----⌫-⌫--|
dame amis bien aués dit	---|---|---|----|--|
maisorme d isgardeni	---|-|-|-⌫-|----|||
ait mentit	--|-----|
porraide rienfier	-----|-|---|---|
oil madameliu alles respon di	--|-|---|-|-⌫----|------⌫-|
por autre chosenesui	--|----|----|-|--|
forspor oir uobon e t	---|--|--|-|--|-⌫|
et dist ladame se soitpa r	-|---|-|---|-|---|--⌫|
irois arier eas ainquentin	----|-----⌫||-⌫--|------|
diroisxm lehardi	-----|-|-|----|
que li rois	--|-|---|
a etiurét etpleuit	|-|-----|-|-----|
donra ma lgr etmoia maris	----|--⌫---⌫-|--||----|
d onermeuuelt he rchanbautde pontif	-⌫---|-|----|--⌫--------|-|-----|
l ipar lemensenser am escredi	-⌫|---⌫-----|-|---⌫|-⌫------|
