unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
eoutnumhelca na	|--|--|-----⌫-|
fizfud ieroboa ml efizheliudle	--|--|-------⌫|-⌫|--|-----|-|
fizthaulefiz sufe	--|---|-|--|--||
effratasi cumlialquan t entendentdelacite ki	------|-|--|-|------⌫|--------|-|-|---|-|
fud apelee	--|-----|
bethlee me mest	-------⌫||---|
almunt deeffr aime nune	-|---|-|----⌫--|-⌫|--|
ci te ki fudapelee	--⌫-|-|--|-----|
rama thaim sophimki puis fud	----⌫----|-----|-|---|--|
apeleearimathie	-----|--------|
dunt fudlibonurezioseph	---|--|-|------|-----|
ki lep recius	-|-|-⌫-----|
corsiesu cri st	---|---|---⌫-|
s e pulcre cistbe rs	-⌫-⌫-----|---|--⌫-|
helcha nafuddellignage	------⌫-|--|--|------|
a sorden ezdeudepart	-⌫|-----⌫-|--|-|---|
p e r eed el ignager eal	-⌫-⌫-⌫||-⌫|-⌫-----|-⌫--|
departmere	-|---|---|
mu illie rsout	--⌫-----⌫-|--|
douslap lu s	---|-|-⌫--⌫|
noble fud clameeanna elaltre	----|--|-----|---|||----|
phenenna phenennaout	-------|-------|--|
enfan zplusur s m a isanna n	-----⌫|------⌫|-⌫-⌫-|---||
nulbienl ute n	--|---|-⌫-|-⌫|
leiquelior denez oussentod cumpaigne	--|--|-|--⌫----|------|-|--------|
cunuersementkar des treze ligneeski u indr ent	-----------|--|--|----|------|-|-⌫----⌫--|
de lpatr iarch e	--⌫|----⌫-----⌫|
e n seuerad le	-⌫|------|-|
lignageleu i eeslist	------|---⌫||-----|
ereti nt esp ecialment asunseru is edel	|----⌫-|---⌫--------||--|----⌫--⌫|--|
tabern acleki primes	------⌫---|-|-----|
a ldesertdesynai	-⌫|-----|-|----|
e d eltemp leque li	|-⌫-|----⌫-|--|-|
salemunfund a	------|----⌫|
e f u rnie purco que	|-⌫-⌫--||--|-|--|
cistlignages	---|-------|
numeementdout sile seruise d e ucelebrer	--------|---|-|-|------|-⌫-⌫|-------|
besuinzfud kefeist	------|--|-|----|
sainte engendrure enatem pr ancee en	-----|---------|-|----⌫--⌫---||-|
netteequel iseruises	-----|--|-⌫|-------|
d eu qu eparp eres queparfizfustasun	-⌫-|--⌫|--|-⌫---|--|--|--|---||--|
plais irf urniz	-----⌫-|-⌫----|
eourentli plus urmuil ler splusurs pur lemultep l i ementdel	|-----|-|----⌫-|----⌫---⌫|------|--|-|------⌫-⌫-⌫----|--|
kide tutesparzdemesc reant esgenz	-|-|----|---|-|----⌫-----⌫-|---|
esteit p ursis	-----|-⌫----|
encelcu ntemplefudunec itesylo depart	-|--|--⌫------|--|--|-⌫--|---|-|---|
eff raim que	---⌫---|--|
deuoutasunoe ssaisiee	--|--||--|--⌫|-----||
sacreelafude outestéd	-----|-|--||--|-----|
t abernacl es elisanctua riesd eu	-⌫--------⌫-||-|-------⌫---|-⌫-|
desletensiosue	--|-|---|----|
t erre de pr omissi un c u nduiste guiadlafud	-⌫---|-|--⌫------⌫-|-⌫-⌫-----||----|-|--|
li propicia toriescest	-|--------⌫-----||--|
larcheenquifud repost	|----|-|--|--|-----|
guardezlitresorsprexiusdes tablesudeumeimesescrist	------|-|------|------|--|-----||--|-----|------|
lei e p artie delamannekidel	--||-⌫----|-|-|----|-|--|
cieluint e lep ople	---|---||-|-⌫---|
anz e nlieu deuitai lle	--|-⌫|---|-|-----⌫--|
corporelsustinte lauergeaaronu	-------|------||-|----|----||
deusauert udmustradkar en unenuit fuilli	--|-|----⌫-|------|--|-|--|---|-----|
e f luriefruit	|-⌫---||----|
portadicestli euseintefiéd	-----|----|--⌫-|----------|
fudli bers helchan aac us tumiers	--|-|---|-------⌫|--⌫--⌫------|
p ur deudepreieroblatiunsfaireesacre fieras iur s	-⌫-|--|-------|--------|----||-----⌫---|-|---⌫|
asis eparlal e iestabliz numeement ala	---||--|-|-⌫-⌫|-------|--------||-|
pascheapentecuste	-----||---------|
enfui lleesen	-|---⌫----|-|
moniment eremembrance	-------||----------|
queilmestrentlunges	--|-|-------|-----|
ala f e ste salce iekiest enseptembre	|-|-⌫-⌫--|-----⌫-|-|--|-|--------|
quant li iudeumain ent	----|-|----|----⌫--|
en fuilles	-|------|
enmon imenteremem br anc equeil me strent	-|---⌫----||-----⌫--⌫---⌫|--|-|--⌫-----|
amesaise enlogese	|------|-|----||
enf u ille siesquedeu les miste n	-|-⌫-⌫----⌫|-----|--|--|---|-⌫|
de promis siunencertaine statiun	-|------⌫---|-|-------|------|
a cestlieu seru ir	|---|---|----⌫-|
f ur ent duipruueire atite léo fnie	-⌫--⌫--|--|-------|-----⌫--|-⌫--||
p hi nees fizf urenthelykidunc	-⌫--⌫---|--|-⌫----|---|-|---|
ert eu escheemaistr e p rincip als	--|--⌫----||------⌫|-⌫------⌫--|
ea un iurauintque e lchana fistsa crefisee	||-|--|----|--|-⌫-----|---|--⌫------||
leias eiretint partie	--||-⌫-|-----|-----|
part ie dunada s a c umpaigniee aanne	----⌫-|----||-⌫|-⌫--------|||---|
samuiller que il t endre me nt	-|------|--|-|-⌫-----⌫--⌫-|
amadunepart i e d unadkiforment	---|--|----⌫-⌫|-⌫---|-|------|
e rt d esh aitee kardeuneli	-⌫-|-⌫---⌫----|--|--|-|-|
uo ltencor e dune rlefruit	--⌫-|-----⌫|----⌫|-|----|
desiréd de sunuen treefenen na	-------|-|--|---⌫--||-----⌫-|
icoliturna arepruc e	--|-|----||------⌫|
eacustumeementlenat arioute amerementrampod oute	|------------||-|--⌫-----||--------|------⌫--||
bonureeannanenout returmaisun	------|---|--|--|----|---|-|
duleir plurere	-----|-----||
uiande dep orters ism a riz h elchana leare isuna	-----|---⌫----|-⌫-|-⌫-⌫--|-⌫------|-|---⌫----|
pu rq ueiplure sne mani u ese	--⌫--⌫--|-----⌫|-|----⌫-⌫-||
pur queiest tis quers	---⌫---|--|--|----|
en tris turd un n a stu m amur	-|----⌫--|-⌫-||-⌫|-||---|
dunna stumun	--||-⌫|-|--|
plus te ualtquesi ousses disenfanz a nna	---|-|---|--|-|-----|--|-----|-⌫--|
pu isqueeleout	--⌫-|--|--|--|
mang iédebeudleuad	----⌫---||---|----|
e alsu cursd eurequerre	|-|--⌫---|-⌫-|-------|
tutsun quer	--|--|---|
turnaduin ts	-----|---⌫||
enal t abernacl etruuadleue schehelyal	-|-|-⌫--------⌫|-----||---⌫---|---|||
iertq u ila salanzeu enanz parole	|--|-⌫|-|-⌫|----||-⌫----|-----|
mustrastla d amefista d e u sunpresent	-------|-|-⌫--|---||-⌫-⌫|--|------|
esaoblatiun	|-|-------|
sun q u e r meine aschald es lermes acuragee	--|-⌫-⌫-⌫|----|-|-----⌫-|-----|-------|
b aillies iremer ciable sire	-⌫-----|-⌫--|---⌫-----|---|
deuspuissanz	---|-------|
deshozbaniz	--|--|----|
champiuns cumbat a nz si fusttunplaisir	--------|------⌫-⌫-|-|---|--|------|
queueis ses	--|----⌫--|
mamiser iee ma affl ictiu n etei membrastde	-|-----⌫-||-|----⌫-----⌫||--|-------|-|
mei la tueanc ele	--|-|--|---⌫--|
quepartapitiet euss e	--|--|-|-----|----⌫|
fizdurreielete i	--|------|-|--⌫|
e ras urne limunteradl ech ief	|---⌫-|-|-|-------|-⌫|--⌫--|
d i sateiie rtadetid	-⌫-⌫||--|--⌫-|-----|
usagesert encelelei	-----|--|-|---|--|
sealcunsp aruuda deuse sacrast	-|-----|-⌫-|--||--|-|------|
tantcumce luud li durreit	---|--|--⌫|--|-|------|
ra su rle chiefne limuntereit	--⌫--⌫|-|----|-|-|--------|
la dam een sapreere d emurad	-|---⌫|-|-|-----|-⌫-----|
sesleuresm out	--|-----|-⌫--|
querspa rladt antque li	----|--⌫---|-⌫--|--|-|
eue schesl esguardad epuriu re	---⌫----||--------||--|--⌫-|
lent ercad	|---⌫----|
esilidi st ua bo nef emmeatun	|-|-|--⌫-|-|--⌫-|-⌫---||--|
osteld ormir	----|-⌫----|
sitedeseniueras parledormirrespundit a nna ne	-|-|----------|--|-|-----|--------|-⌫--|-|
nai beu neuinnee l	|-|--|-|--|-|-⌫|
umsipoisseeniurer	-|-|-----|------|
n e metenezpurfil lebel ia lkar	-⌫|-|----|--|---⌫-|---⌫--⌫|--|
sobresui e en	----|--||-|
aireueléd mun duelb e lialcoestsenz	-|-------|--|---|-⌫-⌫---|-|--|---|
cils untfizbelialkit uz	--|-⌫--|--|-----|-|-⌫-|
i urstir en t uers	-⌫--|---⌫--⌫|---|
lem alostent	-|-⌫-|-----|
lal eideuedeuic e enaltre	-|-⌫-|--||-|---⌫|-|----|
uu nt cancelantlur	--⌫-|--------|--|
cri aturatariant duncrespundilieuesche	---⌫---|-------|---|-------|-|------|
helyuabone	---|-|---|
fe mmeas ueiesdeudeuski	--⌫--|-|----|--|---|-|
detutbienfaireadpoeste	-|--|---|----|-|-----|
f u rnis seengrace tauolent el adame haitees	-⌫-⌫----⌫-|-|----|-|------⌫|-⌫|---|-----||
enpa r tila	-|--⌫-⌫-|-|
cherepuisnelic hai odsunseignurle	----|---|-|-|-⌫--|-|--|------|-|
puis asa mai sun	---||-|---⌫--|
return ad deuso utsaanceleen	------⌫-|---|-⌫-|-|-----|-|
remembrance	----------|
to st conce ute	--⌫-|-----⌫-||
outenfan t gr a c esrendit alenfanter esamuel	--|-----⌫|--⌫-⌫-⌫-|-----|||-------||-----|
le fistnu merfedeildeuentendl est orieasez	-|---|--⌫--|-----|--|-----||---⌫---|---|
es emblenuemaispl einee s t de	|-⌫----|--|---|--⌫---|-⌫-⌫|-|
sensedemeulel	---||-|----||
estorieestpaillelesen est grain slesenest	------|--|-----|-|--|--|-----⌫|-|--|--|
estori eraimsci stliu re s estc um	------⌫|----|--⌫-|---⌫--⌫|--|-⌫-|
arma ried es secreiz deu plein	----⌫--|-⌫-|------|--|----|
figure edesigne fi ance	-----||-|-----⌫--⌫---|
euoiliciunpoitucher	|---|--|-|--|-----|
par tu tdesore	--|--⌫|--|--|
letienges chier helchanacoestla	-|------|----|-------|-|--|-|
posse ssiundeu esign efielefi z deu	-----⌫----|--||----⌫---|-|--⌫|--|
ki distdesei	-|---|-|--|
peres me tintensa possessiun	----|-|---|-|-|---------|
cume sunfizalcumencement deses	---|--|--|-|----------|-|--|
ueie sedesesouresicist fizdeu	----⌫||-|--|----|----|--|--|
adeuddous muillers si	-|--|---|-------|-|
cumeouthelchanala	---|--|-------|-|
premiere fud sunagaoguee i udaisme	-------|--|---------||-⌫------|
e silas ignefiafen ennakimult eutenfanzensement	|-|-|-⌫------|---⌫---|-|---|--|-----|-------|
synagoguepar	--------|--|
lalei plusurseng endrad mais	-|--|------|---⌫-----|---|
ore estbar aigne	--|--|---⌫----|
p armescreanced umeleforsueadlautremuill eral	-⌫-|---------|-⌫-|--|-------||----|-----⌫-|-|
estsaint e eglisee cele s ignefiad annakitart	--|-----⌫|-----||---|-⌫-------|---|-|---|
ou t enfant	--⌫|-----|
es tgraceensements einteeglisetart	--⌫|----|-------|-⌫----|-----|---|
iesquelifizdeu	-----|-|--|--|
pargrac eal i sacump aignaeparsa mort	--|----⌫||-⌫||-----⌫----||--|-|---|
demortrachatamunda	-|---|------|----|
parbaptesme	--|-------|
esunsaintesperit	|--|----|------|
pui sreuintle serf de uhelchanaod	---⌫|-----|-|---|--⌫|-------|-|
s a ma ign iee	-⌫|--⌫---⌫--|
altab ernaclepursacrefie refestiualment offrire	-|---⌫------|--|--------⌫||-----------|-----||
plenieremen t	-----------⌫|
sesuud z furnir maisannao utessui gn e	--|---⌫|-----|---|---|-⌫-|-----⌫--⌫|
e remestk ar al	|-----|-⌫-|-|
tabe rna c le ne uol t	----⌫---⌫-⌫-|-|---⌫|
retu rn eriesqueliu	----⌫--⌫-|-----|--|
fustde lenfanta deu	---|-||-----||--|
presenterquearemanance	--------|--||--------|
ipoust est ermais puisque il	|----|---⌫-|---|---|--|-|
o ut setanzpasséd la mer eatu rnadunbel	-⌫-|--|--|------|-|---⌫|---⌫---|-|--|
presentdeflur de	------|-|---|-|
sapecunieedesunuine mena d l enfant	-|------||-|--|--||----⌫||-----|
iesque en sylo	-----|-|---|
presentout	------|--|
primesdeus sapar t	-----|---|-|---⌫|
puisal eueschefistbel	---|||------|---|--|
es il i d istsi resir eententamei io	|-⌫|-⌫|-⌫--|--⌫-|---⌫|-----||--|-|
suila t ueancele	--|-|-⌫-|-----|
ki iadeu antt ei preieresfis	-|-|---⌫--|-⌫-|-------|--|
enf antduncdeu	---⌫--|---|--|
req ui sille medunad	---⌫--⌫|-|-|-|----|
as unplaisir eio	|-⌫-|------||-|
l ire nd pur l ui	-⌫|--⌫-|--|-⌫-|
seruirsei l te	-----|-|-⌫|-|
plaistrece if l	-----|----⌫-||
en fantqueserued deudes	--⌫---|--|-----|--|--|
ore enauante pu i s	--|-|----||--⌫-⌫|
urad a nna si	---|-⌫--|-|
dist mi squers est	---|--⌫|----|--|
es lee zciezemisf izen deueshalci e zma par ole	--⌫---⌫----||--|-⌫-|-|--|-------⌫-⌫|-|---⌫--|
est eslargiesur	--|-------|--|
me senemiskar	--⌫|-----|--|
esle esc iésui els al ueurnul	----⌫---⌫--|--|-|-⌫--⌫---|--|
cumelisires enulsn	---|-|----||---||
est altresk ine	--|-----|-⌫|-|
changee nuls	-----||---|
n est delaforce nostre	|--|-|-|----|-----|
deulaiss ezdes ore lemultpar ler	--|-----⌫-|--|--|-|---|---⌫--|
podneepargl orie	-----|--|--⌫---|
maleparol e	---|-----⌫|
nenis se de uoz bucheskar deu es t	--|--⌫-|-|--|-----|--|--|--⌫|
d escien c esi res	-⌫|-----⌫-⌫|--⌫--|
e a luisunt apreste ́ li pensedliarcs des	||--|---|-------⌫|-|-----|-|---|--|
surmunte zeli fiebl e suntesforciezki	--------⌫||-|-----⌫|---|--------|-|
furen t saziezorese sunt purpain	-----⌫|-----|--|-|---|--|---|
luez elifameillus	---||-|--------|
asazie zp uis quel abar aigneplusurs	------⌫|-⌫--|--|-⌫|---⌫----|------|
enfant ade celekimulzou t	------⌫-||---|-|---|--⌫|
enfan zafebliadli antifiudeu	-----⌫|-------|-|----|----|
afe rme ntquemorzfud li	---⌫---⌫-|--|---|--|-|
f i zfenennequantnezfudsa muelkifud fiz	-⌫-⌫|------|----|--|--|--⌫---|-|--|--|
al abo nuree	|-⌫|--⌫----|
an ne epoischascun an quant enf antoutanneperdi	--⌫-||---|------|-|----|---⌫--|--|---|----|
fene nnel isiresmortifie	----⌫--|-⌫|----|-------|
euiuifie eenenfer	|------||-|----|
remei nelisires	-----⌫-|-|----|
faitpou ree faitr iche orguil	---|---⌫-||---|-⌫---|-----|
d epri emtle humb le	-⌫----⌫--|-|----⌫-|
eslieuelem esa ise	------|-|-⌫---⌫--|
esdrezcedelpuldrier	-------|--|-------|
lepouresache del femier odlespri n cesle	-|----|----|--|-----|-|--|---⌫-⌫--|-|
faitse deirchaere	---|--⌫---|-----|
deglorie li	-|-----|-|
fait aueiralseignursuntles qua t re	---|----|-|------|---|--|---⌫-⌫-|
p artiesdelm und	-⌫-----|--|-⌫--|
eenchescunea dp l a nté leson	|-|-------|-⌫|-⌫-⌫-⌫---|-|--|
pop leq u il adleuélespiez	---⌫-|-⌫|-|-|----|--|---|
assein zguuerneradeen	-|----⌫|---------||-|
te nebr eslifeltarrad	--⌫----⌫-|-|--|-----|
seiforce naurad ses	--|----||----|--|
aduersarie slecriendruntesurelsdel	----------⌫|-|---------||--|--|--|
cieltuner adetute	---|-----⌫-||---|
terreiuge r ade	----|----⌫-⌫-||
su n reieshlacerad	--⌫|--|---------|
helchan aalso nen ua it e	-------⌫|-|--⌫|-|--⌫-||
li enfesod deu remain t mais	-|----|-|--|------⌫|---|
lesfi zhely	--|--⌫|---|
fur entfelune	---⌫--|----||
enc untrela	---⌫----|-|
gent torcenuspa r	---|-------|--⌫|
priparfor celes d amesuiolerentlep ople	--|--|---⌫-|--|-⌫---|--------|-|-⌫---|
delsacrefi setresturnerent	--|-------⌫-|------------|
delsacrefise pristrentaseiparrusti eeparde srei	--|--------|--------||--|--|-----⌫||--|--⌫---|
plusquene n out cumandéd la	---|--|--⌫|--|--------|-|
leiefudlurpechie t mul tforment	--||--|--|------⌫|---⌫|------|
g ranz kar par lur furfait	-⌫---|--|--|--|------|
lipoplesdelseruisede u se	-|-----|--|------|--⌫|-|
retrai st maissamuelacceptablementeltabernacleseruei t	------⌫-|---|-----|-------------|-|---------|------⌫|
deu e stur e li ng efud aturnezcum cilki fud	-|-⌫-⌫----⌫|--⌫--⌫|--|------|--|--|-|--|
a deul iu reze	|--|-⌫--⌫--||
annaasiursas isquantodsunmarid	---|-|---|--⌫-|----|-|--|----|
i repairade uestur e	|------|-|------⌫|
leregarda eambedui firent ad e ulur ureis un se	-|------||------|-----||-⌫-⌫|--|-----⌫--⌫||
lurob la tiuns	--|--⌫--⌫----|
e li euescheshelylu rdunad	|-|-------|---|--⌫|----|
beneicuneuraque	-------||--|--|
rendi s tenfanzplusursenpro spete purcel	-----⌫-⌫|-----|------|-|---⌫----|--|--|
qui llio urentdunéelagrac edeula	-|-⌫|-|-⌫----|----||-|----⌫|--|-|
d a meuisitasuu ent	-⌫-⌫-|-----|---⌫--|
cunceut eenfanta	------||------|
he l yesteit loresde grant edet	--⌫-⌫|-----|----|-|----|---|
eoi asezcumesesfiz	|-|---|---|--|--|
secunteneien t ealcun efe izlu rdi st purqueifai tes	-|----------⌫||-----⌫|--⌫-|--⌫|--⌫-|------|---⌫--|
tel oure duntl a	--|---|---|-⌫|
plai nteme uientuostrefamen e nestmie	----⌫--|-|----|-----|---|-⌫-⌫|--|--|
seinekar amal lepoplemeine	----|--||--|-|----|----|
ne faitesmais	-|-----|---|
t eluuerainne	-⌫-|--------|
duntlesacre fiseremai gnesih o mpech euers	---|-|-----⌫---|-----⌫--|-|-⌫-⌫|----⌫|---|
alt read eu	---⌫-||-⌫-|
sep urra d a corder	-|-⌫----⌫|-⌫-----|
esil p echeuersdeuki	||-|-⌫---|---|--|-|
pu uradpurlu i	--⌫---|--|--⌫|
prei ertantt endr ementle s	----⌫-|---|-⌫----⌫----|--⌫|
folsamaquereddementnes	---|--|--|--------|-||
cha stiapa rbel les	---⌫---|--⌫|--|--|
repriste paramurnientpa r destresce	------||--|---|----|--⌫|--------|
ne parreddur cumeap entama istre	-|--|-----|---|--⌫--||--⌫----|
e a p a s tur li fol	||-⌫-⌫-⌫--|-|--|
n ere ceu rent lechastieme ntk ar d eus	-⌫|--⌫---⌫---|-|---------⌫-|-⌫-|-⌫--|
lesuolto c i ree faire	--|---|-⌫-⌫-⌫-||----|
uengeme ntliemfes	-------⌫-|-|----|
sam u e lamendoutecresseit eplouta	---⌫-⌫-⌫|-------||-------||----||
deu easag ent	--|||-|-⌫--|
uns messag es deu purcestpechieuin t	--|------⌫-|--|--|---|-----|---⌫|
aleueschehely	||------|---|
de ustemandec es	--⌫-|-|----|-⌫-|
p arolesp ar	-⌫-----|-⌫-|
meidunneme	--|--|-|-|
reuelaie apertementmu strai	------||---------|--⌫----|
atunpereaaron	|--|---|----|
easama ignee	||-|--⌫----|
ta ntcumeil fud enegyp te en	--⌫-|---|-|--|-|----⌫-|-|
la poeste le reip haraune	-|-----|-|--|-⌫-----||
de tuteslesligneesde isr aelle	-|----|--|------|-|---⌫--|-|
eslis quefu st m isprestrese	----|--|--⌫-|-⌫-|-------||
a muna ltel muntasteencens i portast e dunai	|--|-⌫---|------||-----||------||----|
litutesle s	-|----|--⌫|
c hoseskiali euentdes sacrefi s esasfizisraele purquei	-⌫----|-|---⌫----|--|-------⌫-⌫-|-|--|-----||------|
butéd enueiedelta lunmessacrefisese	-----|-|---|--|--⌫--|--|---------||
mesduns que iocumandai	--|---|--|-|-------|
quefussentofferze nm untemple	--|------|-----|-⌫|-⌫-|-----|
eplushonurestes	|---|------|--|
fizq uem ei p urprendre edes p endr e	--|-⌫-|-⌫-|-⌫-|------||---⌫-⌫----⌫|
delsacrefisele mielz	--|--------|-|----|
au antdec o queio	--⌫--|-|-⌫|--|-|
t aiotriédpurcotediparol efud	|-|------|--|-|-|-|-----⌫|--|
l ituensl ignages s eruireit	-⌫|----|-⌫------|-⌫-------|
deuantmei en munsaintu arie	-----|--|-|--|------⌫---|
finablemen tmaisore di	----------⌫|---|--|-|
elqu esineniertmaiski	-|--⌫|-|--|---|---|-|
hon u retio	---⌫-⌫--|-|
lglori fierai ekimei despirraiolmetraien	|-----⌫-----||-|--|-------|-||-----|-|
iauee ndrad unstensecolperaitun b raze	-|---⌫----|--|---||-------|--|-⌫--||
le braz dela	-|---|-|-|
tunperele braza pel elar che	--|---|-|---|-⌫---⌫||--⌫--|
e ladignetede pruuerage	|-|------|-|--------|
remai ndra hoem anti fen tamaisunkieues ch e	-----⌫---|---|----⌫|||-|-----|-|----⌫--⌫|
s eit e dela lei cheuel etu u li	-⌫--||-|-|--|-----||-||-|
tuen u e rr untlur a du ersa r ie	---|-⌫-⌫--⌫--|--|-⌫--⌫----⌫-⌫-|
eltempleentute slespr osperitezde isr aelen en	-|-----|-|----⌫|--|--⌫--------|-|---⌫--||-⌫-|
i ert n uls	-⌫--|-⌫--|
euesches de t u n lignage e ne	-------|-|-⌫-⌫|------||-|
remuerai p as	-------|-⌫-|
tuttunlig nage	--|--|---⌫---|
d emunautel maisco iert	-⌫|--|----|---|-|---|
alurcu nf usiunquel es oilz	|--|--⌫--⌫----|--|-⌫-|---|
lur d e faillentpa rplur	--|-⌫-⌫-------|--⌫|---|
emui rgentde	|---⌫----|-|
duelquantuerru nt	---|----|-----⌫-|
aue irla s eign uri e quiln aue run t	---⌫-|-|-⌫----⌫---⌫|-|-||---⌫---⌫|
m i e e gr antpartied eta	-⌫-⌫||--⌫--|-----|-⌫|-|
meisun quant aageuen drunticofudacum pliq uant	-----|----||--|---⌫----|--|--|----⌫--|-⌫---|
sa ulfistocireenuniurqu ant	--⌫-|---|----|-|-|--|--⌫--|
uinzpruueires desun par ente	---|--------|-|--|---⌫---|
elurfemmese	|--|-----||
lurenfanz epa r ces ens ei gn esquea mbdui	--|-----||--⌫|--|---⌫--⌫--⌫-|--|-⌫----|
tesfiz enun iurmurrunt	--|--|-|-|--|------|
eio susciteraiamu noe s pruueire	|-|---------||--⌫|--⌫|-------|
fedeil kisuluncmun quersed eduirrai co	-----|-|-----|--|---|-|-⌫------|-⌫-|
i esu cristkideseimeimes	-⌫--|----|-|-|--|-----|
dis tiofaztuz iursico	---⌫|-|--|--|---|--|
mun pere plai s tasunoesed ifia deu l e	--|---|----⌫-⌫||--|--|--⌫---|--|-⌫|
peremaisunde	---|-----|-|
lealteco estsainte eglisekituz	-----|-|--|-----|-----|-|--|
iu r sdeuant iesuc ris tse rra	--⌫-⌫|-----|---|-⌫---⌫|--⌫--|
e enp rosp er ite cunuerseraesi	|-|-⌫----⌫--⌫--|---------||-|
esta ue nircilki	--||--⌫--|--|-|
re maindrad e ta maisunuiengequ elumprit pur	--⌫------|-⌫|-|-----|-----|--⌫||-|---|--|
offerende e	--------||
pre sentede pain e d	---⌫---||-|---|||
argent keil	-----|-|-|
seitenal cune partie	---|-|--⌫---|-----|
r eceualser ui se depruu eragek ilen ait en	-⌫---|-|---⌫--⌫-|-|----⌫----||-|-|--|-|
su stena nce	--⌫-----⌫--|
liemfessa muelseruei tadeudeuanthely ela	-|----|--⌫---|------⌫||--|-----|---||-|
