ormec ouient telcose	-|-|-⌫-----|--|---|
don tie uouspuistousfairer ire	---⌫|-|---|---|---|----|-⌫--|
c arie saibien	-⌫-|-|--|---|
cou estlapu re	--|--|-|--⌫-|
quedesermo n	--|-|-----⌫|
n au ésuouscure	|--⌫--|---|---|
ne de cors saint	-|-|---|----|
oir laui e	--|-|--⌫|
de couneuous	-|--|-|---|
prentnul eenuie	----|---⌫|----|
mais detel cosequi	---|-|--|---|--|
uouspla ise	---|---⌫--|
orgartbie n cascun squil	-|---|---⌫|------⌫|-|-|
quedebie ndiresui en	--|-|---⌫|---|--|-|
garn issedieus mauoie	----⌫-|-|----||----|
se u ousme uoliés entendr e	-|-⌫--|-|------|-------⌫|
poriésaprendre	------|-------|
quibienferoit a retenir	--|---|-----||------|
si me su eto nporfoltenir	-|-|--⌫-|-⌫|--|--|----|
maisioi dire a	---||-|---||
de folhomesaigeparol e	-|--|---|----|-----⌫|
lonsprologesn estpreus afaire	---|-------||--|----||----|
or dir aineuousuoelplustaire	-|---⌫-|-|---|---|---|----|
unebranch e	--|------⌫|
etzz s eulg ab et	-|-|-⌫--|-⌫--⌫-|
decelui quitantfetda bet	-|----|--|---|--||-⌫--|
cest derenartbi en	|--|-|-----|--⌫-|
et bienoidirelaués	-|---|-|---||----|
de r enart n anu lshonsa drece	-|-⌫----|||--⌫-|---|-⌫----|
renarsfaittoutle	-----|---|---|-|
montdestre ce	---|------⌫-|
renars atraitrenarsa cole	-----|-----|-----|-⌫---|
moult estrenarsdemaleescol e	----|--|-----|-|---|-----⌫|
nulscorro ies	---|-----⌫--|
ne sera se acointe s	-|---|-|-------⌫|
estsaig ese tuoisous	--|----⌫-|-⌫|------|
renarse ts i n estpasnoisous	-----|-⌫|-⌫||--|--|------|
maisen cest monde nasi	---|-|---|----|||-|
quebienneface auc un folaige	--|---|-|---|---⌫-|------|
oruousdirai quel mesestence	-|---|----|---|---------|
auintrenar tetquelpesance	----|-----⌫|-|---|------|
latrierest oi talésporque rre	|-----|---⌫--⌫|----|--|---⌫--|
sagarison ena utreterre	-|------|-|-⌫---|----|
co n me cils quiauoitsoffraite	--⌫-⌫-|---|--|----|--------|
