couuient tel cose dire	-------|--|---|---|
dont ie uouspuissefaire	---|-|---|-----|----|
carie sai bi en cenestla p u re	--|-|--|--⌫-||-|--|-|-⌫-⌫-|
quedesermon	--|-|-----|
ne decorsaint oi r lauie	-|-|-------|--⌫|-|--|
n euousprentil g airesdenuie	-⌫|---|----|-|-⌫----||----|
maisde telc ose q uiluous	---|-|--|-⌫--|-⌫|-|---|
gartcascun squ	---|------⌫|-|
ilsetais e	-|-|----⌫|
uoliésentendre	------|-------|
tel cos eipo r és aprendre	--|---⌫||--⌫-⌫--|-------|
qui moult iertbonearet e nir	--|----|---|---||---⌫-⌫--|
simesueltonpo r fol	-|-|----|-|--⌫|--|
mais iaioi direen	---||-|-|---|-|
defolhome saigeparole	-|--|---|----|-----|
l onsprologuesn	-⌫--|--------||
estp r eus afaire	--|-⌫-⌫--||----|
neme uoel plustaire	-|-|---|---|----|
unebra ncheetzzseul gabet	--|---⌫---|-|-|---|----|
d e celuiquitantsetdabet	-⌫|----|--|---|--||---|
cou estrenarsb ien	--|--|-----|-⌫--|
le s aués	-|-⌫----|
siconmeoidire	-|----|-|---|
derena rtne uanulsendestre	-|----⌫-|-|-|---|-|-----|
renarsfaittoutlemondepest re	-----|---|---|-|----|----⌫-|
renars atra itrenarsafole	-----|----⌫-|-----|----|
renars estd ebelleparole	-----|--|-⌫|----|-----|
u acor oiesointes	-⌫|---⌫---|-----|
nu ls tantsoituois eus	--⌫-|---|---|----⌫--|
ne c ointe z	-|-⌫-----⌫|
m oultpare stsaigesetuoiseus	-⌫---|--|-⌫-|-----|-|------|
renars issi ne stpas noiseus	-----|---||-⌫-|--|------|
maissor le	---|--|-|
qui ala foisn	--||-|---||
au ta fo l aige	--⌫||--⌫-⌫---|
or uous dir ai quelmesestance	-|---|---⌫-|---|---------|
auintrenartetquel	----|-----|-|---|
l autrierestoitale ́s	|------|-----|---⌫-|
por q ue r re	--|-⌫--⌫-⌫-|
sa gar i s onenautrete rre	-|---⌫-⌫-⌫-|-|----|--⌫--|
co nmecilq ui	--⌫--|--|-⌫-|
auoit soffr aite	----|-----⌫---|
por lefainquisiledehaite	--|-|---|--|-|-|------|
torne ́ss enest enu nepree	-----⌫-||-|--|-|-⌫-|---|
iluin talauespree	-|---⌫|||-------|
senuare nars par	|-|-|--⌫---|--|
une bro uce	--|---⌫--|
moultfudolansm oultse	----|-|-----|-⌫---|-|
c ou rouce	-⌫--⌫----|
qu ilnepuet telcoseacuper	-|-|-|---|--|---|-----|
quilpeu st auoi r au souper	-|-|---⌫-|----⌫|-|-----|
auoitriensenlapast ure	----|----|-|-|----⌫--|
lorss en reuagrantaleure	---||-|---|----|-----|
fo rsdou bo is et	--⌫-|--|--⌫-|-|
arestéssestde fain	-------||--|-|---|
graislesparf lansuainsesba his	-------|--|-⌫---|----|----⌫--|
moultgran tfainaen	----|----⌫|---||-|
d euresenautress esten delle	|----|-|-----||-----⌫----|
e tses uen tresmoult	-⌫|--|---⌫---|----|
sesmeruelle	|---------|
q uisontdeden s	-⌫-|---|-----⌫|
quilfa itdespoese tdesdens	-|-|--⌫-|--|---|-⌫|--|---|
delangoisseetdeladest rece	-||-------|-|-|-|----⌫---|
gien tde la fain quim oul tleblece	----⌫|-|-|---|--|-⌫---⌫|-|----|
ilfait maluaislas t endre	-|---|------|--|-⌫----|
laou onnet r ueueque prendre	-|-|-|-|-⌫-⌫---|--|------|
courutz z gr ant arpe nt entier	-----|-⌫|--⌫--|----⌫-|-----|
onques neuol tissirdou	-----|-|---⌫|----|--|
tant queilu in taunt respa s	---|--|-|-⌫--⌫||-|-⌫-----⌫|
lorssares teeta colo iét	---||----⌫-|-||----⌫---|
concil quimoultafoloiét	--|--|--|----||-------|
le col b assi e	-|--|-⌫----⌫|
siacoisiparz zp la ssie	-||----|--|-⌫|-⌫--⌫---|
parencost e d	--|------⌫||
unesauain nes	---|-----⌫--|
uneabeied eblansmoisnes	--|----|-⌫|----|------|
etu negrain getr es deioste	-|-⌫-|-----⌫-|--⌫-|------|
uiluolrafaire une ioste	|-|----|----|--|----|
limurerentderochebise	-|--|----|-|----|---|
lagraingeert gr antet bien asise	-|------|--|--⌫--|-|---|----|
to utaualiane nmentiron	--⌫-|---|-||-⌫|-------|
etfuclosetout enuiron	-|-|----|---|------|
do nt h auteiert	--⌫-|-⌫---|---|
neliri e nsquiu i ue	-|-|--⌫-⌫-|--|-⌫-⌫-|
tolirparforce	----|--|----|
nul e cose	---⌫|---|
desquela porteiert ferm eet close	-----|-|----|---|----⌫|-|----|
planteue iertd enorretu re	-------|---|-⌫|-------⌫-|
quilerent en bone	-|-|----|-|---|
moult parestoitrichelagra igne	----|--|-----|----|-|---⌫---|
mais a pluisors e st oi testraigne	---||-------|-⌫--⌫--⌫|--------|
as sesiauoit te luiande	--⌫--||----|--⌫|-----|
conrenars li	--|-----|-|
houpil zdemande	------⌫|------|
ge lineschaponssei ornés	--⌫----|------|---⌫-----|
renars estcelepar t	-----|--|---|---⌫|
parmilesuoi esua	----|--|---⌫-|-|
tousabrie uésdefaire assaus	---|-----⌫---|-|----|-----|
onqu esnefuses frainste nu s	----⌫-|-|-|--|-----|--⌫--⌫|
dusquilestasfo s ses uenus	----|-|--|-|--⌫-⌫--|----|
sorle f os se sesta restés	--|-|-⌫--⌫-||--|-⌫------|
degaaignier tous	-|--------|---|
etdesge line s a salir	-|--|--⌫----⌫|-⌫----|
mais ilnipooit	---|-|||----|
racorte nto r la graigne	-----|-⌫---⌫|-|------|
m aisilnit rouoi tpontne	-⌫--|-|||-⌫-----⌫|---|-|
neper t ruissi	-|---⌫-⌫---|-|
sendesconforte	|-|----------|
lors s acrou pi deuant	---||-----⌫-|-----|
etui t leguicetent rouert	-|--⌫|-|-----|---⌫-----|
et lep ertuisades couuert	-|-|-⌫-----||---⌫------|
cele pa rtuint outreselance	---|--⌫-|---|----|-|----|
ore strenarsengrantbalance	-|-⌫-|-----|-|----|------|
ilpuentape rceuoir	-|----|---⌫------|
queil lesuoelle dec eu oir	--|-|--|-----|---⌫--⌫--|
li moisneretend ront mon gaige	-|-----|------⌫---|--|----|
u luimeismesenostaige	|--|------|-|------|
c arfelon sontadem esu re	-⌫-|----|---||---⌫---⌫-|
cui c haut tout	--|-⌫---|---|
es ten auen ture	--⌫|-|----⌫---|
renars ua o rpa rl epour pri s	-----|-|-⌫|--⌫|-⌫|----⌫---⌫|
gran tpoor	----⌫|---|
adestresouspris	||----|-------|
