mesireno bles	-|---|--⌫---|
olui a u oit	|--|-⌫-⌫--|
a icel ter meet	|---|---⌫-|-|
acel point	|--|----|
quelileu sfuen	--|-|---⌫|-|-|
si mal po int	-|--|--⌫--|
ot laqueu eper due	-|-|----⌫|---⌫--|
t r ois iorsotia sacorttenue	-⌫-⌫--|---|-|-|-|---|----|
bienlontlibaron mainte nue	---||--|-|----|------⌫--|
ets achiezbie ndeuerite	-|-⌫-----|---⌫|-|-----|
quemoulteni ot assemblé	--|----|-||-|--------|
demaint paisde	-|----|---|-|
mainte terr e	-----|----⌫|
sanzce quilles	---|-|-|-|--|
enueastquerre	------|-----|
tuit li baronuie gnentensemble	---|-|----|---⌫----|-------|
fors sire renartcemesemble	---|---|-----|-|-|-----|
etsire ysengrinlordené	-|---|-------||------|
quere nartauoit coron ne ́	--|--⌫---|----|-----⌫--⌫|
pa rquoiil licouint les sier	--⌫|---|-|-|-----|---⌫---|
qantalapes ch ier	---|--|---⌫--⌫--|
po rceo tysengrinlechanu	--⌫|-|-⌫|-------|-|----|
renart au e cluirete nu	-----|--⌫-⌫|--|----⌫-|
queilnosea	--|-||--||
l a cortuenir	-⌫|---|----|
nelacortleroi maintenir	-|-|---|-|--|--------|
a uque sderaison	-⌫----⌫|-|-----|
quillel essoi t por achaison	-|-|-|-⌫-----⌫|--|-------|
etpor iceetpo rla	-|--|--|-|--⌫|-|
quenelamoi ent gout e	--|-||----⌫--|----⌫|
la gentl e	-|---|-⌫|
roinert miecoie	--||--|--|---|
ainzmeniuentetfontgran tioie	---|-------|-|---|----⌫|---|
gra ntioiefo ntparle	---⌫-|---|--⌫-|--|-|
etchantoient chanconse tl ais	-|---------|-------|-⌫|-⌫--|
ets on enttim br eset tabors	-|-⌫--⌫--|---⌫--⌫-|-|-----|
atantu intysengrinli cous	----|-⌫--|-------|-|---|
entreeussetintto t	----|--|-|---|--⌫|
sonculap orte descouert	--|--|--⌫---|--------|
qarnelauoi tde coicourir	--|-||----⌫|-|--|-----|
etqua ntille uoientuen ir	-|---⌫-|-|-|-----|---⌫-|
