mesireno blelilion s	-|---|--⌫--|-|----⌫|
osoiauoittoz sesbarons	|--|----|--|--|-----|
trois iorzotiasacortt enue	----|---|-|-|-|---|-⌫---|
bienontliba ron	---|--|-|--⌫--|
main ten ue	----⌫---⌫-|
uenuzisontdemainte	----||---|-|-----|
sanz ce qu	---|-|-|
ilezenuoia stquerre	|--|------⌫-|-----|
uenuzy erent	----||----|
tuit ensembl e	---|-------⌫|
fors sire renar tcemese mble	---|---|-----⌫|-|-|--⌫---|
ciln i u ouloitmieuenir	--|||-⌫-----|--|----|
cortleroymainten ir	---|-|--|-------⌫-|
siauoitauquesde rais on	-|----|-----|-|----⌫-|
lil a isoit	-|-⌫-⌫----|
porachoison	--|-------|
etpor lapoineet	-|--|-|----|-|
p orladou t e	-⌫-|-|---⌫-⌫|
de ce quilne	-|-|-|-|-|
l amoien t goute	|------⌫|----|
lagentleroyniert	-|---|-|--||---|
a inz ma in entfeste	-⌫--|--⌫--⌫--|----|
etfontg rantioie	-|---|-⌫---|---|
grantioie font par l e pala is	----|---|---|--|-⌫|----⌫-|
et chantoien tet sons e tlais	-|---------⌫|-|---|-⌫|---|
etsonnent tymbresettab ors	-|------|------|-|---⌫--|
son tfors renartl e	---⌫|---|-----|-⌫|
do ntm ainteclamor fumeue	--⌫-|-⌫----|-----|-|---|
qu ant sag ent sontue nue	--⌫--|-|-⌫--|---|--⌫--|
co nmand eq uiloient tui t	--⌫-----⌫|-⌫|-|----|---⌫|
comcilqu iestdegrant	--|--|--⌫|--|-|----|
a h auteuoiza lo ngu e alaine	|-⌫---|---||--⌫---⌫|-----|
chascunde cha nter	------|-|---⌫---|
bien sepai ne	---|-|---⌫-|
luna lautre so n chant	|-|||----|--⌫|----|
atantes uousdeuant	----|-|---|-----|
danzgr imbe rtquiren artam aine	---|--⌫----⌫-|--|---⌫--|--⌫---|
am ontgrant paine	|-⌫--|----|----|
partemp s si conme n ouscuidons	--|----⌫|-|----|-⌫--|------|
