messirenobles li	--|---|-----|-|
a uoit oso itousses	-⌫---||--⌫|---|--|
a yceliouretace l	|---|---|-||--⌫|
quisangr ins	-|------⌫--|
fuensi mal point	-|-|-|--|----|
qu eil oustsa coe perdue	--⌫|-|---|-|--|-----|
troisi orsoustiasa court t en u e	----|-⌫--|---|-|-|----|-⌫--⌫-⌫|
tuitsib aronfurentensamble	---|-|-⌫---|-----|-------|
forssi rerenartce	---|--⌫-|-----|-|
etsir eysengrinledesué	-|---⌫|-------|-|-----|
queren ara uoitcoronner	--|---⌫-|-⌫---|-------|
grantfestefirentat abours	----|----|-----||-⌫-----|
at a n t uintysengr inle cour s	--⌫-⌫-⌫|---|------⌫-|-|----⌫|
sefierttouten apert	-|----|---|-|----|
sonchief appor te de s couuert	--|----|-----⌫-|--⌫-⌫------|
quine l au oit deq u oico uurir	--|-||--⌫--|-|-⌫-⌫-|--⌫----|
etq uantille uirentuenir	-|-⌫---|-|-|-----|----|
si l econmencent a g ab er	-|-⌫|---------||-⌫--⌫-|
a insisnedeuéspasaler	-⌫----|-|-----|--|---|
biausirecouure ́suo s tr e	---|---|------⌫-|--⌫-⌫--⌫|
estesuousde	----|---|-|
lordresain ct poul	|----|----⌫-|---|
qui apport éssig rantc oronne	--|------⌫--|-|-⌫---|-⌫-----|
ysengr innuln en arraisonne	------⌫-|--||-|---------|
ai ns passeoultrec haucunbaron	--⌫-|----|-----|-⌫-----|----|
ius quauroy no bl ele lyon	---⌫-|-|--|--⌫--⌫|-|---|
clamés sest	------||--|
derenartler ous	-|-----|-|-⌫--|
de uant le r oya nufgenous	--⌫---|-|-⌫-||--|-----|
par cuiiles tsiatourne ́s	--|--|-|--⌫|-|-------⌫-|
lesgreno nshaplee ́s	--|-----⌫-|-|----⌫-|
et sihala coeperdue	-|-|-|-|--|-----|
dontil ha grant dolo ur	---|-|-|----|----⌫-|
tropen ha faitemale	---|-|-|----|---|
etliro ys nob le s	-|-|--⌫-|---⌫--⌫|
leresgarde	-|-------|
etli roysenharis moult	-|-|---|-|-|--|----|
ys en gr inf aitil	--⌫--⌫--⌫-|-⌫--|-|
cilz qui ain sit aatourné	---|--|---⌫-|||-------|
moult mal ementt a coron né	----|---⌫----|||-----⌫--|
s aichésque moult ensu iiriés	-⌫------|--|----|-|--⌫|-----|
maistuenseras	---|-|-|----|
bie n ueng iés	---⌫|----⌫---|
lferai ueni r	|----|----⌫|
selcomparr a ains qu ils en	-||-------⌫|---|-|-||-|
ou estes uoussire grimbert	-|----|---|---|-------|
or estr e nart rop de scouuert	-|--|-⌫-⌫--|-⌫--|--⌫-------|
or sunt trop apertses	-|---|---|----|--|
aléslemoy q uerreuias	----|-|--|-⌫----|---|
bi ens aiquetantest	--⌫-|-⌫-|--|---|--|
fo rsenés	--⌫------|
uenraseneladmenés	----|-|-||-------|
siredis tgri mbertieirai	---|---⌫|---⌫----|-|---|
et seiepuis	-|-|-|---|
ielamenrai	-||------|
atantdelacourt se depart	----|-|-|----|-|-----|
s iuin t droitau chastel renart	-⌫|---⌫|----|-|------|-----|
l ahagrimbertre nar ttrouué	-⌫|-|-------|--⌫---⌫|------|
sonmessaige l ia conté	--|-------|-⌫||-----|
etliditq ueli	-|-|--|-⌫-|-|
royslem ande	---|-|-⌫---|
queueingneacourtceli conmand e	--|------||----|-|-|-------⌫|
ren arrespo nt comme affaitiés	---⌫-|-----⌫-|----|---------|
a la cou rtira iuolentie rs	|-|---⌫-|---⌫|--------⌫-|
courtuenus	----|----|
lafugrans parlemenstenus	-|-|----|--------|----|
chaucuns surluisesdens aguise	-------|--|--|--|---|-----|
ysengrinqui	-------|--|
siettres d euantles piesle	---|---|-⌫----|--|---|-|
serenar tfuengra nteffroy	-|-----⌫|-|-|---⌫-|-----|
nulznes endeuroit meruillier	---|-||-|------|---------|
bi enauroit d	--⌫-|-----||
a yde mestier	-⌫--|------|
car lamessaige	--|-|-------|
etth ie celi n	-|--⌫--⌫----⌫|
etchantecle r e tysengrin	-|---------⌫|-⌫|-------|
sun t tuit tournéaunepa r t	---⌫|---|------||--|--⌫-⌫|
orestmaladue nu re nart	-|--|--|----⌫-|--⌫---|
brunsliours etthiebersli	----|-|---|-|-------|-|
ontadmen éleur	--|-----⌫-|---|
quei l uaul rontrenart	--|-⌫|----⌫---|-----|
ianesen saur a eschaper	-|-||-|----⌫|-------|
uolentierssenalas t arri ere	---------||-|----⌫|----⌫--|
sil poistennulle maniere	|-|----|-|----|------|
grimbertli ditnaiespaour	-------|-|--||---|----|
de yy maux lemillour	-|-|---|-|------|
te retournes	-|--------|
