nobles lilions	-----|-|----|
olu iau oi t tos sesbar ons	|--⌫|--⌫--⌫|--|--|---⌫--|
yyiors otiasacorttenue	-|---|-|-|-|---|----|
bienlontlibaronmain tenu	---||--|-|----|----⌫---|
sen scequeuosenuo iaque rr e	---⌫|-|--|--|----⌫-|---⌫--⌫|
uennusuntparmeretparte rre	----|---|--|--|-|--|--⌫--|
tuitens ambleporlui	---|---⌫----|--|--|
qui b ienlen ueulent	--|-⌫--||-|------|
porc equequasc unsbien sauo it	--|-⌫|--|-----⌫--|---|----⌫-|
deu o irque ilsa cor tt enoi t	-|-⌫-⌫-|--|-|-|---⌫|-⌫----⌫|
ac es tres hautes an nesfe stes	|-⌫-|---|-----|--⌫--|--⌫---|
i u ienent de par	|-⌫-----|-|--|
totles bi estes	--|--|--⌫----|
lagensl eroi	-|---|-⌫|--|
ne fupa sch oie	-|-|--⌫|--⌫--|
parl a salem ain ne ntgrant ioie	--|-⌫|---|-⌫---⌫--⌫-|----|---|
trestui t f ontgrant	-------⌫|-⌫--|----|
ioieelpalais	---|-|-----|
cante ntnotentuielentlais	-----⌫-|-----|------|---|
sun tforsrenartlerous	---⌫|---|-----|-|---|
dontaeumainte scl amors	---||-|------⌫|--⌫----|
etmaintegrantireaeue	-|-----|----|--||--|
li roisquantsagens fuxxx	-|---|----|-|---|-|--|
lunsuers l autresoncantauale	|--|---||----|--|---|----|
parmi lasale	----|-|---|
d an tgrinbert ueni retrenart	-⌫--⌫|-------|----⌫|-|-----|
maisso rnesetd	---||-⌫|-|--||
aucun barat	----|----|
d ec eq uetant ot fa itlamuse	-⌫|-⌫|-⌫-|---|-|--⌫-|-|---|
e tysengrins	-⌫|--------|
au roil encuse	-|--||-----|
mutpar tans siconnoscuidons	--|--|---|-|--|--|------|
iertdeluipr isseue ngisons	---|-|--|--⌫---|--⌫------|
setrenars defrape	--|-----|-|----|
il e stcheusen m ale	-|-⌫-|----|-|-⌫--|
r enars a lentrerdelaporte	-⌫----|||-----|-|-|----|
uait reculant mutseconfort e	---|-------|--|-|-------⌫|
grinbersli distn aiespaor	-------|-|---||---|---|
deyy malspren tonlemenor	-|-|---|----⌫|-|-|----|
setunetornoiesde chi	-|-|-|-------|-|--|
cepuestu biensauo ir de fi	-|---|-|---|----⌫-|-|-|
uuellesuno n	------||--⌫|
repaierra s	---------⌫|
u er slero i	-⌫--⌫|-|--⌫|
ganchiernepora s	-------|-|----⌫|
re nartnet esmaier	--⌫---|-||------|
tunesescon	-|-|--|--|
coarsdoutetos i orsla mort	----|----|--|-⌫--|-|---|
renart soies de	-----|----|-|
bonconfort	--|------|
fortunesecort ashardis	------|-----|-|-----|
sicont esmo igneli	-|--|-⌫----⌫---|-|
rena rsque qu e cille	----⌫-|--|--⌫|--|-|
et quemutbonconsellidonne	-|--|--|--|-----|-|----|
o upalais sene n t rentad ies	-⌫|-----||-|-⌫-⌫-⌫---|--⌫--|
grinbers auant renarsapres	-------|----|-----|----|
sanbloitpas	-------|--|
soncosinteno it parle main	--|----|----⌫-|--|-|---|
la pressed esrontetdep art	-|-----|-⌫-----|-|---⌫--|
nia celui qui	|||----|--|
deuan tl e	-----⌫|-⌫|
roi quantilleuit	--|----|-|-|--|
sagenoilla	|--------|
etseli dist	-|-|-|---|
roisd iu sli fiussa int	---|-⌫--⌫|-|---|--⌫--|
etuos etuostreconpaignie	-|--|-|-----|---------|
uosgartetto tu ostrebarne	--|---|-|--⌫|-⌫----|----|
etlilionslareg a rdé	-|-|----|||---⌫-⌫---|
par gr antfier teet p ar o rguel	--|--⌫--|----⌫-|-|-⌫-|-⌫----|
re narsleconnutbien aloi l	--⌫---|-|-----|---|||--⌫|
renars agrantpaordel ui	-----||----|---|-|-⌫-|
mutgrientqu il ne	--|-----|-|-|-|
li fac eanui	-|---⌫|---|
miusuaussistestre ac o rt tosnus	---|-------|----||-⌫-⌫-|--|--|
que ilfus luiu enus	--|-|--|--|-⌫---|
libaro ns unt tuitarepos	-|----⌫|-⌫--|---||----|
parla sale n i asios	--|-|---||||-|-|
qui iface nebruitne	--||---|-|----|-|
li roisparla renarss x xx	-|---|----|-----||-⌫-|
si aditpar g rantfelon nie	-||--|--|-⌫---|-----⌫--|
ce salu n e uosrengemie	-|---|-⌫|--|--|-|--|
rol s uenimeusdepute	---⌫|-------|-|---|
orr ema nréschaenso moi	-|-⌫---⌫----|-----||--|
ain s qu e partés de ces testage	---⌫-⌫--⌫|------|-|---⌫|-----|
melairésuo s caensbongage	-|------|--⌫|----|--|---|
u au mainslarouss epel ice	|-|----|-|-----⌫|---⌫--|
qu antestiésdedensuo l ice	--⌫--|------|-----|-|-⌫--|
nequid oi es maisrepairier	-|----⌫--⌫-|---|--------|
totl e montcuidesguer roier	--|-⌫|---|-----|----⌫----|
ta ntc on tornabientarouele	--⌫-|-⌫-|----|---|-|-----|
nosasseruisde lafau ele	--|-|-----|-|-|---⌫--|
m aismaintes fois aoidir e	-⌫--|------|---||-|---⌫|
apr esgrant	---⌫-|----|
ioieuien t grantire	---|----⌫|----|--|
e t ap resmoluent	-⌫|--⌫--|--|---|
uente bisse	----|----|
l iau qu equil	|--|--⌫|-|-|
orcuiciebie n	-|---|-|---⌫|
sirerena r t	---|----⌫-⌫|
est bri ssi és de uostre	--|---⌫---⌫--|-|-----|
lirois parlarena rsesc oute	-|---|----|----⌫-|---⌫---|
etdistquesagensi esttote	-|---|--|-|---||--|---|
renart faitilaton	-----|---|-||--|
resanbl eshoume dep utaire	-------⌫-|----|---⌫-----|
bienperta toique	---|---||--|--|
fu sli pos	--⌫|-|--|
quetu esplusenflés quebos	--|-|-|---|------|--|--|
rena rt muta entoiengien	----⌫-|--||-|--|-----|
on ques nul io r	--⌫---|--|--⌫|
nefe isbie n	-|--⌫-|---⌫|
porce qu etant mas en guinnié	--|-|--⌫|---||-|--⌫-------|
etysengrin tant	-|-------|---|
engingnié	---------|
et porcequetiberslic as	-|--|-|--|-----|-|-⌫-|
partonengienfupris	--|--|-----|-|---|
etbruns liorsparmile	-|----|-|--|----|-|
elcainne dontostaslecuig	-|-----|---|----|-|---|
telgueredon t eferarendre	--|-------|-⌫|---|-----|
quea s forces teferapen dre	--|-⌫|-----|-|---|---⌫--|
rena rssot mutdenfantement	----⌫-|--|--||----------|
sirep ondi mut	-|---⌫---|--|
biaus siresauu euostreg rasce	----|---|----⌫|-----|-⌫----|
onquesnefui deteles t rasse	-----|-|--|-|--|--⌫-⌫----|
qu amon s ignor fa cec ontr aire	-||--|-⌫----|--⌫-|-⌫----⌫---|
necho sequene doie	-|---⌫-|--|-|---|
ie s uiu ostrehometuos	-|-⌫-|-⌫----|--|-|--|
d emoine deue ́s	-⌫|--|-|----⌫-|
co se dire	--⌫-|---|
quiestremed oi eanuissan ce	--|----|-|-⌫--⌫||-------⌫-|
ca r b ienaue ́sl apoissance	--⌫|-⌫--|---⌫-|-⌫|--------|
ieter me poésde laterre	----|-|----|-|-|----|
nepuis p assou friruostreg uerr e	-|---|-⌫-|---⌫---|-----|-⌫----⌫|
mut par redoutmes anemis	--|--|-----|--|-----|
simenpo isse quei aimespri s	-||-|--⌫---|--||-|------⌫|
d erienqu iauo s apartiegne	-⌫|---|--⌫||--⌫|---------|
mais n elai pasdontmesouuiegne	---|-⌫||-|--|---|-|--------|
te lsl euos aorfaitente ndre	--⌫-|-⌫|--||-|---|----⌫---|
etconte ́par m oi	-|-----⌫|--|-⌫-|
ent reprend re	---⌫-------⌫-|
qui ne loseroientprouer	--|-||--------|-----|
mongagepuentcontrouer	--|---|----|--------|
maisauoir dir esai g ebien	---||---|---⌫|--|-⌫|---|
que ienai entrep ris de	--|-||-|------⌫--|-|
iamaispr eud onn	-----|--⌫---⌫-||
ene rtamés	-|-⌫-|----|
l ipluslo ia u set	-⌫|---|--⌫--⌫-⌫|-|
plus blamés	---|------|
f ols estqu ine	-⌫--|--|--⌫|-|
distuerite	---|-----|
lipl uissorensunt dese rté	-|--⌫-----|-|---|----⌫---|
e tde terre iet éa to rt	-⌫|-|----|---⌫-||--⌫-|
l imen teorsu ntlip lus fo rt	-⌫|---⌫---|--⌫-|-|-⌫--|--⌫-|
uosde us tsidec oiu re	--|--⌫--⌫|-|---⌫---⌫-|
q u ene deussié sa percoiu re	-⌫-⌫|-|--------⌫|-⌫-------⌫-|
quemench oign e	--|-----⌫----⌫|
uos feracroire	--|---|-----|
ou dirac osequin estuoi re	-|---|-⌫--|--||--|---⌫-|
yy e naque	-|-⌫||--|
meconnoistes	-|---------|
monthon nircouuoites	---|---⌫--|--------|
poruosaitantepain neeue	--|--|-|----|----⌫-|--|
encoren ai lacarronpue	----|-|-|-|--|-----|
desgranstr a ualscoes tlas oum e	--|----|--⌫-⌫---|-|--⌫|-|-⌫---⌫|
quantie poruos alaia roume	----|-|--|--|---||----|
a s alier neet a	|-⌫-----⌫-|-||
monpellier	---------|
por lam echineporchacier	--|-|-⌫-----|---------|
qui bounefuau mal	--|----|-|-|--|
quiforment uosfaisoit pener	--|------|--|------|----|
sir e mestie ruo s	---⌫|------⌫|--⌫|
cedistgrinb ersmut deceu	-|---|-----⌫--|--|----|
uos quiditesquiames fait	--|--|----|-|||---⌫---|
p or r ie nne	-⌫-|-⌫--⌫|-|
auoi rfai t	----⌫|---⌫|
grin ber sfa itnoblesbienasdit	----⌫---⌫|--⌫-|-----|---|-|--|
i adec ene	-⌫|-|-⌫|-|
serr as desdit	----⌫-|-----|
bienpuetestre quilmaser ui	---|---|----|-|-|||---⌫-|
maismalement le	---|-------|-|
ueritesquemandairen art	------|--|-----|---⌫--|
tibers f u demoie	-----|-⌫|-|---|
qui bien lidistq u amo i u enist	--|---|-|---|-⌫||--⌫|-⌫----|
dess daingnel mesist	----⌫----|-||-----|
renarsqui fai t	-----|--|---⌫|
mainteproumesse	-----|--------|
etmutsede lafauueanesse	-|--|-|-|-|----|-----|
quebienliserr oit	--|---|-|----⌫--|
et queacort olui iroit	-|--||---||--|----|
rena rs faitd el alersanb lan t	----⌫-|---|-⌫||---|----⌫---⌫|
tiber stint	-----⌫|---|
soncheualanblan t	--|-----|------⌫|
quantilfurent u ile	----|-|-----|-⌫--|
renarsquisauoitm utdegil le	-----|--|-----|-⌫-|-|---⌫-|
sot l ostelqu azz	--||----|-||-|
p restreest oit	-⌫-----|---⌫--|
p a rlui d u rem entse gaitoit	-⌫-⌫|--|-⌫-⌫---⌫--|-|------|
enla maissonnot nuleentre e	-|-|------||-|---|-----⌫|
forsla b a re dontestfremee	---|-|-⌫-⌫-|---|--|-----|
laottendu lasporluiprend re	-|-|----|--|--|--|-----⌫-|
etilfista tibertentendre	-|-|---||-----|-------|
illuec soloituenir	-----|-----|----|
etasg elinn es	-|-|-⌫-----⌫-|
etta nti o t soris	-|--⌫-||-⌫|----|
n eniottant dusquaa aras	|-||-|---|----|||---|
tiberscuidaque	-----|----|--|
uoir deist	---|----|
degrantfolie sent remi st	-|----|----||---⌫----⌫-|
audepar tirle	-|-----⌫--|-|
ti ntporfol	--⌫-|--|--|
lilasli ch aisor lecol	-|--|-|--⌫-|--|-|--|
ilnesot t antb out er	-|-|--|-⌫--|-⌫---⌫-|
qued i lluec	--||-⌫----|
s epeus tretraire	-⌫|----⌫|-------|
cilqui sef urentent remis	--|--|-|-⌫----|---⌫----|
del lacfa ire qu	--|--|--⌫--|-|
il orent mis	-|----|--|
quant sore nt q u il	----|----⌫-|-⌫|-|
or entpriss on	--⌫--|-----⌫-|
lunspr is tz zpellautreb asto n	|--|--⌫--⌫|-⌫|--||----|-⌫----⌫|
etrenarssemistalauoie	-|-----|-|---||-|---|
atalent que	|-----|--|
tibertbatente tdounentcols	-----|-----|-⌫|------|---|
lil asrontutenoitlixxx	-|-⌫-|---||-----|-|--|
quanttibers se senti	----|-----|-|----|
lesgrenonsdr ecele s denss erre	--|------|--⌫--|--⌫|---|-⌫---|
il li auintgente auenture	-|-|----|----|-------|
biel eacrea ture	----⌫||----⌫---|
que liprestresifuuenus	--|-|-------||-|----|
desc aussansbraies ettosnus	----⌫--|---|-----|-|--|--|
uinta tibertseluaut	---||-----|-||---|
et cilq uiceuoloit	-|--|-⌫-|-|-----|
dou prouoi re	--|------⌫-|
lac oilleprist	-|-⌫----|----|
si q uederienni	-|-⌫-|-|---|||
entreprrist	----------|
ensam a inot ce fulauoire	-|-|-⌫-⌫-|-|-|-|-|----|
leplusdela	-|---|-|-|
coil leauprouoire	----⌫-|-|-------|
manga leain squ issistde lo stel	----|-|---⌫--|-----|-||-⌫---|
nemangamais tibers	-|----|---|-----|
lipres tres seifuacor ue	-|----⌫----⌫-||-|----⌫-|
orneserra ma ischier tenue	-|-|----|--⌫-|----|----|
quan t uoitlaperte qu aeue	----⌫|---|-|----|-||--|
lassefait ele malos true	----|---|--|-----⌫---|
p erduela ioie	-⌫----|-|---|
parcoien telcier te	--|--|-|--|----⌫-|
ilnaura iamaisde	-||---|-----|-|
po rcequa p erdula nbleu re	--⌫|-|-||-⌫---||-⌫-----⌫-|
orsai bie n quil me	-|--|---⌫|-|-|-|
guerpi r a	------⌫-⌫|
puisquea idier	------|-⌫----|
aioieate n u	|---||--⌫-⌫|
saio uente	-|--⌫----|
tantsuii e certesplus dol e nte	---|--|-⌫|-----|---|---⌫-⌫--|
ilm edoun oit l es biausmangiers	-|-⌫|----⌫--|-⌫-|----|-------|
et lesb iaus d ras	-|--|-⌫---|-⌫--|
mu t uolentiers	--⌫|---------|
or sa ibienfaillerm	-|--⌫|---|------||
g rantco sseaufaire l estuet	-⌫---|--⌫--|||----||-----|
mesire a pe rduh ardement	-|---||--⌫--|-⌫-------|
lichas l eseruimale me nt	-|---|-⌫|----|----⌫--⌫-|
sicomil d emainnent	-|--|-|-⌫--------|
istp a rmizzbue l	--|-⌫-⌫--|-|---⌫|
re nars senfuprim exxx	--⌫---||-|-|----⌫|--|
mal pa rtis	--|--⌫---|
de c estecosea faitepla intes	-|-⌫---|---||----|---⌫----|
tibe rsdesautr esia maintes	----⌫-|--|----⌫-|||------|
b runs serepl ainstque	-⌫---|-|----⌫----|--|
lefist bat re	-|---|---⌫-|
au cha i sneu il se fis ten b atr e	-|---⌫-⌫--||-|-|---⌫|--⌫-⌫---⌫|
queca rpentierorent ouure ́t	--|--⌫-------|----|-----⌫-|
etlesie ́ totad escouuert	-|-----⌫|--||-⌫--------|
miela uoitdedens	---|-⌫---|-----|
cillenc uid atraire a	--||-|-⌫---⌫|-----||
s on groigi mist et enbati	-⌫-|----||---|-|-----|
tan tque lecuingenabati	---⌫---|-|----|-|----|
on quesdes cuins	--⌫---|--|----|
nila iss a	||--⌫---⌫|
enquifur emes ligroins b run	----|-|-⌫---|-|-----|-⌫--|
lo rsf u lilasengra ntdolor	--⌫-|-⌫|-|--|-|---⌫-|----|
toteotperduelacolor	---|-|-----|-|----|
renarsneuitforsq uesor rire	-----|-|--|---|-⌫-|---⌫---|
entel martire	-|--|------|
etd ista brun	-|-⌫--||---|
ma ngiésases	--⌫-----|---|
tantque soiés bie n soelés	------|-----|---⌫|------|
leestuostres iel uosles	-|--|------|-||--|--|
queiemenuoistotaesleis	--|-||-|---|--||-----|
iai n on renarsbialsamis	|-|-⌫-|-----|----|---|
cinestpasligaa insconmun	-||--|--|-|---⌫--|-----|
uosuole ́s to t auo ir sansfaill e	--|----⌫-|--⌫|---⌫-|---|-----⌫|
ian enfer ai	-||-|---⌫-|
uersuos bat aill e	---|--|---⌫----⌫|
ains le uo sc lamera iecui te	---|-|--⌫|-⌫-----|-|---⌫-|
ien aimestier	-||-|------|
d efaireluite	-⌫|----|----|
quantasesotranprosnest rai tes	----|---|-|---------|-⌫---⌫--|
etases liotloupe s	-|---|-|-|-----⌫|
tornéssenest neuautplusdire	------||-|--|-|---|---|---|
et cil remestengrantmartire	-|--|-----|-|----|------|
le g roig estentetsace ettire	-|-⌫---|-----|-|---|-|---|
nelpottor ner	-||--|---⌫--|
s ilne l deschire	|-|-||-------|
nes t oitpasdoutot asoncois	|--⌫-⌫--|--|--|--||--|---|
l i forestiers reuintdo ub ois	-⌫|---------|-----|--⌫|-⌫--|
yyestoient e n	-|-------|-⌫|
quan t uirentlorslunslautre	----⌫|-----||--||--||----|
ieuoizz or sfaitli	-|--|-|--⌫|---|-|
oriparrafrans	-||----|----|
f orestiers	-⌫--------|
quebiensai	--|---|--|
aidier nesepuet	-----|-|-|---|
orl epr endons fai relestuet	-|-⌫|--⌫-----|---⌫-||-----|
quant brunslio rs	----|----|-|-⌫-|
lesuituen ir	--|--|---⌫-|
s epuet plusasten ir	-⌫|---|---|-----⌫-|
a soipartelair	|--|--|--|--|
siquelecuierfait	-|--|-|----|---|
de totson groingetdeses moe s	-|--|--|-----|-|-|--|---⌫|
n enr emes tpointparmiles	|-|-⌫----⌫|----|----|--|
m ai sainsque il	-⌫--⌫|------|-|
fustoste ́s	---|----⌫-|
tantbatusl escostes	---|----|-⌫-|-----|
dema cuesetdebastons	-|--⌫---|-|-|------|
issusenesta recul ons	----|-|--||-----⌫--|
ar ieremain ietaessa r t	--⌫---|---|---|----⌫-⌫|
renarsl aten upo r mu sar	-----|||---⌫|--⌫|--⌫--|
along e alainne	|----⌫|------|
mais muto tanc oissoufertp ai nne	---|--|-⌫|---⌫--|------|-⌫--⌫--|
et da nsr enars quin ai t	-|--⌫-|-⌫----|--||--⌫|
c onfe ss e	-⌫----⌫--⌫|
entreedun erue	-----||--⌫|--|
abrunslorsgrantranprone eue	|----||--|----|-------|--|
biaussirebrunet corm e d ites	----|---|---|-|--|-⌫|-⌫---|
estes uosmoingnesne	----|--|-------|-|
etseme sse can ter sau és	-|-|--⌫--|---⌫--|---⌫--|
quantsigrant c orone portés	----|-|----|-⌫----|------|
mut parauésuermelle cie f	--|--|----|-----|-|---⌫|
bienpertquauéseumeschief	---|---|-|----|-|-------|
b ie npertlafo rcenest pas	-⌫--⌫|---|-|--⌫--||--|--|
asesdel uos tre	---|--|---⌫--|
ensiser uirena rsmon honme	---|---⌫-|----⌫-|--|----|
pa rlessains qu e	--⌫|--|----|--⌫|
onprie ar onm e	-|---||-⌫---⌫|
b ondroitloren	-⌫-|----|--|-|
se prouerlepuisie	-|-----|-|---|-|
lp rendrai	|-⌫------|
ac eafaitdans	|-⌫||---|---|
bruns sonpl aint	----|--|--⌫---|
etlamase ngese replaint	-|-|----⌫--|-|-------|
carquante le le	--|----|-⌫-|-|
uautbais si er	---|----⌫--⌫-|
uaut acoitier	---|-------|
lesdensi etaporluicoubrer	--|---|-⌫--|--|--|------|
que illecu i d aestranler	--|-|-|--⌫-⌫-⌫|--------|
adont liorentseshel esh ues	----|-|----|--|---⌫-|-⌫--|
ele saillidese urle	--|-----|----⌫-|-|
faiso itgrantder uerie	-----⌫-|----|---⌫----|
quan tillifistteltr ecerie	----⌫|-|-|---|--|--⌫-----|
quele es toiten	-|--|--⌫---|-|
loisaconmere	--|-|------|
si letenoitp orson	-|-|-----|-⌫-|--|
i lnest pas loi als	-⌫||--|--|---⌫--|
lase co ntintcond esloiaus	-|-|--⌫----|--|-⌫-------|
renarsn e faitderien	-----|-⌫|---|-|---|
parnaturefaita mes croi re	--|-----|---||---⌫----⌫-|
damepintesere s t clame e	---|----|-|--⌫-⌫|-----⌫|
qui d em a intesgens est amees	--|-⌫|-⌫-⌫----|---|--|----|
s erordame	-⌫---|---|
q uer e na rsli aescl opee	-⌫-|-⌫-⌫--⌫-|-||----⌫---|
e tyym orte s	-⌫|-|-⌫----⌫|
dese sser rors	-|--⌫|---⌫---|
dontaucue ra maintesdolors	---|-|---⌫||------|-----|
maintmalafaita plu issorgent	----|--||---||---⌫----|---|
iane poror n epo r argent	-|-|--|-|-⌫|--⌫|-----|
ned oitlenlai ssieraiugier	-|-⌫--|--|---⌫----||-----|
porses fe lonniesue ngier	--|--|--⌫------|--⌫----|
lic orbialsestacortuenu s	-|-⌫------|--||---|----⌫|
etdist qu e	-|---|--⌫|
droislisoit tenus	----|-|---|----|
d eren art	-⌫|---⌫--|
qui pristsonformage	--|----|--|------|
si fis t si	-|---⌫|-|
grantoutrage	----|------|
que ases densleuaut	--||--|---|-|---|
mai sn enfis t	---⌫||-|---⌫|
mie sonplaissir	--|--|-------|
s a percut qui lle	|-⌫-----|-|-⌫|-|
u autprendre	-⌫--|------|
cil sentornanel uaut	--||-|----|-||---|
a t e ndre	-⌫-⌫-⌫---|
renars quiset d etantesfrumes	-----|--|--|-⌫|-----|-----|
l iesrachayydesesplumes	-⌫|------|-|-|--|-----|
bienle cuidaa u oir soup ris	---|-|----|-⌫-⌫--|----⌫--|
parbaratet entrepris	--|----|-|--------|
illidisoitquilauoitplaie	-|-|-----|-|-|----|----|
l u iotma le m a nai e	-⌫-⌫|-|--⌫-|-⌫-⌫---⌫|
neuos poroiepas retraire	-|--|-----|--|-------|
lesmals l an ui et lecontraire	--|---||--⌫-|-|-|--------|
que renars afaitabrunlors	--|-----||---||---||--|
