mi sirenoble lilio ns	-|---|----|-|---⌫-|
olui au oit toz	|--|--⌫--|--|
s esb arons	-⌫-|-⌫----|
aicelter meetacep oint	|---|---⌫-|-||-|-⌫---|
que li leusf uensimalpoint	--|-|---|-⌫|-|-|--|----|
que ilotlakeueperdue	--|-|-|-|---|-----|
yyiorzotiasa corttenu e	-|---|-|-|-|---|----⌫|
e tsachiezb ien deu er i te	-⌫|------|-⌫--|-|-⌫--⌫-⌫-|
eniot assenblé	-||-|--------|
de mei nt pais d e meinte t erre	-|---⌫-|---|-⌫|-----|-⌫---|
sanz ceq u eles	---|-|-⌫-⌫|--|
enuoiastquer e	-------|----⌫|
tu it li baron u ienentense n ble	--⌫-|-|----|-⌫-----|----⌫-⌫--|
forssirerenartceme sen ble	---|---|-----|-|-|---⌫--|
etsire y sengrinlo rdrené	-|---|-⌫------||-⌫------|
querenartauoitcoronn é	--|-----|----|------⌫-|
parquoiilli	--|---|-|-|
conuint les sier	------|---⌫---|
q u anta lapesc hi er	-⌫-⌫--|-⌫-|----⌫--⌫-|
porceotysengrinlechanu	--|-|-|-------|-|----|
renartauecluiretenu	-----|---|--|-----|
ose ac ort	--||-⌫--|
cor t leroimaintenir	---⌫|-|--|--------|
siauoi tauquesdereson	-|----⌫|-----|-|----|
quillelessoit por achois on	-|-|-|------|--|------⌫-|
etpor iceetpor	-|--|--|-|--|
amo ien tgoute	---⌫---⌫|----|
la gent leroin iert mie coie	-|---|-|--||---|--|---|
ainzme niuent e t font gran tioie	---|--⌫-----|-⌫|---|----⌫|---|
gra nt ioiefontparlepales	---⌫-|---|---|--|-|----|
et cha ntoientchancon set la is	-|---⌫------|-------⌫|-|--⌫-|
etsonenttimbre s ettabo urs	-|-----|------⌫|-|----⌫--|
atant uintysengrinlicous	----|---|-------|-|---|
en treus se tinttot en	--⌫-|--|-|---|--|-|
sonculaportede scouert	--|--|-----|--⌫------|
quoicourir	---|-----|
et quant ill euoient uenir	-|----|-|-⌫|-----|----|
si lecommencentag a ber	-|-|---------||-⌫-⌫--|
ainsi nedeuez	----|-|----|
pa s a ler	--⌫|-⌫--|
biau sire courezuo s tretro	---|---|-----|--⌫-⌫--|--|
es tes uos delordresai ntpo	--⌫--|--|-||----|---⌫-|-|
qu iaportezsigr ant coronne	--⌫|------|-|--⌫--|------|
yseng rinnulnen are sonne	-----⌫--|--||-|---⌫----|
a incoiss enpasse etu a tot	-⌫-----||-|----|-|-⌫|--|
misirenobleestoit	-|---|----|-----|
illec semet	----|-|--|
ag enoil lons	|-⌫-----⌫---|
claimesoiderena rtle rous	-----|--|-|----⌫-|-|---|
parquiil er ts iatornez	--|--|-|--⌫|-⌫|------|
qu il a toz lesguernon s	-|-||--|--|-------⌫|
et si alakeueperdue	-|-||-|---|-----|
grant dolo reue	----|----⌫|--|
quetrop en	--|---|-|
afetma le gar de	|--|--⌫-|---⌫-|
misire noblele regarde	-|---|----|-|------|
si co mmenceariremou tfort	-|--⌫-----||---|---⌫|---|
ysengrin fetilbientamort	-------|--|-|---|||---|
cil q uiainsitaatorné	--|-⌫-|----|||------|
mout t amalementco ronn é	---|||-------|--⌫----⌫-|
