mil chentetsoisanteanz	--|----|-|-------|--|
out det e m pset	--|-|-⌫-⌫-⌫-|-|
pui zqued ex	---⌫---|-⌫-|
enlauirged escendipars agrace	-|-|----|-⌫------|--|-⌫|----|
qua ntu nclercde	---⌫-|-⌫|----|-|
caenqui outnonme stre u ace	---|--|--|--|--⌫---|-⌫--|
sentremistdele stoired ero uetdes	|--------|-||-⌫-----|-⌫|--⌫|-|-||
e st r asce	-⌫--⌫-⌫---|
quiconquistnorme n diequ iquenpoist nequiplace	--|-------|-----⌫-⌫--|--⌫--|-|----|-|--|----|
contr elorgueildefrance	-----⌫||------|-|-----|
qui encorles menasce	--|----|--|------|
que nos tre roi	--|---⌫--|--|
henrilacongno isse	----|-|------⌫---|
quigai resnaderentesnegaires	--|---⌫--|||-|-----|-|-----|
nenporca che	|-|-----⌫--|
mezauaric ea frait alar gescesagrace	--|------⌫||----||---⌫----|-|----|
ne peut lez mainzouurirplusso ntgelez	-|---|--|----|-----|---|--⌫-|----|
nes ai ouest re poste netruiztrainnetr ace	-|-⌫-|-|--|--⌫----|-|----|----|-|--⌫--|
qui ne soitlo sengi erne encort	--|-|---|--⌫-----⌫-|-|-----|
liu ne place	--|-|----|
a pl usorsfai t	|--⌫----|---⌫|
onl a cue louinace	-|-⌫|--|-------|
cenefu mie eltemps	-|-|-|--|-|----|
uirgilene orace	------|-|----|
ne el tempsalixandrene	-|-|----|--------|-|
cesarneestac e	----|-|-----⌫|
l oresauoitlargesceu ert ueteff icace	-⌫---|----|-------|-⌫---⌫|-|---⌫----|
du roihe n riuoilfaireceste	-|--|--⌫-⌫-|---|----|----|
p r emiere page	-⌫-⌫-----|---|
qui pristalianordame	--|----|------|---|
deha ut parag e	-|--⌫-|-----⌫|
dexd oins t aambed eulsde	--|-⌫----⌫||-----⌫---|-|
bienfaire co urage	---|----|--⌫----|
fontmiere nd realacourtle	---|--|--⌫--⌫-||-|----|-|
etdepra messes chascun	-|-|---⌫-----|------|
deulsm asoua ge	|---||-----⌫-|
m ez besoing uie nt s ouuent quitos t	-⌫-|------|---⌫-|-⌫-----|--|---⌫|
siglee ttostnage	----|-⌫|---|---|
mefaitmeitre led enieret	-|---|-----|-|-⌫----|-|
france e s talienor	-----|-⌫-⌫|------|
etdebon naire	-|-----⌫----|
ro ynefude	--⌫--|-|-|
fran ceenson premier aage	----⌫-|-|--|------|---|
looysl espousaqui outgrantm ariage	----||------|--|--|----|-⌫-----|
enierusa lem furent enl oncpelerinage	-|------⌫--|-----|-|-⌫--|---------|
assezytraist c he s cunt rauailet	----||-----|-⌫--⌫-⌫--|-⌫-----|-|
quantreparr iezsenfu rent p ar	----|------⌫--||-|--⌫---|-⌫-|
sempartila	|-|----|-|
royneo ric hepare nta ge	----||---⌫-|----⌫---⌫-|
de cele depa rtienoutelle	-|---|----⌫---||--|---|
a poitiers sen al ason	|-------||-|--⌫|--|
n a tu relmanage	-⌫-⌫--⌫--|-----|
ni outplus pr oc ha in heirquel	||--|---|--⌫--⌫--⌫-|---|-|-|
sonl i gna ge	--|-⌫-⌫---⌫-|
li roizhen ri	-|---|---⌫-|
lapri sto riche mariage	-|---⌫-||----|------|
cil quitin tengl eterreetlaterre marage	--|--|---⌫|----⌫-----|-|-|----|-----|
ent re espai ngneetescoscederiuage enriuage	---⌫-|-----⌫---|-|------|-|-----|-|-----|
g rantpar oleestdeluiet deson u ass elage	-⌫---|---⌫--|--|-|--|-|-|--|-⌫---⌫----|
de s felonsqu il destrain tcomme oysel clo sen	--⌫|-----|-|-|--------⌫|----|----|---⌫|-|
en sa terreo s i grantherberg age	-|-|----||-⌫|----|-------⌫--|
qui ostle paisenfraindr e e m pleinneen	--|--|-|---|---------⌫|-⌫|----|-|-|
seilpeut estre atain tnet	-|-|---|----|-----⌫||-|
desmembresh ontage	--|------|-⌫-----|
ou quilni lest lecors	-|-|-|||---|-|---|
ou lameenostage	-||--|-|-----|
lage steuoil derouetdeznorman zconter	-|--⌫--|---|-|--|-|--|------⌫|-----|
lor s faiz	---⌫|---|
et lor proe sce do i i e	-|--|----⌫--|--⌫|-⌫|
bi en recor der	--⌫-|-----⌫--|
lesboisdie sdefrance ne	--|-------⌫|-|-----|-|
fontmie ac eler	---|--||-⌫---|
touttensuoudrent	---|---|-------|
fr a ncho iznor manzd esheriter	--⌫-⌫----⌫-|---⌫---|-⌫--------|
et touttenssepeneren td	-|---|---|-|-------⌫||
euls ua incre et dels greu er	---|--⌫----|-||--|----⌫-|
